entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Should I even try to guess what
you're planning to do with that
shovel?","{{TAG:0003:0001:}}¿A que adivino lo que piensas
hacer con esa pala?","{{TAG:0003:0001:}}Je peux savoir ce que tu comptes
faire avec cette pelle, {{TAG:000E:0006:1400700065007400690074002000670061007200730012006D00610020006700720061006E0064006500}} ?","{{TAG:0003:0001:}}Provo a indovinare che hai
intenzione di fare con quella pala
o non ne vale la pena?","{{TAG:0003:0026:}}Hey! {{TAG:0007:0000:14000000}}'ne Schaufel!!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Damit kann so viele tolle Sachen
machen! {{TAG:0007:0000:14000000}}Hast du schon mal etwas
Fieses damit gemacht?{{TAG:0007:0000:28000000}} Haha!{{TAG:0003:0002:}} ","{{TAG:0003:0001:}}O kürekle ne yapacağını tahmin
etmeye çalışsam mı acaba?"
1,002,"{{TAG:0003:000F:}}I see you've got a net there! {{TAG:0007:0000:28000000}}{{TAG:0003:0023:}}Are you
on a bug hunt?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Sometimes there are strong bugs
that might try to attack you, so be
careful, {{TAG:0005:0008:}}!","{{TAG:0003:000F:}}¡Veo que tienes una red!{{TAG:0007:0000:28000000}}
{{TAG:0003:0023:}}¿Vas a cazar bichos?{{TAG:0000:0004:}}{{TAG:0003:0006:}}¡No dejes que ningún bicho grande
se te suba a la chepa! ¡Defiéndete
como u{{TAG:000E:0006:02006E0004006E006100}} guerrer{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}!","{{TAG:0003:000F:}}Tiens, tu as sorti ton filet ?!{{TAG:0007:0000:28000000}} {{TAG:0003:0023:}}Tu es
en pleine chasse aux insectes,
peut-être ?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Fais gaffe, {{TAG:0005:0008:}}, certaines
bestioles sont du genre pas
commodes !","{{TAG:0003:000F:}}Che fai con quel retino? {{TAG:0007:0000:28000000}}{{TAG:0003:0023:}}
Vai a caccia di insetti?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Stai attent{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}!
Alcuni insetti sono molto forti
e possono attaccarti!","{{TAG:0003:000F:}}Wow! {{TAG:0007:0000:14000000}}Du hast ja ein Netz!
{{TAG:0007:0000:28000000}}{{TAG:0003:0023:}}Bist du auf Insektenjagd?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Sei aber vorsichtig, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!
Es gibt auch Insekten, die angreifen,{{TAG:0007:0000:08000000}}
wenn man sie fangen will.","{{TAG:0003:000F:}}Elinde ağ var! {{TAG:0007:0000:28000000}}{{TAG:0003:0023:}}Böcek avına mı
çıkıyorsun?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Bazen güçlü böcekler
saldırabilir, dikkat et, {{TAG:0005:0008:}}!"
2,003,"{{TAG:0003:0001:}}You're carrying a fishing rod, so{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
you must be going fishing, right?{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}Where are you gonna go fishing? {{TAG:0008:0001:140000001500000016000000}}
Waterfall basin.
River.
Ocean.","{{TAG:0003:0001:}}Llevas una caña de pescar, así que{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
supongo que te vas de pesca, ¿no?{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}¿Y dónde vas a ponerte?{{TAG:0008:0001:140000001500000016000000}}
Junto a la cascada
En el río
En el mar","{{TAG:0003:0001:}}Vu ton attirail{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} j'imagine que tu vas
pêcher ?{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}Et tu comptes t'installer
où, précisément ?{{TAG:0008:0001:140000001500000016000000}}
Près des chutes d'eau.
À la rivière.
À la mer.","{{TAG:0003:0001:}}Visto che hai una canna da pesca{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
starai andando a pescare, vero?{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}Sai già dove?{{TAG:0008:0001:140000001500000016000000}}
Cascata.
Fiume.
Mare.","{{TAG:0003:000B:}}Du hast 'ne Angel bei dir! {{TAG:0007:0000:14000000}}Also{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
gehst du bestimmt angeln, {{TAG:0007:0000:08000000}}richtig?{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}Wo willst du denn angeln gehen? {{TAG:0008:0001:140000001500000016000000}}
Vor dem Wasserfall.
Im Fluss.
Im Meer.","{{TAG:0003:0001:}}Elinde olta var, yani{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} balığa
gidiyorsun, değil mi?{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}Nerede tutacaksın? {{TAG:0008:0001:140000001500000016000000}}
Şelale gölü.
Nehir.
Deniz."
3,004,"{{TAG:0003:000F:}}Oh! You're watering flowers with a
watering can? {{TAG:0007:0001:}}{{TAG:0003:000B:}}Watering cans full of
water are actually really heavy.
Your efforts on behalf of flowers{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:000E:}}Wow! I'm so moved! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡¿Qué?! ¿Estás regando flores con
una regadera? {{TAG:0007:0001:}}{{TAG:0003:000B:}}Pues una regadera
bien llena de agua pesa lo suyo.
Hay que ver lo que haces por las
flores{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:000E:}}¡Ay, qué enrollad{{TAG:000E:0006:02006F0002006100}} eres!
¡Estoy conmovido, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oh !{{TAG:0007:0000:14000000}} Tu es en pleine session
d'arrosage ?!{{TAG:0007:0001:}} {{TAG:0003:000B:}}Mais dis, un arrosoir
bien plein, c'est super lourd{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:000E:}}T'entretiens les plantes et ton corps
en même temps !{{TAG:0007:0000:19000000}} T'es {{TAG:000E:0006:140075006E0020006300690074006F00790065006E001A0075006E00650020006300690074006F00790065006E006E006500}}
modèle,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Oh! Stai dando l'acqua ai fiori?
{{TAG:0007:0001:}}{{TAG:0003:000B:}}Se considero quanto pesa
un annaffiatoio pieno...
{{TAG:0003:000E:}}... mi commuovo al pensiero di tutto
l'impegno che ci stai mettendo,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:28000000}}Gießt du deine Blumen mit 'ner
Gießkanne? {{TAG:0007:0000:28000000}}{{TAG:0003:000B:}}So 'ne volle Gießkanne
wiegt tierisch viel!
{{TAG:0003:0000:}}Du zeigst echt Einsatz für die
Blumen von {{TAG:0005:0005:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:000D:}}Du bist
einfach Weltklasse! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oo! Sulama kabıyla çiçekleri
suluyorsun ha? {{TAG:0007:0001:}}{{TAG:0003:000B:}}Su dolu sulama
kabı aslında baya ağırdır.
Çiçekler için verdiğin emek{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:000E:}}Vay be! Duygulandım! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
4,005,{{TAG:000A:0008:17001700170018001800190019001700}},{{TAG:000A:0008:17001700170018001800190019001700}},{{TAG:000A:0008:17001700170018001800190019001700}},{{TAG:000A:0008:17001700170018001800190019001700}},{{TAG:000A:0008:17001700170018001800190019001700}},{{TAG:000A:0008:17001700170018001800190019001700}}
5,006,"{{TAG:0003:0011:}}{{TAG:0007:000B:}}Whoa! You've got an axe? That's
kind of a big-{{TAG:000E:0006:060062006F00790008006700690072006C00}} tool, isn't it? Are
you sure you can handle that?
{{TAG:0003:000D:}}B{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}be careful!","{{TAG:0003:0011:}}{{TAG:0007:000B:}}¡Vaya! ¿Tienes un hacha? Eso
ya es una cosa muy seria, ¿eh?
{{TAG:0003:000D:}}V-ve con cuidado{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡que corta!","{{TAG:0003:0011:}}{{TAG:0007:000B:}}Waouh !{{TAG:0007:0000:14000000}} C'est une belle hache que
t'as là ! T'es {{TAG:000E:0006:06007300FB00720008007300FB0072006500}} d'avoir la force
de la manier ?{{TAG:0007:0000:14000000}} {{TAG:0003:000D:}}F-{{TAG:0007:0000:0F000000}}Fais gaffe, hein !","{{TAG:0003:0011:}}{{TAG:0007:000B:}}Uau! Un'ascia? Che ci fai
con quell'attrezzo da grandi?
Sei sicur{{TAG:000E:0006:02006F0002006100}} di saperla usare?
{{TAG:0003:000D:}}Mi raccomando{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} fai attenzione!","{{TAG:0003:0011:}}{{TAG:0007:000B:}}Wow!{{TAG:0007:0000:14000000}} Du hast ja 'ne Axt!{{TAG:0007:0000:28000000}}
Ist das nicht eher ein Spielzeug
für große {{TAG:000E:0006:0A004A0075006E00670073000E004D00E40064006300680065006E00}}, {{TAG:000E:0006:1800530070006F0072007400730066007200650075006E0064001C00530070006F0072007400730066007200650075006E00640069006E00}}?
{{TAG:0003:000D:}}B-{{TAG:0007:0000:08000000}}bitte sei vorsichtig mit dem Ding!","{{TAG:0003:0011:}}{{TAG:0007:000B:}}Vay! Baltan mı var? Baya büyük
bir{{TAG:000E:0006:060062006F00790008006700690072006C00}} alet, değil mi?
Kullanabileceğine emin misin?
{{TAG:0003:000D:}}D{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}dikkat et!"
6,007,"That thing you're carrying{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Is that
a slingshot? {{TAG:0007:0000:28000000}}{{TAG:0003:0006:}}What are you thinking?{{TAG:0000:0004:}}{{TAG:0003:0008:}}If you wanna fight, put down your
toy and fight like a champ!","Eso que llevas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} ¿es un tirachinas?{{TAG:0007:0000:28000000}}
{{TAG:0003:0006:}}¿Pero qué ridiculez de arma es esa?{{TAG:0000:0004:}}{{TAG:0003:0008:}}Si quieres luchar, ¡déjate ya de
juguetes y tómatelo en serio!","Ce machin que tu trimbales{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}c'est
un lance-pierre ?{{TAG:0007:0000:28000000}} {{TAG:0003:0006:}}Attention avec
cet objet démoniaque !
{{TAG:0003:0024:}}La première fois que j'en ai essayé
un, je l'ai utilisé à l'envers... Mon œil
s'en souvient encore !","Ma quella è{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} una fionda?
{{TAG:0007:0000:28000000}}{{TAG:0003:0006:}}Cos'è, uno scherzo?!{{TAG:0000:0004:}}{{TAG:0003:0008:}}Se vuoi combattere, lascia stare
il tuo giocattolino e fatti sotto!","Was hast du denn da?{{TAG:0007:0000:28000000}}
{{TAG:0003:0017:}}Ist das 'ne Schleuder?{{TAG:0000:0004:}}{{TAG:0003:001B:}}Ich hab's nicht so mit Waffen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}}
Meine Waffe ist mein Körper!","Elindeki şey{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} sapan mı? {{TAG:0007:0000:28000000}}{{TAG:0003:0006:}}Ne
düşünüyorsun sen?{{TAG:0000:0004:}}{{TAG:0003:0008:}}Kapışacaksan
oyuncağı bırak da şampiyon gibi kapış!"
7,008,"Hey, whatcha got there? {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Is that a
party popper? {{TAG:0007:0000:28000000}}{{TAG:0003:0006:}}You pull the string,
and BOOM! It explodes, right?!
{{TAG:0003:0002:}}Don't be so surprised if it knocks
you on your back, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","Oye, ¿qué tienes ahí? {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}¿Es un
cañón de confeti? Tiras de la
cuerda y... ¡PUM! ¿No?
{{TAG:0003:0002:}}¡Cuidado con el retroceso,
no te caigas de culo, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","C'est quoi, dans ta main, là ?{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Un
pétard ?!{{TAG:0007:0000:28000000}} {{TAG:0003:0006:}}Hé hé hé, tu tires sur la
ficelle, et BOUM ! Ça explose !
{{TAG:0003:0002:}}Ça surprend, la première fois ! Y'a
de quoi se retrouver sur son
popotin !{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}","Ehi, che hai lì? {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Uno sparacoriandoli?
{{TAG:0007:0000:28000000}}{{TAG:0003:0006:}}Basta tirare la cordicella e BUUUM!
Stelle filanti dappertutto!
{{TAG:0003:0002:}}Se non sei forte abbastanza,
può anche farti finire a terra,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","Hey, {{TAG:0007:0000:14000000}}was hast du denn da? {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Ist das
ein Partyknaller?{{TAG:0000:0004:}}{{TAG:0003:0026:}}Man zieht hinten an dem Ding, und
– BUMM! – kommt's vorne raus!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Haha! {{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Vielleicht haut die Wucht vom
Knall unsportliche Leute aus den
Schuhen, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","Hey, ne var elinde? {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Parti
patlatıcısı mı? {{TAG:0007:0000:28000000}}{{TAG:0003:0006:}}İpi çekiyorsun,
PAT diye patlıyor, değil mi?!
{{TAG:0003:0002:}}Seni yere sererse şaşırma, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
8,009,"{{TAG:0003:000F:}}Oh! {{TAG:000E:0003:}}{{TAG:0005:0008:}}! I see you've got
some bubbles there.{{TAG:0000:0004:}}{{TAG:0003:000A:}}Bubbles don't always work out so
well, do they?{{TAG:0000:0004:}}{{TAG:0003:001B:}}I mean I try to blow softly, but it's
never gonna happen, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:000F:}}¡Huy! ¡Pero si puedes hacer
pompas, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:000A:}}Las pompas no se llevan muy bien
con los hombres recios como yo,
desgraciadamente...
{{TAG:0003:001B:}}Lo de soplar suavemente
no me sale, y por eso siempre
las reviento, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Oh ! {{TAG:000E:0003:}}{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} Fais-voir ton
lance-bulles !{{TAG:0000:0004:}}{{TAG:0003:000A:}}J'ai jamais réussi à me servir de ces
engins correctement,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}...
{{TAG:0003:001B:}}On me dit toujours que je souffle
trop fort dedans... Mais plus
doucement, je m'endors, moi !","{{TAG:0003:000F:}}Oh, {{TAG:0005:0008:}}! Vedo che anche
a te piace fare le bolle di sapone!{{TAG:0000:0004:}}{{TAG:0003:000A:}}Io non sono molto bravo...{{TAG:0000:0004:}}{{TAG:0003:001B:}}Anche se soffio pianissimo,
scoppiano subito, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Wow! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}! {{TAG:0007:0000:28000000}}Du hast ja ein
Seifenblasenset!{{TAG:0000:0004:}}{{TAG:0003:000A:}}Seifenblasen zu machen {{TAG:0007:0000:08000000}}ist gar
nicht mal so einfach, {{TAG:0007:0000:08000000}}oder?{{TAG:0000:0004:}}{{TAG:0003:001B:}}Ich puste aber auch nicht gerade
sanft, das liegt mir nicht. {{TAG:0007:0000:14000000}}Ich hab
einfach zu viel Kraft, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Oo! {{TAG:000E:0003:}}{{TAG:0005:0008:}}! Baloncukların var.{{TAG:0000:0004:}}{{TAG:0003:000A:}}
Baloncuk işi her zaman yolunda
gitmiyor, değil mi?{{TAG:0000:0004:}}{{TAG:0003:001B:}}Ben hafif
üflemeye çalışıyorum ama asla
olmuyor, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}."
9,010,"{{TAG:0003:000F:}}Oh! Running around with a
pinwheel, eh?{{TAG:0000:0004:}}{{TAG:0003:001A:}}Pinwheels have a way of turning you
into a kid again, don't they?","{{TAG:0003:000F:}}¡Ah! Así que a correr por ahí
con un molinete, ¿eh?{{TAG:0000:0004:}}{{TAG:0003:001A:}}A mí me recuerdan que el viento
no tiene músculos y, sin embargo,
tiene muchísima fuerza...","{{TAG:0003:000F:}}Oh !{{TAG:0007:0000:0F000000}} On fait {{TAG:000E:0006:0C006C006500200066006F00750010006C006100200066006F006C006C006500}} avec son petit
moulin ?!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Je te parie que si tu m'en fixes dix
sur le dos, je peux courir assez vite
pour m'envoler !","{{TAG:0003:000F:}}Oh! Quella lì è una girandola!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Io ne avevo un sacco
quando ero piccolo.","{{TAG:0003:000F:}}Hey! {{TAG:0007:0000:28000000}}Du rennst mit 'nem Windrad
quer durch die Stadt?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ich werd immer zum Kind, {{TAG:0007:0000:08000000}}wenn ich
ein Windrad in der Hand hab!","{{TAG:0003:000F:}}Oo! Rüzgâr gülüyle
koşturuyorsun ha?{{TAG:0000:0004:}}{{TAG:0003:001A:}}İnsanı tekrar
çocuk gibi yapıyor, değil mi?"
