entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}}
2,003,{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}}
3,004,,,,,,
4,005,"{{TAG:0003:0001:}}This place is super convenient.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
But I guess that's the point!","{{TAG:0003:0001:}}Es tan chupi que amplíen
las tiendas...{{TAG:0007:0000:14000000}} ¡Así hay muchas
más cosas para elegir, je, je!","{{TAG:0003:0001:}}J'ai failli me casser la margoulette{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.
Ce soir, je fais une petite dinette !{{TAG:0007:0000:0A000000}}
Alors je suis passée à la supérette...","{{TAG:0003:0001:}}Hai visto quante occasioni da paura
qui dentro? Io comprerei tutto!","{{TAG:0003:0001:}}Dieser Laden ist superpraktisch...
{{TAG:0007:0000:14000000}}Ich komm total gern hierher!","{{TAG:0003:0001:}}Burası süper kullanışlı{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
Gerçi adı üstünde Mini Market!"
5,006,"{{TAG:0003:0025:}}I ran in here to buy something fast,
but now I can't remember what!","{{TAG:0003:0025:}}He venido corriendo a comprar
una cosa...{{TAG:0007:0000:14000000}} {{TAG:0003:000D:}}¡pero ahora no me
acuerdo de qué era!","{{TAG:0003:0025:}}Ma liste de courses s'est envolée en
chemin !{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}Ce qui est très bizarre, vu
qu'elle est dans ma tête{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. Mystère.","{{TAG:0003:0025:}}Sono venuta qui di corsa perché
dovevo comprare una cosa.
{{TAG:0003:0024:}}Solo che non mi ricordo più cosa!","{{TAG:0003:0025:}}Ich bin hier reingeflitzt, um mal eben
schnell etwas zu kaufen, aber jetzt
weiß ich nicht mehr, was ich wollte!","{{TAG:0003:0025:}}Hızlıca bir şey almaya girdim
ama ne alacağımı unuttum!"
6,007,"{{TAG:0003:0001:}}This is really a nice little place.{{TAG:0007:0000:0A000000}}
Just perfect for quick shopping,
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Este sitio viene superbién cuando
quieres montar una fiesta de
improviso.{{TAG:0007:0000:0A000000}} ¡Hay de todo!","{{TAG:0003:0001:}}Pour le speed shopping, cet endroit
est parfait...{{TAG:0007:0000:0A000000}} Bon je te laisse, j'ai un
record à battre, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Questo posto è piccolo ma troppo
carino.{{TAG:0007:0000:0A000000}} Perfetto per comprare
due o tre cosette trendy!","{{TAG:0003:0001:}}Das hier ist echt ein süßer kleiner
Laden. {{TAG:0007:0000:14000000}}Perfekt für den schnellen
Einkauf zwischendurch!","{{TAG:0003:0001:}}Burası gerçekten tatlı, küçük bir yer.{{TAG:0007:0000:0A000000}}
Hızlı alışveriş için cuk oturuyor,
{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:0005:}}What to buy, what to buy, what
to buy, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Podría pasarme el día entero
dando vueltas por la tienda!","{{TAG:0003:0005:}}Achètera ? Achètera pas ? Rhô là là,
quel suspense{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}. Hi hi hi !{{TAG:0007:0000:0A000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Comprare o non comprare?
Questo è il dilemma!","{{TAG:0003:0005:}}Was kauf ich, {{TAG:0007:0000:0A000000}}was kauf ich...?","{{TAG:0003:0005:}}Ne alsam, ne alsam, ne alsam, {{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0001:}}Find anything you like yet? I'm
hunting for bargains today!","{{TAG:0003:0001:}}Vienes a buscar las gangas
de nuestra tienda, ¿verdad?{{TAG:0007:0000:14000000}}
¡Pues adelante, no te cortes!","{{TAG:0003:0001:}}Y'a des affaires à faire
aujourd'hui ? J'ai oublié de vérifier,
trop bête la fille ! Hi hi hi !","{{TAG:0003:0001:}}Hai trovato qualcosa di carino?
Io sono a caccia di occasioni
da urlo oggi!","{{TAG:0003:0001:}}Hast du schon was gefunden?
{{TAG:0007:0000:14000000}}Ich bin heute ja auf großer
Schnäppchenjagd!","{{TAG:0003:0001:}}Hoşuna giden bir şey buldun mu? Ben
bugün indirim avındayım!"
9,010,"{{TAG:0003:0001:}}Wow, you came all the way to
{{TAG:0005:0005:}} to shop?","{{TAG:0003:0001:}}¿Has venido a {{TAG:000E:0003:}}{{TAG:0005:0005:}} solo
para comprar? {{TAG:0007:0000:14000000}}¡Qué fuerte
me parece!","{{TAG:0003:0001:}}Naaan{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. tu viens à {{TAG:0005:0005:}} pour
faire tes courses ? Je suis toute
fière, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Uau, hai fatto tutta questa strada
per venire a fare shopping qui
{{TAG:000E:0010:}} {{TAG:0005:0005:}}? Che storia!","{{TAG:0003:0001:}}Wow, du bist echt den ganzen Weg
nach {{TAG:0005:0005:}} gekommen, um hier
einzukaufen?","{{TAG:0003:0001:}}Vay, alışveriş yapmak için ta
{{TAG:0005:0005:}}'a mı geldin?"
