entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}This looks like a good place to toss
around a ball. {{TAG:0003:0023:}}No buildings means no
windows for me to break! Hee hee!","{{TAG:0003:0025:}}Este parece un buen sitio para
jugar a la pelota. {{TAG:0003:0023:}}¡Sin edificios,
no hay ventanas que romper!","{{TAG:0003:0025:}}La prochaine fois que je voudrai
tirer un truc à pile ou face, je
viendrai ici !
{{TAG:0003:0023:}}Au moins, je suis sûre de pas casser
un carreau{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} C'est vide de chez
vide !","{{TAG:0003:0025:}}Sembra proprio un posto adatto
per giocare con la palla. {{TAG:0003:0023:}}Se non ci
sono palazzi, non ci sono finestre!","{{TAG:0003:0026:}}Boah, hier könnte man echt supi
Ball spielen, oder?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Solange hier keine Häuser stehen,
gibt's auch keine Fenster, die ich
zerstrümmern könnte. {{TAG:0007:0000:14000000}}Hihihi!","{{TAG:0003:0025:}}Burası top oynamak için süper bir yer
gibi. {{TAG:0003:0023:}}Bina yoksa kıracağım pencere
de yok! Hihihi!"
1,002,"{{TAG:0003:0005:}}Looks like someone is building a
new house in town! {{TAG:0003:0025:}}Gosh, I hope our
new neighbor is totally fun.
{{TAG:0003:0009:}}No-fun neighbors are, like, the pits!
And {{TAG:0005:0005:}} {{TAG:0003:0028:}}definitely doesn't
need any more no-fun neighbors!","{{TAG:0003:0005:}}¡Van a construir una casa nueva! {{TAG:0003:0025:}}
Espero que quien viva ahí sea
superdivertido.
{{TAG:0003:001B:}}En serio, nadie quiere tener un
muermo por vecino.{{TAG:0007:0000:14000000}} En {{TAG:000E:0003:}}{{TAG:0005:0005:}}
solo vivimos los más chachis.","{{TAG:0003:0005:}}Il commence à y avoir du people à
{{TAG:0005:0005:}}{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} T'as vu la nouvelle
maison ?!
{{TAG:0003:0009:}}J'espère que le nouveau voisin sera
sympa{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} {{TAG:0003:0028:}}Pas du genre à se boucher
les oreilles quand je parle, quoi, lol !","{{TAG:0003:0005:}}Uau! Stanno costruendo una nuova
casa in città! {{TAG:0003:0025:}}Speriamo che arrivi
gente simpatica!
{{TAG:0003:0009:}}Cioè, se i vicini sono noiosi è la fine!
E, diciamolo, {{TAG:0005:0005:}} {{TAG:0003:0028:}}non
ha proprio bisogno di gente noiosa!","{{TAG:0003:0005:}}Hey, {{TAG:0007:0000:0A000000}}ich glaub, jemand baut ein
neues Haus in unserer Stadt! {{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}Ich
hoff, unser neuer Nachbar ist lustig.
{{TAG:0003:0009:}}Unlustige Nachbarn gehen mal gar
nicht! {{TAG:0007:0000:14000000}}Und {{TAG:0005:0005:}}{{TAG:0003:0028:}} braucht
echt nicht noch mehr so Leute!","{{TAG:0003:0005:}}Kasabada yeni bir ev yapılıyor
gibi! {{TAG:0003:0025:}}Umarım yeni komşumuz aşırı eğlenceli
biridir. {{TAG:0003:0009:}}Sıkıcı komşular tam
bir felaket! Hem {{TAG:0005:0005:}} {{TAG:0003:0028:}}daha fazla sıkıcı
komşuya hiç ihtiyaç duymuyor!"
2,003,"{{TAG:0003:0015:}}My house is, like, so cool. I picked
out the colors all by myself. {{TAG:0003:0003:}}They
look totally amazing together!
Yup. {{TAG:0003:002C:}}A house like mine is fit for a
superstar! {{TAG:0007:0000:0F000000}}{{TAG:0003:0009:}}Anything less would be
a travesty, {{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Mi casa es tan ideal... Elegí los
colores yo misma. {{TAG:0003:0003:}}¿A que mi
gusto es para morirse?
{{TAG:0003:002C:}}¡Que se note que ahí vive una
superestrella, {{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Ma maison, c'est la plus belle, pas
vrai ???{{TAG:0007:0000:0A000000}} {{TAG:0003:0003:}}Vas-y, tu peux le dire, sois
pas timide !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !
{{TAG:0003:002C:}}Wouhou !{{TAG:0007:0000:0F000000}} Une vraie maison de
star, je sais !{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Il me reste plus qu'à
percer dans le showbiz, en gros...","{{TAG:0003:0015:}}Casa mia è supermegaextratrendy!
{{TAG:0003:0003:}}Non pensi anche tu che i colori
siano stati scelti con gusto?
Per forza!{{TAG:0003:002C:}} Li ho scelti io! Una casa
così è perfetta per una star!{{TAG:0007:0000:0F000000}} {{TAG:0003:0009:}}Non
può essere altrimenti, {{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Mein Haus ist doch echt ziemlich
cool, oder? {{TAG:0007:0000:14000000}}Ich hab die ganzen
Farben selbst ausgesucht.
{{TAG:0003:0003:}}Sie sehen zusammen einfach super-
toll aus! {{TAG:0007:0000:14000000}}Jepp, {{TAG:0003:002C:}}das perfekte Haus
für einen Superstar wie mich!
{{TAG:0003:001B:}}Alles andere wäre aber auch
echt unter meinem Standard,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Benim evim aşırı havalı. Renkleri
tamamen kendim seçtim. {{TAG:0003:0003:}}Birlikte
inanılmaz görünüyorlar! Evet. {{TAG:0003:002C:}}Benimki
gibi bir ev tam bir yıldız evi! {{TAG:0007:0000:0F000000}}{{TAG:0003:0009:}}Daha azı
felaket olurdu, {{TAG:0005:0007:}}."
3,004,"{{TAG:0003:0017:}}Do you want to spy on {{TAG:0011:0001:0000}}'s
house too? {{TAG:0003:0023:}}Good to know there's
another secret agent in {{TAG:0005:0005:}}!
{{TAG:0003:0002:}}Hee hee! I'm just kidding. I'm no
spy—at least, not professionally.
{{TAG:0003:0015:}}But I do like to keep tabs on folks!","{{TAG:0003:0017:}}¿También vienes a espiar la casa
de {{TAG:0011:0001:0000}}? {{TAG:0003:0023:}}Veo que no soy la
única agente secreta de por aquí.
{{TAG:0003:0002:}}¡Ja, ja, ja! ¡Que es broma, {{TAG:000E:0006:0A0063006800690063006F000A0063006800690063006100}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}Menos lo de espiar. Me gusta saber
qué hacen mis vecinos.","{{TAG:0003:0017:}}Toi aussi, tu viens espionner
{{TAG:0011:0001:0000}} ? Genre{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} toi aussi, tu te
prends pour un agent secret, lol ?
{{TAG:0003:0002:}}Hi hi hi,{{TAG:0007:0000:0A000000}} on est surtout deux belles
fouines qui aiment bien se mêler de
ce qui les regarde pas !
D'ailleurs, {{TAG:0003:0015:}}j'ai tout un dossier sur
toi !","{{TAG:0003:0017:}}Anche tu vuoi sbirciare la casa
di {{TAG:0011:0001:0000}}? {{TAG:0003:0023:}}Sono felice di non
essere l'unica spia di {{TAG:0005:0005:}}!
{{TAG:0003:0002:}}Ahahah! Ovviamente scherzo, mica
sono una vera spia... {{TAG:0003:0015:}}È solo che
voglio tenermi aggiornata!","{{TAG:0003:0017:}}Willst du auch das Haus von
{{TAG:0011:0001:0000}} ausspionieren?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Gut zu wissen, dass es außer mir
noch {{TAG:000E:0006:3600650069006E0065006E00200061006E0064006500720065006E002000470065006800650069006D006100670065006E00740065006E003200650069006E006500200061006E0064006500720065002000470065006800650069006D006100670065006E00740069006E00}}
in {{TAG:0005:0005:}} gibt! {{TAG:0007:0000:14000000}}{{TAG:0003:001C:}}Muahaha!
{{TAG:0003:0002:}}Späßchen! {{TAG:0007:0000:14000000}}Ich bin keine Spionin –
zumindest nicht von Berufs wegen...{{TAG:0000:0004:}}{{TAG:0003:0000:}}Was ich dann hier mache? {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Ich nenn's
mal {{TAG:0007:0000:0A000000}}„den Überblick behalten“!
{{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}Hahaha!","{{TAG:0003:0017:}}{{TAG:0011:0001:0000}}'in evini sen de
mi gözetliyorsun? {{TAG:0003:0023:}}{{TAG:0005:0005:}}'de başka
bir gizli ajan olduğunu bilmek güzel!
{{TAG:0003:0002:}}Hihihi! Şaka yapıyorum. Profesyonel ajan
değilim yani.{{TAG:0003:0015:}} Ama insanları takip
etmeyi severim!"
4,005,"{{TAG:0003:0026:}}Living in a tent is, like, totally wild!
You're all getting back to nature
and stuff. {{TAG:0003:001D:}}Good for you!","{{TAG:0003:000F:}}En serio, ¿aún vives en una tienda?{{TAG:0007:0000:14000000}}
Con los bichos y el viento...{{TAG:0007:0000:14000000}}
{{TAG:0003:0013:}}¡Ay, quita, quita!","{{TAG:0003:001D:}}Dans la catégorie « retour à la
nature », je vous présente
{{TAG:0005:0000:}} !
{{TAG:0003:0026:}}Elle est hyper cool ta tente, mais
t'as de quoi te laver, au moins ?","{{TAG:0003:0026:}}Vivere in una tenda è una cosa
troooppo da natura selvaggia! Cioè,
è come tornare alle origini! {{TAG:0003:001D:}}Brav{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0020:}}Hier, du lebst in einem Zelt, oder?
{{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Das find ich so was von mega-
abgefahren!{{TAG:0000:0004:}}{{TAG:0003:001D:}}Ich find diesen „Öko“-Style, den du
da auslebst, echt richtig klasse!{{TAG:0007:0000:14000000}}
{{TAG:0003:002C:}}Unterstütze ich total!","{{TAG:0003:0026:}}Çadırda yaşamak resmen vahşi doğa modu!
Doğaya dönmüşsün falan. {{TAG:0003:001D:}}Aferin sana!"
5,006,"{{TAG:0003:0025:}}It takes a good eye for design to
furnish a house with only one room.
{{TAG:0003:0017:}}Like, where will everything go?
{{TAG:0003:0009:}}You've really got your work cut out
for you, {{TAG:0003:0026:}}but I know you'll do fine.
You're more stylish than you think!","{{TAG:0003:0017:}}¿Verdad que es supercomplicado
meter todas tus cosas en una sola
habitación?
{{TAG:0003:0002:}}¡Yo necesitaría un cuarto entero
únicamente para guardar mi ropa,
je, je!","{{TAG:0003:0025:}}Quand on a qu'une pièce, c'est pas
compliqué à décorer, au moins !{{TAG:0007:0000:0A000000}}
Gain de temps, efficacité !{{TAG:0000:0004:}}{{TAG:0003:0026:}}T'as tout compris, toi, hi hi hi !","{{TAG:0003:0025:}}Secondo me ci vuole un cervellone
per arredare un monolocale. {{TAG:0003:0017:}}Come
si fa a farci entrare tutto?!
{{TAG:0003:0009:}}Devi saperci fare con i mobili, {{TAG:0003:0026:}}ma
non avrai problemi, vedrai! Hai più
stile di quanto pensi!","{{TAG:0003:0025:}}Man braucht echtes Designtalent,
um ein Haus mit nur einem Zimmer
auszustatten.
{{TAG:0003:0017:}}Die Frage, wo was hingehört, ist
nichts für Style-Anfänger, sag ich!{{TAG:0000:0004:}}{{TAG:0003:0009:}}Puh, da hast du echt was vor dir...
{{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Aber das packst du schon!
{{TAG:0007:0000:14000000}}Du bist stylisher, als du denkst!","{{TAG:0003:0025:}}Tek odalı bir evi döşemek için gerçekten
iyi bir tasarım gözü gerekir. {{TAG:0003:0017:}}Her şeyi
nereye koyacaksın? {{TAG:0003:0009:}}İşin zor,
{{TAG:0003:0026:}}ama başaracağını biliyorum. Sandığından
daha şıksın!"
6,007,"{{TAG:0003:0025:}}I pass by your place all the time
when I'm out on a walk. {{TAG:0003:0003:}}Your house
looks good from, like, every angle!
{{TAG:0003:001B:}}Do you know how difficult that is?
I'd be a much bigger star if I didn't
have a good side AND a bad one.","{{TAG:0003:0025:}}Siempre paso por delante de tu
casa cuando salgo a pasear. {{TAG:0003:0003:}}¡Se
ve ideal desde todos los lados!
{{TAG:0003:001B:}}Y eso es requetedifícil. ¡Te lo juro,
yo triunfaría mucho más si no
tuviera un lado malo!","{{TAG:0003:0003:}}À chaque fois que je passe par là, je
me dis : « Waouh, elle est méga
bellissima, cette maison ! »
{{TAG:0003:001B:}}Genre{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:14000000}} même moi, j'ai un mauvais
profil, {{TAG:0007:0000:0A000000}}mais pas elle !{{TAG:0007:0000:14000000}} On pourrait la
photographier de tous les côtés !","{{TAG:0003:0025:}}Ogni volta che esco per fare
una delle mie passeggiate, passo
di qui! {{TAG:0003:0003:}}Casa tua è troppo bella!
Ed è bella da tutti i punti di vista...
{{TAG:0003:001B:}}Sai che star potrei essere, senza
il problema del profilo da scegliere?","{{TAG:0003:0025:}}Ich komm ja dauernd an deinem
Haus vorbei, wenn ich spazieren
gehe.{{TAG:0000:0004:}}{{TAG:0003:0003:}}Dein Haus sieht echt aus jedem
Blickwinkel fantastisch aus!{{TAG:0000:0004:}}{{TAG:0003:001B:}}Meins hat irgendwie nur eine
Schokoladenseite, {{TAG:0007:0000:0A000000}}nämlich vorne.{{TAG:0000:0004:}}Ich wette, ich wär ein viel größerer
Star, wenn mein Haus so rundherum
perfekt wäre wie deins!","{{TAG:0003:0025:}}Yürüyüşteyken evinin önünden hep
geçiyorum. {{TAG:0003:0003:}}Evin, yani, her açıdan iyi
görünüyor! {{TAG:0003:001B:}}Bunun ne kadar zor olduğunu
biliyor musun? Benim hem iyi hem kötü
açım olmasa daha büyük yıldız olurdum."
7,008,"{{TAG:0003:0001:}}Your house is, like, totally perfect
for parties! {{TAG:0003:001D:}}Super spacious, so
there's room for a dance floor too!
Ooh! {{TAG:0003:0005:}}Promise me if you ever throw
a dance party, you'll invite me!
Pinky swear, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}¡Tu casa es ideal para montar
fiestas! {{TAG:0003:001D:}}Hay espacio de sobra
para bailar.
{{TAG:0003:0005:}}¡Prométeme que si montas alguna
me invitarás!{{TAG:0007:0000:14000000}} Sabes que una fiesta
sin mí es un tostón total.","{{TAG:0003:0001:}}À chaque fois que je passe devant
chez toi, je me dis : « Bon, quand 
est-ce qu'{{TAG:000E:0006:040069006C00080065006C006C006500}} donne une soirée ? »
C'est pas la place qui manque,
sérieux ! {{TAG:0003:001D:}}Je m'occuperai de la sono
et de l'animation !!! Dis oui !
{{TAG:0003:0005:}}Par contre, y'a une condition,
{{TAG:0005:0008:}} : que tu m'invites !","{{TAG:0003:0001:}}Casa tua è perfetta per farci
le feste! {{TAG:0003:001D:}}È superspaziosa e ci si può
anche ballare, per quanto è grande!
Oooh! {{TAG:0003:0005:}}Promettimi che se mai
organizzerai una festa, mi inviterai!
Daaaaai, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Dein Haus ist echt die perfekte
Location für Partys, wusstest du
das eigentlich?
{{TAG:0003:001D:}}Du hast ja sogar ohne Ende Platz
für eine Tanzfläche! {{TAG:0007:0000:14000000}}Wuuhuu!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Versprich mir, mich einzuladen, falls
du mal eine Tanzparty schmeißen
solltest! {{TAG:0007:0000:14000000}}Ehrenwort, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Evin, yani, partiler için mükemmel!
{{TAG:0003:001D:}}Çok geniş; dans pisti bile sığar! Ooo!
{{TAG:0003:0005:}}Bir gün dans partisi verirsen beni
çağıracağına söz ver! Serçe parmak
sözü, {{TAG:0005:0008:}}!"
8,009,"{{TAG:0003:0001:}}Your house is, like, ginormous. {{TAG:0003:0002:}}I
bet you get lost in it all the time,
{{TAG:0005:0008:}}!
{{TAG:0003:0017:}}But for reals, has anyone ever got
lost in your house? {{TAG:0003:0009:}}There could be
folks in the walls, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0002:}}En serio, {{TAG:0005:0008:}}, ¿no te pierdes
en una casa tan requetegrande?{{TAG:0000:0004:}}{{TAG:0003:0020:}}¡Tranquil{{TAG:000E:0006:02006F0002006100}}, si algún día desapareces,
ya sé dónde ir a buscarte,
{{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Si j'avais une maison aussi grande
que la tienne,{{TAG:0007:0000:0A000000}} je passerais mon
temps à me perdre, je me connais !
{{TAG:0003:0002:}}Tu retrouves pas des gens perdus
dans les placards, des fois,
{{TAG:0005:0007:}} ?","{{TAG:0003:0001:}}La tua casa è, tipo, megagalattica.
{{TAG:0003:0002:}}Ti capita mai di perdertici
dentro, {{TAG:0005:0008:}}?!
{{TAG:0003:0017:}}Cioè, sul serio, si è mai perso
nessuno? {{TAG:0003:0009:}}Magari c'è il fantasma
di qualcuno, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Dein Haus ist echt megariesig!
{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Ich wette, du verläufst dich da
drinnen ständig, oder, {{TAG:0005:0008:}}?
{{TAG:0003:0017:}}Im Ernst, {{TAG:0007:0000:0A000000}}hat sich da drinnen
schon mal jemand verlaufen?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Vielleicht leben ja irgendwelche
Leute in den Wänden und du weißt
gar nichts davon, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Evin, yani, devasa! {{TAG:0003:0002:}}İçinde sürekli
kayboluyorsundur, {{TAG:0005:0008:}}! {{TAG:0003:0017:}}Cidden
ama, evinde hiçbiri kayboldu mu? {{TAG:0003:0009:}}Duvarların
arasında insanlar bile
olabilir, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:0010:}}Whoa! {{TAG:000E:0003:}}{{TAG:0011:0000:0000}} actually lives in
a tent. Not a house with, like, walls.
{{TAG:0003:0015:}}But an honest-to-goodness tent!
{{TAG:0003:002B:}}{{TAG:000E:0005:080048006500270073000A0053006800650027007300}} got a lot of chutzpah, I'll give
{{TAG:000E:0005:0600680069006D000600680065007200}} that. {{TAG:0003:0026:}}Maybe {{TAG:000E:0005:0400680065000600730068006500}} can give me a
lesson in bravery, {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Fíjate, {{TAG:0011:0000:0000}} sigue en esa
tienda.{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}Sin suelo, ni paredes...{{TAG:0007:0000:14000000}}
{{TAG:0003:0011:}}¡ni espejos, ni baño!
{{TAG:0003:000D:}}¿Cómo lo hará? ¡¿Cómo puede
alguien vivir sin saber si va bien
peinado, {{TAG:0005:0007:}}?!","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:0011:0000:0000}} habite dans une tente ?
Genre,{{TAG:0007:0000:05000000}} avec des murs en toile,
{{TAG:0005:0007:}} ?
{{TAG:0003:002B:}}{{TAG:000E:0008:00CD040049006C00080045006C006C00650002003000}} se fiche totalement de ce que
pensent les gens, on dirait{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} {{TAG:0003:0015:}}C'est
super culotté !
{{TAG:0003:001B:}}Je devrais peut-être lui demander
de me donner deux trois leçons de
courage, en fait...","{{TAG:0003:0010:}}Uau! {{TAG:000E:0003:}}{{TAG:0011:0000:0000}} vive in una tenda.
Sul serio! Senza muri! {{TAG:0003:0015:}}Proprio
una tenda-tenda!
{{TAG:0003:002B:}}Decisamente una roba da selvaggi!
{{TAG:0003:0026:}}Però, magari potrebbe darmi lezioni
di coraggio, {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Wow! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0011:0000:0000}} lebt in einem
Zelt! {{TAG:0007:0000:14000000}}Wusstest du das?{{TAG:0000:0004:}}Nicht in einem Haus mit Wänden
oder so... {{TAG:0007:0000:14000000}}Nein! {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Einem richtigen
Zelt! {{TAG:0007:0000:14000000}}Ist das nicht abgefahren?
{{TAG:0003:002B:}}{{TAG:000E:0005:0400450072000600530069006500}} hat echt Nerven, das muss
man {{TAG:000E:0005:0600690068006D000600690068007200}} lassen.{{TAG:0000:0004:}}{{TAG:0003:0026:}}Vielleicht kann {{TAG:000E:0005:0400650072000600730069006500}} mir ja Nachhilfe
in Sachen Mut geben, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Vay! {{TAG:000E:0003:}}{{TAG:0011:0000:0000}} gerçekten çadırda yaşıyor.
Duvarlı bir evde değil. {{TAG:0003:0015:}}Gerçek
bir çadırda! {{TAG:0003:002B:}}{{TAG:000E:0005:080048006500270073000A0053006800650027007300}} düşündüğümden cesurmuş{{TAG:000E:0005:0600680069006D000600680065007200}}. {{TAG:0003:0026:}}Belki {{TAG:000E:0005:0400680065000600730068006500}}
bana cesaret dersi verir, {{TAG:0005:0007:}}!"
