entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0006:}}Hey!{{TAG:0007:0000:14000000}} You totally forgot about
delivering that present to
{{TAG:0011:0001:0000}}, didn't you?
{{TAG:0003:0000:}}Well, it's not doing either of us any
good, so I'll take it back.","{{TAG:0003:0006:}}¡Oye!{{TAG:0007:0000:14000000}} Se te ha olvidado totalmente
darle aquel regalo a {{TAG:0011:0001:0000}},
¿a que sí?
{{TAG:0003:0000:}}Bueno, no tiene ningún sentido que
sigas cargando con el regalo,
así que devuélvemelo.","{{TAG:0003:0006:}}Hé !{{TAG:0007:0000:14000000}} Mais tu as oublié d'aller porter
le cadeau {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0000}} !
{{TAG:0003:0000:}}Zut. Bon. Rends-moi le paquet alors.","{{TAG:0003:0006:}}Ehi, tu!{{TAG:0007:0000:14000000}} Ti sei dimenticat{{TAG:000E:0006:02006F0002006100}} di portare
quel regalo {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}, vero?
{{TAG:0003:0000:}}Beh, allora me lo riprendo.","{{TAG:0003:0006:}}Hey!{{TAG:0007:0000:14000000}} Du hast total vergessen,
{{TAG:0011:0001:0000}} mein Geschenk zu
geben, stimmt's?
{{TAG:0003:0000:}}Dann gib's mir bitte zurück, ja?","{{TAG:0003:0006:}}Hey!{{TAG:0007:0000:14000000}} {{TAG:0011:0001:0000}} kişisine o hediyeyi
götürmeyi tamamen unuttun, değil mi?
{{TAG:0003:0000:}}Eh, ikimize de faydası yok böyle; geri
alayım bari."
1,002,"{{TAG:0003:0009:}}Hey, you never delivered that
present to {{TAG:0011:0001:0000}}, huh?{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}} Ugh,
just give it back then.","{{TAG:0003:0009:}}Oye, nunca llegaste a entregarle
el regalo a {{TAG:0011:0001:0000}}, ¿no?{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}¡Pues devuélvemelo de una vez!","{{TAG:0003:0009:}}Tu n'as pas été porter son cadeau à
{{TAG:0011:0001:0000}}, je me trompe ?{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}} Bon.
Rends-le-moi alors.","{{TAG:0003:0009:}}Ehi, alla fine non hai mai consegnato
quel regalo {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}, giusto?{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}Beh, ridammelo!","{{TAG:0003:0009:}}Sag mal, du hast {{TAG:0011:0001:0000}} mein
Geschenk nie gebracht, oder?{{TAG:0007:0000:28000000}}
{{TAG:0003:0006:}}Dann gib's mir bitte wieder!","{{TAG:0003:0009:}}Hey, {{TAG:0011:0001:0000}} kişisine o hediyeyi hiç
götürmedin, ha?{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}} Off, o zaman
geri ver gitsin."
2,003,"{{TAG:0003:0009:}}Hey,{{TAG:0007:0000:14000000}} you never returned that thing
I borrowed from {{TAG:0011:0001:0000}}!{{TAG:0000:0004:}}{{TAG:0003:000D:}}I guess if you want something done
right,{{TAG:0007:0000:08000000}} you gotta do it yourself.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}OK, give it back.","{{TAG:0003:0009:}}Oye,{{TAG:0007:0000:14000000}} ¡no le has devuelto a
{{TAG:0011:0001:0000}} eso que me
había prestado!
{{TAG:0003:000D:}}Supongo que para que las cosas
queden bien hechas,{{TAG:0007:0000:08000000}} tienes que
hacerlas tú mismo.{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}¡Devuélvemelo!","{{TAG:0003:0009:}}Hé !{{TAG:0007:0000:14000000}} Tu n'as pas apporté à
{{TAG:0011:0001:0000}} le paquet que je t'avais
confié !
{{TAG:0003:000D:}}On n'est jamais mieux servi que par
soi-même,{{TAG:0007:0000:08000000}} à ce que je vois.{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}OK,
alors je le reprends.","{{TAG:0003:0009:}}Ehi,{{TAG:0007:0000:14000000}} alla fine non hai mai riportato
{{TAG:000E:0010:}} {{TAG:0011:0001:0000}} l'oggetto che mi
aveva prestato!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Lo sapevo che dovevo dare retta
al vecchio proverbio...{{TAG:0007:0000:08000000}} Chi fa da sé,
fa per tre!{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}Ridammelo!","{{TAG:0003:0009:}}Hey,{{TAG:0007:0000:14000000}} du hast {{TAG:0011:0001:0000}} nie {{TAG:000E:0008:00CD0A007300650069006E006500080069006800720065000000}}
Sache zurückgegeben!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Auf niemanden kann man sich
mehr verlassen!{{TAG:0007:0000:28000000}} {{TAG:0003:0006:}}Gut, dann gib's mir
bitte wieder.","{{TAG:0003:0009:}}Hey,{{TAG:0007:0000:14000000}} {{TAG:0011:0001:0000}} kişisinden ödünç aldığım
şeyi hiç geri götürmedin!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Bir iş düzgün
olsun istiyorsan{{TAG:0007:0000:08000000}} kendin
yapacaksın demek.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}Tamam, geri ver."
3,004,"{{TAG:0003:0009:}}You never gave {{TAG:0011:0001:0000}} the thing
{{TAG:000E:0008:00CD040068006500060073006800650002003000}} left at my place?!{{TAG:0007:0001:}} {{TAG:0003:000A:}}Aw, man!{{TAG:0007:0000:08000000}} Just
give it back to me,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}¡No llegaste a darle a {{TAG:0011:0001:0000}}
eso que se dejó en mi casa!{{TAG:0007:0001:}} {{TAG:0003:000A:}}¡Pero
bueno!{{TAG:0007:0000:08000000}} Devuélvemelo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Tu n'es pas allé{{TAG:000E:0006:000002006500}} porter à
{{TAG:0011:0001:0000}} le truc qu'{{TAG:000E:0008:00CD040069006C00080065006C006C00650002003000}} avait
laissé chez moi !{{TAG:0000:0004:}}{{TAG:0003:000A:}}Ah... Décidément...!{{TAG:0007:0000:08000000}} Bon, rends-le-
moi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Non hai mai restituito {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}
la cosa che ha lasciato a casa mia!{{TAG:0007:0001:}}
{{TAG:0003:000A:}}Uffa!{{TAG:0007:0000:08000000}} Ridammela,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Du hast gar nicht mehr vor,
{{TAG:0011:0001:0000}} {{TAG:000E:0008:00CD0A007300650069006E006500080069006800720065000A007300650069006E006500}} Sache
zurückzubringen, oder?
{{TAG:0003:000A:}}Aha.{{TAG:0007:0000:14000000}} Dann gib sie mir bitte wieder.","{{TAG:0003:0009:}}{{TAG:0011:0001:0000}} kişisine, {{TAG:000E:0008:00CD040068006500060073006800650002003000}} kişisinin benim evde
bıraktığı şeyi vermedin mi?!{{TAG:0007:0001:}} {{TAG:0003:000A:}}Off
ya!{{TAG:0007:0000:08000000}} Geri ver bana,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
4,005,"{{TAG:0003:0009:}}So what happened to the package
that was meant for {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
Did you space on delivering it?
I'm just gonna go deliver it myself
then,{{TAG:0007:0000:14000000}} so give it back!","{{TAG:0003:0009:}}Oye, ¿qué pasó con el paquete que
tenías que darle a {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
¿Es que se te ha olvidado?
Creo que voy a tener que entregarlo
yo mismo,{{TAG:0007:0000:14000000}} ¡así que devuélvemelo!","{{TAG:0003:0009:}}Alors, qu'est-ce qui est arrivé au
paquet {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0000}} ?{{TAG:0007:0000:14000000}} Tu as oublié
d'aller lui porter, c'est ça ?
Bon, rends-le-moi, je vais le faire
moi-même alors{{TAG:0007:0000:14000000}} !","{{TAG:0003:0009:}}Allora, cos'è successo al pacco
che era destinato {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
Ti sei scordat{{TAG:000E:0006:02006F0002006100}} di portarglielo?
Beh, allora glielo porto io.{{TAG:0007:0000:14000000}}
Ridammelo!","{{TAG:0003:0009:}}Was ist eigentlich mit dem Paket
für {{TAG:0011:0001:0000}} passiert?{{TAG:0007:0000:14000000}} Hast du
das etwa vergessen?
Gib's mir bitte zurück.{{TAG:0007:0000:14000000}} Ich bring {{TAG:000E:0008:00CD0600690068006D0006006900680072000000}}
das selbst vorbei. ","{{TAG:0003:0009:}}{{TAG:0011:0001:0000}} kişisine gidecek pakete ne oldu?{{TAG:0007:0000:14000000}}
Teslim etmeyi mi unuttun?
Ben kendim götüreceğim artık,{{TAG:0007:0000:14000000}} geri ver!"
5,006,"{{TAG:0003:0009:}}Hey,{{TAG:0007:0000:14000000}} you haven't made that delivery
to {{TAG:0011:0001:0000}} yet.{{TAG:0000:0004:}}Well, I guess I'll have to do it
myself.{{TAG:0007:0000:08000000}} Please give it back,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Oye,{{TAG:0007:0000:14000000}} aún no le has entregado
eso a {{TAG:0011:0001:0000}}.{{TAG:0000:0004:}}Bueno, supongo que tendré que
hacerlo yo mismo.{{TAG:0007:0000:08000000}} Porfa,
devuélvemelo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Tu n'as pas encore apporté ce que
je t'ai donné à {{TAG:0011:0001:0000}}.{{TAG:0000:0004:}}Bon, donne.{{TAG:0007:0000:08000000}} Je vais aller lui amener
moi-même,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Ehi tu,{{TAG:0007:0000:14000000}} non hai ancora consegnato
quel pacco {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}, vero?{{TAG:0000:0004:}}Beh, allora mi toccherà fare
per conto mio.{{TAG:0007:0000:08000000}}
Ridammelo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Weißt du noch?{{TAG:0007:0000:14000000}} Die Lieferung an
{{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:0000:0004:}}Weißt du, das dauert mir zu lange.{{TAG:0007:0000:14000000}}
Bitte gib's mir wieder, ich bring es
{{TAG:000E:0008:00CD0600690068006D0006006900680072000000}} selbst.","{{TAG:0003:0009:}}Hey,{{TAG:0007:0000:14000000}} {{TAG:0011:0001:0000}} kişisine teslimatı hâlâ
yapmamışsın.{{TAG:0000:0004:}}Eh, kendim yapmak zorunda
kalacağım.{{TAG:0007:0000:08000000}} Lütfen geri ver,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}."
6,007,"{{TAG:0003:0009:}}Guess I'll just have to deliver this
myself later,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Supongo que tendré que ir
a llevarle esto yo mismo
más tarde,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Je n'ai plus qu'à aller lui porter plus
tard moi-même,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Glielo consegnerò io più tardi,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Dann muss ich das wohl selbst
machen,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Bu hediyeyi kendim vermem daha
doğru. Biraz hareket etmiş
olurum zaten.{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}"
7,008,"Since I'm the one apologizing,{{TAG:0007:0000:08000000}}
I should be the one to deliver
this present.","Dado que soy yo quien tiene que
pedir disculpas,{{TAG:0007:0000:08000000}} también tendré
que ser yo el que lleve este regalo.","Comme c'est moi qui dois 
m'excuser,{{TAG:0007:0000:08000000}} autant que j'aille 
moi-même lui apporter ce cadeau.","Del resto, visto che sono io
a scusarmi,{{TAG:0007:0000:08000000}} è giusto che sia io
a portare il regalo.","Wahrscheinlich ist es sowieso
besser, wenn ich mich selbst bei
{{TAG:0011:0001:0000}} entschuldige.","Özrümü kendim iletmem daha {{TAG:0007:0000:08000000}}
doğru. Biraz hareket etmiş
olurum zaten."
8,009,"{{TAG:0003:0001:}}I did borrow it,{{TAG:0007:0000:14000000}} so I guess I should
be the one to return it.  ","{{TAG:0003:0001:}}Como me lo prestaron a mí,{{TAG:0007:0000:14000000}}
supongo que tendré que ser
yo quien lo devuelva.","{{TAG:0003:0001:}}Bah, c'est moi qui l'ai emprunté,{{TAG:0007:0000:14000000}}
alors c'est à moi de le lui rendre.","{{TAG:0003:0001:}}Del resto, l'avevo preso in prestito
io,{{TAG:0007:0000:14000000}} quindi dovrei essere io a
restituirlo.","{{TAG:0003:0001:}}Vielleicht ist es gar nicht so
schlecht, wenn ich es selbst
zurückbringe.
Schließlich hab ich es ja
ausgeliehen!","{{TAG:0003:0001:}}Ödünç alan bendim; {{TAG:0007:0000:14000000}}geri vermek
de bana düşer. Biraz hareket
etmiş olurum zaten."
9,010,I'll just deliver it myself.,Tendré que llevarlo yo mismo.,J'irai le porter moi-même.,Faccio io la consegna.,"Ich geh dann nachher selbst zu
{{TAG:0011:0001:0000}}.","Sahibi eşyasını merak
ediyordur; ben götüreyim. Biraz
hareket etmiş olurum zaten."
