entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} my birthday is on{{TAG:0007:0000:10000000}}
{{TAG:0000:0003:0200}}{{TAG:0004:000E:00CD}}{{TAG:0000:0003:FFFF}} {{TAG:0000:0003:0200}}{{TAG:0004:000F:00CD}}{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}I wanted you to know,{{TAG:0007:0000:10000000}} but I couldn't
think of any other way to tell you{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
Sorry about that.","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} mi cumple es el {{TAG:0004:000F:00CD}}{{TAG:0007:0000:10000000}}
de {{TAG:0004:000E:00CD}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Apúntatelo bien en tu agenda.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Con mayúsculas, en negrita y
al lado de la palabra ""Regalo"".","{{TAG:0003:0025:}}Tu sais quoi, {{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} je suis né
le{{TAG:0007:0000:10000000}} {{TAG:0004:000F:00CD}} {{TAG:0004:000E:00CD}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}. {{TAG:0007:0000:0F000000}}{{TAG:0003:001B:}}Oh,{{TAG:0007:0000:08000000}}
me remercie pas, va, {{TAG:0007:0000:08000000}}c'est naturel.
{{TAG:0003:0024:}}Ben oui, {{TAG:0007:0000:0F000000}}c'est important pour un
admirateur de connaître la date de
naissance de son idole, pas vrai ?","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} il mio compleanno
è il giorno{{TAG:0007:0000:10000000}}{{TAG:0000:0003:0200}} {{TAG:0004:000F:00CD}} {{TAG:0004:000E:00CD}}{{TAG:0000:0003:FFFF}},
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Non volevo dirtelo così,{{TAG:0007:0000:10000000}} ma non
sapevo come fare{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Scusa.","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}} mein Geburtstag ist
der {{TAG:0004:000F:00CD}} {{TAG:0004:000E:00CD}}, {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ich wollte nur sichergehen, dass du
das weißt...","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} doğum günüm{{TAG:0007:0000:10000000}} {{TAG:0000:0003:0200}}{{TAG:0004:000E:00CD}}{{TAG:0000:0003:FFFF}} {{TAG:0000:0003:0200}}{{TAG:0004:000F:00CD}}{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Bilmeni istiyordum,{{TAG:0007:0000:10000000}} ama başka
nasıl söyleyeceğimi bulamadım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
Kusura bakma."
1,002,"Now that I think of it,{{TAG:0007:0000:10000000}} your star sign
is {{TAG:0005:000B:}}, right?{{TAG:0000:0004:}}{{TAG:0003:0025:}}I was born on {{TAG:0007:0000:10000000}}{{TAG:0000:0003:0200}}{{TAG:0004:000E:00CD}}{{TAG:0000:0003:FFFF}} {{TAG:0000:0003:0200}}{{TAG:0004:000F:00CD}}{{TAG:0000:0003:FFFF}},
so my sign is {{TAG:0005:000C:}}!{{TAG:0000:0004:}}{{TAG:0003:000B:}}If I'm right,{{TAG:0007:0000:10000000}} the compatibility of
{{TAG:0005:000B:}} with {{TAG:0005:000C:}} is{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Actually, no.{{TAG:0007:0000:10000000}} Forget about all that.
{{TAG:0003:0000:}}Horoscopes and stuff like that are
totally bunk for friends like us!
{{TAG:0003:0023:}}I'm right, aren't I,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?
{{TAG:0003:0025:}}Of course I am! {{TAG:0003:0003:}}Best friends{{TAG:0007:0000:10000000}}
{{TAG:0003:001F:}}FOREVAAAAAH!","Ahora que lo pienso,{{TAG:0007:0000:10000000}} tú eras
{{TAG:0005:000B:}}, ¿no?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Yo nací el {{TAG:0004:000F:00CD}}{{TAG:0007:0000:10000000}} de {{TAG:0004:000E:00CD}},
y soy {{TAG:0005:000C:}}.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Si no me equivoco,{{TAG:0007:0000:10000000}} l{{TAG:000E:0006:02006F0002006100}}s
{{TAG:0005:000B:}} y los
{{TAG:0005:000C:}} se llevan{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0009:}}Bah, olvídalo.{{TAG:0007:0000:10000000}} {{TAG:0003:0000:}}¡Los astros no pueden
influir en nuestra amistad!{{TAG:0007:0001:}}
{{TAG:0003:0023:}}¿A que no,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?","Tiens,{{TAG:0007:0000:10000000}} il me semble que tu es
{{TAG:0005:000B:}}, pas vrai ?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Comme je suis né le {{TAG:0007:0000:10000000}}{{TAG:0004:000F:00CD}} {{TAG:0004:000E:00CD}},
je suis {{TAG:0005:000C:}} !{{TAG:0000:0004:}}{{TAG:0003:000B:}}Je crois savoir que la compatibilité
entre nos deux signes est de{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:001B:}}Oh puis non,{{TAG:0007:0000:0F000000}} oublie ça !{{TAG:0007:0000:0F000000}} Inutile
d'interroger les étoiles pour
comprendre notre relation.
{{TAG:0003:0021:}}Chuis ton idole {{TAG:0007:0000:08000000}}et tu m'aimes,{{TAG:0007:0000:0F000000}} point.{{TAG:0007:0000:1E000000}}
{{TAG:0003:0024:}}J'ai pas raison, {{TAG:0005:0008:}} ?","Ora che ci penso,{{TAG:0007:0000:10000000}} tu sei del segno
{{TAG:000E:0002:}}{{TAG:000E:0003:}}{{TAG:0005:000B:}}, giusto?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Io sono nato il giorno {{TAG:0007:0000:10000000}}{{TAG:0000:0003:0200}}{{TAG:0004:000F:00CD}} {{TAG:0004:000E:00CD}}{{TAG:0000:0003:FFFF}}
e sono del segno {{TAG:000E:0002:}}{{TAG:000E:0003:}}{{TAG:0005:000C:}}!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Se non sbaglio,{{TAG:0007:0000:10000000}} la compatibilità
tra {{TAG:000E:0003:}}{{TAG:0005:000B:}} e {{TAG:000E:0003:}}{{TAG:0005:000C:}} è{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}No, lascia stare.{{TAG:0007:0000:10000000}} Non importa!
{{TAG:0003:0000:}}Gli oroscopi non servono agli amici
come noi!{{TAG:0007:0001:}} {{TAG:0003:0023:}}Dico bene,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?","Dein Sternzeichen ist doch
{{TAG:0005:000B:}}, oder?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ich bin am {{TAG:0004:000F:00CD}} {{TAG:0004:000E:00CD}} geboren,
also bin ich {{TAG:0005:000C:}}!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Ob {{TAG:0005:000B:}} und
{{TAG:0005:000C:}} eine gute
Kombination ist?
{{TAG:0003:0009:}}Wobei...{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Freunde wie wir brauchen
so was wie Horoskope gar nicht!{{TAG:0007:0000:14000000}}
{{TAG:0003:0023:}}Hab ich recht, {{TAG:0005:0008:}}?","Şimdi düşününce,{{TAG:0007:0000:10000000}} senin burcun {{TAG:0005:000B:}},
değil mi?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ben {{TAG:0007:0000:10000000}}{{TAG:0000:0003:0200}}{{TAG:0004:000E:00CD}}{{TAG:0000:0003:FFFF}} {{TAG:0000:0003:0200}}{{TAG:0004:000F:00CD}}{{TAG:0000:0003:FFFF}} doğdum, yani
burcum {{TAG:0005:000C:}}!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Yanılmıyorsam,{{TAG:0007:0000:10000000}}
{{TAG:0005:000B:}} ile {{TAG:0005:000C:}} uyumu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Aslında
boş ver.{{TAG:0007:0000:10000000}} Bunların hepsini unut. {{TAG:0003:0000:}}Bizim
gibi dostlar için burçlar murçlar
tamamen hikâye! {{TAG:0003:0023:}}Haklıyım, değil
mi,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}? {{TAG:0003:0025:}}Tabii ki haklıyım!{{TAG:0003:0003:}} Sonsuza
dek{{TAG:0007:0000:10000000}} {{TAG:0003:001F:}}EN İYİ DOSTLAR!"
2,003,,,,,,
3,004,"{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}my {{TAG:0000:0003:0200}}favorite phrase{{TAG:0000:0003:FFFF}} is{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}te voy a decir
cuál es mi lema{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0006:}}Tu sais quoi, {{TAG:0005:0008:}} ? {{TAG:0007:0000:10000000}}Mon
expression favorite est{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}la mia {{TAG:0000:0003:0200}}massima{{TAG:0000:0003:FFFF}}
preferita è{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:0A000000}}mein Lieblingsspruch
ist...","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}benim {{TAG:0000:0003:0200}}favori sözüm{{TAG:0000:0003:FFFF}} şu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
4,005,"{{TAG:0003:0025:}}Yup, that's my personal motto,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0006:}}I'm spending my days {{TAG:0003:002C:}}in {{TAG:0005:0005:}}
with that phrase in my heart!","{{TAG:0003:0025:}}Como lo oyes,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0006:}}Tiene un ""nosequé"" que qué sé yo.{{TAG:0003:002C:}}
¡Lo tengo en la cabeza siempre
que paseo por {{TAG:000E:0003:}}{{TAG:0005:0005:}}!","{{TAG:0003:0025:}}Ouais, note-la bien si tu veux
devenir aussi cool que moi.{{TAG:0000:0004:}}Avec cette expression, c'est la
classitude assurée,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}},
crois-moi !","{{TAG:0003:0025:}}Sì, proprio così,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0006:}}Non c'è giorno che io passi
{{TAG:000E:0010:}} {{TAG:0005:0005:}} senza usare
questa {{TAG:0000:0003:0200}}massima {{TAG:0000:0003:FFFF}}tostissima!","{{TAG:0003:0006:}}Diesen Spruch trage ich immer in
meinem Herzen, {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Evet, kişisel mottom bu,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0006:}}Her
günümü {{TAG:0003:002C:}}{{TAG:0005:0005:}} içinde bu sözü kalbimde
taşıyarak geçiriyorum!"
5,006,"{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} there's something I'd
like to share with you{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} tengo que contarte
un secreto. Se trata de mi lema{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0006:}}J'ai un scoop pour toi, {{TAG:0005:0008:}} :{{TAG:0007:0000:0F000000}}
le secret de ma réussite, ni plus ni
moins ! Prêt{{TAG:000E:0006:000002006500}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} ecco a te la {{TAG:0000:0003:0200}}massima{{TAG:0000:0003:FFFF}}
di vita di uno che ha avuto
il massimo dalla vita{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}} ich würde dir gern
etwas mit auf den Weg geben...","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} seninle paylaşmak istediğim
bir şey var{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
6,007,"{{TAG:0003:0025:}}That's my most {{TAG:0000:0003:0200}}favorite phrase{{TAG:0000:0003:FFFF}}
ever!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¿A que es megafantabuloso,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Eh ouais ! C'est mon expression
favorite, figure-toi !{{TAG:0000:0004:}}{{TAG:0003:0021:}}C'est elle qui m'a ouvert les portes
des plus grands plateaux de télé,
{{TAG:0005:0007:}} !","{{TAG:0003:0025:}}... la mia {{TAG:0000:0003:0200}}massima {{TAG:0000:0003:FFFF}}preferita!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Das ist mein absoluter
Lieblingsspruch, {{TAG:0005:0007:}}!",{{TAG:0003:0025:}}Bu benim en ama en {{TAG:0000:0003:0200}}sevdiğim söz{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!
7,008,,,,,,
8,009,,,,,,
9,010,"{{TAG:0003:0001:}}Um, you may already know this,{{TAG:0007:0000:10000000}} but
{{TAG:0000:0003:0200}}{{TAG:0012:0018:00CD}}{{TAG:0000:0003:FFFF}} is my special
skill,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
{{TAG:0003:0024:}}It's no exaggeration to say that 80
percent of {{TAG:0005:0001:}} is made up
of {{TAG:0000:0003:0200}}{{TAG:0012:0018:00CD}}{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:10000000}}","{{TAG:0003:0001:}}¿Sabías que{{TAG:0007:0000:10000000}} {{TAG:0012:0018:00CD}}
se me da de miedo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:0000:0004:}}{{TAG:0003:0024:}}En serio, ¡hasta hay un
""Premio {{TAG:0005:0001:}} de
{{TAG:0012:0018:00CD}}"" y todo!{{TAG:0007:0000:10000000}}","{{TAG:0003:0001:}}Comme tu le sais, {{TAG:0005:0008:}},{{TAG:0007:0000:10000000}}
mon truc à moi, c'est
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0012:0018:00CD}}.
{{TAG:0003:0015:}}Ça représente à peu près 99,99 %
de ma vie, {{TAG:0007:0000:1E000000}}sans exagérer !","{{TAG:0003:0001:}}Mh, forse già lo sai,{{TAG:0007:0000:10000000}}
ma {{TAG:0000:0003:0200}}{{TAG:0012:0018:00CD}}{{TAG:0000:0003:FFFF}}
è la mia specialità,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
{{TAG:0003:0024:}}Non esagero se dico che
{{TAG:0000:0003:0200}}{{TAG:0012:0018:00CD}}{{TAG:0000:0003:FFFF}} è davvero
importante para mí!","{{TAG:0003:0001:}}Ich weiß nicht, ob du das wusstest,{{TAG:0007:0000:0A000000}}
aber {{TAG:0012:0018:00CD}} kann ich
wie kein Zweiter.
{{TAG:0003:0021:}}Das ist so was wie mein zweites
Standbein neben meinem Leben
als Trendsetter!","{{TAG:0003:0001:}}Şey, bunu zaten biliyor olabilirsin
ama{{TAG:0007:0000:10000000}} {{TAG:0000:0003:0200}}{{TAG:0012:0018:00CD}}{{TAG:0000:0003:FFFF}} benim özel yeteneğim,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}. {{TAG:0003:0024:}}{{TAG:0005:0001:}} denen şeyin yüzde
80'inin {{TAG:0000:0003:0200}}{{TAG:0012:0018:00CD}}{{TAG:0000:0003:FFFF}}den oluştuğunu söylesem
abartmış olmam!{{TAG:0007:0000:10000000}}"
