index,label,English,French,German,Italian,Spanish,Turkish
0,Song_00,♪Lah lah lah lah lah lah,♪ La-la la-la-la-laaa...,♪La-la La-la la Laaa,♪La-la la-la la-laaa...,"♪La, la, la, la, la, laaa...",♪La la la la la la
1,Song_01,♪Lah lah lah lah lah lah,♪ La-la la-la-la-laaa...,♪La-la La-la la Laaa,♪La-la la-la la-laaa...,"♪La, la, la, la, la, laaa...",♪La la la la la la
2,Song_02_Mii,"♪Lah lah lah lah, dear {TAG_1}","♪ La-la la-la-la-la, {TAG_1}...","♪La-la La-laaa la-la, {TAG_1}","♪La-la-laaa-la la la, 
{TAG_1}...","♪La, la, la, la, la, la, {TAG_1}...","♪La la la la, sevgili {TAG_1}"
3,Song_03,♪Lah lah lah lah lah lah,♪ La-la la-la-la-laaa !,♪La-la La-la la Laaa,♪La-la la-la la-laaa!,"♪La, la, la, la, la, laaa.",♪La la la la la la
4,Song_02_Player,"♪Lah lah lah lah, 
{TAG_1}'s lookalike!","♪ La-la la-la la-la, 
sosie d{TAG_1}{TAG_2} !","♪La-la La-laaa la-la,
 {TAG_1}-Ebenbild","♪La-la la-la, sosia di {TAG_1}!","♪La, la, la, la, doble de {TAG_1}...","♪La la la la, {TAG_1} benzeri!"
5,Pre_01,"Move the system (or use )
to look around!","Déplacez la console ou utilisez
le pad circulaire  pour regarder
autour de vous.","Bewege das System oder verwende
das  (Schiebepad),
um dich umzusehen.","Inclina la console o usa
 per guardarti intorno!","¡Mueve la consola o utiliza 
para mirar alrededor!","Etrafına bakmak için sistemi
hareket ettir (veya  kullan)!"
6,Present_00,"Happy birthday, {TAG_1} lookalike!","Joyeux anniversaire, sosie{TAG_1} !","Alles Gute zum Geburtstag,
Ebenbild von {TAG_1}!","Auguri di buon compleanno,
sosia{TAG_1}!","¡Feliz cumpleaños, doble{TAG_1}!","Doğum günün kutlu olsun, {TAG_1} benzeri!"
7,Present_01,Here's a present from all of us!,Voici un cadeau de la part de tous les habitants !,Das ist ein Geschenk von uns für dich.,Questo è un regalo da parte nostra!,¡Toma este regalo de parte de todos!,Bu hepimizden sana bir hediye!
8,Present_02,You got {TAG_1} {TAG_2}{TAG_3}{TAG_4}.,Vous avez reçu {TAG_1}{TAG_2}{TAG_3}{TAG_4}.,Du erhältst {TAG_1}{TAG_2} {TAG_3}{TAG_4}.,Hai ricevuto {TAG_1}{TAG_2}{TAG_3}{TAG_4}.,Has recibido {TAG_1} {TAG_2}{TAG_3}{TAG_4}.,{TAG_1} {TAG_2}{TAG_3}{TAG_4} aldın.
9,Congratulations_00,Congrats!,Bon anniversaire !,Glückwunsch!,Auguri!,¡Felicidades!,Tebrikler!
10,Congratulations_01,Congratulations!,Joyeux anniversaire !,Alles Gute!,Tanti auguri!,¡Muchas felicidades!,Tebrikler!
11,Congratulations_02,Happy birthday! {TAG_1}{TAG_2}!,C'est votre anniversaire ! {TAG_1}{TAG_2} !,Es ist dein Geburtstag! {TAG_1}{TAG_2}!,"Buon compleanno!
{TAG_1}!",¡Feliz cumpleaños! ¡{TAG_1}{TAG_2}!,Doğum günün kutlu olsun! {TAG_1}{TAG_2}!
