label,index,deu,eng,esp,fra,ita,nld,tur
homeKoziin_first_00_M,0,Musashi! Hallo! Die Kinder aus deinem\nDorf haben dich sehnsüchtig erwartet!,Musashi! Welcome! All the children from\nyour village have been waiting for you!,"¡Qué alegría que hayas venido, Musashi!\nLos niños de tu pueblo te están esperando.","Musashi, te voilà ! Bienvenue dans\nle nouvel orphelinat !","Musashi, benvenuto! I bambini del tuo\nvillaggio ti stavano tutti aspettando!",Musashi! Wat fijn dat je er bent! De kinderen\nuit je dorp waren al op je aan het wachten!,Musashi! Hoş geldin! Köyündeki bütün çocuklar\nseni bekliyordu!
homeKoziin_first_00_F,1,,,,,"Musashi, benvenuta! I bambini del tuo\nvillaggio ti stavano tutti aspettando!",,
homeKoziin_first_01_M,2,Ernsthaft? Die Dorfkinder sind hier?\nAllesamt?,Are you serious? All the kids from\nmy village are here?,¿Eh? ¿Están todos aquí?,L'orphelinat ? Celui de mon village natal ?\nVraiment ?! Et les petits ? Ils sont tous là ?,Davvero?! I bambini del villaggio\nsono tutti qui?,Echt waar?! Zijn alle kinderen uit mijn dorp\nnu hier?,Ciddi misin? Köyümdeki tüm çocuklar\nburada mı?
homeKoziin_first_01_F,3,,,,,,,
homeKoziin_first_02_M,4,"Ja, wirklich alle!\nUnd wir sind froh, dich zu sehen!","Yes, every single one of them!\nI'm so glad to see you!","¡Sí, no falta ni uno! Tenía muchas ganas\nde verte, ¿sabes?",Oui ! Ils attendaient ta venue !,"Sì, sono tutti qui insieme. Sono così felice\ndi vederti!","Ja, iedereen is er! Ik ben echt blij je te zien!","Evet, hepsi burada!\nSeni gördüğüme çok sevindim!"
homeKoziin_first_02_F,5,,,,,,,
homeKoziin_first_03_M,6,"Hallo, Musashiii!",Us too!,¡Y nosotros!,Musashi ! Musashi ! T'es là !,Anche noi! Bentornato a casa!,Wij ook!,Biz de!
homeKoziin_first_03_F,7,,Us too!,,,Anche noi! Bentornata a casa!,,Biz de!
homeKoziin_first_04_M,8,"Hallo, Leute! Ich freu mich auch\ntotal, euch alle zu sehen!",I'm happy to see you all too!,¡Cuánto me alegro de veros!,Ouaaah ! Salut ! Désolé de ne pas\navoir pu venir vous voir avant !,È bello vedervi! Scusate se non sono\ntornato prima!,Ik ben ook blij om jullie allemaal te zien!,Hepinizi görmek beni de mutlu etti!
homeKoziin_first_04_F,9,,,,Ouaaah ! Salut ! Désolée de ne pas\navoir pu venir vous voir avant !,È bello vedervi! Scusate se non sono\ntornata prima!,,
