entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0005:}}I'm ready for the {{TAG:0000:0003:0200}}Fishing Tourney{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}}
I just read two books about fishing,{{TAG:0007:0000:08000000}}
so I can't possibly{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0002:}}flounder!{{TAG:0007:0000:3C000000}}{{TAG:0003:0000:}}","{{TAG:0003:0005:}}¡Estoy más que lista para el Torneo
de Pesca!{{TAG:0007:0000:14000000}} ¡Me he leído dos libros
sobre pesca, {{TAG:0007:0000:0A000000}}{{TAG:0003:0002:}}así que picarán seguro!","{{TAG:0003:0005:}}Tournoi de pêche, me voilà ! J'ai lu
tout ce qui a été écrit sur le sujet.{{TAG:0000:0004:}}Alors une chose est sûre : ce n'est
pas par manque de préparation que
je{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} pécherai, hi hi !","{{TAG:0003:0005:}}Sono pronta per il torneo di pesca!{{TAG:0007:0000:14000000}}
Con tutti i manuali che ho letto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0002:}}non farò certo un buco nell'acqua!{{TAG:0007:0000:3C000000}}{{TAG:0003:0000:}}","{{TAG:0003:0005:}}Das {{TAG:0000:0003:0200}}Angelturnier{{TAG:0000:0003:FFFF}} kann beginnen!{{TAG:0007:0000:1E000000}}
Ich habe zu Hause noch ein paar
Fischarten recherchiert.
Ich bin gut vorbereitet und hoffe,
die Regeln sind hier nicht zu... {{TAG:0003:0002:}}lachs!
{{TAG:0007:0000:0A000000}}Hihihi, kleiner Scherz.","{{TAG:0003:0005:}}{{TAG:0000:0003:0200}}Balık Turnuvası{{TAG:0000:0003:FFFF}} için hazırım!{{TAG:0007:0000:14000000}}
Balıkçılık hakkında iki kitap okudum,{{TAG:0007:0000:08000000}}
yani artık kesinlikle{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0002:}}çuvallamam!{{TAG:0007:0000:3C000000}}{{TAG:0003:0000:}}"
1,002,"{{TAG:0003:0005:}}It's finally time for the {{TAG:0000:0003:0200}}Fishing
Tourney{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}} I'm hoping to catch some
of the more tasty species.","{{TAG:0003:0005:}}¡Por fin ha llegado el día del
Torneo de Pesca! {{TAG:0007:0000:14000000}}¡Ojalá piquen
las especies más deliciosas!","{{TAG:0003:0005:}}Ah, le tournoi de pêche, enfin ! Ma
poêle à frire ne va pas chômer, ce
soir !","{{TAG:0003:0005:}}Il torneo di pesca sta per iniziare!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Catturerò pesci in gran quantità e li
trasformerò in una cena deliziosa!","{{TAG:0003:0005:}}Endlich ist das {{TAG:0000:0003:0200}}Angelturnier{{TAG:0000:0003:FFFF}}
gekommen!{{TAG:0007:0000:1E000000}} Ich kann es kaum
erwarten, den Haken auszuwerfen.
{{TAG:0003:0025:}}Hoffentlich beißen heute ein
paar besonders leckere Exemplare
bei mir an.","{{TAG:0003:0005:}}Sonunda {{TAG:0000:0003:0200}}Balık Turnuvası{{TAG:0000:0003:FFFF}} zamanı!{{TAG:0007:0000:14000000}} Lezzetli
türlerden birkaç tane yakalasam
hiç fena olmaz."
2,003,"{{TAG:0003:0001:}}Win or lose,{{TAG:0007:0000:08000000}} I'm really excited for
the {{TAG:0000:0003:0200}}Fishing Tourney{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0001:}}Tengo muchas ganas de participar
en el Torneo de Pesca. {{TAG:0003:0005:}}{{TAG:0007:0000:14000000}}¡Seguro que
nos lo pasaremos en grande!","{{TAG:0003:0001:}}Peu importe que je remporte le
tournoi de pêche ou non :{{TAG:0007:0000:14000000}} l'essentiel,
c'est de participer !","{{TAG:0003:0001:}}Forse non sono una pescatrice
provetta{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:0A000000}}{{TAG:0003:0005:}} ma oggi darò del filo
da torcere a tutti!","{{TAG:0003:0001:}}Dabei sein ist alles bei diesem
{{TAG:0000:0003:0200}}Angelturnier{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:14000000}} Natürlich hätte ich
auch nichts dagegen, zu gewinnen!","{{TAG:0003:0001:}}Kazansam da kaybetsem de,{{TAG:0007:0000:08000000}} {{TAG:0000:0003:0200}}Balık
Turnuvası{{TAG:0000:0003:FFFF}} için gerçekten heyecanlıyım!"
3,004,"{{TAG:0003:0001:}}Isn't this great weather for the
{{TAG:0000:0003:0200}}Fishing Tourney{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:14000000}} I bet we'll reel in
some whoppers today!","{{TAG:0003:0001:}}Hace un día fantástico para el
Torneo de Pesca, {{TAG:0007:0000:0A000000}}¿verdad?{{TAG:0000:0004:}}¡Seguro que picarán unos peces
bien gordos!","{{TAG:0003:0001:}}C'est un temps idéal pour un tournoi
de pêche !{{TAG:0007:0000:14000000}} Pas de menu fretin pour
moi,{{TAG:0007:0000:08000000}} mais un festin au menu !","{{TAG:0003:0001:}}Non poteva esserci giornata
migliore per il torneo di pesca.{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Ci saranno pesci a profusione!","{{TAG:0003:0001:}}Das Wetter ist doch ideal zum
Angeln.{{TAG:0007:0000:1E000000}} Vielleicht fangen wir ja
einen tollen Hecht!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Balık Turnuvası{{TAG:0000:0003:FFFF}} için harika bir hava
değil mi?{{TAG:0007:0000:14000000}} Bugün iri balıklar çıkar
gibi geliyor!"
4,005,,,,,,
5,006,"{{TAG:0003:0026:}}The {{TAG:0000:0003:0200}}Fishing Tourney {{TAG:0000:0003:FFFF}}has begun!{{TAG:0007:0000:14000000}} I'll
be battling the fishies all day long.","{{TAG:0003:0026:}}¡Ha comenzado el Torneo de Pesca!
{{TAG:0007:0000:14000000}}¡Pienso pasarme el día entero
capturando peces!","{{TAG:0003:0026:}}Ça y est, le tournoi de pêche a
commencé ! {{TAG:0007:0000:14000000}}Tremblez, poissons,
j'entre en piste !","{{TAG:0003:0026:}}Il torneo di pesca è iniziato!{{TAG:0007:0000:14000000}}
Sarà una lunga lotta fra me{{TAG:0007:0000:05000000}}
e i pesciolini quest'oggi.","{{TAG:0003:0026:}}Das {{TAG:0000:0003:0200}}Angelturnier {{TAG:0000:0003:FFFF}}hat begonnen!{{TAG:0007:0000:14000000}}
Die Fische gegen mich...{{TAG:0007:0000:1E000000}} Mal sehen,
wer am Ende gewinnt!","{{TAG:0003:0026:}}{{TAG:0000:0003:0200}}Balık Turnuvası {{TAG:0000:0003:FFFF}}başladı!{{TAG:0007:0000:14000000}} Bütün gün
balıklarla mücadele edeceğim."
6,007,"{{TAG:0003:0001:}}The {{TAG:0000:0003:0200}}Fishing Tourney {{TAG:0000:0003:FFFF}}has only just
begun,{{TAG:0007:0000:08000000}} but I'm feeling good about
my chances!","{{TAG:0003:0001:}}Aunque el torneo acaba de empezar,
{{TAG:0007:0000:0A000000}}presiento que voy a quedar en una
buena posición, {{TAG:0007:0000:0A000000}}je, {{TAG:0007:0000:0A000000}}je.","{{TAG:0003:0001:}}Nous n'en sommes qu'au début du
tournoi de pêche,{{TAG:0007:0000:08000000}} mais je sens que
ça va mordre !","{{TAG:0003:0001:}}Il torneo di pesca è ancora nella sua
prima fase,{{TAG:0007:0000:08000000}} ma non per questo ho
intenzione di abbassare la guardia.","{{TAG:0003:0001:}}Das {{TAG:0000:0003:0200}}Angelturnier {{TAG:0000:0003:FFFF}}hat gerade
erst begonnen...{{TAG:0007:0000:14000000}} Noch bin ich
optimistisch!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Balık Turnuvası {{TAG:0000:0003:FFFF}}daha yeni başladı,{{TAG:0007:0000:08000000}}
ama şansım konusunda içim rahat!"
7,008,"I've got my eyes on the prize today.{{TAG:0007:0000:28000000}}
{{TAG:0003:0015:}}It's important to remain calm as you
wait for a fish to nibble.
But if you're{{TAG:0003:0028:}} too cautious,{{TAG:0007:0000:08000000}} the fish
will escape with your bait.{{TAG:0007:0001:}}{{TAG:0003:0000:}} It's a
delicate balance.","Me gustaría llevarme el premio hoy.{{TAG:0007:0000:28000000}}
{{TAG:0003:0015:}}Es importante ser paciente y saber
esperar el momento oportuno.
Pero si esperas demasiado,{{TAG:0003:0028:}} tu pez
se irá con el cebo.{{TAG:0007:0001:}}{{TAG:0003:0001:}} Todo es cuestión
de equilibrio.","Je vise le premier prix aujourd'hui.{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}La clé du succès, c'est la patience...{{TAG:0007:0000:14000000}}
Rester calme même quand ça mord.
{{TAG:0003:0028:}}Sans être trop prudent pour autant,
ou la proie file avec l'hameçon !{{TAG:0007:0001:}}{{TAG:0003:0000:}} Il
faut trouver le juste milieu...","Per una vittoria sicura{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0015:}}è fondamentale mantenere la calma
e attendere che il pesce abbocchi.
Tuttavia, {{TAG:0003:0028:}}se agisci con eccessiva
cautela,{{TAG:0007:0000:08000000}} il pesce fuggirà con l'esca.{{TAG:0007:0001:}}
{{TAG:0003:0000:}}Devi trovare il giusto equilibrio.","Ich bin hochkonzentriert!{{TAG:0007:0000:28000000}}
{{TAG:0003:0015:}}Man muss Geduld haben, wenn ein
Fischlein am Köder knabbert...
{{TAG:0003:0028:}}Aber wartet man zu lange, macht es
sich mit dem Köder davon.{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} So bleibt
das Angeln immer spannend!","Bugün gözüm ödülde.{{TAG:0007:0000:28000000}}
{{TAG:0003:0015:}}Balığın yemi ısırmasını beklerken sakin
olmak önemli.
Ama{{TAG:0003:0028:}} fazla temkinli olursan{{TAG:0007:0000:08000000}} balık yemi
kapıp kaçar.{{TAG:0007:0001:}}{{TAG:0003:0000:}} İnce bir denge."
8,009,"{{TAG:0003:000D:}}I wish I'd studied more before this
{{TAG:0000:0003:0200}}Fishing Tourney{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:28000000}} I can't remember
where the best picnic spot is!","{{TAG:0003:000D:}}¡Tendría que haber practicado más!
{{TAG:0003:0009:}}No sé muy bien cuándo tirar de la
caña sin que se escapen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000D:}}Je ne me suis pas assez entraînée...{{TAG:0007:0001:}}
{{TAG:0003:001B:}}Ce n'est vraiment pas évident de
tirer la ligne au bon moment !","{{TAG:0003:000D:}}Acciderboli, avrei dovuto studiare
più seriamente in previsione di
questo torneo di pesca!
{{TAG:0003:001B:}}Non riesco a indovinare {{TAG:0007:0000:0A000000}}il momento
giusto per tirare su la lenza{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Dovresti insegnarmi {{TAG:0007:0000:0A000000}}i tuoi segreti!","{{TAG:0003:000D:}}Ich hätte mir mehr Angelwissen
anlesen sollen!{{TAG:0007:0000:14000000}} In welchem Winkel
wirft man noch mal die Schnur aus?!","{{TAG:0003:000D:}}Keşke bu {{TAG:0000:0003:0200}}Balık Turnuvası{{TAG:0000:0003:FFFF}} öncesi biraz
daha çalışsaydım.{{TAG:0007:0000:28000000}} En iyi piknik yerinin
nerede olduğunu unuttum!"
9,010,"{{TAG:0003:0025:}}How are you doing in the {{TAG:0000:0003:0200}}Fishing
Tourney{{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:001A:}}I'll need to make a trip to {{TAG:0000:0003:0200}}Re-Tail{{TAG:0000:0003:FFFF}}
later to recycle all my{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.catches.","{{TAG:0003:0025:}}¿Cómo se te está dando el Torneo
de Pesca? ¿Pican mucho?{{TAG:0007:0001:}}
{{TAG:0003:0001:}}¡Te deseo mucha suerte!","{{TAG:0003:0025:}}Alors, ça mord ? {{TAG:0007:0001:}}{{TAG:0003:001A:}}Moi, vu ce qui sort
au bout de ma ligne, je suis bonne
pour aller au magasin de recyclage !","{{TAG:0003:0025:}}La tua pesca sta procedendo bene?{{TAG:0000:0004:}}{{TAG:0003:001A:}}Magari più tardi faccio una capatina
da {{TAG:0000:0003:0200}}Ricicla e Ricrea {{TAG:0000:0003:FFFF}}per vedere
che ne pensano dei miei pesci.","{{TAG:0003:0025:}}Und, wie kommst du bei diesem
{{TAG:0000:0003:0200}}Angelturnier {{TAG:0000:0003:FFFF}}zurecht?{{TAG:0007:0000:1E000000}} Ich hab vorhin
was Riiiesengroßes gefangen...
{{TAG:0003:001A:}}Ich hoffe nur, dass mein Mülleimer
das größenmäßig verkraftet...{{TAG:0007:0000:14000000}} Was
die Leute alles ins Wasser werfen!","{{TAG:0003:0025:}}{{TAG:0000:0003:0200}}Balık Turnuvası{{TAG:0000:0003:FFFF}} nasıl gidiyor?{{TAG:0000:0004:}}{{TAG:0003:001A:}}Sonra
{{TAG:0000:0003:0200}}Re-Tail{{TAG:0000:0003:FFFF}}a uğrayıp bütün{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.tuttuklarımı
geri dönüştürmem gerekecek."
10,011,"{{TAG:0003:0025:}}I've seen some pretty big fish in the
water today.{{TAG:0007:0001:}}{{TAG:0003:0024:}} Good thing I've never
liked swimming much.","{{TAG:0003:0025:}}Me ha parecido ver peces bastante
grandes hoy.{{TAG:0007:0000:28000000}}{{TAG:0003:0024:}} Menos mal que no nos
tenemos que mojar para pescarlos{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0025:}}J'ai vu quelques grosses bêtes dans
l'eau aujourd'hui. {{TAG:0007:0000:28000000}}{{TAG:0003:0024:}}Je ne suis pas
près de me baigner dans le coin !","{{TAG:0003:0001:}}Quali sono i tuoi pronostici per
il torneo di oggi?{{TAG:0007:0000:0A000000}} Pensi di vincere?{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}Anch'io punto alla vittoria, sai?","{{TAG:0003:0025:}}Ich hab schon ein paar riesige
Monsterfische im Wasser gesehen!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Jetzt weiß ich wieder, warum ich
nie schwimmen gehe...","{{TAG:0003:0025:}}Bugün suda epey iri balıklar gördüm.{{TAG:0007:0001:}}{{TAG:0003:0024:}} İyi ki
yüzmeyi pek sevmiyorum."
11,012,"{{TAG:0003:0001:}}Isn't it great to be outside on such a
beautiful day?{{TAG:0007:0000:14000000}} I wonder if the fish
look up at the sky like we do.","{{TAG:0003:0001:}}¿No es genial estar en contacto con
la naturaleza en un día tan bonito
como hoy?
{{TAG:0003:002B:}}¿Tú crees que los pececitos miran
las nubes como hacemos tú y yo?{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0001:}}Quelle belle journée ! Des poissons,
une canne à pêche... {{TAG:0007:0000:14000000}}Je lance ma
ligne {{TAG:0007:0000:10000000}}et que l'amorce soit avec moi !","{{TAG:0003:0001:}}Non è meraviglioooso pescare
in una giornata bella come questa?{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Mi sento benissimissimo!","{{TAG:0003:0001:}}Ist doch prima, diesen schönen Tag
im Freien zu verbringen.{{TAG:0007:0000:1E000000}} Ob Fische
das Wetter wohl auch genießen?","{{TAG:0003:0001:}}Böyle güzel bir günde dışarıda olmak
harika değil mi?{{TAG:0007:0000:14000000}} Acaba balıklar da bizim
gibi gökyüzüne bakıyor mudur?"
12,013,"{{TAG:0003:0025:}}There isn't much time left in the
{{TAG:0000:0003:0200}}Fishing Tourney{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:14000000}} I'm going to focus
on beating my own record!","{{TAG:0003:0025:}}Falta poco para que se acabe
el Torneo de Pesca. {{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}¡Voy a intentar
batir mi propio récord!","{{TAG:0003:0025:}}Le tournoi de pêche touche à sa
fin... {{TAG:0007:0000:14000000}}Mais il me reste suffisamment
de temps pour battre mon record !","{{TAG:0003:0025:}}Non manca molto al termine del
torneo di pesca.{{TAG:0007:0000:14000000}} Ah, riuscirò almeno
a battere il mio record personale?","{{TAG:0003:0025:}}Bald ist das {{TAG:0000:0003:0200}}Angelturnier {{TAG:0000:0003:FFFF}}wieder
vorbei.{{TAG:0007:0000:14000000}} Ich will versuchen, meinen
eigenen Rekord zu brechen!","{{TAG:0003:0025:}}{{TAG:0000:0003:0200}}Balık Turnuvası{{TAG:0000:0003:FFFF}}nda pek vakit kalmadı.{{TAG:0007:0000:14000000}}
Kendi rekorumu geçmeye odaklanacağım!"
13,014,"{{TAG:0003:0001:}}I've got the perfect strategy all
worked out.{{TAG:0007:0001:}}{{TAG:0003:000D:}} I just hope I can use it
before the {{TAG:0000:0003:0200}}Fishing Tourney {{TAG:0000:0003:FFFF}}ends!","{{TAG:0003:0001:}}Tengo pensada la estrategia ideal.{{TAG:0007:0001:}}
{{TAG:0003:000D:}}¡Pero no sé si podré usarla antes
de que se acabe el torneo!","{{TAG:0003:0001:}}J'ai mis au point la technique de
pêche ultime... {{TAG:0007:0001:}}{{TAG:0003:000D:}}Le hic, c'est que je
n'ai pas l'occasion de l'utiliser !","{{TAG:0003:0001:}}Coraggio, {{TAG:0007:0000:0A000000}}un ultimo sforzo{{TAG:0007:0000:0A000000}}
prima della fine del torneo di pesca!","{{TAG:0003:0001:}}Ich habe mir die perfekte Strategie
überlegt, hehehe...{{TAG:0000:0004:}}{{TAG:0003:000D:}}Aber ob ich vor Ende des
Turniers noch dazu komme,
sie anzuwenden?","{{TAG:0003:0001:}}Mükemmel stratejimi hazırladım.{{TAG:0007:0001:}}{{TAG:0003:000D:}} Umarım
{{TAG:0000:0003:0200}}Balık Turnuvası {{TAG:0000:0003:FFFF}}bitmeden uygulayabilirim!"
14,015,"{{TAG:0003:0017:}}Did you catch a lot of fish today?{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Not to brag,{{TAG:0007:0000:08000000}} but I have a feeling I'll
be eating fish sandwiches all week.","{{TAG:0003:0017:}}¿Han picado mucho hoy?{{TAG:0007:0001:}}
{{TAG:0003:0025:}}No me gusta presumir, {{TAG:0007:0000:0A000000}}¡pero yo
comeré pescado toda la semana!","{{TAG:0003:0017:}}La pêche a été bonne ?{{TAG:0007:0001:}} {{TAG:0003:0025:}}Moi, sans
me vanter, je n'ai pas fini de me
régaler de poissons !","{{TAG:0003:0017:}}Alors, com'è andata la tua pesca?{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Non per vantarmi,{{TAG:0007:0000:08000000}} ma per quanto mi
riguarda potrei aprire una pescheria!","{{TAG:0003:0017:}}Hast du heute schon viele Fische
gefangen?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ich will dich nicht verunsichern, aber
ich werde wohl die ganze nächste
Woche Fischbrötchen essen...","{{TAG:0003:0017:}}Bugün çok balık tuttun mu?{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Övünmek gibi olmasın,{{TAG:0007:0000:08000000}} ama sanırım bütün
hafta balıklı sandviç yiyeceğim."
15,016,,,,,,
16,017,"{{TAG:0003:0001:}}Well, the tournament is over.{{TAG:0007:0000:14000000}} I can't
wait to see the final results!","{{TAG:0003:0001:}}¡Pues ya se ha acabado el Torneo
de Pesca! {{TAG:0007:0000:14000000}}¡Tengo muchas ganas de
ver la clasificación!","{{TAG:0003:0001:}}Le tournoi est terminé. On va
bientôt connaître le nom du
vainqueur !","{{TAG:0003:0001:}}Très bien, il torneo di pesca si
è concluso.{{TAG:0007:0000:14000000}} Non vedo l'ora
di conoscere i risultati!","{{TAG:0003:0001:}}Das {{TAG:0000:0003:0200}}Angelturnier {{TAG:0000:0003:FFFF}}ist vorbei.{{TAG:0007:0000:14000000}} Ich bin
mal sehr gespannt, ob ich gewonnen
habe!","{{TAG:0003:0001:}}Turnuva bitti.{{TAG:0007:0000:14000000}} Sonuçları görmek
için sabırsızlanıyorum!"
