entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:001F:02070007000500050005000500050005000500090009000C00CD}},{{TAG:000A:001F:02070007000500050005000500050005000500090009000C00CD}},{{TAG:000A:001F:02070007000500050005000500050005000500090009000C00CD}},{{TAG:000A:001F:02070007000500050005000500050005000500090009000C00CD}},{{TAG:000A:001F:02070007000500050005000500050005000500090009000C00CD}},{{TAG:000A:001F:02070007000500050005000500050005000500090009000C00CD}}
2,003,{{TAG:000A:001F:020700070006000600060006000600060006000A000A000D00CD}},{{TAG:000A:001F:020700070006000600060006000600060006000A000A000D00CD}},{{TAG:000A:001F:020700070006000600060006000600060006000A000A000D00CD}},{{TAG:000A:001F:020700070006000600060006000600060006000A000A000D00CD}},{{TAG:000A:001F:020700070006000600060006000600060006000A000A000D00CD}},{{TAG:000A:001F:020700070006000600060006000600060006000A000A000D00CD}}
3,004,,,,,,
4,005,{{TAG:0009:0000:15001600}},{{TAG:0009:0000:15001600}},{{TAG:0009:0000:15001600}},{{TAG:0009:0000:15001600}},{{TAG:0009:0000:15001600}},{{TAG:0009:0000:15001600}}
5,006,{{TAG:0009:0000:17001800}},{{TAG:0009:0000:17001800}},{{TAG:0009:0000:17001800}},{{TAG:0009:0000:17001800}},{{TAG:0009:0000:17001800}},{{TAG:0009:0000:17001800}}
6,007,{{TAG:0009:0002:0E000F0013001400}},{{TAG:0009:0002:0E000F0013001400}},{{TAG:0009:0002:0E000F0013001400}},{{TAG:0009:0002:0E000F0013001400}},{{TAG:0009:0002:0E000F0013001400}},{{TAG:0009:0002:0E000F0013001400}}
7,008,,,,,,
8,009,{{TAG:0009:0001:100015001600}},{{TAG:0009:0001:100015001600}},{{TAG:0009:0001:100015001600}},{{TAG:0009:0001:100015001600}},{{TAG:0009:0001:100015001600}},{{TAG:0009:0001:100015001600}}
9,010,{{TAG:0009:0001:100017001800}},{{TAG:0009:0001:100017001800}},{{TAG:0009:0001:100017001800}},{{TAG:0009:0001:100017001800}},{{TAG:0009:0001:100017001800}},{{TAG:0009:0001:100017001800}}
10,011,,,,,,
11,012,{{TAG:0009:0002:1000110015001600}},{{TAG:0009:0002:1000110015001600}},{{TAG:0009:0002:1000110015001600}},{{TAG:0009:0002:1000110015001600}},{{TAG:0009:0002:1000110015001600}},{{TAG:0009:0002:1000110015001600}}
12,013,{{TAG:0009:0002:1000110017001800}},{{TAG:0009:0002:1000110017001800}},{{TAG:0009:0002:1000110017001800}},{{TAG:0009:0002:1000110017001800}},{{TAG:0009:0002:1000110017001800}},{{TAG:0009:0002:1000110017001800}}
13,014,"{{TAG:0003:000B:}}I hope I get to see a lot more fossils
soon!{{TAG:0007:0001:}} {{TAG:0003:0005:}}This is the perfect place to
display them,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Tengo que venir más a menudo para
ir viendo las cosas que traen a esta
sala.{{TAG:0007:0001:}} {{TAG:0003:0005:}}¡Cómo molan los fósiles!","{{TAG:0003:0023:}}J'espère qu'on verra bientôt
beaucoup de fossiles ici !{{TAG:0000:0004:}}Ne me demande pas pourquoi,{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}} mais
j'ai l'intuition que cet endroit est
fait pour les exposer,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:000B:}}Non vedo l'ora di ammirare fossili
su fossili qui!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Non c'è posto migliore
per esporli,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Hoffentlich gibt's hier bald
ein paar mehr Fossilien.{{TAG:0007:0001:}} {{TAG:0003:0005:}}Das ist
schließlich der ideale Platz dafür!","{{TAG:0003:000B:}}Umarım yakında çok daha fazla fosil
görürüm!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Onları sergilemek için kusursuz
bir yer burası,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
