entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"I heard that {{TAG:0011:0001:0000}}'s newest
way to exercise is trying to catch
fish with his bare hands.
{{TAG:0003:0010:}}I wonder if he caught his
{{TAG:0011:0003:0000}} that
way{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","He oído que han visto a {{TAG:0011:0001:0000}}
intentando atrapar peces solo con
sus manos para entrenarse.
{{TAG:0003:000B:}}¿Habrá sido capaz de pescar así
a est{{TAG:000E:0012:100002006500020061000000}} {{TAG:0011:0003:0000}}?{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","D'après ce que m'a dit {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}}
sa dernière marotte consiste à
pêcher à mains nues...
Je me demande s'il a attrapé{{TAG:0007:0000:0A000000}}
{{TAG:0003:000B:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} que
voici de cette façon, {{TAG:0005:0007:}}...","Si dice che {{TAG:0011:0001:0000}} abbia
cominciato a pescare a mani nude...
Che sia un nuovo tipo di sport?!
Chissà se anche {{TAG:000E:0012:10000C00710075006500730074006F000C007100750065007300740061000000}}{{TAG:0007:0000:0A000000}}
{{TAG:0003:000B:}}{{TAG:0011:0003:0000}} l'ha
catturat{{TAG:000E:0012:100002006F00020061000000}} così{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!","Ich habe mir sagen lassen, dass
unser Nachbar sich in letzter Zeit
mit Fischefangen fit hält...
{{TAG:0003:0020:}}Mit bloßen Händen!{{TAG:0007:0000:1E000000}} Ob er so
auch {{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} {{TAG:0011:0003:0000}}
bekommen hat, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?","Duyduğuma göre {{TAG:0011:0001:0000}}'ın yeni egzersiz
yöntemi, balıkları çıplak elleriyle
yakalamaya çalışmakmış. {{TAG:0003:0010:}}Acaba
şu {{TAG:0011:0003:0000}}'ı da böyle
mi yakaladı{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
1,002,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
2,003,"I heard that {{TAG:0011:0001:0000}} wanted his
{{TAG:0011:0003:0000}} to grow
lush and strong.
{{TAG:0003:0009:}}So he's been mixing in protein
powder with the water.{{TAG:0007:0001:}} I feel bad
for the {{TAG:0011:0003:0000}}.","{{TAG:0011:0001:0000}} me dijo que quería que
su {{TAG:0011:0003:0000}} creciera
bien san{{TAG:000E:0012:100002006F00020061000000}} y fuerte.
{{TAG:0003:0009:}}El caso es que no se le ocurrió otra
cosa que mezclar proteínas con
el agua{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}Pobre plantita{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0011:0001:0000}} jardine de façon très
personnelle...{{TAG:0007:0000:14000000}} Par exemple,
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}...
... il l'arrose avec un mélange d'eau
et de protéines en poudre !{{TAG:0007:0001:}} Je doute
que ça soit très sain...","A quanto pare, {{TAG:0011:0001:0000}}{{TAG:0007:0000:0A000000}} vuole
che {{TAG:000E:0012:10000C0069006C002000730075006F000C006C00610020007300750061000000}} {{TAG:0011:0003:0000}}
{{TAG:0007:0000:08000000}}cresca presto e bene.
{{TAG:0003:0009:}}Per questo, l'annaffia ogni giorno
con un mix di vitamine e{{TAG:0007:0000:0A000000}} proteine...{{TAG:0007:0001:}}
Pover{{TAG:000E:0012:100002006F00020061000000}} {{TAG:0011:0003:0000}}!","{{TAG:000E:0003:}}{{TAG:000E:0008:00CD0C007300650069006E0065006E000A007300650069006E00650008007300650069006E00}} {{TAG:0011:0003:0000}}
pflegt {{TAG:0011:0001:0000}} angeblich sehr
gründlich.
{{TAG:0003:0009:}}Angeblich tut er Proteinpulver
mit ins Gießwasser.{{TAG:0007:0000:14000000}} Ob das für
die Pflanze so gut ist?","Duyduğuma göre {{TAG:0011:0001:0000}}, {{TAG:0011:0003:0000}}'ının
gür ve güçlü büyümesini istiyormuş.
{{TAG:0003:0009:}}O yüzden suyuna protein tozu
karıştırıyormuş.{{TAG:0007:0001:}} Zavallı {{TAG:0011:0003:0000}}'a
üzüldüm doğrusu."
3,004,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
4,005,"{{TAG:0003:0001:}}I bet {{TAG:0011:0001:0000}} watches nothing
but workout DVDs on his
{{TAG:0011:0003:0000}}!","{{TAG:0003:0001:}}Seguro que {{TAG:0011:0001:0000}} tiene est{{TAG:000E:0012:100002006500020061000000}}
{{TAG:0011:0003:0000}} para ver
programas sobre ejercicio.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} ? Je
suis sûre qu'elle diffuse des DVD de
fitness à longueur de journée !","{{TAG:0003:0001:}}Scommetto che {{TAG:0011:0001:0000}} guarda
molti DVD di body building con
{{TAG:000E:0012:10000C0069006C002000730075006F000C006C00610020007300750061000000}} {{TAG:0011:0003:0000}}!","{{TAG:0003:0001:}}Oh, guck mal, was er da hat! {{TAG:0007:0000:14000000}}{{TAG:000E:0008:00CD0A00450069006E0065006E000800450069006E0065000600450069006E00}}
{{TAG:0011:0003:0000}}.{{TAG:0007:0000:14000000}} Bestimmt
schaut er viele Trainingssendungen.","{{TAG:0003:0001:}}Bahse girerim {{TAG:0011:0001:0000}}, {{TAG:0011:0003:0000}}'ında
sadece egzersiz videoları izliyordur!"
5,006,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
6,007,"{{TAG:0003:0001:}}I know that {{TAG:0011:0001:0000}} is all about
fitness,{{TAG:0007:0000:08000000}} so he's probably concerned
with nutrition as well.
{{TAG:0003:0000:}}His {{TAG:0011:0003:0000}}
probably helps him whip up
healthy meals.","{{TAG:0003:0001:}}Como a {{TAG:0011:0001:0000}} le va tanto lo
de estar sano, seguro que también
se preocupa por su nutrición.
{{TAG:0003:0000:}}Estoy convencida de que sabe hacer
comidas de lo más equilibradas en
su {{TAG:0011:0003:0000}}.","{{TAG:0003:0001:}}En bon adepte du fitness,
{{TAG:0011:0001:0000}} est sûrement très
attentif à ce qu'il mange.
{{TAG:0003:0000:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} doit
lui permettre de mijoter des plats
bourrés de vitamines !","{{TAG:0003:0001:}}So che {{TAG:0011:0001:0000}}{{TAG:0007:0000:0A000000}} tiene molto
alla forma fisica,{{TAG:0007:0000:08000000}} quindi sarà anche
attento all'alimentazione, no?!
{{TAG:0003:0000:}}Chissà che piatti cucina con
{{TAG:000E:0012:10000C0069006C002000730075006F000C006C00610020007300750061000000}} {{TAG:0011:0003:0000}}?!","{{TAG:0003:0000:}}Mit {{TAG:000E:0008:00CD0600640065006D0006006400650072000600640065006D00}} {{TAG:0011:0003:0000}}
kocht {{TAG:0011:0001:0000}} bestimmt immer
vitaminreiche Gerichte.
{{TAG:0003:0001:}}Er ist ja total sportlich und hält
sich fit, da isst er bestimmt auch
sehr gesund.","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}'ın spora ne kadar düşkün
olduğunu biliyorum,{{TAG:0007:0000:08000000}} beslenmesine
de dikkat ediyordur kesin. {{TAG:0003:0000:}}Şu {{TAG:0011:0003:0000}}
da sağlıklı yemekler hazırlamasına
yardım ediyordur."
7,008,"{{TAG:0003:0001:}}I bet after a strenuous workout,{{TAG:0007:0000:14000000}}
{{TAG:0011:0001:0000}} just collapses on his
{{TAG:0011:0003:0000}}.","{{TAG:0003:0001:}}Con la de energía que derrocha,
supongo que debe de caer rendido
en su {{TAG:0011:0003:0000}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} dans
{{TAG:000E:0008:00CD0C006C0065007100750065006C0010006C0061007100750065006C006C00650002003000}} doit s'écrouler {{TAG:0011:0001:0000}}
quand il a fini ses tractions...","{{TAG:0003:0001:}}Scommetto che dopo l'allenamento{{TAG:0007:0000:14000000}}
{{TAG:0011:0001:0000}} si fa una bella dormita
{{TAG:000E:0012:10000E006E0065006C002000730075006F0012006E0065006C006C00610020007300750061000000}} {{TAG:0011:0003:0000}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0008:00CD08007300650069006E000A007300650069006E00650008007300650069006E00}} {{TAG:0011:0003:0000}} ist
bestimmt die erste Station, wenn
{{TAG:0011:0001:0000}} vom Joggen kommt.","{{TAG:0003:0001:}}Bahse girerim ağır bir antrenmandan
sonra{{TAG:0007:0000:14000000}} {{TAG:0011:0001:0000}} gidip doğruca
{{TAG:0011:0003:0000}}'ına yığılıyordur."
8,009,"{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} sure has a nice bed!{{TAG:0000:0004:}}His {{TAG:0011:0003:0000}} looks
like the perfect size for getting
some rest after a long workout.","{{TAG:0003:0001:}}¡Qué buena cama tiene {{TAG:0011:0001:0000}}!{{TAG:0000:0004:}}Estoy convencida de que {{TAG:000E:0012:100008006500730074006500080065007300740061000000}}
{{TAG:0011:0003:0000}} es ideal
para descansar como un bebé.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0000}} me donne envie de
piquer un petit roupillon...
Il doit bien se reposer de ses séries
d'abdos là-dedans...{{TAG:0007:0000:0A000000}} Après l'effort,
le réconfort !","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} ha proprio {{TAG:0007:0000:05000000}}un bel letto!{{TAG:0000:0004:}}{{TAG:000E:0012:10000C0049006C002000730075006F000C004C00610020007300750061000000}} {{TAG:0011:0003:0000}} è
della misura perfetta{{TAG:0007:0000:0A000000}} per rilassare
tutti i muscoli dopo l'allenamento!","{{TAG:0003:0001:}}Oh, ist {{TAG:000E:0008:00CD060064006500720006006400690065000600640061007300}} {{TAG:0011:0003:0000}}
nicht schön?{{TAG:0000:0004:}}Nach seinem anstrengenden
Lauftraining ruht {{TAG:0011:0001:0000}} sich
sicher erst mal darauf aus.","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}'ın yatağı ne güzelmiş!{{TAG:0000:0004:}}
Şu {{TAG:0011:0003:0000}}, uzun bir antrenmandan
sonra dinlenmek için tam ideal görünüyor."
9,010,"I hear {{TAG:0011:0001:0000}} lays on his
{{TAG:0011:0003:0000}} to do
sit-ups.
{{TAG:0003:0025:}}He likes it because it's plush enough
to make it difficult.{{TAG:0007:0001:}}{{TAG:0003:0001:}} I wonder if he
just falls asleep instead.","{{TAG:0011:0001:0000}} me dijo que se pone de
pie en su {{TAG:0011:0003:0000}}
para hacer sentadillas.
{{TAG:0003:0025:}}Dice que prefiere hacerlo así porque
tiene que controlar más el equilibrio
{{TAG:0007:0000:0A000000}}y así el ejercicio es aún más duro.","Il paraît que {{TAG:0011:0001:0000}} fait ses
exercices de flexion sur
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}...
{{TAG:0003:0025:}}D'après lui, l'instabilité favorise le
développement des mollets...{{TAG:0007:0000:14000000}} Mais
c'est bien trop dangereux pour moi.","Ho sentito dire che {{TAG:0011:0001:0000}}{{TAG:0007:0000:0A000000}} sale
{{TAG:000E:0012:10000E00730075006C002000730075006F001200730075006C006C00610020007300750061000000}} {{TAG:0011:0003:0000}}{{TAG:0007:0000:0A000000}}
e fa ogni giorno i piegamenti.
{{TAG:0003:0025:}}La posizione è instabile e riesce
a usare più muscoli del solito.
{{TAG:0007:0000:14000000}}Mi sembra un po' pericoloso...","Er macht seine Kniebeugen
manchmal auf {{TAG:000E:0008:00CD0600640065006D0006006400650072000600640065006D00}}
{{TAG:0011:0003:0000}}.
{{TAG:0003:0025:}}Da kommt zum Muskeltraining noch
Balancetraining dazu.{{TAG:0007:0000:14000000}} Ich finde, das
klingt etwas gefährlich...","Duyduğuma göre {{TAG:0011:0001:0000}}, mekik çekmek
için {{TAG:0011:0003:0000}}'ının üstüne uzanıyormuş.
{{TAG:0003:0025:}}Yumuşak olduğu için işi zorlaştırmasını
seviyormuş.{{TAG:0007:0001:}}{{TAG:0003:0001:}} Acaba spor yapacağına
uyuyakalıyor mudur?"
