entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,,January,enero,janvier,gennaio,Januar,Ocak
1,,February,febrero,février,febbraio,Februar,Şubat
2,,March,marzo,mars,marzo,März,Mart
3,,April,abril,avril,aprile,April,Nisan
4,,May,mayo,mai,maggio,Mai,Mayıs
5,,June,junio,juin,giugno,Juni,Haziran
6,,July,julio,juillet,luglio,Juli,Temmuz
7,,August,agosto,août,agosto,August,Ağustos
8,,September,septiembre,septembre,settembre,September,Eylül
9,,October,octubre,octobre,ottobre,Oktober,Ekim
10,,November,noviembre,novembre,novembre,November,Kasım
11,,December,diciembre,décembre,dicembre,Dezember,Aralık
