entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}}
1,002,{{TAG:0009:0001:070008000900}},{{TAG:0009:0001:070008000900}},{{TAG:0009:0001:070008000900}},{{TAG:0009:0001:070008000900}},{{TAG:0009:0001:070008000900}},{{TAG:0009:0001:070008000900}}
2,003,{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}}
3,004,"{{TAG:0003:0026:}}Hearing music live is really different
than hearing it at home, isn't it?","{{TAG:0003:0026:}}Escuchar música en directo
es distinto que hacerlo en casa,
eso está clarísimo.","{{TAG:0003:0026:}}Y'a pas à dire, un bon live, c'est
quand même autre chose qu'écouter
de la musique dans sa chambre !","{{TAG:0003:0026:}}Ascoltare la musica dal vivo
è molto meglio che sentirla
registrata, eh?","{{TAG:0003:0026:}}Livemusik ist tausendmal besser
als Musik aus der Konserve, {{TAG:0007:0000:08000000}}oder?","{{TAG:0003:0026:}}Müziği canlı dinlemek evde dinlemekten
gerçekten farklı, değil mi?"
4,005,"{{TAG:0003:0005:}}I love live music because I can feel
it down in my bones!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Yeah, yeaaaah!","{{TAG:0003:0005:}}Me encanta la música en directo
porque notas las vibraciones, ¡la
sientes físicamente!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} ¡Toma yaaaa!","{{TAG:0003:0005:}}Je kiffe le bon son comme ça ! Y'a
rien de mieux pour se bouger en
rythme !{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Ohhhhh yeah !","{{TAG:0003:0005:}}Mi piace un sacco la musica
dal vivo! Me la sento proprio
dentro!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Yeah, yeaaah!","{{TAG:0003:0005:}}Ich liebe Livemusik! {{TAG:0007:0000:28000000}}Das ist ein
Adrenalinschub wie beim Wett-
kampf! {{TAG:0007:0000:28000000}}{{TAG:0003:0020:}}Yeah, yeaaaah!","{{TAG:0003:0005:}}Canlı müziği seviyorum; ritmi kemiklerimde
hissedebiliyorum!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Evet, eveeet!"
5,006,"{{TAG:0003:000B:}}{{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}}'s guitar looks heavy!{{TAG:0007:0000:14000000}} I 
bet he gets a good workout with
that thing{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:000B:}}La guitarra de {{TAG:0000:0003:0400}}Totakeke{{TAG:0000:0003:FFFF}} parece
pesada, ¿no?{{TAG:0007:0000:14000000}} Fijo que tiene el brazo
bien fuerte de cargar con ella{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:000B:}}La guitare de {{TAG:0000:0003:0400}}Kéké{{TAG:0000:0003:FFFF}} a l'air sacrément
lourde !{{TAG:0007:0000:14000000}} Tu crois qu'il s'en sert aussi
comme haltère{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?{{TAG:0007:0000:14000000}}","{{TAG:0003:000B:}}La chitarra di {{TAG:0000:0003:0400}}K.K. Slider {{TAG:0000:0003:FFFF}}sembra
bella pesante! {{TAG:0007:0000:14000000}}Sono sicuro che
la usa anche per allenare i bicipiti{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0000:0003:0400}}K.K.s{{TAG:0000:0003:FFFF}} Gitarre ist unglaublich schwer!
{{TAG:0007:0000:14000000}}Mit ihr könnte ich ziemlich effektiv
Gewichtheben trainieren!","{{TAG:0003:000B:}}{{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}}'ın gitarı ağır görünüyor!{{TAG:0007:0000:14000000}}
Onu çalarken iyi antrenman yapıyordur{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}"
6,007,"{{TAG:0003:0017:}}What?! {{TAG:0007:0000:28000000}}The music's too loud! 
I can't hear what you're saying!","{{TAG:0003:0017:}}¡¿Qué?! {{TAG:0007:0000:28000000}}¡La música está muy alta!
¡No oigo ni torta de lo que dices!","{{TAG:0003:0017:}}QU'EST-CE QUE TU DIS ?! {{TAG:0007:0000:28000000}}LA
MUSIQUE EST TROP FORTE, JE
T'ENTENDS PAS !","{{TAG:0003:0017:}}Eh?! {{TAG:0007:0000:28000000}}Scusa, ma la musica è troppo
alta! Non sento quello che dici!","{{TAG:0003:0017:}}Was?!?{{TAG:0007:0000:28000000}}
Hier ist's so laut wie im Stadion!{{TAG:0007:0000:14000000}}
Ich kann dich nicht verstehen!","{{TAG:0003:0017:}}Ne?! {{TAG:0007:0000:28000000}}Müzik çok yüksek!
Ne dediğini duyamıyorum!"
7,008,"{{TAG:0003:0026:}}Tonight's DJ is really rockin' this
place!{{TAG:0007:0000:28000000}} {{TAG:0003:0004:}}This is so cool!","{{TAG:0003:0026:}}¡Menudo ambientazo que tenemos
con el DJ de esta noche!{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}¡Qué ""gustera"", tronc{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0026:}}Le DJ pète le feu ce soir !{{TAG:0007:0000:28000000}} {{TAG:0003:0004:}}C'est le
moment d'aller travailler mon
déhanché sur la piste !","{{TAG:0003:0026:}}Il DJ è davvero forte!
{{TAG:0007:0000:28000000}}{{TAG:0003:0004:}}Mi piace un sacco!","{{TAG:0003:0026:}}Der DJ heute lässt's richtig krachen!
{{TAG:0007:0000:28000000}}{{TAG:0003:002A:}}Das ist extrem cool!",{{TAG:0003:0026:}}Bu gecenin DJ'i burayı resmen sallıyor!{{TAG:0007:0000:28000000}} {{TAG:0003:0004:}}Çok iyi!
8,009,"The bass is reverberating in my abs,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","¡El bajo reverbera en mis
abdominales, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Je contracte mes abdos au rythme
des basses, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","Sento i bassi che mi vibrano
negli addominali!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","Der Bass lässt meine Bauchmuskeln
vibrieren, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Bas titreşimi karın kaslarımda yankılanıyor,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:0026:}}That was fun, huh?{{TAG:0007:0001:}} I forgot about
how tired I was and got way into it!","{{TAG:0003:0026:}}Ha estado brutal, ¿eh?{{TAG:0007:0001:}} Hasta
se me olvidó lo cansado que
venía, ¡y lo he vivido a tope!","{{TAG:0003:0026:}}C'était géant, pas vrai ?{{TAG:0007:0001:}} J'ai même
oublié ma fatigue de la journée pour
pouvoir me la donner grave !","{{TAG:0003:0026:}}È stato divertente, eh?{{TAG:0007:0001:}}
Mi è passata al volo tutta
la stanchezza e ci ho dato dentro!","{{TAG:0003:0026:}}Das hat Spaß gemacht, oder?
{{TAG:0007:0000:28000000}}Ich hab ganz vergessen, wie müde
ich war, und bin total mitgegangen!","{{TAG:0003:0026:}}Eğlenceliydi, değil mi?{{TAG:0007:0001:}} Ne kadar yorgun
olduğumu unuttum, kendimi tamamen kaptırdım!"
10,011,{{TAG:0003:0001:}}All right.{{TAG:0007:0000:14000000}} It's time I hit the hay!,"{{TAG:0003:0001:}}Muy bien.{{TAG:0007:0000:14000000}} ¡Y ahora tengo que
irme al catre!","{{TAG:0003:0001:}}Allez, c'est l'heure de rentrer.{{TAG:0007:0000:14000000}}
Une petite douche,{{TAG:0007:0000:14000000}} et au dodo !","{{TAG:0003:0001:}}Bene.{{TAG:0007:0000:14000000}}
È ora per me di andare a dormire!","{{TAG:0003:0001:}}Ooookay...{{TAG:0007:0000:14000000}}
Es wird Zeit zur Regeneration...{{TAG:0007:0000:28000000}}
Das ist Sportler-Slang für „Schlaf“!{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}",{{TAG:0003:0001:}}Pekâlâ.{{TAG:0007:0000:14000000}} Artık yatma vakti.
11,012,"{{TAG:0003:0005:}}Tonight was so amazing, wasn't it?{{TAG:0007:0000:14000000}}
I'm definitely coming here again!","{{TAG:0003:0005:}}Vaya nochecita de subidón, ¿eh?{{TAG:0007:0000:14000000}}
¡Ha estado brutérrimo!
¡Esto hay que repetirlo!","{{TAG:0003:0005:}}On s'est bien éclatés ce soir, pas
vrai ?{{TAG:0007:0000:14000000}} J'espère qu'on pourra
remettre ça très très vite !","{{TAG:0003:0005:}}Che serata fantastica!{{TAG:0007:0000:14000000}}
Tornerò sicuramente!","{{TAG:0003:0005:}}Heute Abend war's unglaublich cool!
{{TAG:0007:0000:14000000}}Das gibt definitiv ein Rückspiel!","{{TAG:0003:0005:}}Bu gece inanılmazdı, değil mi?{{TAG:0007:0000:14000000}}
Buraya kesinlikle yine geleceğim!"
