entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0023:}}Like, you totally wouldn't realize it
to look at her, {{TAG:0003:0002:}}but {{TAG:0011:0001:0000}} loves
fish and bugs and slimy things! 
{{TAG:0003:0015:}}Once you see that amazing
{{TAG:0011:0003:0000}}, you'll
understand why, {{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Hala, ¿has visto est{{TAG:000E:0008:00CD02006500020061000000}}
{{TAG:0011:0003:0000}} tan
chupi que tiene, {{TAG:0005:0007:}}?
{{TAG:0003:0015:}}{{TAG:0011:0001:0000}} ya me ha dicho alguna
vez que le superencantan los peces
y los bichos.","{{TAG:0003:0023:}}On dirait pas comme ça,{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}mais c'est
qu'elle aime les petites bébêtes,
{{TAG:0011:0001:0000}} !
{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} {{TAG:000E:0012:1000080074006F00750074000A0074006F007500740065000000}}
visqueu{{TAG:000E:0012:1000020078000400730065000000}}, en plus ! J'aurais jamais
cru ça d'elle, {{TAG:0005:0007:}}.","{{TAG:0003:0023:}}Magari se non la conosci bene non
lo immagineresti, {{TAG:0003:0002:}}ma {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}
piacciono molto i pesci e gli insetti!
{{TAG:0003:0015:}}Beh, se vedi il suo esemplare di
{{TAG:0011:0003:0000}}, capisci
perché, {{TAG:0005:0007:}}!","{{TAG:0003:0023:}}Man würd's ja echt kaum glauben,
wenn man sie so anschaut...{{TAG:0000:0004:}}{{TAG:0003:0002:}}Aber das Mädel liebt Fische,
Insekten und alles was irgendwie
schleimig ist!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Wenn ich mir {{TAG:000E:0012:10001C00640069006500730065006E0020006B00720061007300730065006E0018006400690065007300650020006B00720061007300730065001A0064006900650073006500730020006B0072006100730073006500}}
{{TAG:0011:0003:0000}} anseh,
versteh ich irgendwie auch, warum!","{{TAG:0003:0023:}}Dışarıdan bakınca hiç anlaşılmıyor
ama, {{TAG:0003:0002:}}{{TAG:0011:0001:0000}} balıklara, böceklere ve böyle
kaygan şeylere bayılıyor! {{TAG:0003:0015:}}Şu harika
{{TAG:0011:0003:0000}} görünce nedenini
anlarsın, {{TAG:0005:0007:}}!"
1,002,"{{TAG:0003:0024:}}Looks like {{TAG:0011:0001:0000}} decided to
add a little class to her place. {{TAG:0003:0003:}}That
{{TAG:0011:0003:0000}} is wild!
{{TAG:0003:0010:}}Of course, it may be a forgery. {{TAG:0007:0000:08000000}}I
hope {{TAG:0011:0001:0000}} knows what she's
getting into!","{{TAG:0003:0003:}}¡Est{{TAG:000E:0008:00CD02006500020061000000}} {{TAG:0011:0003:0000}} es
una pasada!{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} ¿De dónde habrá
sacado algo con tanta clase?
{{TAG:0003:0010:}}¿Crees que será una falsificación? {{TAG:0007:0000:08000000}}
Espero que {{TAG:0011:0001:0000}} sepa dónde
se mete...","{{TAG:0003:0024:}}Nan{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} {{TAG:0011:0001:0000}} s'est mise à l'art ?
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
attention{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.
{{TAG:0003:0010:}}J'espère pour le vendeur que c'est
pas un faux, sinon elle va lui faire sa
fête !","{{TAG:0003:0024:}}Credo che {{TAG:0011:0001:0000}} voglia dare
un tocco di classe a casa sua.{{TAG:0000:0004:}}{{TAG:0003:0003:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} che
ha in casa è troppo forte!
{{TAG:0003:0010:}}Ovvio, magari è un falso.{{TAG:0000:0004:}}Spero che {{TAG:0011:0001:0000}} se ne intenda!","{{TAG:0003:0024:}}Sieht so aus, als hätte {{TAG:0011:0001:0000}}
sich entschieden, ihre Bude mal
ein bisschen aufzumotzen...
{{TAG:0003:0003:}}{{TAG:000E:0012:10000C004400690065007300650072000A00440069006500730065000C00440069006500730065007300}} {{TAG:0011:0003:0000}} ist
echt ziemlich bonzig! {{TAG:0007:0000:28000000}}{{TAG:0003:0010:}}{{TAG:000E:0012:10000400450072000600530069006500040045007300}} könnte
natürlich auch gefälscht sein.
Ich hoff, {{TAG:0011:0001:0000}} weiß, worauf
sie sich da eingelassen hat!","{{TAG:0003:0024:}}Görünüşe göre {{TAG:0011:0001:0000}} evine biraz
zarafet katmaya karar vermiş.
{{TAG:0003:0003:}}Şu {{TAG:0011:0003:0000}} acayip! {{TAG:0003:0010:}}Tabii sahte
de olabilir. {{TAG:0007:0000:08000000}}Umarım {{TAG:0011:0001:0000}} neye
bulaştığını biliyordur!"
2,003,"{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} has been raising her
{{TAG:0011:0003:0000}} since it
was a tiny little bud!
{{TAG:0003:002B:}}Of course, it's not the most stylish
plant of the season. {{TAG:0003:0027:}}I guess she just
doesn't care about trends!","{{TAG:0003:0001:}}¿Ves est{{TAG:000E:0008:00CD02006500020061000000}} {{TAG:0011:0003:0000}}?
{{TAG:0011:0001:0000}} l{{TAG:000E:0008:00CD02006F00020061000000}} ha estado cuidando
desde que era un brote.
{{TAG:0003:002B:}}No es la planta que está más de
moda, {{TAG:0003:0027:}}pero no creo que a ella
le importen estas cosas.","{{TAG:0003:0001:}}Ça fait un bail que j'ai pas vu
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} dans
un magazine de déco{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.
{{TAG:0003:002B:}}Enfin bon, ça ajoute une petite note
féminine à la pièce, au moins !","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} coltiva un esemplare
di {{TAG:0011:0003:0000}} da non
so quanto tempo!
{{TAG:0003:002B:}}Beh, ovviamente non è la pianta
più trendy del momento. {{TAG:0003:0027:}}Non credo
che per lei sia un problema.","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} hat {{TAG:000E:0012:10001E00640069006500730065006E0020006800FC00620073006300680065006E001A006400690065007300650020006800FC00620073006300680065001C0064006900650073006500730020006800FC0062007300630068006500}}
{{TAG:0011:0003:0000}}, seit {{TAG:000E:0012:10000400650072000600730069006500040065007300}}
noch ein kleiner Ableger war!
{{TAG:0003:002B:}}Natürlich ist das Ding nicht gerade
die stylishste Pflanze der Saison...{{TAG:0000:0004:}}{{TAG:0003:0027:}}Aber sie hat sich ja eh nie wirklich
um Trends geschert!","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}, {{TAG:0011:0003:0000}} minicik
bir tomurcukken beri büyütüyormuş! {{TAG:0003:002B:}}Tabii
sezonun en havalı bitkisi sayılmaz.
{{TAG:0003:0027:}}Demek trendleri o kadar da umursamıyor!"
3,004,"{{TAG:0003:0026:}}{{TAG:0011:0001:0000}} is totally blasting her
{{TAG:0011:0003:0100}} for all to
hear! {{TAG:0007:0000:08000000}}{{TAG:0003:001B:}}Who knew she had such taste?
{{TAG:0003:0005:}}We should have an awesome party
at {{TAG:0011:0001:0000}}'s place and play some
more killer tracks!{{TAG:0007:0000:05000000}}{{TAG:0003:001F:}} It'll be epic!","{{TAG:0003:0026:}}¡Guau! ¡Así que le mola escuchar
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}! {{TAG:0007:0000:08000000}}{{TAG:0003:001B:}}Suena
requetebién, ¿a que sí?
{{TAG:0003:0005:}}¡No sabía que {{TAG:0011:0001:0000}} tuviera
tan buen gusto musical como yo!","{{TAG:0003:0026:}}Hé, c'est {{TAG:0011:0003:0100}} !!!{{TAG:0007:0000:08000000}}
{{TAG:0003:001B:}}Elle s'y connaît en musique,
{{TAG:0011:0001:0000}}, c'est clair...
{{TAG:0003:0005:}}Elle ferait un super DJ, cette fille !{{TAG:0007:0000:14000000}}
Faut trop que je lui en parle{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.","{{TAG:0003:0026:}}{{TAG:000E:0003:}}{{TAG:000E:0010:}} {{TAG:0011:0001:0000}} piace un sacco
{{TAG:0011:0003:0100}}! {{TAG:0007:0000:08000000}}{{TAG:0003:001B:}}Lei sì
che ha dei gusti musicali da paura!
{{TAG:0003:0005:}}Dovremmo organizzare qualche
festa a casa sua e farle scegliere
i brani!{{TAG:0007:0000:05000000}}{{TAG:0003:001F:}} Sarebbe da urlo!","{{TAG:0003:0026:}}{{TAG:0011:0001:0000}} hat da ja mal {{TAG:000E:0012:1001080027006E0065006E00060027006E006500040027006E00}} echt
{{TAG:000E:0012:10010C0063006F006F006C0065006E000A0063006F006F006C0065000C0063006F006F006C0065007300}} {{TAG:0011:0003:0100}}!{{TAG:0000:0004:}}{{TAG:0003:001B:}}Ich wusste gar nicht, dass sie so
einen abgefahrenen Musikgeschmack
hat!
{{TAG:0003:0005:}}Wir sollten 'ne Megaparty in der
Bude von {{TAG:0011:0001:0000}} feiern und
noch mehr coole Lieder abspielen!
{{TAG:0003:001F:}}Das wär mal so was von genial!","{{TAG:0003:0026:}}{{TAG:0011:0001:0000}}, {{TAG:0011:0003:0100}} son ses açmış, herkes
duysun diye! {{TAG:0007:0000:08000000}}{{TAG:0003:001B:}}Böyle zevki olduğunu kim
bilirdi? {{TAG:0003:0005:}}{{TAG:0011:0001:0000}} evinde süper bir parti
yapıp daha da bomba parçalar açalım!{{TAG:0007:0000:05000000}}{{TAG:0003:001F:}}
Efsane olur!"
4,005,"{{TAG:0003:0001:}}Nice {{TAG:0011:0003:0000}}!{{TAG:0007:0000:08000000}}
{{TAG:0003:0017:}}I wonder what kinds of programs
{{TAG:0011:0001:0000}} watches on it...
{{TAG:0003:0002:}}I bet she likes reality shows about
dramatic personality makeovers!","{{TAG:0003:0001:}}¡Qué {{TAG:0011:0003:0000}} tan
chuli!{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Me pregunto qué clase de
programas verá {{TAG:0011:0001:0000}}...
{{TAG:0003:0002:}}¡Seguro que le van las series
superdramáticas!","{{TAG:0003:0001:}}Joli{{TAG:000E:0012:10000000020065000000}} {{TAG:0011:0003:0000}} !{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Je
me demande quel genre d'émission
{{TAG:0011:0001:0000}} peut regarder{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.
{{TAG:0003:0002:}}Les combats de catch, peut-être !","{{TAG:0003:0001:}}Quest{{TAG:000E:0008:00CD02006F00020061000000}} {{TAG:0011:0003:0000}}
è troppo assurd{{TAG:000E:0008:00CD02006F000200610002003000}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Chissà che tipo di
programmi vede {{TAG:0011:0001:0000}}?!
{{TAG:0003:0002:}}Conoscendola scommetto che
sarà roba superdrammatica!","{{TAG:0003:0001:}}{{TAG:000E:0012:100010004800FC006200730063006800650072000E004800FC006200730063006800650010004800FC00620073006300680065007300}} {{TAG:0011:0003:0000}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Ich frag mich ja, was {{TAG:0011:0001:0000}}
sich so anschaut...
{{TAG:0003:0002:}}Ich wette, sie steht voll auf Reality
Shows, wo es um krasse Persönlich-
keitsrundumerneuerungen geht!","{{TAG:0003:0001:}}Güzel {{TAG:0011:0003:0000}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Acaba {{TAG:0011:0001:0000}} bununla
ne tür programlar izliyordur... {{TAG:0003:0002:}}Bence
dramatik kişilik değişimlerinin olduğu
reality programlarına bayılıyordur!"
5,006,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
6,007,"{{TAG:0003:0001:}}Can you believe that {{TAG:0011:0001:0000}} has
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}{{TAG:0007:0000:0A000000}} in her
home? {{TAG:0003:001B:}}{{TAG:0007:0000:05000000}}I mean, go figure, right?
{{TAG:0003:0025:}}I shouldn't be so surprised she has
a domestic side. {{TAG:0007:0000:05000000}}{{TAG:0003:0015:}}She's pretty
complicated, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}No me puedo creer que tenga
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.
{{TAG:0003:001B:}}{{TAG:0007:0000:05000000}}Muy fuerte, ¿no?
{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} es una chica así como
muy independiente, supongo que
es normal que sepa cocinar.","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}{{TAG:0007:0000:0A000000}} a{{TAG:0007:0000:0A000000}} {{TAG:000E:0002:}}{{TAG:0007:0000:0A000000}}
{{TAG:0011:0003:0000}} ?!{{TAG:0007:0000:0A000000}} Genre{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}
elle cuisine ???
Elle doit être trop mimi avec un
tablier, hi hi hi !","{{TAG:0003:0001:}}Ci credi se ti dico che {{TAG:0011:0001:0000}} ha
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}{{TAG:0007:0000:0A000000}}?
{{TAG:0003:001B:}}{{TAG:0007:0000:05000000}}Cioè, ma te la immagini?!
{{TAG:0003:0025:}}Forse non dovrei stupirmi tanto
del suo lato casalingo. {{TAG:0007:0000:05000000}}{{TAG:0003:0015:}}È una tipa
un sacco complicata, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Ist das zu fassen, dass {{TAG:0011:0001:0000}}
{{TAG:000E:0012:10000A00650069006E0065006E000800650069006E0065000600650069006E00}} {{TAG:0011:0003:0000}} bei
sich zu Hause hat?
{{TAG:0003:001B:}}Stell dir das mal vor, {{TAG:0007:0000:0A000000}}Mensch!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Aber eigentlich sollte ich nicht so
überrascht sein, dass sie eine
häusliche Seite hat. 
{{TAG:0003:0015:}}Sie ist ja eigentlich doch ganz
schön kompliziert, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} evinde {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}{{TAG:0007:0000:0A000000}} olduğuna
inanabiliyor musun? {{TAG:0003:001B:}}{{TAG:0007:0000:05000000}}Yani, kim derdi
ki, değil mi? {{TAG:0003:0025:}}Aslında evcimen bir tarafı
olmasına bu kadar şaşırmamalıyım.
{{TAG:0007:0000:05000000}}{{TAG:0003:0015:}}Karmaşık biri, {{TAG:0005:0007:}}."
7,008,"{{TAG:0003:0025:}}So that's where {{TAG:0011:0001:0000}} sleeps!
Looks like a pretty cozy little
{{TAG:0011:0003:0000}}, right?
{{TAG:0003:0023:}}I wonder if she talks in her sleep{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
or if she just yells a lot. {{TAG:0003:0002:}}{{TAG:0007:0000:0A000000}}Hee hee!","{{TAG:0003:0025:}}¡Fíjate! Así que {{TAG:0011:0001:0000}} duerme
en esta {{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}{{TAG:0003:0023:}}¿Crees que hablará en sueños?
Seguro que grita tanto como
cuando está despierta, {{TAG:0003:0002:}}{{TAG:0007:0000:0A000000}}¡je, je, je!","{{TAG:0003:0025:}}Alors comme ça, {{TAG:0011:0001:0000}} dort
dans {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !{{TAG:0007:0000:14000000}}
Je me demande si elle parle la nuit{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.
{{TAG:0003:0023:}}Bah, c'est pas le genre à parler dans
son sommeil,{{TAG:0003:0002:}} mais plutôt à hurler !","{{TAG:0003:0025:}}Aha! Qui è dove dorme {{TAG:0011:0001:0000}}!
Quest{{TAG:000E:0012:100002006F00020061000000}} {{TAG:0011:0003:0000}} ha
l'aria molto comoda, non è vero?
{{TAG:0003:0023:}}Chissà se lei parla nel sonno?!
O magari grida! {{TAG:0003:0002:}}{{TAG:0007:0000:0A000000}}Ah ah ah!","{{TAG:0003:0025:}}Aha, {{TAG:0007:0000:0A000000}}hier schläft {{TAG:0011:0001:0000}} also!
{{TAG:0007:0000:14000000}}Sieht ganz kuschelig aus, {{TAG:000E:0012:1000060064006500720006006400690065000600640061007300}}
{{TAG:0011:0003:0000}}, was?
{{TAG:0003:0023:}}Ich frag mich, ob sie im Schlaf
redet{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}. {{TAG:0007:0000:14000000}}oder ob sie herumbrüllt!
{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Hihihi!","{{TAG:0003:0025:}}Demek {{TAG:0011:0001:0000}} burada uyuyor!
Şu {{TAG:0011:0003:0000}} bayağı rahat görünüyor, değil mi?
{{TAG:0003:0023:}}Acaba uykusunda konuşuyor
mu{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}} yoksa sadece bağırıyor mu. {{TAG:0003:0002:}}{{TAG:0007:0000:0A000000}}Hihi!"
8,009,"{{TAG:0003:0023:}}I bet {{TAG:0011:0001:0000}} needs a big bed
because she tosses and turns in
her sleep. {{TAG:0003:0002:}}And probably kicks too!
{{TAG:0003:002B:}}Maybe she hides her secret diary
under her pillow{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}{{TAG:0003:0028:}} Not that I would
ever read someone's diary!","{{TAG:0003:0023:}}{{TAG:0011:0001:0000}} tiene pinta de moverse
mucho cuando duerme, por eso
tendrá esta cama tan grande.
{{TAG:0003:002B:}}A lo mejor esconde su diario
secreto debajo de la almohada{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}{{TAG:0003:0028:}}
¡Yo no lo leería, claro!","{{TAG:0003:0023:}}{{TAG:0011:0001:0000}} a un grand lit ? {{TAG:0007:0000:0A000000}}{{TAG:0003:0002:}}Je suis
sûre qu'elle donne des coups de
pied dans tous les sens en dormant !
{{TAG:0000:0003:0500}}{{TAG:0003:002B:}}(Je parie qu'elle cache son journal
intime sous le matelas...) {{TAG:0003:0012:}}{{TAG:0000:0003:FFFF}}Regarde,
{{TAG:0005:0000:}} ! Une gourde volante !","{{TAG:0003:0023:}}Scommetto che {{TAG:000E:0010:}} {{TAG:0011:0001:0000}} serve
un letto enorme perché si dimena
come una matta! {{TAG:0003:0002:}}E tira calci, anche!
{{TAG:0003:002B:}}Forse nasconde il diario segreto
sotto il cuscino{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}{{TAG:0003:0028:}} non che voglia
leggerlo, eh!","{{TAG:0003:0023:}}Ich wette, {{TAG:0011:0001:0000}} braucht ein
großes Bett, weil sie sich im Schlaf
immer hin- und herwälzt!
{{TAG:0003:0002:}}Wahrscheinlich schlägt und tritt sie
auch um sich! {{TAG:0007:0000:14000000}}Hahaha!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Vielleicht versteckt sie ja auch ihr
Tagebuch unter dem Kissen{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0000:0004:}}{{TAG:0003:0028:}}Nicht, dass ich das Tagebuch von
jemandem lesen würde!","{{TAG:0003:0023:}}Bence {{TAG:0011:0001:0000}} büyük yatağa ihtiyaç
duyuyor çünkü uykusunda dönüp
duruyordur. {{TAG:0003:0002:}}Bir de tekmeliyordur kesin!
{{TAG:0003:002B:}}Belki gizli günlüğünü yastığının altında
saklıyordur{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}{{TAG:0003:0028:}} Ama ben asla birinin
günlüğünü okumam tabii!"
9,010,"{{TAG:0003:0001:}}This {{TAG:0011:0003:0000}} is
very nice, but it's a little too cozy.{{TAG:0007:0000:0A000000}}
{{TAG:0003:001B:}}Only room for one!
{{TAG:0003:0028:}}And that won't do. {{TAG:0007:0000:0A000000}}I mean, I would
totally need some extra room for
{{TAG:0003:0004:}}my {{TAG:0005:0010:0000}}!","{{TAG:0003:0001:}}Est{{TAG:000E:0008:00CD02006500020061000000}} {{TAG:0011:0003:0000}} es
muy chuli, pero tiene una pega.{{TAG:0007:0000:0A000000}}
{{TAG:0003:001B:}}¡Es de una sola plaza!
{{TAG:0003:0028:}}Puede que {{TAG:0011:0001:0000}} no reciba
muchas visitas. ¡Todo lo contrario
que yo, je, je!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
bof bof...{{TAG:0007:0000:14000000}} En plus, y'a à peine la
place pour une personne !
{{TAG:0003:0028:}}Moi, si je peux pas m'étaler et
{{TAG:0003:0004:}}manger {{TAG:000E:0002:}}{{TAG:0005:0010:0000}}
tranquillou, c'est trop petit !","{{TAG:0003:0001:}}Quest{{TAG:000E:0008:00CD02006F00020061000000}} {{TAG:0011:0003:0000}}
ha un aspetto molto carino, ma direi
troppo poco trendy.{{TAG:0007:0000:0A000000}}
{{TAG:0003:001B:}}E poi c'è posto solo per uno! {{TAG:0003:0028:}}Non
si può mica. {{TAG:0007:0000:0A000000}}Cioè, a me serve spazio
per {{TAG:0003:0004:}}{{TAG:000E:0001:}}{{TAG:0005:0010:0000}}!","{{TAG:0003:0001:}}{{TAG:000E:0012:10000C004400690065007300650072000A00440069006500730065000C00440069006500730065007300}} {{TAG:0011:0003:0000}} da
ist ja echt hübsch, {{TAG:0007:0000:0A000000}}aber ein bisschen
zu klein für meinen Geschmack.
{{TAG:0003:001B:}}Da ist ja nur Platz für eine Person!
{{TAG:0007:0000:14000000}}{{TAG:0003:0028:}}Und das geht mal gar nicht!{{TAG:0000:0004:}}Ich mein, ich brauch doch Platz für
{{TAG:0003:0004:}}{{TAG:000E:0012:03000C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0005:0010:0000}}!","{{TAG:0003:0001:}}Şu {{TAG:0011:0003:0000}} çok güzel ama biraz fazla
rahat.{{TAG:0007:0000:0A000000}} {{TAG:0003:001B:}}Sadece bir kişilik yer var!
{{TAG:0003:0028:}}Bu olmaz. {{TAG:0007:0000:0A000000}}Benim {{TAG:0003:0004:}}{{TAG:0005:0010:0000}} için kesin biraz
daha fazla alana ihtiyacım olurdu!"
