entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}You always seem so self-confident.{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Tú siempre rebosas confianza,{{TAG:0007:0000:0A000000}}
¿lo sabías? {{TAG:0007:0000:14000000}}Es por eso por lo que
tu aura brilla con mucha fuerza.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Tu as toujours l'air pétrie de
confiance en toi...{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Sembri sempre così sicura di te!{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Hach ja, du kommst immer so
selbstbewusst und selbstsicher
rüber.{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Kendine hep çok güveniyor gibisin.{{TAG:000C:0009:}}
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0017:}}Huh?{{TAG:0007:0000:14000000}} You think?{{TAG:0007:0000:28000000}} {{TAG:0003:0026:}}That's awesome!{{TAG:0007:0000:14000000}}
I mean,{{TAG:0007:0000:08000000}} a superstar shouldn't try to
escape the spotlight, ya know!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0017:}}¿Ah, sí?{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}¡Qué chachi! ¡No solo mi
aspecto es ideal, sino que mi aura
también! Je, je.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}Eh ouais, c'est ça la vie d'artiste,
lol !{{TAG:0007:0000:08000000}} Quand t'es une star, faut pas
avoir peur des feux de la rampe !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0017:}}Oh?{{TAG:0007:0000:14000000}} Dici sul serio?{{TAG:0007:0001:}} {{TAG:0003:0026:}}Che storia!{{TAG:0007:0000:14000000}}
Cioè, nel senso, una superstar non
deve mai sfuggire ai riflettori, no?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0017:}}Echt? {{TAG:0007:0000:14000000}}Meinst du wirklich?
{{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Das ist ja cool!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Ich finde ja, ein Superstar sollte
dem Rampenlicht nicht ausweichen,
wenn es sich schon anbietet!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0017:}}Ha?{{TAG:0007:0000:14000000}} Sence öyle miyim?{{TAG:0007:0000:28000000}} {{TAG:0003:0026:}}Süpermiş!{{TAG:0007:0000:14000000}}
Yani,{{TAG:0007:0000:08000000}} bir süperstar spot ışıklarından
kaçmaya çalışmaz ki, biliyorsun!{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}I wish I had more confidence when
it comes to wearing new outfits.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}La verdad es que me das un pelín
de envidia. {{TAG:0007:0000:14000000}}Ya me gustaría a mí
tener tanta seguridad en mí misma.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}J'aimerais avoir autant d'aplomb...
J'ai l'impression de manquer
d'audace, surtout dans mes tenues...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}A volte, vorrei avere un po' più
di fiducia in me stessa!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Manchmal... {{TAG:0007:0000:14000000}}Manchmal, da
wünschte ich, ich wäre auch
etwas selbstbewusster.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Yeni kıyafetler denerken keşke biraz
daha kendime güvenebilsem.{{TAG:000C:0009:}}"
3,004,"{{TAG:0003:0012:}}{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}Yeah?!{{TAG:0007:0000:14000000}} Are you saying you wanna be
more like me,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!{{TAG:000C:0009:}}","{{TAG:0003:0012:}}{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}¡Qué fuerte me parece! ¡¿Estás
diciendo que te gustaría ser
como yo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0011:}}Oh ? T'as décidé de devenir la
coqueluche de la ville, toi aussi ?
{{TAG:000E:0003:}}{{TAG:0005:0007:}}{{TAG:000C:0009:}} ?","{{TAG:0003:0012:}}{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}Davvero?!{{TAG:0007:0000:14000000}} Mi stai dicendo che
vorresti essere come me,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:0003:0012:}}{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}Ja?! {{TAG:0007:0000:14000000}}Willst du damit sagen, dass
du gern mehr wie ich wärst,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?!{{TAG:000C:0009:}}","{{TAG:0003:0012:}}{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}Öyle mi?!{{TAG:0007:0000:14000000}} Yani biraz daha benim gibi
olmak istiyorsun,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}W-{{TAG:0007:0000:08000000}}wait,{{TAG:0007:0000:08000000}} that's not what I meant!{{TAG:0007:0000:14000000}}
I just wish I had more confidence!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}¡N-{{TAG:0007:0000:08000000}}no! {{TAG:0007:0000:14000000}}¡No quería decir eso!
{{TAG:0007:0000:14000000}}¡Me refería a que me gustaría tener
esa confianza que tienes tú!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}Oh non, je n'en demande pas tant.{{TAG:0007:0000:0A000000}}
Juste être un peu moins timide, ça
me suffirait...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}A-{{TAG:0007:0000:08000000}}aspetta, non intendevo quello!{{TAG:0007:0000:14000000}}
Vorrei solo essere un po' più sicura!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}Äh... {{TAG:0007:0000:14000000}}N-nein, nicht direkt!{{TAG:0007:0000:14000000}} I-ich
meinte nur, dass ich gerne etwas
mehr Selbstvertrauen hätte.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}B-{{TAG:0007:0000:08000000}}bir dakika,{{TAG:0007:0000:08000000}} onu demek istemedim!{{TAG:0007:0000:14000000}}
Sadece kendime biraz daha güvenmek istiyorum!{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Don't be so nervous,{{TAG:0007:0000:08000000}} girl!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}When I'm
done with you,{{TAG:0007:0000:08000000}} you're gonna walk
and talk just like me!
OK,{{TAG:0007:0000:08000000}} first lesson:{{TAG:0007:0000:14000000}} You need to tell
yourself {{TAG:0003:0004:}}""I'm totally amazing"" 10
times a day.{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}But no more than 10.{{TAG:0007:0000:14000000}} You don't
want to overdo it,{{TAG:0007:0000:08000000}} rookie.{{TAG:0007:0000:28000000}}
Ready? {{TAG:0007:0000:08000000}}{{TAG:0003:0026:}}Say it for me!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Tranquila, chica.{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}¡Empezaremos por
la confianza y luego ya hablaremos
de este estilo que me llevas!
Primera lección:{{TAG:0007:0000:14000000}} debes decirte a
ti misma {{TAG:0003:0004:}}""soy supergenial"" unas
diez veces al día.{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Solo diez, ¿vale?{{TAG:0007:0000:14000000}} Con lo tímida que
eres, a saber qué te haría una dosis
mayor.{{TAG:0007:0001:}} {{TAG:0003:0026:}}¡Venga, empieza!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}T'inquiète, cocotte :{{TAG:0007:0000:0A000000}} je vais faire de
toi une winneuse en moins de temps
qu'il n'en faut pour dire « LOL » !
Première leçon :{{TAG:0007:0000:0A000000}} tu dois te dire à
toi-même {{TAG:0003:0004:}}« Je suis au top du top »
dix fois par jour.{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Mais pas plus :{{TAG:0007:0000:0A000000}} brûler les étapes,
c'est bon pour les crâneurs à la
petite semaine. {{TAG:0007:0001:}}{{TAG:0003:0026:}}Allez, je t'écoute !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Cioè,{{TAG:0007:0000:08000000}} rilassati!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Ti faccio un corso
intensivo per imparare a camminare
e a parlare troppo come me!
Per prima cosa, inizia ripetendo
'sta frase: {{TAG:0003:0004:}}""Io sono uno schianto!"".
Devi dirla dieci volte al giorno.
{{TAG:0003:0000:}}Ma non più di dieci. Non bisogna
esagerare,{{TAG:0007:0000:08000000}} OK?{{TAG:0007:0001:}} Pronta?
{{TAG:0007:0000:08000000}}{{TAG:0003:0026:}}Forza, fammi sentire come lo dici!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Jetzt sei doch nicht so nervös,
{{TAG:0007:0000:0A000000}}Mädchen!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Wenn ich erst mir dir fertig bin,
wirst du auftreten und reden wie
ich!
ALSO, {{TAG:0007:0000:0A000000}}erste Lektion: {{TAG:0007:0000:14000000}}Du musst dir
einfach zehn Mal am Tag sagen:
{{TAG:0003:0004:}}„Ich bin großartig!“{{TAG:0003:0000:}}
Aber auf keinen Fall öfter als zehn
Mal! {{TAG:0007:0000:14000000}}Wir wollen's ja nicht übertrei-
ben, {{TAG:0007:0000:0A000000}}Kleine.
Bereit? {{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Jetzt wiederhol's für mich!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Bu kadar gerilme,{{TAG:0007:0000:08000000}} kız!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Benim işim
bittiğinde,{{TAG:0007:0000:08000000}} tıpkı benim gibi yürüyüp konuşacaksın!
Tamam,{{TAG:0007:0000:08000000}} ilk ders:{{TAG:0007:0000:14000000}} Her gün kendine
{{TAG:0003:0004:}}""Ben harikayım!"" diye 10 kez
söyleyeceksin.{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Ama 10'u geçmek yok.{{TAG:0007:0000:14000000}} Fazlası da
iyi değil,{{TAG:0007:0000:08000000}} çaylak.{{TAG:0007:0000:28000000}}
Hazır mısın? {{TAG:0007:0000:08000000}}{{TAG:0003:0026:}}Hadi, söyle bakalım!{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0024:}}I'm,{{TAG:0007:0000:08000000}} uh,{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}} totally amazing?{{TAG:0007:0000:28000000}} That's a 
little embarrassing to say out loud.{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}{{TAG:000C:0003:}}Don't you think so,{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:000C:0001:}} {{TAG:0005:0008:}}?{{TAG:0008:0000:080000000A000000}}
Maybe a little...
But you are amazing!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0024:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} So-{{TAG:0007:0000:08000000}}soy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} supergenial.{{TAG:0007:0001:}}
Ay, da mucha vergüenza decir eso
en voz alta, ¿{{TAG:0003:0000:}}{{TAG:000C:0003:}}no crees,{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:000C:0001:}} {{TAG:0005:0008:}}?{{TAG:0008:0000:080000000A000000}}
Un poquito...
¡Eres supergenial!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0024:}}Je suis...{{TAG:0007:0000:0A000000}} hum...{{TAG:0007:0000:0A000000}} au top du...{{TAG:0007:0000:0A000000}} du top !{{TAG:0007:0000:0A000000}}
Ça fait pas un peu prétentieux ?{{TAG:0007:0000:0A000000}}
{{TAG:000C:0003:}}Tu en penses quoi, {{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:000C:0001:}}{{TAG:0005:0008:}} ?{{TAG:0008:0000:080000000A000000}}
Peut-être un poil...
Mais tu ES au top !","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0024:}}Ehm...{{TAG:0007:0000:08000000}} Io sono...{{TAG:0007:0000:08000000}} uno schianto?{{TAG:0007:0001:}}
È un po' imbarazzante...{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}{{TAG:000C:0003:}}Non trovi anche tu,{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:000C:0001:}} {{TAG:0005:0008:}}?{{TAG:0008:0000:080000000A000000}}
Forse un pochino...
Ma tu sei uno schianto!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0024:}}Ich... {{TAG:0007:0000:14000000}}äh... {{TAG:0007:0000:14000000}}Ich bin... {{TAG:0007:0000:14000000}}großartig. {{TAG:0007:0000:14000000}}Hihi,
es ist ein bisschen peinlich, das
laut zu sagen. {{TAG:0007:0000:14000000}}Oder, {{TAG:0005:0008:}}?{{TAG:0008:0000:080000000A000000}}
Schon peinlich.
Du BIST großartig!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0024:}}Ben,{{TAG:0007:0000:08000000}} şey,{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}} harikayım?{{TAG:0007:0000:28000000}} Bunu sesli
söylemek biraz utandırıcı.{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}{{TAG:000C:0003:}}Sence de öyle değil mi,{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:000C:0001:}} {{TAG:0005:0008:}}?{{TAG:0008:0000:080000000A000000}}
Biraz olabilir...
Ama gerçekten harikasın!"
7,008,{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0025:}}See?{{TAG:0007:0000:08000000}} I'm glad you agree with me.{{TAG:000C:0009:}},"{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0025:}}Me alegro de que opines igual
que yo.{{TAG:000C:0009:}}","{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0025:}}Merci, je me sens moins seule.{{TAG:000C:0009:}}","{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0025:}}Vedi,{{TAG:0007:0000:08000000}} sono contenta che tu sia
d'accordo con moi.{{TAG:000C:0009:}}","{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0025:}}Ja, nicht wahr?{{TAG:0007:0000:14000000}} Hmm, ich bin froh,
dass du mir zustimmst. {{TAG:0007:0000:14000000}}Da ist es
schon nicht mehr ganz so peinlich.{{TAG:000C:0009:}}",{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0025:}}Gördün mü?{{TAG:0007:0000:08000000}} Bana katılmana sevindim.{{TAG:000C:0009:}}
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}I guess so.{{TAG:0007:0000:14000000}} I've never had a problem
with it,{{TAG:0007:0000:08000000}} but then again,{{TAG:0007:0000:0F000000}}{{TAG:0003:0002:}} I AM totally
amazing!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Jo, pues yo no tengo ningún
problema. Pero claro,{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} ¡es que
yo soy supergenial!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Si tu le dis...{{TAG:0007:0000:0A000000}} Perso, ça m'a jamais
dérangée.{{TAG:0007:0000:0F000000}}{{TAG:0003:0002:}} Mais c'est sûrement
parce que je suis au top du top, lol !","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Mah...{{TAG:0007:0000:14000000}} Per me non è mai stato
un problema. Cioè, voglio dire,
{{TAG:0007:0000:0F000000}}{{TAG:0003:0002:}}io sono uno schianto!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Okaaay... {{TAG:0007:0000:14000000}}Ich selbst hab damit ja nie
ein Problem gehabt. {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Aber schließlich
BIN ich ja auch großartig!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Sanırım.{{TAG:0007:0000:14000000}} Ben hiç bu konuda sorun
yaşamadım,{{TAG:0007:0000:08000000}} ama tabii,{{TAG:0007:0000:0F000000}}{{TAG:0003:0002:}} BEN zaten müthişim!"
9,010,{{TAG:000A:0001:0B000D00}},{{TAG:000A:0001:0B000D00}},{{TAG:000A:0001:0B000D00}},{{TAG:000A:0001:0B000D00}},{{TAG:000A:0001:0B000D00}},{{TAG:000A:0001:0B000D00}}
