entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}My {{TAG:0011:0003:0000}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} I
didn't really have a good place for
it,{{TAG:0007:0000:08000000}} so I just stuffed it in there.
{{TAG:0003:0025:}}Since I don't have room,{{TAG:0007:0000:08000000}} would you
like to have it?{{TAG:000F:0005:15002800}}
I'll take it!
No, thanks.","{{TAG:0003:0010:}}¡Anda!{{TAG:0007:0000:14000000}} ¡Mi {{TAG:0011:0003:0000}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}No sabía dónde guardarl{{TAG:000E:0008:00CD02006F00020061000000}}, {{TAG:0007:0000:0A000000}}así que
acabé metiéndol{{TAG:000E:0008:00CD02006F00020061000000}} ahí como pude.
{{TAG:0003:0025:}}Como no tengo mucho sitio,
{{TAG:0007:0000:0A000000}}¿te gustaría quedártel{{TAG:000E:0008:00CD02006F00020061000000}}?{{TAG:000F:0005:15002800}}
¡Pues sí!
No, gracias","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}, {{TAG:000E:0008:00CD040069006C00080065006C006C00650002003000}}
était là !{{TAG:0007:0000:14000000}} {{TAG:0003:0024:}}Je l'avais rangé{{TAG:000E:0008:00CD00000200650002003000}} ici parce
que je ne savais pas où l{{TAG:000E:0008:00CD020065000200610002003000}} mettre...
{{TAG:0003:0025:}}Je n'ai pas assez de place pour l{{TAG:000E:0008:00CD020065000200610002003000}}
garder, de toute façon. Ça
t'intéresse ?{{TAG:000F:0005:15002800}}
Je prends !
Non, merci.","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}{{TAG:000E:0008:00CD0C0049006C0020006D0069006F000C004C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}Non sapevo dove metterl{{TAG:000E:0008:00CD02006F000200610002003000}}, quindi
l'avevo buttat{{TAG:000E:0008:00CD02006F000200610002003000}} lì.
{{TAG:0003:0025:}}Perché non l{{TAG:000E:0008:00CD02006F000200610002003000}} prendi tu?{{TAG:000F:0005:15002800}}
Volentieri, grazie!
No, non mi serve.","{{TAG:0003:0010:}}Oh! {{TAG:000E:0008:00CD08004D00650069006E000A004D00650069006E00650008004D00650069006E00}} {{TAG:0011:0003:0000}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Kennst du das, wenn man für ein
Ding einfach keinen Platz hat?
{{TAG:0003:0015:}}Ich stopfe so etwas dann meistens
einfach in irgendeine Schublade.
Eigentlich schade.
{{TAG:0003:0025:}}Aber sag mal...
Hättest du nicht vielleicht
Verwendung dafür?{{TAG:000F:0005:15002800}}
Oh, wie nett!
Nein danke.","{{TAG:0003:0010:}}Aa! {{TAG:0007:0000:14000000}}Benim {{TAG:0011:0003:0000}}ım!{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} Ona uygun bir yer
bulamamıştım,{{TAG:0007:0000:08000000}} o yüzden oraya tıkmıştım.
{{TAG:0003:0025:}}Madem yerim yok,{{TAG:0007:0000:08000000}} sen almak ister misin?{{TAG:000F:0005:15002800}}
Alırım!
Yok, sağ ol."
1,002,"{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:08000000}} that's where it was!{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} I knew my
{{TAG:0011:0003:0000}} was around
here somewhere.
{{TAG:0003:0025:}}Well,{{TAG:0007:0000:08000000}} since I've lived so long without
it,{{TAG:0007:0000:08000000}} and I don't really have room{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Would you like to have it?{{TAG:000F:0005:15002800}}
Yes, please!
No, thanks.","{{TAG:0003:0010:}}¡Ay, mira dónde estaba!{{TAG:0007:0000:14000000}} Sabía que
mi {{TAG:0011:0003:0000}} andaba
por aquí cerca.
{{TAG:0003:0025:}}Bueno,{{TAG:0007:0000:0A000000}} como he vivido tanto tiempo
sin saber siquiera dónde estaba,{{TAG:0007:0000:0A000000}}
está claro que no l{{TAG:000E:0008:00CD02006F00020061000000}} necesito.
Como tampoco tengo mucho sitio,
¿te l{{TAG:000E:0008:00CD02006F00020061000000}} quieres quedar tú?{{TAG:000F:0005:15002800}}
¡Síii!
Nah","{{TAG:0003:0010:}}Oh, {{TAG:000E:0001:}}{{TAG:0011:0003:0000}},
voilà où {{TAG:000E:0006:040069006C00080065006C006C006500}} se cachait !{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} Je savais
bien que je finirais par l{{TAG:000E:0006:0200650002006100}} retrouver !
{{TAG:0003:0025:}}En même temps, je n'en ai plus
vraiment besoin{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ça te ferait
plaisir si je te l{{TAG:000E:0006:0200650002006100}} donnais ?{{TAG:000F:0005:15002800}}
Et comment !
Non, merci.","{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:08000000}} {{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Mi ero addirittura dimenticata
di averne un{{TAG:000E:0008:00CD02006F000200610002003000}}.
{{TAG:0003:0025:}}Beh, visto che non l'ho mai usat{{TAG:000E:0008:00CD02006F000200610002003000}},
che dici di prendertel{{TAG:000E:0008:00CD02006F000200610002003000}} tu?
Io non ho nemmeno posto qui{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:000F:0005:15002800}}
Volentieri, grazie!
No, non mi serve.","{{TAG:0003:0010:}}Oh, da ist {{TAG:000E:0008:00CD16006500720020006A006100210020004D00650069006E001A0073006900650020006A006100210020004D00650069006E00650016006500730020006A006100210020004D00650069006E00}}
{{TAG:0011:0003:0000}}! {{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}Danach
habe ich schon ewig gesucht.
Sogar so ewig, dass ich glatt
vergessen hatte, dass ich so etwas
überhaupt besitze, hihi.
{{TAG:0003:0025:}}Wenn ich so darüber nachdenke,
habe ich auch eigentlich gar keine
Verwendung mehr dafür.
Sag mal, wäre das nicht vielleicht
etwas für dich? {{TAG:0007:0000:14000000}}So als kleines
Geschenk von mir?{{TAG:000F:0005:15002800}}
Oh, wie nett!
Nein danke.","{{TAG:0003:0010:}}Aa,{{TAG:0007:0000:08000000}} demek oradaymış!{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} {{TAG:0011:0003:0000}}ımın
buralarda bir yerde olduğunu biliyordum.
{{TAG:0003:0025:}}Şey,{{TAG:0007:0000:08000000}} o olmadan bu kadar uzun yaşadığıma
göre,{{TAG:0007:0000:08000000}} hem de pek yerim yokken{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Almak ister misin?{{TAG:000F:0005:15002800}}
Evet, lütfen!
Yok, sağ ol."
2,003,"{{TAG:0003:0029:}}My {{TAG:0011:0003:0000}}!{{TAG:0007:0000:14000000}} I was
so sure I'd permanently lost it that I
bought another one.
{{TAG:0003:0025:}}Oh well.{{TAG:0007:0000:14000000}} If you like it,{{TAG:0007:0000:08000000}} please take it!{{TAG:000F:0005:15002800}}
OK, thanks!
That's all right...","{{TAG:0003:0029:}}¡Si es mi {{TAG:0011:0003:0000}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}Estaba convencida de que l{{TAG:000E:0008:00CD02006F00020061000000}} había
perdido y me compré un{{TAG:000E:0008:00CD02006F00020061000000}} nuev{{TAG:000E:0008:00CD02006F00020061000000}}.
{{TAG:0003:0025:}}¡Bueno, {{TAG:0007:0000:0A000000}}si te gusta, {{TAG:0007:0000:0A000000}}quédatel{{TAG:000E:0008:00CD02006F00020061000000}}!{{TAG:000F:0005:15002800}}
¡Vale, gracias!
Mejor no...","{{TAG:0003:0029:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}, pas
possible ! J'étais convaincue de
l'avoir définitivement perdu{{TAG:000E:0008:00CD00000200650002003000}} !
À tel point que j'en ai acheté un{{TAG:000E:0008:00CD00000200650002003000}}
autre, d'ailleurs. Bref, si tu veux,
c'est cadeau !{{TAG:000F:0005:15002800}}
Merci !
Et si je veux pas ?","{{TAG:0003:0029:}}Uh, ma quell{{TAG:000E:0008:00CD02006F000200610002003000}} è {{TAG:000E:0008:00CD1C0069006C0020006D0069006F0020007600650063006300680069006F001C006C00610020006D00690061002000760065006300630068006900610002003000}}
{{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}Visto che non l{{TAG:000E:0008:00CD02006F000200610002003000}} trovavo da nessuna
parte, ne ho comprato un{{TAG:000E:0008:00CD0C00200061006C00740072006F000C00270061006C0074007200610002003000}}.
Se ti serve, prendil{{TAG:000E:0008:00CD02006F000200610002003000}} pure.{{TAG:000F:0005:15002800}}
Volentieri, grazie!
No, non mi serve.","{{TAG:0003:0029:}}{{TAG:000E:0008:00CD08004D00650069006E000A004D00650069006E00650008004D00650069006E00}} {{TAG:0011:0003:0000}}! Ich
war mir sicher, dass ich {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}}
verlegt oder verloren habe.
So sicher, dass ich mir inzwischen
{{TAG:000E:0008:00CD1600650069006E0065006E0020006E006500750065006E001200650069006E00650020006E006500750065001200650069006E0020006E006500750065007300}} gekauft habe. Tja,
so kann es manchmal gehen.
Sag mal, hättest du nicht zufällig
Verwendung für {{TAG:000E:0008:00CD18006D00650069006E0065006E00200061006C00740065006E0014006D00650069006E006500200061006C007400650014006D00650069006E00200061006C00740065007300}}? Ich
würde {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} in gute Hände abgeben.{{TAG:000F:0005:15002800}}
Gerne, danke.
Lass mal.","{{TAG:0003:0029:}}Benim {{TAG:0011:0003:0000}}ım!{{TAG:0007:0000:14000000}} Onu tamamen
kaybettiğime o kadar emindim ki
bir tane daha aldım.
{{TAG:0003:0025:}}Neyse.{{TAG:0007:0000:14000000}} Hoşuna gittiyse,{{TAG:0007:0000:08000000}} lütfen al!{{TAG:000F:0005:15002800}}
Tamam, sağ ol!
Yok, gerek yok..."
3,004,"{{TAG:0003:000F:}}Wait!{{TAG:0007:0000:08000000}} Don't open that!{{TAG:0007:0001:}} {{TAG:0003:0025:}}I was
thinking about giving that to you
later as a surprise present.{{TAG:0007:0000:14000000}}
But now I can give it to you early.
That is,{{TAG:0007:0000:08000000}} if you want it. It's OK if
you don't.{{TAG:000F:0005:15002800}}
I love it!
Thanks, but...","{{TAG:0003:000F:}}¡Ay, {{TAG:0007:0000:0A000000}}no abras eso, {{TAG:0007:0000:0A000000}}por favor!{{TAG:0007:0001:}}
{{TAG:0003:0009:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Es que tenía pensado regalarte
mi {{TAG:0011:0003:0000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0025:}}Hubiera preferido que fuera una
sorpresa, {{TAG:0007:0000:0A000000}}pero bueno,{{TAG:0007:0000:0A000000}} como ya
l{{TAG:000E:0008:00CD02006F00020061000000}} has visto, {{TAG:0007:0000:0A000000}}¿te l{{TAG:000E:0008:00CD02006F00020061000000}} quieres llevar?
{{TAG:0003:000D:}}¡Pero que si no l{{TAG:000E:0008:00CD02006F00020061000000}} quieres, {{TAG:0007:0000:0A000000}}no pasa
nada, {{TAG:0007:0000:0A000000}}que no me enfadaré!
{{TAG:0007:0000:14000000}}¡De verdad, {{TAG:0007:0000:0A000000}}no te sientas obligad{{TAG:000E:0006:02006F0002006100}}!{{TAG:000F:0005:15002800}}
¡Me encanta! ¡Gracias!
Em... Gracias, pero...","{{TAG:0003:000F:}}Attends, n'ouvre pas !{{TAG:0007:0000:0A000000}} Je voulais te
l'offrir !{{TAG:0007:0001:}} {{TAG:0003:0025:}}Oh...{{TAG:0007:0000:0A000000}} Je repasserai pour
l'effet de surprise...
Enfin, c'est à toi si ça te fait plaisir.{{TAG:0007:0000:0A000000}}
Mais si tu n'en veux pas, ce n'est
pas grave.{{TAG:000F:0005:15002800}}
C'est super !
Merci, mais en fait...","{{TAG:0003:000F:}}No! Volevo regalarti
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}
per il tuo compleanno.
Ma ormai la sorpresa è rovinata.
Vabbè, se vuoi puoi prenderl{{TAG:000E:0008:00CD02006F000200610002003000}} ora.{{TAG:000F:0005:15002800}}
Volentieri, grazie!
No, non mi serve.","{{TAG:0003:000F:}}Halt! Nicht aufmachen!
Oh, das wollte ich doch später noch
einpacken und dir schenken...
Aber okay, ich schätze mal,
deine Neugier gewinnt.
Möchtest du es haben?{{TAG:000F:0005:15002800}}
Ja, wie schön!
Äh, danke, aber...","{{TAG:0003:000F:}}Dur!{{TAG:0007:0000:08000000}} Onu açma!{{TAG:0007:0001:}} {{TAG:0003:0025:}}Aslında sana
sonra sürpriz hediye olarak
vermeyi düşünüyordum.{{TAG:0007:0000:14000000}}
Ama şimdi erkenden verebilirim.
Tabii,{{TAG:0007:0000:08000000}} istiyorsan. İstemiyorsan da sorun değil.{{TAG:000F:0005:15002800}}
Bayıldım!
Sağ ol ama..."
4,005,"{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:08000000}} did you pull that out?{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}} I bought
one too many,{{TAG:0007:0000:08000000}} so I was keeping it in
storage.{{TAG:0007:0000:14000000}} Would you like to have it?{{TAG:000F:0005:15002800}}
I'll take it!
Don't need it, thanks.","{{TAG:0003:0010:}}¡Vaya! {{TAG:0007:0000:14000000}}¡Mi {{TAG:0011:0003:0000}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}¿Te gusta, {{TAG:0007:0000:0A000000}}bichín? {{TAG:0007:0000:14000000}}Si quieres,
{{TAG:0007:0000:0A000000}}te l{{TAG:000E:0008:00CD02006F00020061000000}} puedes quedar.{{TAG:000F:0005:15002800}}
¡Vale, para mí!
No me hace falta...","{{TAG:0003:0010:}}Oh, où tu as trouvé ça ?{{TAG:0007:0000:0A000000}} Je l'ai en
double, alors je n'en ai pas besoin.{{TAG:0007:0000:0A000000}}
Ça t'intéresse ?{{TAG:000F:0005:15002800}}
À fond !
Pas besoin non plus.","{{TAG:0003:0010:}}Oh,{{TAG:0007:0000:08000000}} come hai fatto a trovare
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}?{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}L'ho comprat{{TAG:000E:0008:00CD02006F000200610002003000}} di riserva nel caso
si rompa quell{{TAG:000E:0008:00CD02006F000200610002003000}} che già ho, ma puoi
prenderl{{TAG:000E:0008:00CD02006F000200610002003000}} se ti serve.{{TAG:000F:0005:15002800}}
Volentieri, grazie!
No, non mi serve.","{{TAG:0003:0010:}}Oh, was hast du denn da gefunden?{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
Ach ja, davon habe ich aus Versehen
eins zu viel gekauft. {{TAG:0007:0000:14000000}}Willst du es?{{TAG:000F:0005:15002800}}
Oh, danke!
Brauch ich nicht.","{{TAG:0003:0010:}}Aa,{{TAG:0007:0000:08000000}} onu mu çıkardın?{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}} Bir tane fazla
almıştım,{{TAG:0007:0000:08000000}} o yüzden depoda tutuyordum.{{TAG:0007:0000:14000000}}
Almak ister misin?{{TAG:000F:0005:15002800}}
Alırım!
Gerek yok, sağ ol."
5,006,"{{TAG:0003:0025:}}OK,{{TAG:0007:0000:08000000}} I understand.","{{TAG:0003:0025:}}Vale, {{TAG:0007:0000:0A000000}}lo entiendo.","{{TAG:0003:0025:}}OK, je comprends.","{{TAG:0003:0025:}}OK,{{TAG:0007:0000:08000000}} nessun problema.","{{TAG:0003:0025:}}In Ordnung.{{TAG:0007:0000:14000000}} Ich zwinge
ja niemanden.","{{TAG:0003:0025:}}Tamam,{{TAG:0007:0000:08000000}} anlıyorum."
6,007,"{{TAG:0003:0025:}}Of course.{{TAG:0007:0000:14000000}} I'll give it to someone
else then.","{{TAG:0003:0025:}}No pasa nada, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Pas de problème !{{TAG:0007:0000:0A000000}} Ça fera le
bonheur de quelqu'un d'autre !","{{TAG:0003:0025:}}Non preoccuparti.{{TAG:0007:0000:14000000}} Troverò un altro
modo per sbarazzarmene.","{{TAG:0003:0025:}}In Ordnung.{{TAG:0007:0000:14000000}} Dann beschenke
ich eben jemand anderen.",{{TAG:0003:0025:}}Tabii.{{TAG:0007:0000:14000000}} O zaman başka birine veririm.
7,008,"{{TAG:0003:0025:}}If you change your mind,{{TAG:0007:0000:08000000}} feel free to
take it with you.","{{TAG:0003:0025:}}Muy bien.{{TAG:0007:0000:14000000}} Si cambias de idea,{{TAG:0007:0000:0A000000}}
no te cortes y dímelo, {{TAG:0007:0000:0A000000}}¿de acuerdo?","{{TAG:0003:0025:}}D'accord, mais pas de problème si
tu changes d'avis.","{{TAG:0003:0025:}}Se dovessi cambiare idea,
{{TAG:0007:0000:08000000}}non esitare a dirmelo. Intesi?","{{TAG:0003:0025:}}In Ordnung.{{TAG:0007:0000:14000000}} Du kannst deine
Meinung aber auch noch ändern.","{{TAG:0003:0025:}}Fikrini değiştirirsen,{{TAG:0007:0000:08000000}} giderken yanına
almaktan çekinme."
8,009,{{TAG:0003:0025:}}Great! Feel free to take it with you.,"{{TAG:0003:0025:}}¡Fantástico!{{TAG:0007:0000:14000000}} ¡Sé que le darás
buen uso!",{{TAG:0003:0025:}}Super ! {{TAG:0007:0000:0A000000}}Prends-en bien soin !,"{{TAG:0003:0025:}}Che beeello! Finalmente non l'avrò
più fra i piedi!","{{TAG:0003:0025:}}Prima!{{TAG:0007:0000:14000000}} Dann wünsche ich
dir viel Spaß damit.",{{TAG:0003:0025:}}Harika! Giderken rahatça alabilirsin.
9,010,"{{TAG:0003:0025:}}That's great!{{TAG:0007:0000:14000000}} And now I'll have more
storage space.","{{TAG:0003:0025:}}Perfecto,{{TAG:0007:0000:0A000000}} ¡así l{{TAG:000E:0006:02006F0002006100}}s dos salimos
ganando! {{TAG:0007:0000:14000000}}¡Yo tengo más espacio
y tú te llevas un recuerdo mío!","{{TAG:0003:0025:}}Parfait !{{TAG:0007:0000:0A000000}} Libérer de la place tout
en faisant {{TAG:000E:0006:140075006E0020006800650075007200650075007800180075006E006500200068006500750072006500750073006500}} ! {{TAG:0007:0000:0A000000}}Je n'ai
pas perdu ma journée !","{{TAG:0003:0025:}}Fantastico!{{TAG:0007:0000:14000000}} Ora ho più posto
nel pied-à-terre!","{{TAG:0003:0025:}}Prima!{{TAG:0007:0000:14000000}} Dann habe ich direkt eine
Menge Platz gewonnen, hihi.","{{TAG:0003:0025:}}Ne güzel!{{TAG:0007:0000:14000000}} Hem artık depoda daha fazla
yerim olacak."
