index,key,F,G,I,S,U,TR
0,MID_様子_デジェル_前,"Je profite de mon temps libre pour reposer
mon corps et mon esprit.","Wie verbringst du deine Freizeit? Wir sollten
Körper und Geist eine Ruhepause gewähren.","Cosa fai nel tempo libero?
Tutti abbiamo bisogno di riposare.","Todos necesitamos descansar cuerpo y
alma. Yo lo hago entrenando.","How do you spend your leisure time?
We all need to rest our minds and bodies.","Boş zamanlarinizi nasıl geçiriyorsunuz?
Hepimizin zihnimizi ve bedenimizi
dinlendirmeye ihtiyacı var."
1,MID_様子_デジェル_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_デジェル_前_敬殿,"Je profite de mon temps libre pour reposer
mon corps et mon esprit.","Wie verbringt Ihr Eure Freizeit? Wir sollten
Körper und Geist eine Ruhepause gewähren.","Cosa fai nel tempo libero?
Tutti abbiamo bisogno di riposare.","Todos necesitamos descansar cuerpo y
alma. Yo lo hago entrenando.","How do you spend your leisure time?
We all need to rest our minds and bodies.","Boş zamanlarinizi nasıl geçiriyorsunuz?
Hepimizin zihnimizi ve bedenimizi
dinlendirmeye ihtiyacı var."
3,MID_様子_デジェル_後,"Moi, je m'entraîne, encore et encore. Mon
habileté est la meilleure des rétributions.","Ich trainiere immer. Meine Fähigkeiten sind
mir das allerwichtigste Gut.","Mi alleno in continuazione.
L'abilità è tutto ciò che conta, per me.","Yo entreno y después... entreno un poco
más. He de estar siempre en forma.","I train, and then I train some more. Skill is
my currency, and I seek to line my pockets.","Antrenman yapıyorum, sonra biraz daha
antrenman yapıyorum. Beceri benim paramdir
ve ceplerimi doldurmaya çalışıyorum."
4,MID_様子_デジェル_後_敬殿,"Moi, je m'entraîne, encore et encore. Mon
habileté est la meilleure des rétributions.","Ich trainiere immer. Meine Fähigkeiten sind
mir das allerwichtigste Gut.","Mi alleno in continuazione.
L'abilità è tutto ciò che conta, per me.","Yo entreno y después... entreno un poco
más. He de estar siempre en forma.","I train, and then I train some more. Skill is
my currency, and I seek to line my pockets.","Antrenman yapıyorum, sonra biraz daha
antrenman yapıyorum. Beceri benim paramdir
ve ceplerimi doldurmaya çalışıyorum."
5,MID_様子_デジェル_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_デジェル_前_親子_子,"Linfan, tu as l'air fatigué. T'aurais-je trop
poussée pendant l'entraînement ?","Linfan, du siehst müde aus. Habe ich dich
beim Training zu stark beansprucht?","Linfan, sembri stanco. Forse abbiamo
spinto un po' troppo in allenamento?","Linfan, pareces cansada. ¿He sido muy
dura contigo durante el entrenamiento?","Morgan, you look tired. Have I pushed
you too hard with the training?","Morgan, yorgun görünüyorsun.
Eğitimde seni çok mu zorladım?"
7,MID_様子_デジェル_後_親子_子,"Ça va. Je me sens en pleine forme, alors ne
t'inquiète pas.","Alles in Ordnung. Ich bin quicklebendig,
also mach dir keine Sorgen.","Sto bene, mi sento davvero in forma.
Non c'è di che preoccuparsi.","No te preocupes, de verdad.
Estoy como una rosa.","It's fine. I feel as right as rain,
so don't you worry.","Sorun yok. Turp gibiyim,
o yüzden merak etme."
8,MID_様子_デジェル_前_親子_母,"Mère, vous avez l'air faible. Avez-vous
mangé une plante étrange à la chasse ?","Mutter, du siehst blass aus. Hast du auf der
Jagd wieder komische Pflanzen gegessen?","Mamma, come sei pallida. Non è che hai
mangiato qualche pianta strana nel bosco?","Madre, no tienes muy buen aspecto.
¿Te ha sentado mal algo que has comido?","Mother, you look faint today. Did you eat
any strange plants while hunting?","Anne, bugün baygın görünüyorsun.
Avlanirken yabancı bitkiler yediniz mi?"
9,MID_様子_デジェル_後_親子_母,"Tout va bien, mère. Ce n'est rien comparé
à ce que j'ai pu voir dans le futur.","Keine Angst, Mutter. Verglichen mit dem,
was ich in der Zukunft sah, ist das nichts.","Sto bene, mamma. Questo è niente rispetto
a quello che ho visto nel futuro.","Estoy bien, madre. Esto no es nada en
comparación con el futuro.","It's all right, Mother. This is nothing
compared to what I saw in the future.","Sorun değil, anne. Gelecekte
gördüklerimin yanında bu hiçbir şey."
