entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:0006:090014000C000E00}},{{TAG:000A:0006:090014000C000E00}},{{TAG:000A:0006:090014000C000E00}},{{TAG:000A:0006:090014000C000E00}},{{TAG:000A:0006:090014000C000E00}},{{TAG:000A:0006:090014000C000E00}}
2,003,{{TAG:000A:0006:090014000D000E00}},{{TAG:000A:0006:090014000D000E00}},{{TAG:000A:0006:090014000D000E00}},{{TAG:000A:0006:090014000D000E00}},{{TAG:000A:0006:090014000D000E00}},{{TAG:000A:0006:090014000D000E00}}
3,004,,,,,,
4,005,"{{TAG:0003:0026:}}I super adore this place! {{TAG:0007:0000:14000000}}I can get
all my shopping done at once, {{TAG:0003:0005:}}so
there's more time for {{TAG:0007:0000:0F000000}}DANCING!","{{TAG:0003:0026:}}¡Esta zona es superideal! {{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}¡Como
están todas las tiendas juntas,
hago las compras requeterrápido!","{{TAG:0003:0026:}}Qu'est-ce que je l'adooore, cet
endroit ! {{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}Tous les magasins dans
une même rue, que du bonheur !","{{TAG:0003:0026:}}Questa via è troppo da urlo!{{TAG:0007:0000:14000000}}
Con tutti 'sti negozi così trendy,
{{TAG:0003:0005:}}fare shopping è un vero piacere!","{{TAG:0003:0026:}}Ich steh ja total auf diesen Laden!
{{TAG:0007:0000:14000000}}Hier kann ich alle meine Einkäufe
auf einmal erledigen!
{{TAG:0003:0005:}}Und dann hab ich nachher mehr
Zeit zum TANZEN! {{TAG:0007:0000:14000000}}Wuuhuu!","{{TAG:0003:0026:}}Buraya resmen BAYILIYORUM! {{TAG:0007:0000:14000000}}Bütün
alışverişimi tek seferde hallediyorum,{{TAG:0003:0005:}}
böylece {{TAG:0007:0000:0F000000}}DANSA daha çok vakit kalıyor!"
5,006,"{{TAG:0003:0005:}}Window shopping is the best!{{TAG:0007:0000:14000000}} I like
looking in windows{{TAG:0007:0000:05000000}} even more than
I like looking in the mirror! {{TAG:0003:0002:}}Haha!","{{TAG:0003:0005:}}¿No te encanta mirar escaparates?
¡A mí sí! ¡Mucho más que mirarme
en el espejo! {{TAG:0003:0002:}}¡Je, je, je!","{{TAG:0003:0005:}}Ahhh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. vive le lèche-vitrine, pas
vrai ?!{{TAG:0007:0000:14000000}} Le shopping aussi, c'est cool,{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}c'est juste un peu plus cher, hi hi !","{{TAG:0003:0005:}}A te non piace guardare le vetrine?{{TAG:0007:0000:14000000}}
È troppo da paura! {{TAG:0003:0002:}}Mi piace quasi
quanto guardarmi allo specchio!","{{TAG:0003:0005:}}Schaufensterbummeln ist echt das
Beste! {{TAG:0007:0000:14000000}}Ich guck sogar lieber in
Schaufenster als in den Spiegel!
{{TAG:0003:0002:}}Das will was heißen, was?","{{TAG:0003:0005:}}Vitrin gezmek en güzeli!{{TAG:0007:0000:14000000}} Vitrinlere
bakmayı{{TAG:0007:0000:05000000}} aynaya bakmaktan bile
daha çok seviyorum! {{TAG:0003:0002:}}Haha!"
6,007,"{{TAG:0003:0010:}}Ha! {{TAG:0007:0000:0F000000}}I totally knew I'd run into you
here, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}! {{TAG:0003:001D:}}I must be,{{TAG:0007:0000:05000000}} like,{{TAG:0007:0000:05000000}}
a psychic or something!","{{TAG:0003:0010:}}¡JA!{{TAG:0007:0000:0F000000}} ¡Sabía que te encontraría aquí,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}! {{TAG:0003:001D:}}Debo de tener poderes
psíquicos o algo.","{{TAG:0003:0010:}}Le truc de fou ! {{TAG:0007:0000:0F000000}}Avant de venir, je
me suis dit : {{TAG:0003:001D:}}« À tous les coups, tu
vas rencontrer {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} ! »","{{TAG:0003:0010:}}Aha! {{TAG:0007:0000:0F000000}}Sapevo che ti avrei trovat{{TAG:000E:0006:02006F0002006100}}
qui, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}! {{TAG:0003:001D:}}Che storia! Vuoi
vedere che sono una sensitiva?","{{TAG:0003:0010:}}Ha! {{TAG:0007:0000:14000000}}Ich wusste einfach, dass ich
dich hier treffen würde, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:001D:}}Ich hab garantiert übersinnliche
Fähigkeiten!","{{TAG:0003:0010:}}Ha! {{TAG:0007:0000:0F000000}}Seninle burada karşılaşacağımı
biliyordum,{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}! {{TAG:0003:001D:}}Ben galiba,{{TAG:0007:0000:05000000}} yani,{{TAG:0007:0000:05000000}}
medyum falanım!"
7,008,"{{TAG:0003:0003:}}I'm gonna shop {{TAG:0007:0000:0A000000}}until I drop today!{{TAG:0007:0001:}}
{{TAG:0003:0023:}}And by ""shop,"" {{TAG:0007:0000:0A000000}}I mean {{TAG:0007:0000:0F000000}}""look 
but don't buy!""
{{TAG:0003:0025:}}Pretty good plan, {{TAG:0007:0000:05000000}}right? {{TAG:0003:001B:}}At least
it saves me {{TAG:0007:0000:0A000000}}a bunch of Bells!{{TAG:0007:0000:0A000000}}
You should try it out,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0003:}}¡Hoy voy a comprar hasta caer
rendida!{{TAG:0007:0001:}} Bueno, solo voy a mirar
escaparates. ¡Me superencanta!
{{TAG:0003:001B:}}¡No sabes la de bayas que me
ahorro, chic{{TAG:000E:0006:02006F0002006100}}!{{TAG:0007:0000:0F000000}} ¡Deberías probarlo!","{{TAG:0003:0003:}}{{TAG:0007:0000:0A000000}}Aujourd'hui, c'est journée
shopping !{{TAG:0007:0001:}} {{TAG:0003:0023:}}En fait{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. je me contente
de baver en regardant les vitrines !
{{TAG:0003:001D:}}Si tu savais le nombre de clochettes
que j'économise, {{TAG:0005:0008:}} !!!","{{TAG:0003:0003:}}Oggi farò shopping fino a svenire!{{TAG:0007:0001:}}
{{TAG:0003:0023:}}Beh, in realtà, mi limiterò a dare
un'occhiata alle vetrine!
{{TAG:0003:0025:}}Non sai quante stelline mi risparmio
così, {{TAG:0005:0008:}}!","{{TAG:0003:0003:}}Heut wird geshoppt, bis der Arzt
kommt! {{TAG:0007:0000:14000000}}Das kannste aber glauben!{{TAG:0000:0004:}}{{TAG:0003:0023:}}Und mit „shoppen“ meine ich „in
ewig viele Schaufenster gucken und
nichts von dem guten Zeug kaufen“!
{{TAG:0003:0025:}}Guter Plan, oder? {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Ich mein, hey,
so spar ich wenigstens 'nen Haufen
Sternis!
Das solltest du auch mal testen,
{{TAG:0005:0008:}}!","{{TAG:0003:0003:}}Bugün düşene kadar alışveriş yapacağım{{TAG:0007:0000:0A000000}}!{{TAG:0007:0001:}}
{{TAG:0003:0023:}}‘Alışveriş’ derken{{TAG:0007:0000:0A000000}} ‘bakıp hiçbir şey
almamayı’{{TAG:0007:0000:0F000000}} kastediyorum! {{TAG:0003:0025:}}İyi plan, değil mi?{{TAG:0007:0000:05000000}}
{{TAG:0003:001B:}}En azından{{TAG:0007:0000:0A000000}} bir sürü Bell cebimde
kalıyor!{{TAG:0007:0000:0A000000}} Sen de denesene,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}!"
8,009,"{{TAG:0003:0025:}}What are the chances{{TAG:0007:0000:0A000000}} of us meeting
here like this?{{TAG:0007:0000:0F000000}} It may be just a
coincidence, {{TAG:0007:0000:0F000000}}{{TAG:0003:0004:}}but I think it's FATE!","{{TAG:0003:0025:}}¡Qué fuerte encontrarte aquí!
¡Menuda coincidencia!{{TAG:0007:0000:0F000000}}{{TAG:0003:0004:}} Será cosa
del destino...","{{TAG:0003:0025:}}Combien de chances sur UN million
on avait de se rencontrer ici ?{{TAG:0007:0000:0F000000}} Moi
je dis,{{TAG:0007:0000:0F000000}} {{TAG:0003:0004:}}c'est le destin !","{{TAG:0003:0025:}}Che storia trovarsi qui così, no?{{TAG:0007:0000:0F000000}}
Secondo me, è il destino!","{{TAG:0003:0025:}}Wow, {{TAG:0007:0000:14000000}}wie hoch sind eigentlich die
Chancen, dass wir uns hier einfach
so über den Weg laufen, hm?
Vielleicht ist es ja nur ein Zufall,
{{TAG:0007:0000:0A000000}}{{TAG:0003:0004:}}aber ich glaube an das SCHICKSAL!","{{TAG:0003:0025:}}Burada böyle karşılaşmamızın ihtimali
nedir ki{{TAG:0007:0000:0A000000}}?{{TAG:0007:0000:0F000000}} Tesadüf olabilir,{{TAG:0007:0000:0F000000}}{{TAG:0003:0004:}}
ama bence bu KADER!"
9,010,"{{TAG:0003:0005:}}Oooh! {{TAG:0007:0000:0F000000}}You must've heard {{TAG:0007:0000:0A000000}}that we
have, {{TAG:0007:0000:05000000}}like,{{TAG:0007:0000:05000000}} the BEST shopping here
in {{TAG:0005:0005:}}! {{TAG:0003:0026:}}{{TAG:0007:0000:0A000000}}Have fun today!","{{TAG:0003:0005:}}¡Ajá! Has venido a comprar a
{{TAG:000E:0003:}}{{TAG:0005:0005:}} porque tenemos 
las mejores tiendas, ¿no?","{{TAG:0003:0005:}}Sympa, notre rue commerçante, pas
vrai ?{{TAG:0007:0001:}} {{TAG:0003:0010:}}Hé, par contre, les trucs en
promo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. pas touche !
{{TAG:0003:0023:}}C'est{{TAG:0007:0000:0A000000}} euh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. réservé aux habitants 
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}} !{{TAG:0007:0000:14000000}} Si si, je t'assure !{{TAG:0007:0000:0A000000}}
C'est pas cool, je sais{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0005:}}Ehi! Sei venut{{TAG:000E:0006:02006F0002006100}} a fare shopping
qui {{TAG:000E:0010:}} {{TAG:0005:0005:}} perché sapevi
che abbiamo negozi da urlo, eh?","{{TAG:0003:0005:}}Du hast garantiert gehört, dass wir
hier in {{TAG:0005:0005:}} die mit Abstand
beste Einkaufsmeile haben, oder?
{{TAG:0003:0026:}}{{TAG:0007:0000:0A000000}}Ich wünsch dir ganz viel Spaß hier
bei uns!","{{TAG:0003:0005:}}Ooo! {{TAG:0007:0000:0F000000}}Demek {{TAG:0007:0000:0A000000}}{{TAG:0007:0000:05000000}} şey,{{TAG:0007:0000:05000000}} {{TAG:0005:0005:}}'daki EN İYİ
alışverişin burada olduğunu duydun!
{{TAG:0003:0026:}}{{TAG:0007:0000:0A000000}}Bugün iyi eğlenceler!"
