label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,Fantastös! Dafür verdienst du einen Prezzo!,Zing-a-rama! You deserve a prezzo for that!,"¡Chachi guay, pequeñurri!\nTe mereces un premio.",Bien ouéj ! T'as mérité un p'tit cadeau !,Zigzarama! Ti meriti un bel premio!,Sodeju! Daar verdien je wel een beloninkje\nvoor!,Şahane-rama! Buna bir\nödülcük yakışır!
CharaSerif_00_F,1,,,,,,,
CharaSerif_40_M,2,Du hast einen \u000E\u0000\u0003\u0004ﾑ＞Lerntalisman L \u000E\u0000\u0003\u0004\u0000＀erhalten!\nEin großer Talisman für extra viel Erfahrung!,You got an \u000E\u0000\u0003\u0004\uD85FｱEXP Charm L\u000E\u0000\u0003\u0004\u0000＀!,¡Has obtenido un \u000E\u0000\u0003\u0004ﾑ＞amuletón exp.\u000E\u0000\u0003\u0004\u0000＀!,Vous avez obtenu un \u000E\u0000\u0003\u0004ﾑ＞talisman EXP\u000E\u0000\u0003\u0004\u0000＀ !,Hai ottenuto un \u000E\u0000\u0003\u0004ﾑ＞amuleto esperienza L\u000E\u0000\u0003\u0004\u0000＀!,Je hebt een \u000E\u0000\u0003\u0004ﾑ＞mega-EP-talisman \u000E\u0000\u0003\u0004\u0000＀ontvangen!,Bir \u000E\u0000\u0003\u0004\uD85FｱDeneyim Tılsımı L\u000E\u0000\u0003\u0004\u0000＀ aldın!
CharaSerif_40_F,3,,,,,,,
CharaSerif_01_M,4,"Sag mal, hast du zufällig schon mal von was\ngehört, das „Sushido“ heißt?","Hey, maybe you would know. Have you\never heard of ""Sushido""?","Oye, igual a ti te suena esto...\n¿Sabes lo que es el sushido?","Hé, vous pouvez peut-être m'aider... Vous\navez déjà entendu parler du « Sushido » ?","Ehi, forse tu potresti saperlo... Sai per caso\ncos'è il ""Sushido""?",Misschien kun jij ons helpen! Weet jij wat\nSushido is?,"Hey, belki sen bilirsin. Hiç\n""Suşido"" diye bir şey duydun mu?"
CharaSerif_01_F,5,,"Hey, maybe you would know. Have you\never heard of ""Sushido""?",,,,,"Hey, belki sen bilirsin. Hiç\n""Suşido"" diye bir şey duydun mu?"
CharaSerif_02_M,6,"Da fragst du den Experten! Du meinst doch\nden Supergeheim-Spezialzauber, stimmt's?","Heck, I wrote the book on it! It's that\nsupersecret special skill, right?","¿Que si lo sé? ¡Prácticamente lo inventé yo!\nEs una técnica supermegasecreta, ¿verdad?",Le talent spécial super secret ?\nJ'ai même ÉCRIT un livre dessus !,"Capperi se lo so, ci ho scritto un libro! È\nun'abilità speciale super segreta, vero?",Vraagt ie aan de expert der experts.\nDat is die supergeheime speciale kracht!,"Hah, ben bunun kitabını yazdım! Şu\nsüper gizli özel yetenek, değil mi?"
CharaSerif_02_F,7,,,,,,Vraagt ze aan de expert der experts.\nDat is die supergeheime speciale kracht!,
CharaSerif_03_M,8,"Ui, du weißt ja wirklich Bescheid!\nDann bist du ja DOCH für was gut!","Whoa, so you DO know! Turns out you're\ngood for something after all!","¡Ostras, no me digas! Al final vas a resultar\nútil para algo y todo.","Ouah ! Vous connaissez, alors ! Vous n'êtes\npeut-être pas si inutile, en fin de compte...","Wow, allora ne sai davvero qualcosa! Quindi\nnon sei del tutto inutile come credevo!",Echt? Dan ben je toch nog ergens goed\nvoor!,"Vay be, demek BİLİYORMUŞSUN! Meğer\nsonunda bir işe yarıyormuşsun!"
CharaSerif_03_F,9,,"Whoa, so you DO know! Turns out you're\ngood for something after all!",,,,,"Vay be, demek BİLİYORMUŞSUN! Meğer\nsonunda bir işe yarıyormuşsun!"
