entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hi, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
It looks like we're both feeling {{TAG:0003:0026:}}extra
cheerful this morning,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
Veo que empiezas alegre el día,{{TAG:0007:0000:0A000000}} {{TAG:0003:0026:}}
¡igualit{{TAG:000E:0006:02006F0002006100}} que yo,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hello, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}} !{{TAG:0007:0001:}}
Tu as l'air {{TAG:000E:0006:160074006F007500740020006A006F0079006500750078001A0074006F0075007400650020006A006F0079006500750073006500}} ce matin...{{TAG:0007:0000:0A000000}}
{{TAG:0003:0026:}}Comme moi,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}} !{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Salut, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
Sembri di buon umore stamattina!
{{TAG:0007:0000:0A000000}}{{TAG:0003:0026:}}Sììì, anch'io sto bene,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hallo, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:0A000000}}
Du bist heute Morgen aber gut
drauf.{{TAG:0007:0000:0A000000}} {{TAG:0003:0026:}}Genau wie ich,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Günaydın! Bugün güzel bir gün
olacak gibi hissediyorum.{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}{{TAG:0007:0000:14000000}} !{{TAG:0003:0026:}}{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}"
1,002,"{{TAG:0003:0005:}}We're lucky the weather is so nice
today,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Ayer empecé a leer un libro titulado
""{{TAG:0005:001D:0000}}"".
¡Te da unos consejos increíbles!
En cuanto encuentre una buena
sombra, seguiré con mi lectura,
{{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Avec un temps pareil, on se dit
qu'on a vraiment de la chance,
{{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Siamo così fortunat{{TAG:000E:0006:0200690002006500}}, il tempo
è una delizia oggi,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Wir haben wirklich Glück, dass das
Wetter so schön ist,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Hava gerçekten çok güzel. Biraz
yürüyüp manzarayı izlemek{{TAG:0007:0000:08000000}}
istiyorum.{{TAG:0005:0007:}}!"
2,003,"{{TAG:0003:0025:}}Hi, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}}
What are you up to today?{{TAG:0000:0004:}}It's a great day to just walk around
{{TAG:0005:0005:}} and take in the scenery,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Hola, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}.
¿Hoy tienes planeado hacer
algo interesante?
Te aconsejo que pasees por
{{TAG:000E:0003:}}{{TAG:0005:0005:}} y aproveches el día
al máximo,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Salut, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}.
Qu'est-ce que tu fais de beau
aujourd'hui ?
C'est un jour idéal pour flâner à
{{TAG:0005:0005:}} sans se prendre la tête,{{TAG:0007:0000:0F000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Salut, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}.
Hai già qualche programma
per oggi?
È una giornata così piacevole per
visitare {{TAG:0005:0005:}} e rilassarsi
un po',{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Hallo, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}.
Machst du heute irgendwas
Spannendes?
Das Wetter bietet sich für einen
Spaziergang in {{TAG:0005:0005:}} ja
geradezu an, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Merhaba! Umarım günün çok güzel
geçiyordur.{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}} !{{TAG:0005:0005:}}!{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0001:}}It's so nice outside today,{{TAG:0007:0000:08000000}}
it kind of makes me feel like
sunbathing,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","El sol es muy beneficioso, ¿sabes?{{TAG:0007:0000:05000000}}
No solo sirve para ponerse
moren{{TAG:000E:0006:02006F0002006100}},{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Aaah, ce soleil...{{TAG:0007:0000:05000000}}
Idéal pour lire un magazine tout en
faisant bronzette,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Il tempo è così bello oggi!{{TAG:0007:0000:05000000}} Andrò a
prendere il sole! Sììì, come in
un quadro di Renoir,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Was für ein schöner, sonniger
Nachmittag.{{TAG:0007:0000:05000000}} Da krieg ich Lust auf
ein Sonnenbad,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Hava gerçekten çok{{TAG:0007:0000:08000000}} güzel. Biraz
yürüyüp manzarayı izlemek{{TAG:0007:0000:08000000}}
istiyorum.{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hi again, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:0007:0000:14000000}}
I hope you're enjoying this lovely
weather.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola otra vez, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}.
El destino es caprichoso y hace que
nos encontremos una y otra vez.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Re, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Oh, rieccoti qua, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hallöchen, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hava gerçekten çok güzel. Biraz
yürüyüp manzarayı izlemek
istiyorum.{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}{{TAG:0007:0007:}}{{TAG:0007:0000:14000000}} !"
5,006,"{{TAG:0003:0005:}}It's great that we've had so many
chances to chat,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Hablar contigo siempre es un placer,
{{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}. ¡Casi mayor que
cocinar {{TAG:000E:0002:}}{{TAG:0005:0010:0000}}!","{{TAG:0003:0005:}}Quelle chance on a de pouvoir
causer souvent ensemble,{{TAG:0007:0000:0F000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Sono contenta che ci siano state
così tante occasioni per parlarci
oggi,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Schön, dass wir uns so oft
unterhalten können,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Merhaba! Umarım günün çok güzel{{TAG:0007:0000:08000000}}
geçiyordur.{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0020:}}Hello again, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0007:0001:}}
{{TAG:0003:0001:}}The weather was great today, huh?{{TAG:0007:0000:14000000}}
I got lots of fresh air,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Holita, {{TAG:0003:0001:}}¿qué tal el día?{{TAG:0007:0001:}}
Yo me voy a casa a preparar
{{TAG:0005:0010:0000}}.
Me encanta cocinar dulces de noche.
Creo que la luz de la luna les
potencia el sabor.","{{TAG:0003:0020:}}Re-coucou, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}.{{TAG:0007:0001:}}{{TAG:0003:0001:}} Super
temps aujourd'hui, pas vrai ?{{TAG:0007:0000:14000000}} J'ai
fait le plein de soleil,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0020:}}Salut, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}.{{TAG:0007:0001:}} {{TAG:0003:0001:}}Il tempo è
stato meraviglioso oggi, eh?{{TAG:0007:0000:14000000}} Mi sono
ossigenata ben bene,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hallihallo, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0001:}}Heute hatten wir richtig gutes
Wetter.
Ich war den ganzen Tag an der
frischen Luft,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hava gerçekten çok güzel. Biraz
yürüyüp manzarayı izlemek
istiyorum.{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}{{TAG:0007:0001:}}{{TAG:0003:0001:}} !{{TAG:0007:0000:14000000}}{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:000F:}}Wow!{{TAG:0007:0000:14000000}} It's already {{TAG:0007:0000:08000000}}{{TAG:0004:0003:}}:{{TAG:0004:0004:}}?{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Time flies when you're having fun,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.{{TAG:0007:0000:08000000}} It's true.","{{TAG:0003:000F:}}¡Hala!{{TAG:0007:0000:14000000}} ¡Qué tarde se ha hecho!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}¡El tiempo vuela cuando
te lo pasas bien,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Waouh !{{TAG:0007:0000:14000000}} Déjà {{TAG:0007:0000:08000000}}{{TAG:0004:0003:}} h {{TAG:0004:0004:}} ?{{TAG:0007:0001:}}
{{TAG:0003:0001:}}On s'amuse, on s'amuse, et on voit
pas le temps passer,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Uaaau!{{TAG:0007:0000:14000000}} Ma sono già le {{TAG:0007:0000:08000000}}{{TAG:0004:0003:}}:{{TAG:0004:0004:}}?{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Il tempo vola quando ci si diverte,{{TAG:0007:0000:0F000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Huch!{{TAG:0007:0000:14000000}} Es ist schon {{TAG:0004:0003:}}:{{TAG:0004:0004:}} Uhr?!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Wie die Zeit vergeht, wenn man
Spaß hat,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000F:}}{{TAG:0007:0000:14000000}}Merhaba!{{TAG:0007:0000:08000000}}{{TAG:0004:0003:}} Umarım{{TAG:0004:0004:}}{{TAG:0007:0001:}} günün{{TAG:0003:0001:}} çok güzel
geçiyordur.{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}} !"
8,009,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Yaaay,{{TAG:0007:0000:08000000}} it's {{TAG:0005:0008:}} again{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}The sun might have gone to sleep,{{TAG:0007:0000:08000000}}
but that doesn't mean we have to!","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Tú otra vez,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}El sol ya se ha ido a dormir,{{TAG:0007:0000:14000000}} ¡pero
nosotr{{TAG:000E:0006:02006F0002006100}}s no tenemos por qué!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Holà,{{TAG:0007:0000:14000000}} revoilà {{TAG:0005:0008:}}{{TAG:0007:0007:}} !{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}Le soleil peut bien aller se coucher
s'il veut. Moi je veille, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ma guarda,{{TAG:0007:0000:14000000}} di nuovo {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}Il sole è andato a dormire,{{TAG:0007:0000:14000000}} ma non
dobbiamo andarci anche noi, no?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Oh, toll!{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}! Hallo{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}Die Sonne schläft zwar schon,{{TAG:0007:0000:14000000}}
aber ich bin noch hellwach!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Biraz uykulu hissediyorum ama{{TAG:0007:0000:08000000}}
temiz hava iyi geliyor.{{TAG:0005:0008:}}{{TAG:0007:0007:}}{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}} !{{TAG:0007:0000:08000000}}"
9,010,"{{TAG:0003:0025:}}I can't believe you're up so late!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Wow, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} You're just full of
energy,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}¡¿Sigues despiert{{TAG:000E:0006:02006F0002006100}} a estas horas?!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}¡Vaya!{{TAG:0007:0000:0A000000}} Eso sí que es energía,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Comme il est tard, c'est dingue !{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Waouh, {{TAG:0005:0008:}} !{{TAG:0007:0000:0A000000}} Et toi, tu
débordes d'énergie,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Ancora in piedi a quest'ora!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Uaaau, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Sei proprio
pien{{TAG:000E:0006:02006F0002006100}} di energia,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Ich kann kaum glauben, dass du
noch wach bist!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Echt, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}}
Du Energiebündel,{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}İyi akşamlar. Gece yürüyüşü için
ne hoş{{TAG:0007:0001:}} bir{{TAG:0003:0001:}} hava.{{TAG:0005:0008:}}{{TAG:0007:0000:0A000000}} !{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
