entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}OK, Mayor {{TAG:0005:0000:}}!{{TAG:0007:0000:14000000}} Please lead
me to the spot where you'd like to
place the {{TAG:0011:0006:0100}}!","{{TAG:0003:0001:}}¡Muy bien!{{TAG:0007:0000:14000000}} Enséñame el sitio
exacto donde quieres ubicar
{{TAG:000E:0001:}}{{TAG:0011:0006:0100}}.","{{TAG:0003:0001:}}Très bien, {{TAG:000E:0006:10004D006F006E00730069006500750072000C004D006100640061006D006500}} le maire !{{TAG:0007:0000:14000000}}
Montrez-moi où vous voulez placer
{{TAG:000E:0001:}}{{TAG:0011:0006:0100}}.","{{TAG:0003:0001:}}Bene, sindaco {{TAG:0005:0000:}}!{{TAG:0007:0000:14000000}} Portami
nel punto in cui vorresti posizionare
{{TAG:000E:0001:}}{{TAG:0011:0006:0100}}!","{{TAG:0003:0001:}}Gut, {{TAG:000E:0006:1A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E00}} {{TAG:0005:0000:}}!{{TAG:0000:0004:}}Bring mich zu dem Ort, an dem
{{TAG:000E:0001:}}{{TAG:0011:0006:0100}}
entstehen soll!","{{TAG:0003:0001:}}Tamam, Başkan {{TAG:0005:0000:}}!{{TAG:0007:0000:14000000}} Lütfen {{TAG:0011:0006:0100}} için
düşündüğünüz yere beni götürün!"
1,002,"{{TAG:0003:0001:}}Yes,{{TAG:0007:0000:05000000}} Mayor!{{TAG:0007:0001:}} {{TAG:0003:0000:}}{{TAG:0003:0017:}}Is this about where
you'd like to place the
{{TAG:0011:0006:0100}}?{{TAG:000F:0006:000000002800}}
What do you think?
Cancel project.
Nah, somewhere else.","{{TAG:0003:0001:}}Ajá...{{TAG:0007:0001:}} {{TAG:0003:0000:}}{{TAG:0003:0017:}}¿Quieres colocar aquí
{{TAG:000E:0001:}}{{TAG:0011:0006:0100}}?{{TAG:000F:0006:000000002800}}
¿Cómo lo ves?
Cancela el proyecto
No, en otro sitio","{{TAG:0003:0001:}}Compris,{{TAG:0007:0000:05000000}} {{TAG:000E:0006:10006D006F006E00730069006500750072000C006D006100640061006D006500}} le maire !{{TAG:0007:0001:}} {{TAG:0003:0000:}}{{TAG:0003:0017:}}Est-ce
bien ici que vous voulez placer
{{TAG:000E:0001:}}{{TAG:0011:0006:0100}} ?{{TAG:000F:0006:000000002800}}
Qu'en penses-tu ?
On annule tout.
Non, autre part.","{{TAG:0003:0001:}}Bene{{TAG:0007:0000:05000000}} sindaco!{{TAG:0007:0001:}} {{TAG:0003:0000:}}{{TAG:0003:0017:}}È proprio questo
il posto in cui intendi posizionare
{{TAG:000E:0001:}}{{TAG:0011:0006:0100}}?{{TAG:000F:0006:000000002800}}
Direi di sì!
Annulla il progetto.
No, da un'altra parte.","{{TAG:0003:0001:}}{{TAG:0003:0017:}}Soll {{TAG:000E:0008:01CD060064006500720006006400690065000600640061007300}} {{TAG:0011:0006:0100}}
an diesem Ort entstehen,
{{TAG:000E:0006:2400480065007200720020004200FC0072006700650072006D006500690073007400650072002800460072006100750020004200FC0072006700650072006D0065006900730074006500720069006E00}}?{{TAG:000F:0006:000000002800}}
Ich denke schon.
Projekt abbrechen.
Nein, lieber woanders.","{{TAG:0003:0001:}}Evet,{{TAG:0007:0000:05000000}} Başkan!{{TAG:0007:0001:}} {{TAG:0003:0000:}}{{TAG:0003:0017:}}{{TAG:0011:0006:0100}} için düşündüğünüz
yer yaklaşık burası mı?{{TAG:000F:0006:000000002800}}
Nasıl görünüyor?
Projeyi iptal et.
Yok, başka bir yer."
2,003,"I understand.{{TAG:0007:0001:}} {{TAG:0003:0001:}}Well, when you've
decided on a final placement,{{TAG:0007:0000:0A000000}}
please let me know!","Entendido.{{TAG:0007:0001:}} {{TAG:0003:0001:}}Entonces sigamos
buscando un buen sitio.","Oh, pas de problème.{{TAG:0007:0001:}} {{TAG:0003:0001:}}Quand vous
aurez trouvé un lieu qui vous plaît,{{TAG:0007:0000:0A000000}}
venez me voir !","Capisco.{{TAG:0007:0001:}} {{TAG:0003:0001:}}Beh, quando avrai scelto
il punto preciso in cui avviare
i lavori,{{TAG:0007:0000:0A000000}} fammelo sapere! Grazie!","Verstehe.{{TAG:0007:0001:}} {{TAG:0003:0001:}}Wenn du dich für einen
Ort entschieden hast,{{TAG:0007:0000:0A000000}} sag mir bitte
Bescheid!","Anladım.{{TAG:0007:0001:}} {{TAG:0003:0001:}}Kesin yeri
belirlediğinizde{{TAG:0007:0000:0A000000}} lütfen bana
haber verin!"
3,004,,,,,,
4,005,,,,,,
5,006,"What do you think?{{TAG:0007:0000:0F000000}} Is this the spot?{{TAG:000D:0008:04CD}}{{TAG:000F:0005:15002800}}
Yep!
Gotta think this over.","¿Te gusta este sitio, {{TAG:000E:0006:0E0061006C00630061006C0064006500120061006C00630061006C006400650073006100}}?{{TAG:000D:0008:04CD}}{{TAG:000F:0005:15002800}}
¡Sí, aquí!
No del todo","Alors, c'est décidé ?{{TAG:0007:0000:0F000000}} Cet endroit
vous convient ?{{TAG:000D:0008:04CD}}{{TAG:000F:0005:15002800}}
Ouaip !
Je dois y réfléchir.","Che ne pensi?{{TAG:0007:0000:0F000000}}
Questo posto va bene?{{TAG:000D:0008:04CD}}{{TAG:000F:0005:15002800}}
Sì!
Ci ho ripensato.","Na, was meinst du?{{TAG:0007:0000:0F000000}}
Ist dies der richtige Ort?{{TAG:000D:0008:04CD}}{{TAG:000F:0005:15002800}}
Jawohl!
Vielleicht doch nicht.","Ne dersiniz?{{TAG:0007:0000:0F000000}} Burası uygun mu?{{TAG:000D:0008:04CD}}{{TAG:000F:0005:15002800}}
Evet!
Biraz daha düşüneyim."
6,007,"{{TAG:0007:0000:0A000000}}Oh my,{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}} is there something you don't
like about it?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Well, if you find
another good spot, {{TAG:0003:0001:}}let me know!","Vaya,{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}} ¿es que hay algo que
no te convence?{{TAG:0007:0001:}}{{TAG:0003:0000:}} Pues nada,{{TAG:0003:0001:}}
busquemos un sitio mejor.","{{TAG:0007:0000:0A000000}}Oh, vraiment ?{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}} Où est le problème ?
{{TAG:0007:0001:}}{{TAG:0003:0000:}}Bon, si vous trouvez un meilleur
emplacement, dites-le-moi !","Accifuffoli,{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}} c'è qualcosa che non
ti convince?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Beh, se trovi un altro
bel posto, {{TAG:0003:0001:}}fammelo sapere!","{{TAG:0007:0000:0A000000}}Oh,{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}} also doch nicht hier?{{TAG:0007:0001:}}
{{TAG:0003:0000:}}Na gut, {{TAG:0003:0001:}}sag mir Bescheid, wenn du
einen besseren Ort gefunden hast!","{{TAG:0007:0000:0A000000}}Aman,{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}} hoşunuza gitmeyen bir şey
mi var?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Başka iyi bir yer
bulursanız{{TAG:0003:0001:}} bana söyleyin!"
7,008,"Understood!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Well,{{TAG:0007:0000:0A000000}} let's go ahead
and start the needed preparations!","¡Estupendo!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Empezaré con
los preparativos enseguida.","Parfait !{{TAG:0007:0001:}} {{TAG:0003:0001:}}Dans ce cas,{{TAG:0007:0000:0A000000}} lançons les
préparatifs sans plus attendre !","D'accordo!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Bene,{{TAG:0007:0000:0A000000}} allora forza! Cominciamo
i preparativi per avviare i lavori!","In Ordnung!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Dann sollten wir jetzt
schnell alle Vorbereitungen treffen!","Anlaşıldı!{{TAG:0007:0001:}} {{TAG:0003:0001:}}O hâlde{{TAG:0007:0000:0A000000}} gerekli
hazırlıklara başlayalım!"
8,009,,,,,,
9,010,"{{TAG:0003:000B:}}Let's see{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} I think{{TAG:0007:0000:05000000}} there are plans{{TAG:0007:0000:0A000000}}
{{TAG:0003:0009:}}to build a {{TAG:0000:0003:0200}}house for a resident {{TAG:0000:0003:FFFF}}here,{{TAG:0007:0000:05000000}}
so it'd be hard to put it in this spot.","{{TAG:0003:000B:}}Huy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} Van a construir una{{TAG:0000:0003:0200}} casa{{TAG:0000:0003:FFFF}}
justo aquí. {{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}Me temo que no queda
espacio para el proyecto.","{{TAG:0003:000B:}}Hmm, non, ça n'ira pas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} Il me
semble{{TAG:0007:0000:05000000}} qu'un autre {{TAG:0000:0003:0200}}habitant{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:0A000000}} {{TAG:0003:0009:}}fait
déjà construire sa {{TAG:0000:0003:0200}}maison{{TAG:0000:0003:FFFF}} ici.","{{TAG:0003:000B:}}Mh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} Credo{{TAG:0007:0000:05000000}} stiano progettando{{TAG:0007:0000:0A000000}} di
{{TAG:0003:0009:}}costruire una {{TAG:0000:0003:0200}}casa per un cittadino
{{TAG:0000:0003:FFFF}}qui...
Quindi è impossibile avviare i lavori
in questo punto.","{{TAG:0003:000B:}}Mal sehen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} {{TAG:0003:0009:}}Hier ist ein {{TAG:0000:0003:0200}}Haus für
einen Bewohner {{TAG:0000:0003:FFFF}}geplant,{{TAG:0007:0000:0A000000}} also
geht es hier leider nicht.","{{TAG:0003:000B:}}Bir bakalım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} Sanırım{{TAG:0007:0000:05000000}} burada{{TAG:0007:0000:0A000000}}
{{TAG:0003:0009:}}bir kasabalı için {{TAG:0000:0003:0200}}ev yapılması{{TAG:0000:0003:FFFF}}
planlanıyor,{{TAG:0007:0000:05000000}} bu yüzden projeyi
buraya yerleştirmek zor olur."
