entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Thanks, 
!","¡Gracias, 
!","Salut, 
 !","Grazie, 
!","Danke, 
!","Sağ ol, 
!"
1,002,"Snowbro Maker 
,",{{TAG:000E:0006:100045007300630075006C0074006F007200120045007300630075006C0074006F0072006100}} de muñecos:,"{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} pro du flocon,","Qua la mano, 
!",{{TAG:000E:0006:28004800650079002C0020005300630068006E00650065006D0061006E006E00620061007500650072002C004800650079002C0020005300630068006E00650065006D0061006E006E006200610075006500720069006E00}}!,"Kar Kardeş Yapıcısı
,"
2,003,"Snowbro Master 
,",Maestr{{TAG:000E:0006:02006F0002006100}} de la nieve:,"{{TAG:000E:0006:1A004300680065007200200063007200E900610074006500750072001E0043006800E80072006500200063007200E900610074007200690063006500}},","Batti il cinque, 
!",{{TAG:000E:0006:2E004800650079002C0020005300630068006E00650065006D0061006E006E006B00FC006E00730074006C006500720032004800650079002C0020005300630068006E00650065006D0061006E006E006B00FC006E00730074006C006500720069006E00}}!,"Kar Kardeş Ustası
,"
3,004,"Master of Winter 
,",{{TAG:000E:0006:0A0053006500F1006F0072000C0053006500F1006F0072006100}} del invierno:,"{{TAG:000E:0006:120050006500740069007400200072006F006900180050006500740069007400650020007200650069006E006500}} de l'hiver,","Adoro l'inverno, 
!","Hey, Winterass 
!","Kış Ustası
,"
4,005,"Pro Roller 
,",{{TAG:000E:0006:0E00430072006500610064006F0072001000430072006500610064006F0072006100}} de Copito:,"{{TAG:000E:0006:1E004300680065007200200074006500630068006E0069006300690065006E00240043006800E80072006500200074006500630068006E0069006300690065006E006E006500}} en neige,","Ci stai dentro, 
!",{{TAG:000E:0006:32004800650079002C0020006400750020005300630068006E00650065006B007500670065006C006B00750067006C006500720036004800650079002C0020006400750020005300630068006E00650065006B007500670065006C006B00750067006C006500720069006E00}}!,"Yuvarlama Uzmanı
,"
5,006,"Winter Wizard 
,",Hechicer{{TAG:000E:0006:02006F0002006100}} invernal:,"Ma petite giboulée,","Vai con la neve, 
!","Hey, Wintergenie!","Kış Büyücüsü
,"
6,007,"Snow Artist 
,",Artista de la nieve:,"{{TAG:000E:0006:2A00430068006500720020006500730074006800E800740065002000680069007600650072006E0061006C002E0043006800E8007200650020006500730074006800E800740065002000680069007600650072006E0061006C006500}},","Ti ringrazio, 
!",{{TAG:000E:0006:2C004800650079002C0020006400750020005300630068006E0065006500760069007200740075006F00730065002E004800650079002C0020006400750020005300630068006E0065006500760069007200740075006F00730069006E00}}!,"Kar Sanatçısı
,"
7,008,"Snowbro Pro 
,",Profesional de la nieve:,"Ma petite boule de neige,","Ciao, amic{{TAG:000E:0006:02006F0002006100}} della neve!",{{TAG:000E:0006:2E004800650079002C0020005300630068006E00650065006D00610063006B00650072006D006100630068006500720032004800650079002C0020005300630068006E00650065006D00610063006B00650072006D006100630068006500720069006E00}}!,"Kar Kardeş Profesyoneli
,"
8,009,"Snowbro Master 
,",Artífice de Copito:,"Mon petit flocon,","Ciao, mag{{TAG:000E:0006:02006F0002006100}} della neve!","{{TAG:000E:0006:1A005300630068006E00650065006D006500690073007400650072001E005300630068006E00650065006D0065006900730074006500720069006E00}} 
!","Kar Kardeş Ustası
,"
9,010,"Snowbro Master 
,",Mag{{TAG:000E:0006:02006F0002006100}} de los copos:,"{{TAG:000E:0006:24004D006F006E00200070006500740069007400200062006F006E0068006F006D006D00650034004D0061002000700065007400690074006500200066006C00650075007200200064006500730020006E0065006900670065007300}},","Ciao, amante della neve!",{{TAG:000E:0006:24004800650079002C0020005300630068006E00650065006D0065006900730074006500720028004800650079002C0020005300630068006E00650065006D0065006900730074006500720069006E00}}!,"Kar Kardeş Ustası
,"
