index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	remix_LED_intro_00	Welcome to the remix!	Bienvenue dans ce remix !	Willkommen beim Remix!	Ti do il benvenuto ai remix!	¿Tienes ganas de probar\neste remix?	Remiks'e hoş geldin!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
1	remix_LED_intro_01	Here, you'll see\nmultiple games...	Ici, vont se succéder\nde courts extraits...	Hier begegnest du Spielen\nwieder, die du bereits kennst.	Qui troverai vari minigiochi\nche hai già affrontato...	Aquí vas a ver varios\nminijuegos que ya conoces...	Burada, daha önceki\nbirden fazla oyunu göreceksin...	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	remix_LED_intro_02	from earlier all\nmixed together.	... tirés de mini-jeux auxquels\nvous avez précédemment joué.	Diesmal allerdings als Teil\neiner [[TAG:0000:0003:0E49B3FF]]wilden Mischung[[TAG:0000:0003:000000FF]]!	... [[TAG:0000:0003:0E49B3FF]]mischiati insieme[[TAG:0000:0003:000000FF]].	[[TAG:0000:0003:0E49B3FF]]mezclados[[TAG:0000:0003:000000FF]] entre sí.	Daha önceki oyunlar\niç içe karıştı.		CONTROL_STYLE_OUTLIER	Turkish control/tag pattern differs from at least 3 of 4 official EU localizations; may be intentional formatting.
3	remix_LED_intro_03	You'll need to remember\nhow to play them!	Vous devez vous souvenir\nrapidement de leurs règles.	Du erinnerst dich sicher\nnoch, wie man sie spielt?	Ti ricordi sicuramente\ncome giocarli...	Tendrás que recordar lo que\ndebes hacer en cada uno.	Onları nasıl oynadığını\nhatırlaman gerekecek!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	remix_LED_intro_04	...And fast!	Très rapidement !	Hihi...	... no?	¡Así de rápido!	... Ve hızlı!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	remix_LED_intro_05	Enough pep talk.\nReady? Go!	Mais assez de bla-bla... On y va !	Genug gequatscht!\nFertig? Dann los!	Bene, ora basta con le\nchiacchiere. Si parte!	Bueno, basta de cháchara.\n¡Es hora de empezar!	Bu kadar konuşma.\nHazır mısın? Başla!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	remix_03_intro_00	Mmm... Donuts!	Mmmh... Des donuts !	Mjam... Donuts!	Mmmh... Ciambelle!	Mmm... ¡Rosquillas!	Mmm... Donutlar!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	remix_03_intro_01	Yummy!	Délicieux !	Lecker!	Che delizia!	¡Qué ricas!	Nefis!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	remix_07_intro_a_00	...Bearbara, my love.	Oursula, ma douce...	Bärbara, mein Schatz...	Orsola, amore mio.	Osalía, amor mío.	... Bearbara, aşkım.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	remix_07_intro_a_01	I think I need\n  to go on a diet.	Je crois que j'ai besoin\n  d'un régime...	Ich glaube, ich muss\neine Diät machen.	Devo proprio\n  mettermi a dieta.	Creo que debo\nponerme a dieta.	Sanırım diyete\nbaşlamam gerek.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
10	remix_07_intro_b_00	I can't eat so\n  many donuts.	Il faut que je me calme\n  sur les donuts...	Ich kann doch nicht\nso viele Donuts essen!	Non posso mangiare\n  così tante ciambelle.	No puedo comer\ntantas rosquillas.	Bu kadar çok\ndonut yiyemem.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
11	remix_07_intro_b_01	I spent my whole\n  allowance...	J'ai dépensé tout mon\n  argent de poche...	Mein ganzes Taschen-\ngeld ist futsch...	Ho speso tutti\n  i miei risparmi...	Ya me he gastado\nla paga de todo el mes...	Tüm harçlığımı\nharcadım...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
12	remix_LED_song_title		[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
13	remix_LED_song_artist		[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
14	remix_00_song_title	♪ I'm a lady now / Hotzmic	♪ I'm a lady now / Hotzmic	♪ I'm a lady now / Hotzmic	♪ I'm a lady now / Hotzmic	♪ I'm a lady now / Hotzmic	♪ I'm a lady now / Hotzmic	UNTRANSLATED	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
15	remix_00_song_artist	Song by Tsunku♂	Musique : Tsunku♂	Musik: Tsunku♂	Brano di Tsunku♂	Música de Tsunku♂	Şarkı: Tsunku♂		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
16	remix_01_song_title		[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
17	remix_01_song_artist		[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]	[[TAG:0004:0002:]]		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
