entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Before I completely forget,
I have to tell you something,
which is why I'm writing
now. Your name, {{TAG:0005:0000:}},
is very {{TAG:0005:0014:0000}}.
My heart is telling me so.","Te escribo por una razón
muy sencilla, {{TAG:0005:0000:}}:
{{TAG:000E:0001:}}{{TAG:0005:0014:0000}} es lo más.
¡Tienes que saberlo
si quieres estar a la última
como yo!","Avant que je n'oublie, je
voulais te dire ceci : ton
nom, {{TAG:0005:0000:}}, résonne
à mes oreilles comme
{{TAG:000E:0002:}}{{TAG:0005:0014:0000}} ! Et
c'est mon cœur qui parle.","prima che mi dimentichi,
ti devo dire che il tuo nome,
{{TAG:0005:0000:}}, è melodioso
come un brano di musica
{{TAG:0005:0014:0000}}.
Me lo dice il mio corazón!","Ich wollte dir nur etwas
sagen, bevor ich es wieder
vergesse. Der Name
„{{TAG:0005:0000:}}“ klingt für mich
nach {{TAG:0005:0014:0000}}!
Findest du nicht auch?","Tamamen unutmadan sana bir şey söylemem lazım, o yüzden yazıyorum. İsmin, {{TAG:0005:0000:}}, çok {{TAG:0005:0014:0000}}. Kalbim öyle söylüyor."
1,002,"I found myself wondering
something out of the blue...
How is {{TAG:0005:0000:}} doing? So
I thought I'd send you a note
to find out. Sometimes it's
nice to write a letter...","Te escribo para ver qué tal
te va, {{TAG:0005:0000:}}. Si quieres
saber cómo me va a mi, ¡solo
tienes que elegir un papel y
tocar la opción ""Escribir
carta"" para salir de dudas!","J'ai soudain eu envie de
t'écrire, comme ça, sur un
coup de tête. Comment
vas-tu ? Je voulais que tu
saches qu'il est bon parfois
d'« écrire une lettre » !","mi stavo chiedendo: ""Come
se la passerà {{TAG:0005:0000:}}?"",
così ho deciso di scriverti.
A volte è bello prendere la
penna in mano e potenziare
i muscoli delle dita!","Mir schießen zurzeit viele
Gedanken durch den Kopf...
„Was {{TAG:0005:0000:}} wohl
gerade macht?“ 
„Ob {{TAG:0005:0000:}} Lust hat, mir
einen Brief zu schreiben?“",Birden aklıma takıldı... {{TAG:0005:0000:}} nasıl acaba? Öğrenmek için sana küçük bir not yazayım dedim. Bazen mektup yazmak güzel...
2,003,"I had a dream... It had been
pouring rain for days. Then
the two of us, side by side,
both looked up at a rainbow.
That's when I knew that I
think rainbows are awesome.","Menudo sueño tuve anoche: 
llevaba varios días sin parar
de llover cuando salimos
juntos de paseo. De repente,
paró y salió el arcoíris. ¡Fue
un momento mágico!","J'ai fait un rêve... Il pleuvait
depuis des jours. Soudain,
un arc-en-ciel est apparu
et nous l'avons admiré
ensemble. C'était un
moment de pure magie...","ho fatto un sueño... Pioveva
da giorni, poi ha smesso e
nosotros abbiamo guardato
insieme l'arcobaleno. È stato
proprio allora che mi sono
innamorato degli arcobaleni!","Ich hatte einen Traum... Es
hat geregnet und danach
saßen wir beide unter einem
Regenbogen und schauten
nach oben... Regenbögen
sind was ganz Besonderes!",Bir rüya gördüm... Günlerdir yağmur yağıyordu. Sonra ikimiz yan yana durup gökkuşağına baktık. İşte o an gökkuşaklarının müthiş olduğunu anladım.
3,004,"Were you shocked to get a
letter out of nowhere like
this? Sorry about that. But
I wanted to tell you that I'll
always be counting on you!
I couldn't say that out loud.","¿Te he dado una sorpresa?
Siempre es mejor recibir
cartas de alguien que no sea
el banco, ¿no crees? Solo
quería decirte que me gusta
poder contar contigo.","Je compte sur ton soutien
et ton amour de fan.
Pardon pour cette lettre
un peu personnelle, mais je
ne peux exprimer mes
sentiments à voix haute.","la mia lettera ti ha colto
di sorpresa? ... Lo siento!
Ma volevo dirti che io tengo
molto a te e non ce la facevo
a dirtelo a voce...","Warst du überrascht, einen
Brief von mir im Briefkasten
zu haben? Ich wollte nur
sagen, dass ich mich immer
auf dich verlasse. In einem
Brief sagt sich das leichter...",Durup dururken mektup gelince şaşırdın mı? Kusura bakma. Ama sana her zaman güveneceğimi söylemek istedim! Bunu sesli söyleyemedim.
4,005,"Somehow, I start thinking of
you every time I listen to
{{TAG:0005:0015:0000}} at
home. It just came on, and
before I realized it, I was
writing this letter... Weird...","No sé por qué, pero me
acuerdo de ti al escuchar
""{{TAG:0005:0015:0000}}"".
Hace un momento la han
puesto en la radio y me ha
vuelto a pasar. ¡Qué curioso!","Il suffit que j'écoute
{{TAG:0005:0015:0000}}
pour que je pense à toi.
J'ignore pourquoi. Comme
j'ignore pourquoi je t'écris...","ogni volta che ascolto
""{{TAG:0005:0015:0000}}"",
penso a te, compañer{{TAG:000E:0006:02006F0002006100}}!
L'hanno messa alla radio e
ancor prima di accorgermene
ti stavo già scrivendo... Uau!","Immer wenn ich das Lied
„{{TAG:0005:0015:0000}}“
höre, muss ich an dich
denken. Ich höre es
übrigens auch, während ich
diesen Brief schreibe...",Evde {{TAG:0005:0015:0000}} dinlediğim her seferinde nedense seni düşünüyorum. Az önce çalmaya başladı; farkına varmadan bu mektubu yazıyordum... Tuhaf...
5,006,"I had this dream... Your hair
was wet from the endless
rain... As I stood watching, it
started floating like seaweed
in a storm. I think it means
you need to shower more.","Menudo sueño tuve anoche: 
tenías el pelo empapado por
la lluvia... ¡pero no estaba
lloviendo! No sé si significará
que tienes que usar champú
de jojoba o qué...","J'ai fait un rêve... Tes
cheveux étaient mouillés et
ils se sont mis à onduler
telles des algues dans la
tempête. Voilà.","ho fatto uno strano sueño...
La pioggia bagnava i tuoi
capelli... e a un certo punto
hanno cominciato a fluttuare
come alghe. Erano favolosi!","Ich hatte einen Traum...
Deine Haare waren nass vom
Regen... Und als ich sie näher
angesehen habe, haben sie
getanzt wie Seegras in einer
stürmischen Brandung...",Bir rüya gördüm... Bitmeyen yağmurdan saçların ıslanmıştı. Ben bakarken fırtınadaki deniz yosunu gibi havalanmaya başladı. Bence daha sık duş almalısın.
6,007,"My heart yearns with every
sunset. It's as if the sun and I
have broken hearts together.
My love was so pure, but
now it's over before it ever
had a chance to really begin.","Adoro las puestas de sol, me
parecen superrománticas.
No sé si es por las películas
o por qué... El caso es que
disfruto con ellas, aunque a
veces necesite gafas de sol.","Quand j'observe le coucher
de soleil, mon cœur hurle.
Un amour si simple, et
pourtant si complexe, fini
avant même de commencer.
Bof...","ogni volta che vedo un
tramonto mi sciolgo. Il mio
corazón e quello del sole
diventano un tutt'uno.
Un amore che finisce in
fretta... al calar della sera!","Bei jedem Sonnenuntergang
spüre ich diesen Schmerz...
Es ist, als ob die Sonne mir
jeden Abend das Herz bricht,
noch bevor wir genügend
Zeit miteinander hatten...",Her gün batımında kalbim sızlıyor. Güneşle birlikte kalbimiz kırılıyormuş gibi. Sevgim çok safmış ama daha başlayamadan bitti...
7,008,"What do you wish for when
you look up at the night sky?
I wish for someone special
to be there watching the
stars with me. Who's the
special someone? I wonder...","¿Qué deseo le pedirías a una
estrella fugaz? ¡Yo querría
convertirme en una estrella
{{TAG:000E:0012:07000600640065006C000A006400650020006C0061000000}} {{TAG:0005:0014:0000}}!
Es una pena que las estrellas
fugaces estén algo sordas...","À quoi penses-tu quand tu
contemples les étoiles ? Moi,
je pense que j'aimerais les
admirer aux côtés de
quelqu'un. Mais qui ? Quoi ?
Où ? Comment ? Hein ?","che desiderio esprimi
quando vedi una estrella
cadente? Io vorrei un'anima
gemella lì conmigo a
guardare le estrellas... 
Ma quest'anima... dov'è?","Was wünschst du dir, wenn
du in den Nachthimmel
blickst? Ich wünsche mir
jemand Besonderen, der sich
mit mir die Sterne ansieht...
Wer das wohl sein mag?",Gece gökyüzüne bakınca ne dilersin? Ben yıldızları izlerken yanımda özel biri olsun isterim. Kim o özel kişi? Acaba...
8,009,"I heard that it can be easier
to say something in a letter
than face-to-face. That's
why I'm writing these words:
you're cool.
Wow! Like a weight's lifted!","He leído en internet que es
más sencillo decir algo por
escrito que cara a cara, así
que voy a intentarlo:
¡me alegro de que nos
hayamos conocido!","Il paraît qu'il est plus facile
d'écrire ses sentiments que
de les exprimer à voix haute.
D'où cette lettre pour te
remercier pour tout ton
amour de fan dévoué{{TAG:000E:0006:000002006500}} !","si dice che sia più facile
scrivere qualcosa piuttosto
che dirlo a voce...
Quindi ti scrivo che:
""Sono muy feliz di averti
incontrat{{TAG:000E:0006:02006F0002006100}}, compañer{{TAG:000E:0006:02006F0002006100}}!"".","Manche Dinge sagen sich in
einem Brief leichter. Also
schreibe ich dir folgende
Worte:
Ich bin froh, dass wir uns
kennengelernt haben.","Bazı şeyleri mektupla söylemek yüz yüze söylemekten kolaymış. O yüzden yazıyorum: Havalısın.
Vay! İçim rahatladı!"
9,010,"You were lying on the beach,
enjoying the breeze, listening
to the waves crash on the
shore...and then you shouted,
""My sandwich was swept
away!"" Just a dream I had.","Menudo sueño tuve anoche: 
estabas tumbad{{TAG:000E:0006:02006F0002006100}} en la playa
a la bartola y de pronto
gritaste: ""¡Me he olvidado la
crema protectora! ¡Acabaré
más roj{{TAG:000E:0006:02006F0002006100}} que un cangrejo!"".","Tu étais allongé{{TAG:000E:0006:000002006500}} sur la
plage, bercé{{TAG:000E:0006:000002006500}} par la brise et
le chant des vagues... Et
soudain, tu t'es exclamé{{TAG:000E:0006:000002006500}} :
« Ciel, mon maillot ! » Ce
rêve était un grand moment.","tu eri sulla spiaggia a
prendere il sole e a goderti
la brezza... e poi hai gridato:
""Le onde hanno preso il mio
panino!"". Quando mi sono
svegliato, tu non c'eri più...","{{TAG:000E:0003:}}{{TAG:0005:0000:}} liegt am Strand,
genießt die Brise und hört
den Wellen zu... und schreit
plötzlich: „Mein Sandwich
wurde weggespült!"" Das hab
ich letzte Nacht geträumt...","Rüyamda sahilde uzanmış, esintiyi hissedip dalgaları dinliyordun... sonra birden 'Sandviçimi dalga götürdü!' diye bağırdın."
