index,label,English,French,German,Italian,Spanish,Turkish
0,Child_Nickname_M00,Jack,Nathan,Andreas,Andrea,Alberto,Ahmet
1,Child_Nickname_M01,Charlie,Lucas,Bastian,Luca,Alesánder,Mehmet
2,Child_Nickname_M02,Oliver,Louis,Chris,Marco,Álex,Mustafa
3,Child_Nickname_M03,Alfie,Gabriel,David,Francesco,Álvaro,Ali
4,Child_Nickname_M04,Riley,Hugo,Elias,Matteo,Ariel,Hüseyin
5,Child_Nickname_M05,Jacob,Léo,Florian,Alessandro,Enrique,Hasan
6,Child_Nickname_M06,James,Jules,Gustav,Davide,Guillermo,İbrahim
7,Child_Nickname_M07,Thomas,Arthur,Hannes,Simone,Javier,İsmail
8,Child_Nickname_M08,Ethan,Raphaël,Ingo,Federico,Jónatan,Yusuf
9,Child_Nickname_M09,Joshua,Clément,Jonas,Lorenzo,José,Ömer
10,Child_Nickname_M10,Max,Tom,Karsten,Mattia,Miki,Emre
11,Child_Nickname_M11,George,Théo,Leon,Stefano,Pablo,Mert
12,Child_Nickname_M12,Noah,Enzo,Matthes,Giuseppe,Pedro,Kaan
13,Child_Nickname_M13,William,Maxime,Noah,Riccardo,Raúl,Efe
14,Child_Nickname_M14,Tyler,Maël,Oliver,Daniele,Antonio,Arda
15,Child_Nickname_M15,Archie,Baptiste,Piet,Michele,David,Kerem
16,Child_Nickname_M16,Daniel,Antoine,Richard,Alessio,Manuel,Can
17,Child_Nickname_M17,Logan,Paul,Sandro,Antonio,Bernardo,Berk
18,Child_Nickname_M18,Leo,Timéo,Tim,Giovanni,José Luis,Burak
19,Child_Nickname_M19,Oscar,Mathis,Uwe,Nicola,Eduardo,Onur
20,Child_Nickname_M20,Mason,Thomas,Vincent,Gabriele,Daniel,Oğuz
21,Child_Nickname_M21,Lucas,Marco,Wenzel,Fabio,Carlos,Ozan
22,Child_Nickname_M22,Jake,Axel,Albert,Alberto,Jesús,Barış
23,Child_Nickname_M23,Dylan,Gurvan,Lukas,Giacomo,Juan,Tolga
24,Child_Nickname_M24,Joseph,Alexandre,Nikolas,Giulio,Aquiles,Uğur
25,Child_Nickname_M25,Henry,Maxence,Alexander,Filippo,Rodrigo,Serkan
26,Child_Nickname_M26,Samuel,Valentin,Valentin,Gianluca,Borja,Hakan
27,Child_Nickname_M27,Freddie,Evan,Samuel,Paolo,Ubaldo,Murat
28,Child_Nickname_M28,Harrison,Daniel,Robert,Roberto,Diego,Sinan
29,Child_Nickname_M29,Philip,Sacha,Sascha,Salvatore,Agustín,Cem
