entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:000E:0000:000403CD}}furniture,Muebles,Meubles,mobili,Möbel,{{TAG:000E:0000:000403CD}}mobilya
1,002,{{TAG:000E:0000:000403CD}}wallpaper,Papeles de pared,Papiers peints,carta da parati,Tapeten,{{TAG:000E:0000:000403CD}}duvar kâğıdı
2,003,{{TAG:000E:0000:000103CD}}carpet,Alfombras,Tapis,tappeti,Teppiche,{{TAG:000E:0000:000103CD}}halı
3,004,{{TAG:000E:0000:000103CD}}shirt,Prendas de arriba,Hauts,maglie,Oberteile,{{TAG:000E:0000:000103CD}}gömlek
4,005,{{TAG:000E:0000:000103CD}}dress,Vestidos,Robes,vestiti,Kleider,{{TAG:000E:0000:000103CD}}elbise
5,006,{{TAG:000E:0000:000403CD}}pants,Prendas de abajo,Pantalons et jupes,pantaloni e gonne,Hosen und Röcke,{{TAG:000E:0000:000403CD}}pantolon
6,007,{{TAG:000E:0000:000403CD}}socks,Calcetines,Chaussettes,calze e calzini,Socken,{{TAG:000E:0000:000403CD}}çorap
7,008,{{TAG:000E:0000:000403CD}}shoes,Zapatos,Chaussures,scarpe,Schuhe,{{TAG:000E:0000:000403CD}}ayakkabı
8,009,{{TAG:000E:0000:000103CD}}hat,Sombreros,Chapeaux,cappelli,Hüte,{{TAG:000E:0000:000103CD}}şapka
9,010,{{TAG:000E:0000:000403CD}}headgear,Complementos,Accessoires,accessori,Accessoires,{{TAG:000E:0000:000403CD}}başlık
10,011,{{TAG:000E:0000:000103CD}}gyroid,Giroides,Gyroïdes,giroidi,Gyroiden,{{TAG:000E:0000:000103CD}}gyroid
11,012,{{TAG:000E:0000:000403CD}}ore,Minerales,Cristaux,minerali,Mineralien,{{TAG:000E:0000:000403CD}}maden cevheri
12,013,{{TAG:000E:0000:000203CD}}umbrella,Paraguas,Parapluies,ombrelli,Schirme,{{TAG:000E:0000:000203CD}}şemsiye
13,014,{{TAG:000E:0000:000103CD}}CD,CD,CD,dischi,CDs,{{TAG:000E:0000:000103CD}}CD
