entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}Hey! {{TAG:0007:0000:10000000}}Thanks for coming, both of
you.{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}¡Hola! {{TAG:0007:0000:10000000}}Gracias por venir.{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}Ho ! {{TAG:0007:0000:1E000000}}Comme c'est gentil à vous
d'être venu{{TAG:000E:0006:02007300040065007300}}. {{TAG:0007:0000:28000000}}Mettez-vous donc à
l'aise.{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}Salve! {{TAG:0007:0000:10000000}}Grazie per essere venut{{TAG:000E:0006:0200690002006500}}.{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}Oh,{{TAG:0007:0000:08000000}} da seid ihr ja schon!{{TAG:0007:0000:14000000}}
Sehr erfreulich!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}Selam! {{TAG:0007:0000:10000000}}İkiniz de geldiğiniz için
teşekkürler.{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0010:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Thanks for bringing
{{TAG:0011:0001:0100}} here to see me.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0010:}}¡Ah, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Has encontrado a
{{TAG:0011:0001:0100}}, estupendo.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0010:}}Oh, {{TAG:0007:0000:0C000000}}bien.{{TAG:0007:0000:1E000000}} Merci, {{TAG:0005:0008:}}, d'avoir
accompagné {{TAG:0011:0001:0100}} jusque chez
moi.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0010:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Non so come
ringraziarti per avermi portato
{{TAG:0011:0001:0100}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0010:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Danke, dass du
{{TAG:0011:0001:0100}} zu mir geführt hast.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0010:}}Aa, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} {{TAG:0011:0001:0100}}'ı beni görmeye
getirdiğin için teşekkürler.{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Welcome back,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}. {{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Glad to
see you found {{TAG:0011:0001:0100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}¡Bienvenid{{TAG:000E:0006:02006F0002006100}}s! {{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Pasad, por favor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}Ah,{{TAG:0007:0000:10000000}} {{TAG:0005:0008:}} !{{TAG:0007:0000:28000000}} Et tu as amené
{{TAG:0011:0001:0100}}, {{TAG:0007:0000:10000000}}parfait !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Bentornat{{TAG:000E:0006:02006F0002006100}},{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}. {{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Per fortuna
hai trovato {{TAG:0011:0001:0100}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Schön, dass du zurück bist,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:001C:}} Ich sehe, du hast
auch {{TAG:0011:0001:0100}} gefunden.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Tekrar hoş geldin,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}. {{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Demek
{{TAG:0011:0001:0100}}'ı buldun{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}What took you so long, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0007:0000:10000000}}
{{TAG:0003:0023:}}Stop for a quick bite of
{{TAG:0005:0010:0000}} or something?
{{TAG:0003:001B:}}Never mind.{{TAG:0007:0000:08000000}} All that matters is that
you brought {{TAG:0011:0001:0100}} back with
you.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}¿Por qué habéis tardado tanto?{{TAG:0007:0000:10000000}}
{{TAG:0003:0023:}}Me estaba empezando a preocupar.{{TAG:0007:0000:14000000}}
{{TAG:0003:001B:}}En fin, pasad.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}J'ai failli attendre ! {{TAG:0007:0000:1E000000}}Heureusement
que je t'ai demandé de faire vite,
{{TAG:0005:0008:}} !
{{TAG:0003:001B:}}Bon. {{TAG:0007:0000:2D000000}}Au moins tu as accompagné
{{TAG:0011:0001:0100}} jusqu'ici comme je te
l'ai demandé, {{TAG:0007:0000:10000000}}c'est l'essentiel.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Come mai ci hai messo tanto,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0007:0000:10000000}} {{TAG:0003:0023:}}Ti sei fermat{{TAG:000E:0006:02006F0002006100}}
in pasticceria o cosa?
{{TAG:0003:001B:}}Non fa niente,{{TAG:0007:0000:08000000}} l'importante è che
ci sia {{TAG:0011:0001:0100}} insieme a te.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Was hat denn da so lange gedauert,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} {{TAG:0003:0023:}}Hast du unterwegs
eine Kaffeepause gemacht?
{{TAG:0003:001B:}}Eigentlich ist das nebensächlich.{{TAG:0007:0000:14000000}}
Hauptsache, du hast {{TAG:0011:0001:0100}}
aufgespürt.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Neden bu kadar uzun sürdü, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0007:0000:10000000}}
{{TAG:0003:0023:}}Yolda biraz {{TAG:0005:0010:0000}} yemek için
mola mı verdiniz?
{{TAG:0003:001B:}}Boş ver.{{TAG:0007:0000:08000000}} Önemli olan {{TAG:0011:0001:0100}}'ı
yanında geri getirmiş olman.{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Hey, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} {{TAG:0003:000F:}}You wanted to see
me? {{TAG:0007:0000:10000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}¡Buenas, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} {{TAG:0003:000F:}}¿Qué es eso
tan urgente, {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0001:}}Kikou, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}} !{{TAG:0007:0000:1E000000}} Tu voulais me
parler, {{TAG:0005:0007:}} ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Ciaaao, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} {{TAG:0003:000F:}}Volevi vedermi,
{{TAG:0007:0000:10000000}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Hey, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}! {{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Du wolltest mich
sehen, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Selam, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} {{TAG:0003:000F:}}Beni görmek
istemişsin? {{TAG:0007:0000:10000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Hey, guys!{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}What's going on?{{TAG:0007:0000:10000000}} Is it a
party? {{TAG:0007:0000:10000000}}{{TAG:0003:001D:}}Ooh,{{TAG:0007:0000:08000000}} I hope it's a party!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}¿Y bien?{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}¿Para qué me has llamado?{{TAG:0007:0000:14000000}}
¿Quieres montar una fiesta o algo?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0023:}}Kikou les gens !{{TAG:0007:0000:28000000}} Qu'est-ce qu'il se
passe alors ?{{TAG:0007:0000:1E000000}} On fait la fête ici,{{TAG:0007:0000:0F000000}}
c'est ça ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Ciaaao!{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}Che succede?{{TAG:0007:0000:10000000}} Avete
organizzato una festa a sorpresa
per me? {{TAG:0007:0000:10000000}}{{TAG:0003:001D:}}Oooh,{{TAG:0007:0000:08000000}} troppo bello!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Hey, Leute! {{TAG:0007:0000:14000000}}{{TAG:0003:000B:}}Was gibt's?
{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}Ooh, {{TAG:0007:0000:0A000000}}ich hoffe, es geht um
'ne Party!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Selam millet!{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}Neler oluyor?{{TAG:0007:0000:10000000}} Parti mi
var? {{TAG:0007:0000:10000000}}{{TAG:0003:001D:}}Aaa,{{TAG:0007:0000:08000000}} umarım partidir!{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}So,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} what's up?{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}} I walked
all the way here, so I hope it's
something super epic{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Bueno,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} ¿qué pasa?{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}
Parecía urgente{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0025:}}C'est quoi tout ce mystère ?{{TAG:0007:0000:1E000000}}
J'espère qu'on ne m'a pas fait venir
pour rien !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Insomma,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} perché
mi hai chiamata?{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}} Cioè, spero
sia una cosa seria.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Also, {{TAG:0007:0000:0A000000}}{{TAG:0011:0001:0000}}, {{TAG:0007:0000:0A000000}}was geht ab?{{TAG:0000:0004:}}{{TAG:0003:000D:}}Ich bin extra den ganzen Weg hier-
hergelaufen. {{TAG:0007:0000:14000000}}Ich hoff also, dass es
um etwas Supercooles geht...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Ee,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} ne var?{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}} Buraya kadar yürüdüm,
umarım aşırı efsane bir şeydir{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Remember this?{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}I think I borrowed
it from you ages ago, {{TAG:0007:0000:08000000}}and I wanted
to give it back.
{{TAG:0003:0009:}}Sorry I've had it for so long!{{TAG:0007:0000:10000000}} If it's
any consolation,{{TAG:0007:0000:08000000}}{{TAG:0003:0024:}} I barely used it at
all.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}¿Recuerdas que me prestaste algo
hace tiempo?{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}Ayer lo encontré y
quería devolvértelo.
{{TAG:0003:0009:}}Siento haber tardado tanto.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Cet objet te rappelle-t-il quelque
chose ?{{TAG:0007:0000:1E000000}} Il est à toi. {{TAG:0007:0000:14000000}}Je te l'avais
emprunté, {{TAG:0007:0000:08000000}}cela fait déjà longtemps.
{{TAG:0003:0009:}}Je n'ai plus pensé à te le rendre sur
le coup. {{TAG:0007:0000:1E000000}}Mais il n'est jamais trop
tard pour bien faire,{{TAG:0007:0000:14000000}} {{TAG:0003:0024:}}alors tiens.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Ricordi questo oggetto?{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}Te l'ho
chiesto in prestito tantissimo
tempo fa {{TAG:0007:0000:08000000}}e voglio restituirtelo.
{{TAG:0003:0009:}}Non sai quanto mi dispiaccia non
averlo fatto prima!{{TAG:0007:0000:10000000}} Però guarda,{{TAG:0007:0000:08000000}}{{TAG:0003:0024:}}
almeno è intatto.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Kennst du das noch?{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Ich denke,
ich habe es mir vor einer halben
Ewigkeit von dir geborgt.
Nun bekommst du es endlich zurück!{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}Tut mir leid, dass ich es so lange in
Beschlag genommen hatte.
{{TAG:0003:0024:}}Dafür habe ich es kaum verwendet!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0017:}}Bunu hatırladın mı?{{TAG:0007:0000:10000000}} {{TAG:0003:000B:}}Sanırım yıllar önce
senden ödünç almıştım, {{TAG:0007:0000:08000000}}geri vermek istedim.
{{TAG:0003:0009:}}Bu kadar uzun süre bende kaldığı
için kusura bakma!{{TAG:0007:0000:10000000}} Teselli olacaksa,{{TAG:0007:0000:08000000}}{{TAG:0003:0024:}}
neredeyse hiç
kullanmadım.{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0012:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}! {{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}I've been looking
everywhere for that thing and
you've had it the whole time?
{{TAG:0003:0002:}}Just kidding! {{TAG:0007:0000:10000000}}I totally forgot I even
owned one of those. {{TAG:0007:0000:10000000}}{{TAG:0003:0027:}}But,{{TAG:0007:0000:08000000}} like,{{TAG:0007:0000:08000000}}
thanks for giving it back!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0012:}}¡Qué fuerte! {{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}Lo busqué como loca
y ahora resulta que lo tenías tú.{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Es broma! {{TAG:0007:0000:10000000}}Ni me acordaba de que
te lo había dejado. {{TAG:0007:0000:10000000}}{{TAG:0003:0027:}}Gracias por
devolvérmelo.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0012:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} ! {{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Alors c'est toi qui
l'avais ! {{TAG:0007:0000:10000000}}Je le cherchais partout
depuis des mois !
{{TAG:0003:0002:}}Mais non !{{TAG:0007:0000:10000000}} J'plaisante ! {{TAG:0007:0000:10000000}}LOL, quoi.
{{TAG:0007:0000:10000000}}J'y pensais même plus à c'truc.{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}} Bon.
En tout cas, merci de me le rendre.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0012:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}! {{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Cioè, io ho cercato
'sto coso dappertutto e invece
ce l'avevi tu?!
{{TAG:0003:0002:}}Scherzo! {{TAG:0007:0000:10000000}}Me l'ero troppo scordato.
{{TAG:0007:0000:10000000}}{{TAG:0003:0027:}}Grazie una cifra!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0012:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}! {{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}Ich hab überall nach
dem Ding gesucht!{{TAG:0007:0000:14000000}} Und du hattest
es die ganze Zeit über?
{{TAG:0003:0002:}}Ich mach doch nur Spaß! {{TAG:0007:0000:14000000}}Ich hab
sogar total vergessen, dass ich
überhaupt so was hatte.
{{TAG:0003:0027:}}Aber danke fürs Zurückgeben!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0012:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}! {{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Ben bunu her yerde
arıyordum da bütün bu süre boyunca
sende miydi?
{{TAG:0003:0002:}}Şaka yaptım! {{TAG:0007:0000:10000000}}Böyle bir şeyim olduğunu bile
unutmuşum. {{TAG:0007:0000:10000000}}{{TAG:0003:0027:}}Ama,{{TAG:0007:0000:08000000}} yani,{{TAG:0007:0000:08000000}}
geri verdiğin için sağ ol!"
