entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0005:}}Today's the day we celebrate you
getting all growed up!{{TAG:0007:0000:14000000}} Let's party!","{{TAG:0003:0005:}}¡Qué bien, hoy nos toca celebrar
que ya eres algo más mayor!{{TAG:0007:0000:14000000}}
¡Que empiece la fiesta, vamos!","{{TAG:0003:0005:}}Aujourd'hui, c'est ta journée !{{TAG:0007:0000:14000000}} Un an
d'plus, c'est pas rien !{{TAG:0007:0000:0A000000}} Fêtons ça
comme il se doit !","{{TAG:0003:0005:}}Oggi festeggiamo il raggiungimento
della tua maturità...{{TAG:0007:0000:14000000}} Per non dire
vecchiaia! Eheheh! Si fa festaaaa!","{{TAG:0003:0003:}}Heut feiern wir ein weiteres
Lebensjahr von dir{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ein weiteres
Jahr voller wilder Abenteuer!","{{TAG:0003:0005:}}Bugün biraz daha büyümeni kutlama
günü!{{TAG:0007:0000:14000000}} Hadi parti!"
1,002,"{{TAG:0003:0005:}}Hey! {{TAG:0007:0000:14000000}}Happy birthday!{{TAG:0007:0000:14000000}} Friends'
birthdays are great!{{TAG:0007:0000:14000000}} I'm so excited!","{{TAG:0003:0005:}}¡Oyeee, felicidades, simpátic{{TAG:000E:0006:02006F0002006100}}!
{{TAG:0007:0000:14000000}}No veas cómo me gustan los
cumpleaños, {{TAG:0007:0000:14000000}}¡qué emoción!","{{TAG:0003:0005:}}Bon anniv !{{TAG:0007:0000:14000000}} Aujourd'hui, tu peux
t'permettre tous les caprices qui
t'passent par la tête !{{TAG:0007:0000:14000000}} Profites-en !","{{TAG:0003:0005:}}Ehi! {{TAG:0007:0000:14000000}}Buon compleanno!{{TAG:0007:0000:14000000}} Le feste
degli amici non sono niente male!{{TAG:0007:0000:14000000}}
Non sto più nella pelle!","{{TAG:0003:000F:}}Hey!{{TAG:0007:0000:08000000}} Du! {{TAG:0007:0000:08000000}}Geburtstagskind!
{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}}Alles Gute, Mann!{{TAG:0007:0000:14000000}} Geburtstage von
Freunden sind doch die besten!","{{TAG:0003:0005:}}Hey! {{TAG:0007:0000:14000000}}İyi ki doğdun!{{TAG:0007:0000:14000000}} Arkadaşların doğum
günleri harika!{{TAG:0007:0000:14000000}} Aşırı heyecanlıyım!"
2,003,"{{TAG:0003:0015:}}A plain old ""Happy birthday"" just
doesn't seem cool enough for you{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}But it's all I've got for now, so{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Happy birthday! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Verás, yo ya sé que no te pega
mucho un ""Feliz cumpleaños"" a
secas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Es como muy soso para ti.
{{TAG:0003:0003:}}Pero el caso es que por ahora no
se me ocurre nada mejor, así que
te lo diré igualmente{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¡Feliz cumpleaños, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}J'sais bien qu'c'est pas original
pour une clochette mais{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0003:}}Bon anniversaire, {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Un normalissimo ""Buon compleanno""
forse non è abbastanza per te{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ma è tutto quello che ho
al momento, quindi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} come dire...
Buon compleanno! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}„Alles Gute“ klingt total
abgedroschen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}Aber was Besseres fällt mir nicht 
ein, also:{{TAG:0007:0000:28000000}}{{TAG:0003:0003:}} Alles Gute, {{TAG:0007:0000:08000000}}alte Socke! {{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Dümdüz bir ""İyi ki doğdun"" sana pek
yeterince havalı gelmiyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ama şimdilik
elimde bundan iyisi yok, o yüzden{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
İyi ki doğdun! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0015:}}It was not easy keeping this
birthday party a secret from you!{{TAG:0000:0004:}}{{TAG:0003:0025:}}I thought I'd end up blabbing if I
talked to you, so I tried to ignore
you!{{TAG:0007:0000:14000000}} Sorry! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Buf, ¡no veas lo que me ha costado
que no te enterases de que iba
a organizarte un fiestorro!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Pensé que se me iba a escapar si
hablaba contigo, ¡por eso te he
estado haciendo el vacío!
¡Espero que no te hayas enfadado
conmigo, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Ç'a pas été facile de garder cette
fête secrète jusqu'au bout !{{TAG:0000:0004:}}{{TAG:0003:0025:}}Vu qu'j'avais peur de vendre la
mèche, j'ai fait d'mon mieux pour
t'éviter !{{TAG:0007:0000:14000000}} Désolée,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Non è stato facile tenerti nascosta
questa festa di compleanno!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Sapevo che avrei balbettato, se ti
avessi parlato, quindi ho provato
a ignorarti!{{TAG:0007:0000:14000000}} Scusa, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Es war total schwer, die Party vor
dir geheim zu halten!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ich dacht, ich verplapper mich
garantiert, also hab ich versucht,
dich zu ignorieren!{{TAG:0007:0000:14000000}} Tut mir leid!","{{TAG:0003:0015:}}Bu doğum günü partisini senden gizlemek
hiç kolay değildi!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Seninle konuşursam
ağzımdan kaçırırım diye seni biraz
görmezden gelmeye çalıştım!{{TAG:0007:0000:14000000}} Kusura
bakma! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0025:}}So our surprise-party plan was a big
success, right?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} I was way nervous!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Today is all about you, so I hope
you enjoy yourself! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Vaya, ¡nunca pensé que nos las
apañaríamos para mantener en
secreto esta fiesta!{{TAG:0003:0000:}}
No veas lo nerviosa que estaba...
{{TAG:0003:0005:}}Hoy es tu día, ¡así que quiero verte
muy a tope, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Tu t'attendais pas à cette fête
surprise, hein ?{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}Ç'a pas été simple
de garder l'secret jusqu'au bout !
{{TAG:0003:0005:}}En tout cas, aujourd'hui, c'est ton
jour !{{TAG:0007:0000:14000000}} J'espère qu'tu passes un bon
moment,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Insomma, la nostra festa a sorpresa
ha funzionato alla grande, vero?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
Ero così nervosa!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Oggi è la tua giornata, perciò...
divertiti! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Die Überraschungsparty war
'n voller Erfolg, {{TAG:0007:0000:08000000}}was?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} Boah, {{TAG:0007:0000:08000000}}
war ich nervös!{{TAG:0000:0004:}}{{TAG:0003:001D:}}Aber hat sich ja alles ausgezahlt!{{TAG:0007:0000:14000000}}
So, {{TAG:0007:0000:08000000}}und jetzt hab Spaß!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Sürpriz parti planımız bayağı başarılı
oldu, değil mi?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} Ben fena
gerilmiştim!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Bugün tamamen senin günün,
o yüzden doyasıya eğlen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0015:}}If it's your birthday, that must mean
I've gotten one year older too!{{TAG:0000:0004:}}{{TAG:0003:0005:}}It's a huge coincidence that we were
born on the same day{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} This must
be destiny! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Digo yo que como hoy es tu cumple,
serás un año más mayor, ¿no?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Jolipas, qué coincidencia que
hayamos nacido el mismo día.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Estamos predestinad{{TAG:000E:0006:02006F0002006100}}s{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0005:}}¡a irnos de fiesta a tope junt{{TAG:000E:0006:02006F0002006100}}s,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0003:0000:}}","{{TAG:0003:0015:}}Aujourd'hui, on prend un an au
compteur {{TAG:000E:0006:080074006F00750073000C0074006F007500740065007300}} les deux !{{TAG:0000:0004:}}{{TAG:0003:0005:}}Sacrée coïncidence que d'être {{TAG:000E:0006:06006E00E900730008006E00E90065007300}}
l'même jour de l'année{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Se oggi è il tuo compleanno, allora
anch'io sono diventata più vecchia
di un anno!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Che coincidenza essere nat{{TAG:000E:0006:0200690002006500}} lo
stesso giorno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Quando si dice
il destino! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Bist ja nicht {{TAG:000E:0006:20006400650072002000450069006E007A006900670065002C00200064006500720020006400690065002000450069006E007A006900670065002C002000640069006500}} heut
'n Jährchen älter wird{{TAG:0007:0000:08000000}} – ich hab
heut auch Geburtstag!
{{TAG:0003:0025:}}Dass wir beide am selben Tag 
geboren wurden{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Das muss
Schicksal sein! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Bugün senin doğum gününse ben de bir yaş
büyüdüm demektir!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Aynı gün doğmuş olmamız
acayip bir tesadüf{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Bu kesin
kader! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0015:}}Today is your birthday, and it's my
birthday too!{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}We have two reasons
to celebrate!
{{TAG:0003:0005:}}Ha ha! I love it!{{TAG:0007:0000:14000000}} Let's celebrate
together! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Hoy es tu cumpleaños... ¡y también
el mío!{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}¡Qué pasote, tenemos
que celebrarlo por partida doble!
{{TAG:0003:0005:}}¡Ji, ji, ji! ¡Cómo mola!{{TAG:0007:0000:14000000}} ¡Venga,
hay que ir a tope, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Aujourd'hui, c'est notre anniv à
{{TAG:000E:0006:080074006F00750073000C0074006F007500740065007300}} les deux !{{TAG:0007:0000:14000000}} Faut qu'on fasse
deux fois plus la fête, hi hi !","{{TAG:0003:0015:}}Oggi è il tuo compleanno, ma anche
il mio!{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Abbiamo non uno, ma due
motivi per festeggiare!
{{TAG:0003:0005:}}Ah ah! Dai,{{TAG:0007:0000:14000000}} festeggiamo insieme!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Heut ist dein Geburtstag{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} und 
meiner auch!{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Wir haben doppelten
Grund zum Feiern!
{{TAG:0003:0005:}}Dann müssen wir auch doppelt
so viel feiern! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Bugün senin doğum günün, benim de doğum
günüm!{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Kutlamak için iki sebebimiz var!
{{TAG:0003:0005:}}Ha ha! Bayıldım!{{TAG:0007:0000:14000000}} Hadi beraber
kutlayalım! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:000F:}}I can't believe your birthday falls on
New Year's Day{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} You must have
some epic parties!
{{TAG:0003:0003:}}Happy Birth{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}New{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Day{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Year{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
whatever, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Just enjoy it!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}No sabía que tu cumple fuese el día
de Año Nuevo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} ¡Pues menudas
fiestas de cumpleaños tendrás!
{{TAG:0003:0003:}}Feliz cumple{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} año{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} nuevo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¡Bueno, eso, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}¡Tú dale caña, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}C'est fou qu'ton anniv tombe le
jour du nouvel an{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Ça doit donner
des fêtes épiques,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !
{{TAG:0003:0003:}}Bon anni{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} année{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Bref, j'te
souhaite plein d'bonnes choses,
quoi, {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}È incredibile che tu compia gli anni
a Capodanno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Devi aver fatto
delle feste grandiose!
{{TAG:0003:0003:}}Buon comple{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Capod{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} anno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Beh,{{TAG:0007:0000:08000000}} quello che è, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
Tu divertiti! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Unglaublich, dass du an Neujahr
Geburtstag hast{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Da kannste ja
gleich zwei Tage durchfeiern!
{{TAG:0003:0003:}}Alles Gute zum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Neu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Geburts{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Jahres{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Tag{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ach, egal! 
Hab einfach Spaß, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}","{{TAG:0003:000F:}}Doğum gününün Yılbaşı'na denk geldiğine
inanamıyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Partilerin
destansı oluyordur!
{{TAG:0003:0003:}}İyi ki doğ{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Yeni{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Yıl{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Gün{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
neyse işte, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Sen tadını çıkar!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
8,009,"{{TAG:0003:000B:}}I guess if you're born on leap day,
your birthday really only comes
once every four years{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}I'm not great at math, but I'll figure
out a way for us to celebrate every
year! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Claro, como naciste en año bisiesto,
solo celebras tu cumple cada cuatro
años{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}No pasa nada, ¡déjamelo a mí! ¡Me
las apañaré para que lo celebremos
todos los años, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Comment ça s'passe quand on est
{{TAG:000E:0006:04006E00E90006006E00E9006500}} un 29 février ?{{TAG:0007:0000:0F000000}} On vieillit d'un
an seulement tous les quatre ans{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?!
{{TAG:0003:0011:}}Ça voudrait dire qu'on peut tomber
sur des {{TAG:000E:0006:0A007000E9007000E90073000A006D00E9006D00E9007300}} de 15 ans...?!{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} ?!","{{TAG:0003:000B:}}Se sei nat{{TAG:000E:0006:02006F0002006100}} il 29 febbraio, allora
è il tuo compleanno solo una volta
ogni quattro anni{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}Non sono brava con i calcoli, ma
troverò un modo per festeggiarti
tutti gli anni! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Wie läuft das eigentlich, wenn man
am 29. Februar Geburtstag hat?{{TAG:0007:0000:14000000}}
Feiert man da nur alle vier Jahre?
{{TAG:0003:0026:}}Ich bin zwar keine Leuchte in Mathe,{{TAG:0007:0000:08000000}}
aber ich werd 'nen Weg finden,{{TAG:0007:0000:08000000}} dass
du jedes Jahr feiern kannst!","{{TAG:0003:000B:}}Artık Gün'de doğduysan doğum günün
gerçekten dört yılda
bir geliyor sayılır{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}Matematiğim süper değil ama her yıl
kutlamanın bir yolunu kesin
bulurum! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:000B:}}Since you're born on leap day, your
birthday only comes once every
four years, right?
{{TAG:0003:0016:}}So we need to party super hard!{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}}
Hard enough to last four years!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Atiende... Tú como has nacido en
año bisiesto... ¿solo cumples cada
cuatro años?
{{TAG:0003:0016:}}¡Entonces la fiesta de cumple tiene
que ser alucinante! {{TAG:0007:0000:28000000}}{{TAG:0003:0005:}}¡De las que no
se olvidan, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Puisque t'es {{TAG:000E:0006:04006E00E90006006E00E9006500}} un 29 février,
j'imagine qu'tu fêtes ton anniv
qu'une fois tous les quatre ans ?!
{{TAG:0003:0005:}}Dans ce cas, pour compenser, on va
faire quatre fois plus la teuf,{{TAG:0007:0000:0A000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:000B:}}Quando si nasce il 29 febbraio
si festeggia il compleanno solo
ogni quattro anni, vero?
{{TAG:0003:0016:}}Allora dobbiamo fare una festa
grandiosa!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0005:}}Così sei a posto fino al prossimo
anno bisestile! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Wie läuft das eigentlich, wenn man
am 29. Februar Geburtstag hat?{{TAG:0007:0000:14000000}}
Feiert man da nur alle vier Jahre?
{{TAG:0003:0016:}}Dann müssen wir jetzt richtig
losfeiern!{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}} Die Party muss noch vier
Jahre vorhalten! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Artık Gün'de doğduğun için doğum günün
dört yılda bir geliyor, değil mi?
{{TAG:0003:0016:}}O zaman dört kat sıkı parti yapmalıyız!{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}}
Dört yıl yetecek kadar!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
