entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:001F:}}Aren't you {{TAG:0007:0000:1E000000}}SUPER psyched {{TAG:0007:0000:05000000}}about
today's big {{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:1E000000}} I can't wait to
see{{TAG:0007:0000:05000000}} what kinda bugs we all catch!","{{TAG:0003:0009:}}¿Aún no ha empezado la Caza de
Bichos?{{TAG:0007:0000:1E000000}} {{TAG:0003:0005:}}¡Algo me dice que esta
vez voy a ganar!","{{TAG:0003:001D:}}Ça y est ! C'est l'insectosafari
aujourd'hui !!!{{TAG:0007:0000:1E000000}} J'ai trop hâte de voir
ce qu'on va tous attraper !","{{TAG:0003:001F:}}Non sei, tipo,{{TAG:0007:0000:1E000000}} troppo emozionat{{TAG:000E:0006:02006F0002006100}}
che oggi c'è {{TAG:0007:0000:05000000}}l'{{TAG:0000:0003:0200}}Insettomania{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:1E000000}}{{TAG:0003:001D:}} Io non
vedo l'ora{{TAG:0007:0000:05000000}} di prendere tanti insetti!","{{TAG:0003:001F:}}Bist du auch schon total aufgeregt
wegen dem {{TAG:0000:0003:0200}}Insektikus-Turnier{{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:001D:}}Ich kann's kaum erwarten! {{TAG:0007:0000:14000000}}Boah,
was wir heute alles für Insekten
fangen werden!","{{TAG:0003:001F:}}Bugünkü büyük {{TAG:0007:0000:1E000000}}Böcek Turnuvası{{TAG:0007:0000:05000000}}
için {{TAG:0000:0003:0200}}ÇILGINLAR gibi heyecanlı{{TAG:0000:0003:FFFF}} değil misin?{{TAG:0007:0000:1E000000}}
Herkesin{{TAG:0007:0000:05000000}} ne tür böcekler yakalayacağını
görmek için sabırsızlanıyorum!"
1,002,"{{TAG:0003:0005:}}I've been waiting SOOO long for the
big {{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}}! {{TAG:0007:0000:0A000000}}I'm gonna catch a{{TAG:0007:0000:05000000}} TON
of bugs {{TAG:0007:0000:0A000000}}{{TAG:0003:0026:}}and make lots of memories!
{{TAG:0003:0001:}}All I have to do now{{TAG:0007:0000:05000000}} is make some
space in my room{{TAG:0007:0000:0A000000}}{{TAG:0003:0027:}} for the amazing
trophy{{TAG:0007:0000:05000000}} I'm gonna win today!","{{TAG:0003:0005:}}¡Hoy por fin es el día de la Caza de
Bichos! {{TAG:0007:0000:0A000000}}{{TAG:0003:0026:}}Voy a darlo todo para
conseguir la victoria.
{{TAG:0003:0001:}}Será mejor que haga un poco de
espacio en casa para colocar mi
trofeo, je, je...","{{TAG:0003:0005:}}J'adore l'insectosafari !{{TAG:0007:0000:14000000}} Presque
autant que l'été !{{TAG:0000:0004:}}{{TAG:0003:0026:}}Je vais attraper des insectes aussi
grands que toi !{{TAG:0007:0000:14000000}} {{TAG:0003:0027:}}Où je vais bien
pouvoir mettre mon futur trophée ?","{{TAG:0003:0005:}}Non vedo l'ora che cominci
l'{{TAG:0000:0003:0200}}Insettomania{{TAG:0000:0003:FFFF}}! {{TAG:0007:0000:0A000000}}Ho intenzione
di catturare{{TAG:0007:0000:05000000}} quintali di insetti!
{{TAG:0003:0001:}}Sarà meglio che faccia un po'
di spazio a casa per il megatrofeo
che vincerò oggi!","{{TAG:0003:0005:}}Ich hab ja sooo lange auf das
{{TAG:0000:0003:0200}}Insektikus-Turnier{{TAG:0000:0003:FFFF}} gewartet!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Ich werde einen Haufen Insekten
fangen und dabei noch viele tolle
Erinnerungen sammeln!
{{TAG:0003:0027:}}Jetzt muss ich nur noch Platz in
meiner Bude schaffen, damit mein
Siegerpokal auch reinpasst!","{{TAG:0003:0005:}}Büyük {{TAG:0000:0003:0200}}Böcek Turnuvası{{TAG:0000:0003:FFFF}}nı ÇOOOK uzun
zamandır bekliyorum! {{TAG:0007:0000:0A000000}}Bir{{TAG:0007:0000:05000000}} SÜRÜ böcek
yakalayıp {{TAG:0007:0000:0A000000}}{{TAG:0003:0026:}}tonla anı biriktireceğim!
{{TAG:0003:0001:}}Şimdi tek yapmam gereken{{TAG:0007:0000:05000000}}, bugün
kazanacağım o muhteşem kupa{{TAG:0007:0000:0A000000}}{{TAG:0003:0027:}} için odamda
biraz yer açmak{{TAG:0007:0000:05000000}}!"
2,003,"{{TAG:0003:001D:}}I'm totally gonna win{{TAG:0007:0000:14000000}} the {{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}}
I've even cleared{{TAG:0007:0000:05000000}}{{TAG:0003:0021:}} some space in my
room {{TAG:0007:0000:05000000}}for my new gold trophy!","{{TAG:0003:001D:}}¡Lo siento, {{TAG:0005:0008:}}, pero el 
trofeo me lo llevaré yo!{{TAG:0007:0000:14000000}} Quedará
ideal al lado de la tele.","{{TAG:0003:001D:}}J'ai pas le choix, je dois gagner
l'insectosafari !!!{{TAG:0000:0004:}}J'ai fait de la place dans ma
chambre et j'ai déjà prévenu les
meubles !{{TAG:0007:0000:14000000}} {{TAG:0003:0021:}}Je peux pas les décevoir{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.","{{TAG:0003:001D:}}Sono strasicura che vincerò{{TAG:0007:0000:14000000}}
l'Insettomania!{{TAG:0007:0000:14000000}} Sono anche riuscita{{TAG:0007:0000:05000000}}
{{TAG:0003:0021:}}a fare spazio a casa per{{TAG:0007:0000:05000000}} il trofeo!","{{TAG:0003:001D:}}Ich werde auf jeden Fall das
{{TAG:0000:0003:0200}}Insektikus-Turnier{{TAG:0000:0003:FFFF}} gewinnen!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Ich hab sogar etwas Platz in meiner
Bude gemacht für meinen neuen
Goldpokal!","{{TAG:0003:001D:}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}}Böcek Turnuvası{{TAG:0000:0003:FFFF}}nı kesinlikle BEN kazanacağım!{{TAG:0007:0000:14000000}}
Hatta yeni altın kupam için odamda{{TAG:0007:0000:05000000}}{{TAG:0003:0021:}}
şimdiden yer açtım{{TAG:0007:0000:05000000}}!"
3,004,"{{TAG:0003:0001:}}It's almost time for the {{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:002B:}}I wonder what kind of crazy bugs{{TAG:0007:0000:05000000}}
I'll meet today!","{{TAG:0003:0001:}}Pronto empezará la Caza de Bichos.{{TAG:0007:0000:14000000}}
¡Para ganar debo atrapar el bicho
más superraro que vea!","{{TAG:0003:0001:}}J'espère que j'ai pas annulé ma
pédicure pour rien{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. {{TAG:0003:0026:}}Je dois le
gagner, cet insectosafari !!!","{{TAG:0003:0001:}}È quasi arrivato il momento
dell'{{TAG:0000:0003:0200}}Insettomania{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}}{{TAG:0003:002B:}} Chissà che insetti
da paura{{TAG:0007:0000:05000000}} incontrerò oggi?!","{{TAG:0003:0001:}}Es ist fast Zeit für das {{TAG:0000:0003:0200}}Insektikus-
Turnier{{TAG:0000:0003:FFFF}}! {{TAG:0007:0000:14000000}}{{TAG:0003:002B:}}Ich frag mich, was für
verrückte Insekten ich heute finde!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Böcek Turnuvası{{TAG:0000:0003:FFFF}} başlamak üzere!{{TAG:0007:0000:14000000}}
{{TAG:0003:002B:}}Bugün ne kadar acayip böceklerle{{TAG:0007:0000:05000000}}
karşılaşacağım acaba!"
4,005,,,,,,
5,006,"{{TAG:0003:0025:}}The {{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}} {{TAG:0007:0000:05000000}}is off and running!{{TAG:0007:0000:14000000}}
{{TAG:0003:000D:}}I'm gonna have to face{{TAG:0007:0000:05000000}} all sorts
of {{TAG:0007:0000:05000000}}creepy creatures today!
{{TAG:0003:0021:}}But I'm gonna try my best to win,{{TAG:0007:0000:0A000000}}
no matter what!","{{TAG:0003:0025:}}¡Allá vamos!{{TAG:0007:0000:14000000}} {{TAG:0003:000D:}}¡La competencia será
dura, pero estoy dispuesta a todo
para quedar la primera!
{{TAG:0003:0006:}}Por muy grande y feo que sea
el bicho que me encuentre, ¡no
me rendiré!","{{TAG:0003:0025:}}Bon ben, ça y est !{{TAG:0007:0000:05000000}} On est en plein
insectosafari !{{TAG:0007:0000:14000000}} {{TAG:0003:002C:}}Viens embrasser la
future gagnante !
{{TAG:0003:000D:}}Bon, quand je fais un face à face
avec un insecte, je fais moins ma
fière, c'est clair !!!","{{TAG:0003:0025:}}L'Insettomania {{TAG:0007:0000:05000000}}è già iniziata!{{TAG:0007:0000:14000000}}
{{TAG:0003:000D:}}Sto per incontrare{{TAG:0007:0000:05000000}} una cifra
di{{TAG:0007:0000:05000000}} creature un po' bruttine!
{{TAG:0003:0021:}}Ma ce la metterò tutta per vincere,{{TAG:0007:0000:0A000000}}
costi quel costi!","{{TAG:0003:0025:}}Das {{TAG:0000:0003:0200}}Insektikus-Turnier{{TAG:0000:0003:FFFF}} ist in vollem
Gange! {{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}Ich werde heute vielen
gruseligen Krabbeltieren begegnen!
{{TAG:0003:0021:}}Aber ich werd mein Bestes geben,
egal, was passiert!","{{TAG:0003:0025:}}{{TAG:0000:0003:0200}}Böcek Turnuvası{{TAG:0000:0003:FFFF}} {{TAG:0007:0000:05000000}}başladı gitti!{{TAG:0007:0000:14000000}}
{{TAG:0003:000D:}}Bugün{{TAG:0007:0000:05000000}} bir sürü {{TAG:0007:0000:05000000}}ürkütücü yaratıkla
karşılaşmam gerekecek!
{{TAG:0003:0021:}}Ama ne olursa olsun kazanmak
için elimden geleni yapacağım,{{TAG:0007:0000:0A000000}}!"
6,007,"{{TAG:0003:0015:}}I consider you {{TAG:0007:0000:05000000}}my most serious{{TAG:0007:0000:05000000}}
{{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}} competition,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}It won't be easy to beat you!
{{TAG:0003:0001:}}But I know if I work extra hard,{{TAG:0007:0000:14000000}} I'll
find a {{TAG:0007:0000:05000000}}trophy-winning bug!","{{TAG:0003:0015:}}Tú eres mi mayor rival,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}¡No pienso ponértelo nada fácil!{{TAG:0007:0000:1E000000}} {{TAG:0003:002C:}}¡El
primer premio es mío y solo mío!","{{TAG:0003:0015:}}T'es carrément {{TAG:000E:0006:1C006D006F006E00200070006C007500730020006700720061006E0064001C006D006100200070006C007500730020006700720061006E0064006500}}
rival{{TAG:000E:0006:000002006500}},{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Mais pas de bol pour toi, je suis là !{{TAG:0007:0000:14000000}}
T'as aucune chance, je vais te
battre à flan de couture !!!","{{TAG:0003:0015:}}Ti considero come {{TAG:0007:0000:05000000}}mi{{TAG:000E:0006:02006F0002006100}} dirett{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:05000000}}
concorrente per l'Insettomania,{{TAG:0007:0000:0F000000}}
{{TAG:0005:0008:}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}Non sarà una passeggiata batterti!
{{TAG:0003:0001:}}Ma ce la metterò tutta e troverò
un insetto degno del trofeo!","{{TAG:0003:0015:}}Ich seh dich in diesem {{TAG:0000:0003:0200}}Insektikus-
Turnier {{TAG:0000:0003:FFFF}}als {{TAG:000E:0006:1C006D00650069006E0065006E00200067007200F600DF00740065006E0018006D00650069006E006500200067007200F600DF0074006500}}
{{TAG:000E:0006:18004B006F006E006B0075007200720065006E00740065006E0018004B006F006E006B0075007200720065006E00740069006E00}}, {{TAG:0005:0008:}}!
{{TAG:0003:000D:}}Wird sicher nicht einfach, dich zu
schlagen!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Aber ich weiß, wenn ich
mich doll anstrenge...
{{TAG:0003:001D:}}Dann werde ich auch das Insekt
finden, das mir den Pokal
einbringen wird!","{{TAG:0003:0015:}}Seni {{TAG:0007:0000:05000000}}en ciddi{{TAG:0007:0000:05000000}} {{TAG:0000:0003:0200}}Böcek Turnuvası{{TAG:0000:0003:FFFF}} rakibim
sayıyorum,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}Seni geçmek kolay olmayacak!
{{TAG:0003:0001:}}Ama biraz daha sıkı çalışırsam{{TAG:0007:0000:14000000}} kupa
kazandıracak bir böcek{{TAG:0007:0000:05000000}}
bulacağıma inanıyorum!"
7,008,"{{TAG:0003:0015:}}A good start is {{TAG:0007:0000:0A000000}}SO important {{TAG:0007:0000:05000000}}in
contests like these. {{TAG:0007:0000:14000000}}{{TAG:0003:0021:}}But no matter
what, {{TAG:0007:0000:0F000000}}that gold trophy'll be MINE!","{{TAG:0003:0015:}}Tómatelo con calma, chic{{TAG:000E:0006:02006F0002006100}}. {{TAG:0007:0000:14000000}}{{TAG:0003:0021:}}Hagas
lo que hagas, voy a ganar yo, je, je.","{{TAG:0003:0024:}}L'insectosafari a débuté, je te
signale{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0F000000}} {{TAG:0003:000D:}}On s'active ! On s'active !
On s'active !","{{TAG:0003:0015:}}È straimportante iniziare{{TAG:0007:0000:0A000000}} con
la zampa giusta in questo genere
di gare.{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}} Quel trofeo d'oro sarà mio!","{{TAG:0003:0015:}}Ein guter Start ist in Wettbewerben
wie diesem hier echt das A und O!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Dann wiederum –{{TAG:0007:0000:08000000}} eigentlich ist's
egal, denn der goldene Pokal gehört
sowieso schon mir!","{{TAG:0003:0015:}}Böyle yarışmalarda iyi bir başlangıç
{{TAG:0007:0000:0A000000}}ÇOOOK önemli{{TAG:0007:0000:05000000}}. {{TAG:0007:0000:14000000}}{{TAG:0003:0021:}}Ama ne olursa olsun{{TAG:0007:0000:0F000000}}
o altın kupa BENİM olacak!"
8,009,"{{TAG:0003:0026:}}Everyone in{{TAG:0007:0000:0A000000}} {{TAG:0005:0005:}} is,{{TAG:0007:0000:05000000}} like,{{TAG:0007:0000:05000000}}
totally freaking out{{TAG:0007:0000:14000000}}{{TAG:0003:0003:}} about this
super-awesome{{TAG:0007:0000:05000000}} {{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}}!
{{TAG:0003:0026:}}I'm gonna catch the sweetest bug
in town.{{TAG:0007:0000:1E000000}}{{TAG:0003:0028:}} But not one that {{TAG:0007:0000:05000000}}TASTES
sweet or anything.{{TAG:0007:0000:1E000000}}{{TAG:0003:000D:}} EWWWW!","{{TAG:0003:0026:}}¿No es genial que todos los vecinos
participemos en la competición?
¡Es superdivertido!
{{TAG:0003:0023:}}¡Me muero por ver la cara que
pondrán todos cuando me suba
al podio con mi trofeo!","{{TAG:0003:0026:}}{{TAG:000E:0003:}}{{TAG:0005:0005:}} est en ébullition, tout le
monde se démène pour
l'insectosafari !!!{{TAG:0000:0004:}}{{TAG:0003:0003:}}S'ils savaient à quel point c'est
carrément i{{TAG:0007:0000:0A000000}}nu{{TAG:0007:0000:0A000000}}tile...{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Je vais rafler
tous les trophées aujourd'hui !!!","{{TAG:0003:0026:}}Tutti, qui {{TAG:000E:0010:}}{{TAG:0007:0000:0A000000}} {{TAG:0005:0005:}} sono,{{TAG:0007:0000:05000000}} tipo,{{TAG:0007:0000:05000000}}
matti per{{TAG:0007:0000:14000000}}{{TAG:0003:0003:}} questa edizione{{TAG:0007:0000:05000000}}
dell'Insettomania!
{{TAG:0003:0026:}}Vedrai che prenderò l'insetto più
trendy di tutta la città.{{TAG:0000:0004:}}{{TAG:0003:0023:}}Non vedo l'ora di vedere la faccia
della gente quando salirò sul podio!","{{TAG:0003:0026:}}Alle hier in {{TAG:0005:0005:}} sind wegen
diesem coolen {{TAG:0000:0003:0200}}Insektikus-Turnier{{TAG:0000:0003:FFFF}}
{{TAG:0003:0003:}}{{TAG:0007:0000:0A000000}}total aus dem Häuschen!
{{TAG:0003:0026:}}Ich werd das süßeste Insekt der
Stadt fangen! {{TAG:0007:0000:14000000}}{{TAG:0003:0028:}}Aber keines, das
süß SCHMECKT! {{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}Das wär BÄÄÄH!","{{TAG:0003:0026:}}{{TAG:0007:0000:0A000000}}{{TAG:0005:0005:}} kasabasındaki herkes{{TAG:0007:0000:05000000}} resmen{{TAG:0007:0000:05000000}}
bu süper müthiş{{TAG:0007:0000:14000000}}{{TAG:0003:0003:}} {{TAG:0007:0000:05000000}}{{TAG:0000:0003:0200}}Böcek Turnuvası{{TAG:0000:0003:FFFF}}
için çıldırıyor!
{{TAG:0003:0026:}}Kasabadaki en tatlı böceği
yakalayacağım.{{TAG:0007:0000:1E000000}}{{TAG:0003:0028:}} Ama tadı{{TAG:0007:0000:05000000}} tatlı olanı
değil tabii.{{TAG:0007:0000:1E000000}}{{TAG:0003:000D:}} IYYYY!"
9,010,"{{TAG:0003:0025:}}How's the {{TAG:0000:0003:0200}}Bug-Off{{TAG:0000:0003:FFFF}} going for you
so far,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} I'm doing OK—{{TAG:0007:0000:0F000000}}{{TAG:0003:001B:}}
except{{TAG:0007:0000:05000000}} I keep getting light headed!
{{TAG:0003:0027:}}Every time I'm about to catch a
bug, {{TAG:0007:0000:0A000000}}I hold my breath. {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Then I totally
forget{{TAG:0007:0000:05000000}} to start breathing again!","{{TAG:0003:0025:}}¿Qué tal, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} Yo no he
cazado muchos bichos por ahora,
pero estoy cogiendo carrerilla.
{{TAG:0003:001B:}}Me paso más rato huyendo de
los bichos que cazándolos, {{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}pero
tranqui, ¡lo tengo todo controlado!","{{TAG:0003:0025:}}Ça va, tu gères, {{TAG:0005:0008:}}?{{TAG:0007:0000:0A000000}} Les
insectes, et tout et tout...{{TAG:0007:0000:0A000000}}
L'insectosafari, quoi...
{{TAG:0003:001B:}}Moi j'ai un peu la tête qui tourne{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.
{{TAG:0003:000A:}}À force d'arrêter de respirer à
chaque fois que je vois un insecte{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.","{{TAG:0003:0025:}}Come sta andando l'Insettomania,{{TAG:0007:0000:0F000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} A me bene, cioè,{{TAG:0007:0000:0F000000}}{{TAG:0003:001B:}} tranne
che{{TAG:0007:0000:05000000}} mi sento un sacco stordita!
{{TAG:0003:0027:}}Ogni volta che sto per catturare
un insetto, {{TAG:0007:0000:0A000000}}trattengo il fiato. {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}E poi
mi dimentico{{TAG:0007:0000:05000000}} di respirare!","{{TAG:0003:0025:}}Und, {{TAG:0007:0000:0A000000}}wie läuft das {{TAG:0000:0003:0200}}Insektikus-
Turnier {{TAG:0000:0003:FFFF}}so bei dir, {{TAG:0005:0008:}}?
{{TAG:0007:0000:14000000}}Bei mir ganz okay...
{{TAG:0003:001B:}}Außer, dass mir irgendwie die ganze
Zeit schwummrig wird!{{TAG:0000:0004:}}{{TAG:0003:0027:}}Jedes Mal, wenn ich kurz davor bin,
ein Insekt zu fangen, halte ich den
Atem an!
{{TAG:0003:0002:}}Und dann vergess ich immer,
wieder weiterzuatmen!","{{TAG:0003:0025:}}{{TAG:0000:0003:0200}}Böcek Turnuvası{{TAG:0000:0003:FFFF}} senin için nasıl
gidiyor,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} Bende fena değil—{{TAG:0007:0000:0F000000}}{{TAG:0003:001B:}}
ama{{TAG:0007:0000:05000000}} sürekli başım dönüyor!
{{TAG:0003:0027:}}Her böcek yakalayışımda{{TAG:0007:0000:0A000000}} nefesimi
tutuyorum. {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Sonra yeniden nefes
almayı{{TAG:0007:0000:05000000}} unutuyorum!"
