archive,asset,animation,english,turkish,style,enabled,notes
BUI,bui_sys_button_EU_en,0,Back,Geri,normal_white,1,
BUI,bui_sys_button_EU_en,1,Easy Mode,Kolay Mod,normal_yellow,1,
BUI,bui_sys_button_EU_en,2,Emergency Guard,Acil Koruma,normal_white,1,
BUI,bui_sys_button_EU_en,3,Difficulty,Zorluk,normal_white,1,Renderer nedeniyle kaynakta koyu görünebilir
BUI,bui_sys_button_EU_en,6,Easy,Kolay,normal_white,1,
BUI,bui_sys_button_EU_en,7,Easy,Kolay,normal_yellow,1,
BUI,bui_sys_button_EU_en,8,Practice Mode,Alıştırma Modu,normal_white,1,
BUI,bui_sys_button_EU_en,9,Demo Mode,Demo Modu,normal_white,1,
BUI,bu_sys_relief_EU_en,2,CLOSE,KAPAT,normal_white,1,
BUI,bu_sys_relief_EU_en,3,CONFIRM,ONAYLA,normal_white,1,
BUI,bu_sys_relief_EU_en,4,CANCEL,İPTAL,normal_white,1,
BUI,bu_sys_otehon_EU_en,0,ATTACK DEMO,SALDIRI DEMOSU,normal_white,1,
BUI,bu_sys_otehon_EU_en,1,START PRACTISE,ALIŞTIRMA BAŞLAT,normal_white,1,
BUI,bu_sys_otehon_EU_en,4,Excellent!!,MÜKEMMEL!!,stylized_rainbow,1,
BUI,bui_equipeff_EU_en,5,POW,GÜÇ,clear_white,1,
BUI,bui_equipeff_EU_en,6,DEF,SAV,clear_white,1,SAV = Savunma
BUI,bui_equipeff_EU_en,7,SPEED,HIZ,clear_white,1,Kaynak renderer rengi koyu
BUI,bui_equipeff_EU_en,10,BP FREE,BP ÜCRETSİZ,clear_white,1,
BUI,bui_gameover_EU_en,0,GAME OVER,OYUN BİTTİ,stylized_blue,1,
BUI,bui_sys_badstatname_EU_en,0,TRIP,TÖKEZLE,clear_white,1,
BUI,bui_sys_badstatname_EU_en,1,DIZZY,SERSEM,clear_white,1,
BUI,bui_sys_badstatname_EU_en,2,BURN,YANMA,clear_white,1,
BUI,bui_sys_badstatname_EU_en,3,CHAR,KAVRUL,clear_white,1,
BUI,bui_sys_badstatname_EU_en,4,POW,GÜÇ,clear_white,1,
BUI,bui_sys_badstatname_EU_en,5,POW,GÜÇ,clear_white,1,
BUI,bui_sys_badstatname_EU_en,6,DEF,SAV,clear_white,1,
BUI,bui_sys_badstatname_EU_en,7,DEF,SAV,clear_white,1,
BUI,bui_sys_badstatname_EU_en,8,SPEED,HIZ,clear_white,1,
BUI,bui_sys_badstatname_EU_en,9,SPEED,HIZ,clear_white,1,
BUI,bui_sys_badstatname_EU_en,10,POISON,ZEHİR,clear_white,1,
BUI,bui_sys_badstatname_EU_en,11,MAX POISON,AĞIR ZEHİR,clear_white,1,
BUI,bui_sys_badstatname_EU_en,12,LIGHT G,HAFİF G,clear_white,1,
BUI,bui_sys_badstatname_EU_en,13,HEAVY G,AĞIR G,clear_white,1,
BUI,bui_sys_block_name_EU_en,0,Jump,Zıpla,clear_white,1,
BUI,bui_sys_block_name_EU_en,1,Hammer,Çekiç,clear_white,1,
BUI,bui_sys_block_name_EU_en,2,Hand,El,clear_white,1,
BUI,bui_sys_block_name_EU_en,3,Bros. Attack,Kardeş Sald.,clear_white,1,
BUI,bui_sys_block_name_EU_en,4,Items,Eşyalar,clear_white,1,
BUI,bui_sys_block_name_EU_en,5,Run,Kaç,clear_white,1,
BUI,bui_sys_dam_EU_en,34,TOTAL,TOPLAM,stylized_orange,1,
BUI,bui_sys_dam_EU_en,36,LUCKY,ŞANSLI,stylized_blue,1,
BUI,bui_sys_dam_EU_en,38,CRITICAL,KRİTİK,stylized_white,1,
BUI,bui_sys_font_EU_en,0,TOO BAD...,ÇOK KÖTÜ...,stylized_blue,1,
BUI,bui_sys_font_EU_en,1,OK,TAMAM,stylized_yellow,1,
BUI,bui_sys_font_EU_en,2,GOOD!,İYİ!,stylized_yellow,1,
BUI,bui_sys_font_EU_en,3,GREAT!,HARİKA!,stylized_orange,1,
BUI,bui_sys_font_EU_en,4,EXCELLENT!!,MÜKEMMEL!!,stylized_rainbow,1,
FUI,fu_can_EU_en,0,Quit,Çık,normal_white,1,
FUI,fu_can_EU_en,1,Quit,Çık,normal_white,1,
FUI,fu_luckyouch_EU_en,0,CRITICAL,KRİTİK,stylized_white,1,
FUI,fu_start_re_EU_en,3,START!,BAŞLA!,stylized_orange,1,
KUI,ko_ui_bonusskill_EU_en,0,Bonus Skill,BONUS\nYETENEK,normal_white,1,
KUI,ko_ui_clear_EU_en,0,CLEARED!,TAMAMLANDI!,stylized_green,1,
KUI,ko_ui_fall_EU_en,0,Drop,Bırak,clear_white,1,
KUI,ko_ui_font_EU_en,0,TOO BAD...,ÇOK KÖTÜ...,stylized_blue,1,
KUI,ko_ui_font_EU_en,1,OK,TAMAM,stylized_yellow,1,
KUI,ko_ui_font_EU_en,2,GOOD!,İYİ!,stylized_yellow,1,
KUI,ko_ui_font_EU_en,3,GREAT!,HARİKA!,stylized_orange,1,
KUI,ko_ui_font_EU_en,4,EXCELLENT!!,MÜKEMMEL!!,stylized_rainbow,1,
KUI,ko_ui_fukubikiblock_EU_en,2,POW,GÜÇ,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,3,POW,GÜÇ,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,4,DEF,SAV,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,5,DEF,SAV,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,6,SPEED,HIZ,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,7,SPEED,HIZ,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,8,SPIRIT,RUH,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,9,SPIRIT,RUH,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,10,ACCURACY,İSABET,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,11,ACCURACY,İSABET,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,12,EVASION,KAÇINMA,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,13,EVASION,KAÇINMA,clear_white,1,
KUI,ko_ui_fukubikiblock_EU_en,14,CRITICAL,KRİTİK,clear_white,1,İkon bağlamından kritik etki etiketi
KUI,ko_ui_fukubikiblock_EU_en,15,CRITICAL,KRİTİK,clear_white,1,İkon bağlamından kritik etki etiketi
KUI,ko_ui_fukubikiblock_EU_en,18,LUCK,ŞANS,clear_white,1,
