index,label,English,French,German,Italian,Spanish,Turkish
37,Text_Body_Welcome,Welcome!,Bonjour !,Willkommen!,Salve!,¡Hola!,Hoş geldiniz!
39,Text_Body_Bye,"Thanks, have a nice day!",Bonne journée !,Vielen Dank!,Grazie e arrivederci!,¡Que tengas un buen día!,"Teşekkürler, iyi günler!"
40,Text_Headwear_Welcome,Welcome!,Bien le bonjour !,Willkommen!,Salve!,¡Hola!,Hoş geldiniz!
42,Text_Headwear_Bye,Thank you! Come back soon!,Bonne fin de journée !,Vielen Dank!,Grazie e arrivederci!,¡Que tengas un buen día!,Teşekkürler! Yine bekleriz!
43,Text_Food_Welcome,Welcome!,Bonjour !,Willkommen!,Salve!,¡Hola!,Hoş geldiniz!
45,Text_Food_Bye,Thank you. Have a nice day!,À bientôt !,Vielen Dank!,Grazie e arrivederci!,¡Que tengas un buen día!,Teşekkürler. İyi günler!
46,Text_Room_Welcome,Welcome!,Bienvenue !,Willkommen!,Salve!,¡Hola!,Hoş geldiniz!
48,Text_Room_Bye,Come back soon!,Bonne journée !,Vielen Dank!,Grazie e arrivederci!,¡Que tengas un buen día!,Yine bekleriz!
49,Text_Treasure_Welcome,Welcome!,"Bonjour ! Avez-vous des objets dont
vous souhaitez vous débarrasser ?","Willkommen! Gibt es irgendwelche Dinge
die du nicht mehr brauchst?",Salve!,¡Hola!,Hoş geldiniz!
51,Text_Treasure_Bye,Come back soon!,Bonne journée !,Vielen Dank!,Grazie e arrivederci!,¡Que tengas un buen día!,Yine bekleriz!
52,Text_Import_Welcome,Welcome!,Bien le bonjour !,Herzlich willkommen!,Salve!,¡Hola!,Hoş geldiniz!
54,Text_Import_Bye,Have a nice day!,Bonne journée et à bientôt !,Komm bald wieder vorbei!,A presto!,¡Que tengas un buen día!,İyi günler!
55,Text_Food_Welcome_Christmas,Merry Christmas!,Joyeux Noël !,Schöne Feiertage!,Auguri!,¡Felices fiestas!,Mutlu Noeller!
56,Text_Body_Welcome_Christmas,Season's greetings!,Joyeuses fêtes !,Frohe Weihnacht!,Auguri!,¡Felices fiestas!,İyi Bayramlar!
57,Text_Headwear_Welcome_Christmas,Merry Christmas!,Joyeux Noël !,Frohes Fest!,Auguri!,¡Felices fiestas!,Mutlu Noeller!
58,Text_Room_Welcome_Christmas,Season's greetings!,Joyeuses fêtes !,Fröhliche Weihnacht!,Auguri!,¡Felices fiestas!,İyi Bayramlar!
59,Text_Treasure_Welcome_Christmas,Merry Christmas!,"Joyeux Noël ! Avez-vous des objets dont
vous souhaitez vous débarrasser ?","Fröhliche Weihnachten! Gibt es irgendwelche
Dinge die du nicht mehr brauchst?",Auguri!,¡Felices fiestas!,Mutlu Noeller!
60,Text_Import_Welcome_Christmas,Season's greetings!,Joyeuses fêtes !,"Fröhliche Weihnachten! Und
herzlich willkommen in unserem Laden!",Auguri!,¡Felices fiestas!,İyi Bayramlar!
61,Text_Food_Welcome_NewYear,Happy New Year!,Bonne année !,Alles Gute im neuen Jahr!,Felice anno nuovo!,¡Feliz año nuevo!,Mutlu Yıllar!
62,Text_Body_Welcome_NewYear,Happy New Year!,Bonne année !,Alles Gute im neuen Jahr!,Felice anno nuovo!,¡Feliz año nuevo!,Mutlu Yıllar!
63,Text_Headwear_Welcome_NewYear,Happy New Year!,Bonne année !,Alles Gute im neuen Jahr!,Felice anno nuovo!,¡Feliz año nuevo!,Mutlu Yıllar!
64,Text_Room_Welcome_NewYear,Happy New Year!,Bonne année !,Alles Gute im neuen Jahr!,Felice anno nuovo!,¡Feliz año nuevo!,Mutlu Yıllar!
65,Text_Treasure_Welcome_NewYear,Happy New Year!,"Bonne année ! Avez-vous des objets dont
vous souhaitez vous débarrasser ?","Alles Gute im neuen Jahr! Gibt es zufällig
Dinge die du nicht mehr benötigst?",Felice anno nuovo!,¡Feliz año nuevo!,Mutlu Yıllar!
66,Text_Import_Welcome_NewYear,Happy New Year!,Bonne année !,"Alles Gute im neuen Jahr! Bleib uns
bitte auch dieses Jahr gewogen!",Felice anno nuovo!,¡Feliz año nuevo!,Mutlu Yıllar!
73,Text_Food_Welcome_Halloween,Trick or treat!,Un bonbon ou un sort !,Süßes oder Saures!,Dolcetto o scherzetto!,"¡Truco, o trato!","Şeker mi, şaka mı?"
74,Text_Body_Welcome_Halloween,Trick or treat!,Bonne fête d'Halloween !,Süßes oder Saures!,Dolcetto o scherzetto!,"¡Truco, o trato!","Şeker mi, şaka mı?"
75,Text_Headwear_Welcome_Halloween,Trick or treat!,Un bonbon ou un sort !,Süßes oder Saures!,Dolcetto o scherzetto!,"¡Truco, o trato!","Şeker mi, şaka mı?"
76,Text_Room_Welcome_Halloween,Trick or treat!,Joyeuse Halloween !,Süßes oder Saures!,Dolcetto o scherzetto!,"¡Truco, o trato!","Şeker mi, şaka mı?"
77,Text_Treasure_Welcome_Halloween,Trick or treat!,"Un bonbon ou un sort ! Avez-vous des objets
dont vous souhaitez vous débarrasser ?","Süßes oder Saures! Gibt es zufällig
Dinge die du nicht mehr benötigst?",Dolcetto o scherzetto!,"¡Truco, o trato!","Şeker mi, şaka mı?"
78,Text_Import_Welcome_Halloween,Trick or treat!,Un bonbon ou un sort !,"Süßes oder Saures! Wenn du nichts kaufst,
dann wird dir das noch Leid tun!",Dolcetto o scherzetto!,"¡Truco, o trato!","Şeker mi, şaka mı?"
