entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,,{{TAG:000E:0000:000203CD}}almond jelly,{{TAG:000E:0000:020204CD}}gelatina,{{TAG:000E:0000:020804CD}}crème brûlée,{{TAG:000E:0000:010F05CD}}panettone,{{TAG:000E:0000:010103CD}}Vanillepudding,{{TAG:000E:0000:000203CD}}badem jölesi
1,,{{TAG:000E:0000:000103CD}}shortbread,{{TAG:000E:0000:020204CD}}tarta de chocolate,{{TAG:000E:0000:010703CD}}shortbread,{{TAG:000E:0000:021007CD}}sbrisolona,{{TAG:000E:0000:020204CD}}Sahnetorte,{{TAG:000E:0000:000103CD}}tereyağlı kurabiye
2,,{{TAG:000E:0000:000103CD}}shaved ice,{{TAG:000E:0000:010103CD}}helado de fresa,{{TAG:000E:0000:020804CD}}tarte au citron,{{TAG:000E:0000:010F05CD}}torrone,{{TAG:000E:0000:020204CD}}Götterspeise,{{TAG:000E:0000:000103CD}}buz rendesi
3,,{{TAG:000E:0000:000103CD}}carrot cake,{{TAG:000E:0000:020204CD}}tarta de galletas,{{TAG:000E:0000:010703CD}}gingembre confit,{{TAG:000E:0000:010C09CD}}gianduiotti,{{TAG:000E:0000:010103CD}}Marzipanstollen,{{TAG:000E:0000:000103CD}}havuçlu kek
4,,{{TAG:000E:0000:000103CD}}sponge cake,{{TAG:000E:0000:010103CD}}bizcocho,{{TAG:000E:0000:010703CD}}gâteau à la broche,{{TAG:000E:0000:010C09CD}}baci di dama,{{TAG:000E:0000:010103CD}}Marmorkuchen,{{TAG:000E:0000:000103CD}}pandispanya
5,,{{TAG:000E:0000:000103CD}}banana bread,{{TAG:000E:0000:020204CD}}macedonia,{{TAG:000E:0000:020804CD}}poire confite,{{TAG:000E:0000:010F05CD}}profiterole,{{TAG:000E:0000:030105CD}}Bananenbrot,{{TAG:000E:0000:000103CD}}muzlu ekmek
6,,{{TAG:000E:0000:000103CD}}crème caramel,{{TAG:000E:0000:010103CD}}flan de vainilla,{{TAG:000E:0000:020804CD}}crème caramel,{{TAG:000E:0000:021007CD}}panna cotta,{{TAG:000E:0000:020204CD}}Karamellcreme,{{TAG:000E:0000:000103CD}}krem karamel
7,,{{TAG:000E:0000:000103CD}}chocolate pie,{{TAG:000E:0000:010103CD}}brownie,{{TAG:000E:0000:020804CD}}tarte au chocolat,{{TAG:000E:0000:010F05CD}}mont blanc,{{TAG:000E:0000:010103CD}}Schokokuchen,{{TAG:000E:0000:000103CD}}çikolatalı turta
8,,{{TAG:000E:0000:000103CD}}crème brûlée,{{TAG:000E:0000:020204CD}}crema catalana,{{TAG:000E:0000:020804CD}}génoise,{{TAG:000E:0000:021007CD}}crostata di mirtilli,{{TAG:000E:0000:020204CD}}Crème brûlée,{{TAG:000E:0000:000103CD}}krem brüle
9,,{{TAG:000E:0000:000103CD}}bread pudding,{{TAG:000E:0000:010103CD}}pudin de pan,{{TAG:000E:0000:010703CD}}panettone,{{TAG:000E:0000:010F05CD}}tiramisù,{{TAG:000E:0000:030105CD}}Tiramisu,{{TAG:000E:0000:000103CD}}ekmek pudingi
