entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}}
2,003,{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}}
3,004,,,,,,
4,005,"{{TAG:0003:0004:}}Don't you just love Main Street?{{TAG:0007:0000:10000000}}
It's more than just shopping{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0015:}} It's
the heart of {{TAG:0005:0005:}}!","{{TAG:0003:0004:}}¡Adoro la zona comercial!{{TAG:0007:0000:10000000}} Es mucho
más que una calle con tiendas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0015:}} 
¡Es el corazón de {{TAG:000E:0003:}}{{TAG:0005:0005:}}!","{{TAG:0003:0004:}}Notre rue commerçante n'est-elle
pas magnifique ?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ce n'est pas qu'une suite de
boutiques, {{TAG:0007:0000:10000000}}c'est aussi le cœur
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0004:}}Non trovi anche tu che
Via degli Acquisti sia meravigliosa?{{TAG:0000:0004:}}Non è solo la strada
dello shopping.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0015:}} È il cuore
pulsante di {{TAG:0005:0005:}}!","{{TAG:0003:0004:}}Findest du unsere Einkaufsmeile
nicht auch hervorragend?{{TAG:0007:0000:14000000}} Da geht
es nicht nur ums Einkaufen selbst.
{{TAG:0003:0015:}}Die Einkaufsmeile ist quasi das Herz
von {{TAG:0005:0005:}}.{{TAG:0007:0000:14000000}} Hier spürst du den
Pulsschlag der Stadt!","{{TAG:0003:0004:}}Ana Cadde'yi sevmemek mümkün mü?{{TAG:0007:0000:10000000}} Burası
alışverişten fazlası{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0015:}}
{{TAG:0005:0005:}}'ın kalbi!"
5,006,{{TAG:000A:0007:0B000B000B000B000B000D00}},{{TAG:000A:0007:0B000B000B000B000B000D00}},{{TAG:000A:0007:0B000B000B000B000B000D00}},{{TAG:000A:0007:0B000B000B000B000B000D00}},{{TAG:000A:0007:0B000B000B000B000B000D00}},{{TAG:000A:0007:0B000B000B000B000B000D00}}
6,007,"{{TAG:0003:002B:}}I could spend hours just window
shopping here. {{TAG:0007:0000:10000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Cuando me aburro paseo por esta
calle y observo los escaparates,
{{TAG:0005:0007:}}.","{{TAG:0003:002B:}}Je pourrais passer des heures à
contempler ces vitrines,
{{TAG:0005:0007:}}...","{{TAG:0003:002B:}}Potrei passare ore e ore
a guardare le vetrine
dei negozi. {{TAG:0007:0000:10000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Ich könnte stundenlang die Auslagen
in den Schaufenstern betrachten,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!",{{TAG:0003:002B:}}Burada saatlerce vitrin gezebilirim. {{TAG:0007:0000:10000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!
7,008,"{{TAG:0003:0015:}}This is the place to see and be seen
in {{TAG:0005:0005:}},{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}I wouldn't say I ""dress up"" just to
come down here,{{TAG:0007:0000:08000000}}{{TAG:0003:0024:}} but I definitely
take a peek in the mirror first.","{{TAG:0003:0015:}}Esta es la zona con más ambiente
de {{TAG:000E:0003:}}{{TAG:0005:0005:}}. ¡Todo el mundo
pasa por aquí!
Por eso siempre intento ir bien
vestida.","{{TAG:0003:0004:}}C'est sans le moindre doute le plus
beau quartier de toute la ville.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Et ici, {{TAG:0007:0000:10000000}}on est sûr de toujours
rencontrer quelqu'un que l'on
connaît.","{{TAG:0003:0015:}}Questo è il posto ideale per
incontrare altra gente,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:0F000000}}
Non che mi metta in ghingheri...
... apposta per venire qui,{{TAG:0007:0000:0F000000}}
ma diciamo che prima {{TAG:0003:0001:}}mi guardo
almeno allo specchio.","{{TAG:0003:0015:}}Die Einkaufsmeile hat gerade
Hochkonjunktur.{{TAG:0007:0000:14000000}} Jeder, der etwas
auf sich hält, lässt sich hier sehen.
{{TAG:0003:0024:}}Ich stehe ja über solchen Dingen und
bin nur zufällig hier, {{TAG:0007:0000:08000000}}aber es schadet
nicht, informiert zu sein!","{{TAG:0003:0015:}}{{TAG:0005:0005:}}'da görmenin ve görülmenin yeri
burası,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}Sırf buraya gelmek
için ‘şık giyiniyorum’ demem,{{TAG:0007:0000:08000000}}{{TAG:0003:0024:}}
ama çıkmadan aynaya bir kez baktığım kesin."
8,009,"{{TAG:0003:0017:}}What's Main Street like in your
hometown, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0011:}}Really?{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}} Well, I find it hard to believe
it could be so similar.","{{TAG:0003:0017:}}¿En tu pueblo también tenéis una
zona comercial, {{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ah, ¿sí? ¡Me encantaría poder
visitarla algún día!","{{TAG:0003:0017:}}Comment est la rue commerçante
de ta ville, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} ?{{TAG:0007:0000:1E000000}}
Ressemble-t-elle à la nôtre ?
{{TAG:0003:0011:}}Tant que ça ?{{TAG:0007:0000:2D000000}} Ça pour une
coïncidence !","{{TAG:0003:0017:}}Avete una strada del genere anche
dalle vostre parti, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0011:}}Davvero?{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}} Però! Non pensavo che
le nostre città fossero così simili.","{{TAG:0003:0017:}}Gibt es bei dir zu Hause auch eine
so gepflegte Einkaufsmeile,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}?
{{TAG:0003:0011:}}Ja?{{TAG:0007:0000:28000000}}{{TAG:0003:0006:}} Nun,{{TAG:0007:0000:08000000}} ich glaube kaum, dass sie
mit unserer mithalten kann!","{{TAG:0003:0017:}}Senin memleketindeki Ana Cadde nasıl,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0011:}}Gerçekten mi?{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}} Bu kadar benzer
olabileceğine inanmak zor."
9,010,{{TAG:000A:0007:0C000C000C000C000C000E00}},{{TAG:000A:0007:0C000C000C000C000C000E00}},{{TAG:000A:0007:0C000C000C000C000C000E00}},{{TAG:000A:0007:0C000C000C000C000C000E00}},{{TAG:000A:0007:0C000C000C000C000C000E00}},{{TAG:000A:0007:0C000C000C000C000C000E00}}
