entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Thank you for spending your
valuable time writing to me.
","Ya sabes que siempre me
alegro de recibir tus cartas.
","Merci pour ta lettre.
J'en suis toute émue.
","Grazie della tua lettera.
L'ho letta con molto piacere.","Vielen Dank, dass du mir
geschrieben hast!
",Değerli vaktini ayırıp bana yazdığın için teşekkür ederim.
1,002,"Your letter goes perfectly
with a soothing cup of tea.
","Me leí tu carta mientras
tomaba el té. ¡Divina!
","Je lis et relis ta lettre.
Je l'adore !
","La tua lettera si accompagna
bene con un buon tè caldo.
","Danke für deine nette
Korrespondenz!
","Mektubun, huzurlu bir fincan çayın yanına kusursuz yakıştı."
2,003,"Accept this reply as thanks
for the letter you sent me.
","Adoro tus cartas. Espero
que me envíes muchas más.
","Ta lettre m'a vraiment fait
plaisir, et je t'en remercie.
","Ti scrivo per ringraziarti
della tua lettera speciale.
","Hiermit möchte ich deinen
Brief beantworten.
","Bu cevabı, gönderdiğin mektup için teşekkürüm olarak kabul et."
3,004,"It was so unexpected, your
letter made me extra happy.
","Recibir tu carta ha sido
una sorpresa fantástica.
","Ta lettre m'a fait un bien
fou, et je t'en remercie.
","La tua lettera inaspettata
mi ha fatto davvero piacere!
","Ein netter Brief, eine Tasse
Tee – was will man mehr?
",Mektubun hiç beklemediğim anda geldi; o yüzden beni iki kat mutlu etti.
4,005,"It was such a surprise to get
a letter from you! Thanks!
","Qué carta tan bonita...
¡Muchas gracias, flor!
","Quelle belle surprise de
recevoir une lettre de toi !
","Che sorpresa ricevere una
lettera da te! Grazie mille!
","Wie schön, einen Brief von
dir zu erhalten!
",Senden mektup almak ne hoş bir sürprizdi! Teşekkür ederim.
5,006,"I was delighted to discover
your letter in my mailbox.
","Tu carta me ha alegrado
el día. Gracias, cielín.
","J'ai été ravie de trouver ta
lettre parmi mon courrier.
","Mi ha fatto piacere trovare
la tua lettera nella cassetta!
","Dein Brief war wirklich eine
schöne Überraschung!
",Posta kutumda mektubunu görünce gerçekten çok sevindim.
6,007,"Each night before sleeping, I
read that letter you sent me.
","He leído tu carta unas diez
veces. ¡Me encanta!
","Je vais précieusement
conserver ta lettre.
","Prima di addormentarmi,
rileggo sempre la tua lettera.
","Ich habe deinen Brief gleich
mehrmals gelesen. Danke!
",Her gece uyumadan önce gönderdiğin mektubu okuyorum.
7,008,"I read that letter you wrote
to me through and through.
","Tu carta me ha llegado
al corazón, ricura.
","J'ai relu ta lettre au moins
cent fois ! Je l'adore !
","Ho letto e riletto la lettera
che mi hai mandato. Grazie!
","Ich habe den Brief von dir
aufmerksam gelesen. Danke!
","Bana yazdığın mektubu baştan sona, dikkatle okudum."
8,009,"That letter you sent made
me so happy. Thank you!
","Me hizo mucha ilusión leer
tu carta, pastelito.
","Ta lettre m'a fait si chaud au
cœur... Merci mille fois !
","La tua lettera mi ha mandato
in estasi! Grazie infinite!
","Dein Brief hat mich wirklich
sehr erfreut. Vielen Dank!
",Gönderdiğin mektup beni çok mutlu etti. Teşekkür ederim.
9,010,"Since you took the time to
write to me, I'll do the same.
","Una carta como la tuya
merece que la respondan.
","Puisque tu as pris la peine
de m'écrire, je fais de même.
","Visto che mi hai dedicato
del tempo, lo faccio anch'io.
","Hiermit antworte ich dir auf
deinen netten Brief.
","Sen bana yazmak için vakit ayırdıysan, ben de aynısını yapacağım."
