entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Welcome to the{{TAG:0007:0000:0A000000}} {{TAG:0005:0005:}} post
office!{{TAG:0007:0001:}} {{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}What can I help you with
today?{{TAG:000F:0007:0000000000002800}}
Send mail.
Save mail.
Ask about a present.
Nothing.","{{TAG:0003:0001:}}¡Bienvenid{{TAG:000E:0006:02006F0002006100}} a la oficina
de correos de{{TAG:0007:0000:0A000000}} {{TAG:000E:0003:}}{{TAG:0005:0005:}}!{{TAG:0007:0000:14000000}}
{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}¿En qué te puedo ayudar hoy?{{TAG:000F:0007:0000000000002800}}
Enviar cartas
Guardar cartas
Regalo descargable
Nada, gracias","{{TAG:0003:0001:}}Bienvenue au bureau de poste
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}}. {{TAG:0007:0001:}}{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}Que puis-je faire
pour toi ?{{TAG:000F:0007:0000000000002800}}
Envoyer du courrier.
Boîte personnelle.
Cadeau téléchargeable.
Rien.","{{TAG:0003:0001:}}Benvenut{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:0A000000}} all'ufficio postale
di {{TAG:0005:0005:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}In cosa posso esserti utile?{{TAG:000F:0007:0000000000002800}}
Spedire della posta.
Salvare della posta.
Regalo scaricabile.
Lascia stare.","{{TAG:0003:0001:}}Willkommen im Postamt von
{{TAG:0005:0005:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}Was möchtest du tun?{{TAG:000F:0007:0000000000002800}}
Briefe versenden.
Briefe aufbewahren.
Nach Geschenk fragen.
Nichts.","{{TAG:0003:0001:}}{{TAG:0007:0000:0A000000}} {{TAG:0005:0005:}} postanesine
hoş geldiniz!{{TAG:0007:0001:}} {{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}Bugün size nasıl
yardımcı olabilirim?{{TAG:000F:0007:0000000000002800}}
Mektup gönder.
Mektup sakla.
Hediyeyi sor.
Hiçbir şey."
1,002,"{{TAG:0003:0001:}}Welcome to the{{TAG:0007:0000:0A000000}} {{TAG:0005:0005:}} post
office!{{TAG:0007:0001:}} {{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}What can I help you with
today?{{TAG:000F:0005:00002800}}
Send mail.
Nothing.","{{TAG:0003:0001:}}¡Bienvenid{{TAG:000E:0006:02006F0002006100}} a la oficina
de correos de{{TAG:0007:0000:0A000000}} {{TAG:000E:0003:}}{{TAG:0005:0005:}}!{{TAG:0007:0000:14000000}}
{{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}¿En qué te puedo ayudar hoy?{{TAG:000F:0005:00002800}}
Enviar cartas
Nada, gracias","{{TAG:0003:0001:}}Bienvenue au bureau de poste
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}}. {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}Que puis-je faire
pour toi ?{{TAG:000F:0005:00002800}}
Envoyer du courrier.
Rien.","{{TAG:0003:0001:}}Benvenut{{TAG:000E:0006:02006F0002006100}} {{TAG:0007:0000:0A000000}}all'ufficio postale
di {{TAG:0005:0005:}}!{{TAG:0007:0001:}}
{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}In cosa posso esserti utile?{{TAG:000F:0005:00002800}}
Spedire della posta.
Lascia stare.","{{TAG:0003:0001:}}Willkommen im Postamt von
{{TAG:0005:0005:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Was möchtest du tun?{{TAG:000F:0005:00002800}}
Briefe versenden.
Nichts.","{{TAG:0003:0001:}}{{TAG:0007:0000:0A000000}} {{TAG:0005:0005:}} postanesine
hoş geldiniz!{{TAG:0007:0001:}} {{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}Bugün size nasıl
yardımcı olabilirim?{{TAG:000F:0005:00002800}}
Mektup gönder.
Hiçbir şey."
2,003,"Well, {{TAG:0007:0000:0F000000}}{{TAG:0003:0017:}}is there anything else I can
help you with?{{TAG:000F:0007:0000000000002800}}
Send mail.
Save mail.
Ask about a present.
No, thanks.","{{TAG:0003:0017:}}¿Te puedo ayudar en algo más?{{TAG:000F:0007:0000000000002800}}
Enviar cartas
Guardar cartas
Regalo descargable
No, gracias","Bien, {{TAG:0007:0000:0F000000}}{{TAG:0003:0017:}}y a-t-il autre chose que je
puisse faire pour toi ?{{TAG:000F:0007:0000000000002800}}
Envoyer du courrier.
Boîte personnelle.
Cadeau téléchargeable.
Rien, merci.","{{TAG:0003:0017:}}Posso fare qualcos'altro per te?{{TAG:000F:0007:0000000000002800}}
Spedire della posta.
Salvare della posta.
Scaricare un regalo.
No, grazie.","{{TAG:0003:0017:}}Kann ich dir sonst noch irgendwie
behilflich sein?{{TAG:000F:0007:0000000000002800}}
Briefe versenden.
Briefe aufbewahren.
Nach Geschenk fragen.
Nein danke.","Peki, {{TAG:0007:0000:0F000000}}{{TAG:0003:0017:}}başka bir konuda
yardımcı olabilir miyim?{{TAG:000F:0007:0000000000002800}}
Mektup gönder.
Mektup sakla.
Hediyeyi sor.
Hayır, teşekkürler."
3,004,"Well, {{TAG:0007:0000:0F000000}}{{TAG:0003:0017:}}is there anything else I can
{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}help you with?{{TAG:000F:0005:00002800}}
Send mail.
No, thanks.","{{TAG:0003:0017:}}¿Te puedo ayudar en algo más?{{TAG:000F:0005:00002800}}
Enviar cartas
No, gracias","Bien, {{TAG:0007:0000:0F000000}}{{TAG:0003:0017:}}y a-t-il autre chose que je
puisse faire pour toi ?{{TAG:000F:0005:00002800}}
Envoyer du courrier.
Rien, merci.","{{TAG:0003:0017:}}Posso fare qualcos'altro per te?{{TAG:000F:0005:00002800}}
Spedire della posta.
No, grazie.","{{TAG:0003:0017:}}Kann ich sonst noch irgendwas für
dich tun?{{TAG:000F:0005:00002800}}
Briefe versenden.
Nein danke.","Peki, {{TAG:0007:0000:0F000000}}{{TAG:0003:0017:}}başka bir konuda
{{TAG:0003:0017:}}{{TAG:0007:0000:0A000000}}yardımcı olabilir miyim?{{TAG:000F:0005:00002800}}
Mektup gönder.
Hayır, teşekkürler."
4,005,"OK.{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}Well, please consider us for all
your future postal needs.","{{TAG:0003:0001:}}Pues nada,{{TAG:0007:0000:0F000000}} no dudes en pasarte por
aquí si necesitas algo.{{TAG:0007:0000:14000000}} ¡Intentaremos
resolver todas tus dudas postales!","Parfait.{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}N'hésite pas à t'adresser à
nous si tu as besoin de quoi que ce
soit.","Non c'è problema.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Quando hai bisogno dei nostri
servizi postali, torna da noi!","Auch recht.
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Für Postbedarf aller Art stehen
wir dir jederzeit zur Verfügung.","Peki.{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}Postayla ilgili ne zaman
ihtiyacınız olursa yine bekleriz."
5,006,"{{TAG:0003:0001:}}OK. {{TAG:0007:0000:0A000000}}Please wait a moment
while I save your mail for you.","{{TAG:0003:0001:}}De acuerdo. {{TAG:0007:0000:0A000000}}Dame un momento
para que guarde el correo que
has seleccionado.","{{TAG:0003:0001:}}Pas de problème. {{TAG:0007:0000:0A000000}}Ça ne prendra
qu'un instant, merci de patienter.","{{TAG:0003:0001:}}Perfetto. {{TAG:0007:0000:0A000000}}Ti prego di attendere
mentre eseguo l'operazione
di salvataggio.","{{TAG:0003:0001:}}Aber natürlich.
{{TAG:0007:0000:14000000}}Einen Moment bitte!","{{TAG:0003:0001:}}Elbette. {{TAG:0007:0000:0A000000}}Mektuplarınızı
kaydederken lütfen biraz bekleyin."
6,007,,,,,,
7,008,"{{TAG:0003:0001:}}Sure thing.{{TAG:0007:0000:14000000}} Who would you like to
send your mail to?{{TAG:000F:0006:000000002800}}
Person in {{TAG:0005:0005:}}.
My future self.
Never mind.","{{TAG:0003:0001:}}Ningún problema.{{TAG:0007:0000:14000000}} Dime,{{TAG:0007:0000:05000000}}
¿quién es el destinatario?{{TAG:000F:0006:000000002800}}
Alguien del pueblo
Mi yo del futuro
Bah, déjalo","{{TAG:0003:0001:}}Nous sommes là pour ça.{{TAG:0007:0000:14000000}} À qui
désires-tu envoyer ce courrier ?{{TAG:000F:0006:000000002800}}
À un résident de la ville.
À mon futur moi.
J'ai changé d'avis.","{{TAG:0003:0001:}}Ah, perfetto.{{TAG:0007:0000:14000000}}
A chi vuoi spedire la tua posta?{{TAG:000F:0006:000000002800}}
Qualcuno in città.
Il mio io futuro.
Ho cambiato idea.","{{TAG:0003:0001:}}Gerne!{{TAG:0007:0000:14000000}} Wer soll Post von dir
bekommen?{{TAG:000F:0006:000000002800}}
Jemand in {{TAG:0005:0005:}}.
Mein Zukunfts-Ich.
Äh, lassen wir's.","{{TAG:0003:0001:}}Tabii.{{TAG:0007:0000:14000000}} Mektubu kime
göndermek istersiniz?{{TAG:000F:0006:000000002800}}
{{TAG:0005:0005:}} kasabasındaki birine.
Gelecekteki kendime.
Vazgeçtim."
8,009,"{{TAG:0003:0009:}}That...{{TAG:0007:0000:14000000}}um...{{TAG:0007:0000:08000000}}might be a problem.{{TAG:0007:0000:1E000000}}{{TAG:0000:0004:}}We still have letters to deliver, so I
can't take any letters for you right
now.{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}} Please come back later.","{{TAG:0003:0009:}}Eh...{{TAG:0007:0000:14000000}} Mmm...{{TAG:0007:0000:08000000}} Me temo que tenemos
un problemilla.{{TAG:0007:0000:1E000000}}{{TAG:0000:0004:}}Aún tengo correo por entregar y
no puedo encargarme de más
cartas.{{TAG:0003:0000:}} {{TAG:0007:0000:14000000}}Vuelve más tarde, ¿vale?","{{TAG:0003:0009:}}Voyons...{{TAG:0007:0000:14000000}} Hmm...{{TAG:0007:0000:08000000}} Ça risque de poser
problème.{{TAG:0000:0004:}}On a encore des lettres à distribuer{{TAG:0007:0000:0F000000}}
alors je ne peux rien prendre
actuellement.{{TAG:0003:0000:}}{{TAG:0000:0004:}}Je te prierai de bien vouloir
repasser plus tard.","{{TAG:0003:0009:}}Ehm...{{TAG:0007:0000:14000000}} Mi dispiace, {{TAG:0007:0000:08000000}}ma c'è
un problema.{{TAG:0007:0000:1E000000}} Dobbiamo ancora
recapitare della posta...
... quindi al momento non posso
prendere lettere per te.{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}} Ti prego
di tornare più tardi.","{{TAG:0003:0009:}}Oh weh. {{TAG:0007:0000:14000000}}Also... {{TAG:0007:0000:14000000}}Es gibt da leider ein
kleines Problem.{{TAG:0000:0004:}}Es sind noch einige andere Briefe
zum Zustellen da, also kann ich
keine neuen Briefe annehmen.{{TAG:0003:0000:}}
Komm doch bitte später wieder, ja?","{{TAG:0003:0009:}}Şey...{{TAG:0007:0000:14000000}}ımm...{{TAG:0007:0000:08000000}}bu biraz zor.{{TAG:0007:0000:1E000000}}{{TAG:0000:0004:}}Henüz
dağıtılacak mektuplar var,
bu yüzden şu anda yenilerini
alamıyorum.{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}} Lütfen sonra tekrar gelin."
9,010,"If you're visiting from another town,{{TAG:0007:0000:0A000000}}
I can only help you mail letters to
people in {{TAG:0005:0005:}}.
{{TAG:0003:0017:}}What would you like delivered?","Recuerda que solo puedo
enviar cartas dirigidas a
vecinos de {{TAG:000E:0003:}}{{TAG:0005:0005:}}.
{{TAG:0003:0017:}}¿Me podrías mostrar lo
que quieres enviar?","Tu viens d'une autre ville ?{{TAG:0007:0000:0A000000}} Sache
que tu ne peux envoyer de lettres
qu'aux habitants {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}}.
{{TAG:0003:0017:}}Cela étant dit, as-tu du courrier à
poster ?","Se sei qui in visita da un'altra città,{{TAG:0007:0000:0A000000}}
posso aiutarti a spedire lettere
solo a cittadini di {{TAG:0005:0005:}}.
{{TAG:0003:0017:}}Cosa vuoi spedire esattamente?","Besuchern aus anderen Städten
kann ich nur mit Briefen an
Empfänger in {{TAG:0005:0005:}} helfen.
{{TAG:0003:0017:}}Kann ich die Post mal sehen?","Başka bir kasabadan
ziyaretçiyseniz{{TAG:0007:0000:0A000000}}
yalnızca {{TAG:0005:0005:}} sakinlerine
mektup gönderebilirim.
{{TAG:0003:0017:}}Neyi göndermek istersiniz?"
