entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0017:}}Are you here{{TAG:0007:0000:05000000}} to check out this
little hot spot{{TAG:0007:0000:05000000}} too?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}} I hear it's,
like, the coolest town ever!
{{TAG:0003:0015:}}We tourists {{TAG:0007:0000:05000000}}have to stick together.{{TAG:0007:0000:1E000000}}{{TAG:0003:0016:}}
Hey,{{TAG:0007:0000:0A000000}} let's be friends! {{TAG:0007:0001:}}{{TAG:0003:0027:}}You can hang
out here {{TAG:0007:0000:05000000}}whenever you want.","{{TAG:0003:0017:}}¿Vienes a visitar el pueblo más
chuli de todos?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}} ¡Yo también!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ya que l{{TAG:000E:0006:02006F0002006100}}s dos somos turistas,
deberíamos ser amig{{TAG:000E:0006:02006F0002006100}}s y tal.{{TAG:0007:0000:14000000}}
¿Qué me dices?","{{TAG:0003:0001:}}Je crois qu'on est abonné{{TAG:000E:0006:02007300040065007300}} au
même magazine, hi hi ! {{TAG:0003:001D:}}Toi aussi,
tu as lu l'article sur {{TAG:0005:0005:}} ?!
{{TAG:0003:0015:}}Entre touristes {{TAG:0007:0000:0A000000}}hyper tendance{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
on devrait bien s'entendre !{{TAG:0007:0000:1E000000}} {{TAG:0007:0001:}}{{TAG:0003:0027:}}Tu
passes quand tu veux, {{TAG:000E:0006:0C0063006F007000610069006E000C0063006F00700069006E006500}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0017:}}Anche tu qui in visita?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}} Ho sentito
che questa città è supertrendy!
{{TAG:0003:0015:}}Noi turist{{TAG:000E:0006:0200690002006500}} dovremmo fare amicizia!{{TAG:0007:0000:1E000000}}{{TAG:0003:0016:}}
Ti va di essere mi{{TAG:000E:0006:02006F0002006100}} amic{{TAG:000E:0006:02006F0002006100}}?
{{TAG:0007:0001:}}Sarebbe troppo da paura!
Vieni a trovarmi quando vuoi!","{{TAG:0003:0017:}}Bist du auch hier, um dir dieses
trendige kleine Nest anzuschauen?{{TAG:0000:0004:}}{{TAG:0003:001D:}}Ich hab ja gehört, das hier soll im
Moment die absolut angesagteste
Stadt sein!
{{TAG:0003:0015:}}Wir Trendtouristen sollten auf
jeden Fall zusammenhalten!{{TAG:0000:0004:}}{{TAG:0003:0016:}}Hey, {{TAG:0007:0000:0A000000}}lass uns doch Freunde sein!{{TAG:0007:0001:}}
{{TAG:0003:0027:}}Du kannst hier mit mir rumhängen,
so oft du Lust hast!","{{TAG:0003:0017:}}Sen de{{TAG:0007:0000:05000000}} bu minik gözde mekânı{{TAG:0007:0000:05000000}} görmeye mi geldin?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}
Burası duyduğuma göre dünyanın
en havalı kasabasıymış!
{{TAG:0003:0015:}}Biz turistler{{TAG:0007:0000:05000000}} birbirimizi kollamalıyız.{{TAG:0007:0000:1E000000}}{{TAG:0003:0016:}}
Hey,{{TAG:0007:0000:0A000000}} hadi arkadaş olalım! {{TAG:0007:0001:}}{{TAG:0003:0027:}}İstediğin zaman
buraya gelip takılabilirsin {{TAG:0007:0000:05000000}}."
1,002,"{{TAG:0003:0025:}}Just visiting,{{TAG:0007:0000:05000000}} huh? {{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}I'm from out of
town {{TAG:0007:0000:05000000}}too! {{TAG:0007:0000:05000000}}I heard {{TAG:0007:0000:0A000000}}{{TAG:0005:0005:}} is,{{TAG:0007:0000:05000000}}
like, {{TAG:0007:0000:05000000}}totally happening.
{{TAG:0003:001B:}}Apparently, {{TAG:0007:0000:05000000}}it's {{TAG:0007:0000:0F000000}}THE place to see
and be seen!{{TAG:0007:0000:1E000000}}{{TAG:0003:0009:}} I hope the paparazzi{{TAG:0007:0000:05000000}}
leave me alone, though.","{{TAG:0003:0025:}}¡Anda, u{{TAG:000E:0006:02006E0004006E006100}} turista como yo! {{TAG:0007:0000:0A000000}}
{{TAG:0003:0015:}}Me han dicho que {{TAG:000E:0003:}}{{TAG:0007:0000:0A000000}}{{TAG:0005:0005:}} es
el sitio de moda,{{TAG:0007:0000:05000000}} ¡y aquí estoy!
{{TAG:0003:001B:}}Espero que los paparazis no me
sigan y pueda pasar mis vacaciones
tranquila.","{{TAG:0003:0025:}}Tu visites la ville ?{{TAG:0007:0000:05000000}} Moi aussi, trop
cool !{{TAG:0007:0000:0A000000}} {{TAG:0003:0015:}}J'ai vu des tonnes de
reportages sur {{TAG:0007:0000:0A000000}}{{TAG:0005:0005:}} !!!
{{TAG:0003:001B:}}J'espère qu'ici au moins, {{TAG:0007:0000:05000000}}les
paparazzi me laisseront
tranquille{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0000:0003:0500}}(Hi hi hi, genre !){{TAG:0000:0003:FFFF}}","{{TAG:0003:0025:}}Anche tu qui in visita, eh? {{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}
Proprio come me! {{TAG:0007:0000:05000000}}Mi hanno detto
che {{TAG:0005:0005:}} è troppo da urlo!
{{TAG:0003:001B:}}Cioè, è una città supermegatrendy!{{TAG:0007:0000:1E000000}}{{TAG:0003:0009:}}
Spero solo che i paparazzi
non riescano a scovarmi anche qui...","{{TAG:0003:0025:}}Du bist nur mal eben zu Besuch,
was? {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Ich bin ja auch von außerhalb!{{TAG:0000:0004:}}Ich hab gehört, dass {{TAG:0005:0005:}} die
totale Trendstadt sein soll!{{TAG:0000:0004:}}{{TAG:0003:001B:}}Anscheinend ist das hier DER Ort,
um zu sehen und gesehen zu werden!{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ich hoff ja nur, dass die Paparazzi
hier nicht so aufdringlich sind wie
die bei mir zu Hause!","{{TAG:0003:0025:}}Sadece gezmeye geldin,{{TAG:0007:0000:05000000}} öyle mi? {{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}Ben de
başka kasabadanım{{TAG:0007:0000:05000000}}! {{TAG:0007:0000:05000000}}{{TAG:0007:0000:0A000000}}{{TAG:0005:0005:}}'ın{{TAG:0007:0000:05000000}} bayağı{{TAG:0007:0000:05000000}} hareketli
bir yer olduğunu duydum.
{{TAG:0003:001B:}}Görünüşe göre{{TAG:0007:0000:05000000}} burası{{TAG:0007:0000:0F000000}} görülmesi ve görünülmesi
gereken YER!{{TAG:0007:0000:1E000000}}{{TAG:0003:0009:}} Yeter ki paparazziler{{TAG:0007:0000:05000000}}
peşime takılmasın."
2,003,"{{TAG:0003:001B:}}I've been, {{TAG:0007:0000:05000000}}like, {{TAG:0007:0000:05000000}}all OVER the world.{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}
But this town is just perfect {{TAG:0007:0000:05000000}}for
a nice, {{TAG:0007:0000:05000000}}refreshing getaway!
{{TAG:0003:002B:}}I'm gonna relax and unwind by
eating yummy treats from all the
{{TAG:0007:0000:0A000000}}{{TAG:0005:001A:00CD}} trees!","{{TAG:0003:001B:}}No hay nada mejor que acampar en
este pueblo para huir del estrés y
relajarse.
{{TAG:0003:002B:}}Si aún no lo has hecho, te aconsejo
que pruebes la fruta local,{{TAG:0007:0000:14000000}} ¡está
de rechupete!","{{TAG:0003:0001:}}J'en ai vu des villes !!!{{TAG:0007:0000:05000000}} Des hôtels{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Les trois étoiles, on s'en lasse vite,
hi hi hi...
{{TAG:0003:002B:}}Le camping, ça change{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Manger
{{TAG:000E:0002:}}{{TAG:0007:0000:0A000000}}{{TAG:0005:001A:00CD}}, se la couler
douce{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0000:0003:0500}}(Comment je me la raconte,
hi hi hi !){{TAG:0000:0003:FFFF}}","{{TAG:0003:001B:}}Ho viaggiato per tutto il mondo,{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}
ma ti assicuro che nessuna città
è trendy e rilassante come questa!
{{TAG:0003:002B:}}Ho intenzione di riposarmi
un sacco qui mentre mi pappo
un bel chilo di frutta locale!","{{TAG:0003:001B:}}Ich war ja schon überall auf der
Welt! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Aber diese Stadt ist einfach
perfekt für eine kleine Auszeit!
{{TAG:0003:002B:}}Ich werd meine Zeit hier einfach
damit verbringen, {{TAG:000E:0008:00CD1800640065006E002000650069006E0020006F0064006500720018006400690065002000650069006E0020006F0064006500720018006400610073002000650069006E0020006F00640065007200}}
{{TAG:000E:0008:00CD0E0061006E0064006500720065006E000C0061006E0064006500720065000C0061006E006400650072006500}} {{TAG:0005:001A:00CD}} zu futtern...
Und natürlich den ganzen Stress
von mir abfallen zu lassen!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Auch Promis brauchen mal
eine Auszeit von ihren Fans.","{{TAG:0003:001B:}}Ben,{{TAG:0007:0000:05000000}} şey,{{TAG:0007:0000:05000000}} dünyanın dört bir yanını gezdim.{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}
Ama bu kasaba, kafa dinlemek için{{TAG:0007:0000:05000000}} tam
{{TAG:0007:0000:05000000}}mükemmel bir kaçış noktası!
{{TAG:0003:002B:}}Biraz rahatlayıp bütün {{TAG:0007:0000:0A000000}}{{TAG:0005:001A:00CD}} ağaçlarından
nefis şeyler yiyeceğim!"
3,004,"{{TAG:0003:000F:}}I can't {{TAG:0007:0000:14000000}}believe {{TAG:0007:0000:14000000}}this town isn't in
all the travel guides. {{TAG:0007:0000:14000000}}It's,{{TAG:0007:0000:05000000}} like,{{TAG:0007:0000:05000000}}{{TAG:0003:001D:}} the
coolest town{{TAG:0007:0000:05000000}} I've ever visited!
{{TAG:0003:0015:}}I'm gonna learn everything there
is to know{{TAG:0007:0000:05000000}} about this place.{{TAG:0007:0000:1E000000}}{{TAG:0003:002C:}} Then
I can write all about it {{TAG:0007:0000:05000000}}in my blog!","{{TAG:0003:000F:}}Este pueblo debería salir en todas
las guías de viajes. {{TAG:0007:0000:14000000}}¡Es superchuli!{{TAG:0000:0004:}}{{TAG:0003:0015:}}¡Lo comentaré en mi blog para
que vengan muchos más turistas!","{{TAG:0003:000F:}}Dire que cette ville est dans AUCUN
guide touristique !{{TAG:0007:0000:14000000}} {{TAG:0003:001D:}}C'est la ville la
plus cool que j'ai jamais vue !
{{TAG:0003:002C:}}Je vais mettre plein de photos sur
mon blog !","{{TAG:0003:000F:}}Roba da pazzi! Com'è possibile
che non abbiano inserito questa
città in nessuna guida turistica?
{{TAG:0003:0015:}}È un posto troppo trendy!{{TAG:0007:0000:1E000000}}{{TAG:0003:002C:}}
Non vedo l'ora di includerla
nella mia tournée internazionale!","{{TAG:0003:000F:}}Ich kann's nicht fassen, dass diese
Stadt nicht in allen Reiseführern
drin ist.
Das hier ist mit Abstand {{TAG:0003:001D:}}{{TAG:0007:0000:0A000000}}die coolste
Stadt, die ich je besucht hab!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ich muss alles lernen, was es über
diese Stadt zu wissen gibt!{{TAG:0000:0004:}}{{TAG:0003:002C:}}Schließlich muss ich alles in meinen
Blog über die heißesten Trends
schreiben!","{{TAG:0003:000F:}}Bu kasabanın gezi rehberlerinde olmamasına
inanamıyorum{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}} {{TAG:0007:0000:14000000}}Burası,{{TAG:0007:0000:05000000}} yani,{{TAG:0007:0000:05000000}}{{TAG:0003:001D:}} gördüğüm
en havalı kasaba{{TAG:0007:0000:05000000}}!
{{TAG:0003:0015:}}Burayla ilgili bilinmesi gereken her şeyi
öğreneceğim{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:1E000000}}{{TAG:0003:002C:}} Sonra blogumda{{TAG:0007:0000:05000000}} hepsini yazarım!"
4,005,"{{TAG:0003:0025:}}Just here for a visit, {{TAG:0007:0000:0A000000}}huh? {{TAG:0007:0000:05000000}}Me too.
{{TAG:0007:0000:0A000000}}{{TAG:0003:001B:}}I love this town, {{TAG:0007:0000:05000000}}but it's kind of a
long trip.{{TAG:0007:0000:1E000000}}{{TAG:0003:001D:}} I wish I lived a bit closer!","{{TAG:0003:0025:}}¿Te gusta este pueblo? ¡A mí me
superencanta!{{TAG:0007:0000:0A000000}}{{TAG:0003:001B:}} Ojalá viviera más
cerca para visitarlo todos los días.","{{TAG:0003:0025:}}Entre touristes, on se reconnaît,
hein ?!{{TAG:0007:0000:0A000000}} Oui, moi aussi, je suis en
visite !
{{TAG:0003:0004:}}Chuis trop bien ici{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Dommage que
ce soit si loin de chez moi !!!","{{TAG:0003:0025:}}Anche tu qui in visita, {{TAG:0007:0000:0A000000}}eh?
{{TAG:0007:0000:0A000000}}{{TAG:0003:001B:}}Che spettacolo 'sta città! {{TAG:0007:0000:05000000}}Peccato
sia un po' lontana da casa mia!","{{TAG:0003:0025:}}Na, {{TAG:0007:0000:0A000000}}bist du nur zu Besuch hier?
{{TAG:0007:0000:14000000}}Ich auch! {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Ich liebe diese Stadt, aber
der Weg hierher ist ganz schön weit!
{{TAG:0003:001D:}}Ich wünschte, ich würde näher dran
wohnen!{{TAG:0007:0000:14000000}} Wow, dann wär ich ständig
hier, sag ich dir!","{{TAG:0003:0025:}}Sadece ziyarete geldin, {{TAG:0007:0000:0A000000}}öyle mi? {{TAG:0007:0000:05000000}}Ben de.
{{TAG:0007:0000:0A000000}}{{TAG:0003:001B:}}Bu kasabayı seviyorum, {{TAG:0007:0000:05000000}}ama yol biraz uzun.{{TAG:0007:0000:1E000000}}{{TAG:0003:001D:}}
Keşke biraz daha yakında yaşasaydım!"
5,006,"{{TAG:0003:0020:}}Hi there!{{TAG:0007:0000:0A000000}}
I'm just visiting {{TAG:0007:0000:05000000}}your cute little
town. {{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}You know, {{TAG:0007:0000:05000000}}camping and all.
{{TAG:0003:001D:}}It's really relaxing in {{TAG:0007:0000:05000000}}{{TAG:0005:0005:}}.{{TAG:0007:0000:0A000000}}
So much{{TAG:0007:0000:05000000}} fresh air and stuff! {{TAG:0007:0000:14000000}}{{TAG:0003:0004:}}I'm
completely adoring it!","{{TAG:0003:0020:}}¡Hooola!{{TAG:0007:0000:0A000000}} ¿Eres de aquí?{{TAG:0007:0000:14000000}}{{TAG:0003:0026:}} ¡Tu
pueblo es requetecuqui, oye!{{TAG:0000:0004:}}{{TAG:0003:0004:}}Es la primera vez que acampo aquí
y ya estoy pensando en repetir.","{{TAG:0003:0020:}}Coucou !{{TAG:0007:0000:0A000000}}
Je l'adooore, ta ville !!!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Le camping
est super !
{{TAG:0003:001D:}}Vive les vacances à {{TAG:0007:0000:05000000}}{{TAG:0005:0005:}} !{{TAG:0007:0000:0A000000}}
La vie au grand air,{{TAG:0007:0000:14000000}} c'est super ! {{TAG:0003:0004:}}
Je veux vivre dans une tente !","{{TAG:0003:0020:}}Ciaaao!{{TAG:0007:0000:0A000000}}
Sono venuta in campeggio
nella tua città! È supercarinissima!
{{TAG:0003:001D:}}E che relax qui {{TAG:000E:0010:}} {{TAG:0007:0000:05000000}}{{TAG:0005:0005:}}.{{TAG:0007:0000:0A000000}}
Con tutto 'sto verde!{{TAG:0007:0000:14000000}}{{TAG:0003:0004:}}
Mi piace davvero un sacchissimo!","{{TAG:0003:0020:}}Hey du! {{TAG:0007:0000:14000000}}Ich besuch gerade deine
süße kleine Stadt. {{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Du weißt schon,
zelten und so.
{{TAG:0003:001D:}}Hier in {{TAG:0005:0005:}} ist es echt total
entspannend. {{TAG:0007:0000:14000000}}So viel frische Luft
und die Natur!
{{TAG:0003:0004:}}Hach, {{TAG:0007:0000:0A000000}}ich bin hin und weg!","{{TAG:0003:0020:}}Selam!{{TAG:0007:0000:0A000000}}
Senin tatlı mı tatlı kasabanı{{TAG:0007:0000:05000000}} ziyarete geldim.
{{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}Hani, {{TAG:0007:0000:05000000}}kamp falan.
{{TAG:0003:001D:}}{{TAG:0007:0000:05000000}}{{TAG:0005:0005:}}'da{{TAG:0007:0000:0A000000}} insan gerçekten rahatlıyor.
Bir sürü{{TAG:0007:0000:05000000}} temiz hava falan! {{TAG:0007:0000:14000000}}{{TAG:0003:0004:}}Bayıldım resmen!"
6,007,"{{TAG:0003:0020:}}Heya!{{TAG:0007:0000:0A000000}}
Look, {{TAG:0007:0000:05000000}}I know it's kinda sudden,{{TAG:0007:0000:0A000000}}{{TAG:0003:0027:}} but
I've decided to set up camp here.
{{TAG:0003:001B:}}This trip was {{TAG:0007:0000:05000000}}SO last minute, {{TAG:0007:0000:0A000000}}but{{TAG:0007:0000:05000000}}{{TAG:0003:0015:}}
I'm totally glad{{TAG:0007:0000:05000000}} I listened to that
little voice inside my head!","{{TAG:0003:0020:}}¡Buenas!{{TAG:0007:0000:0A000000}} Acamparé aquí unos días
si no te importa,{{TAG:0007:0000:0A000000}} solo estoy de
paso.
{{TAG:0003:0001:}}Me alegro de haber descubierto
este pueblo,{{TAG:0007:0000:14000000}} ¡parece superguay!","{{TAG:0003:0020:}}Kikou !{{TAG:0007:0000:0A000000}}
Tu vas jamais me croire{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Je passe
quelques jours au camping !
{{TAG:0003:001F:}}Je suis venue comme ça, sur un gros
coup de tête !{{TAG:0000:0004:}}{{TAG:0003:0015:}}J'ai fait mon sac en 30 secondes{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:05000000}}
pris un billet de dernière minute{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. et
me voilà, hi hi !","{{TAG:0003:0020:}}Ehilà!{{TAG:0007:0000:0A000000}}
Come va? Ho deciso di piantare
la mia tenda in questa città!
{{TAG:0003:001B:}}La mia è una gitarella decisa così,{{TAG:0007:0000:05000000}}
su due zampe!{{TAG:0003:0015:}} A volte bisogna
seguire il proprio istinto, non credi?","{{TAG:0003:0020:}}Huhu! {{TAG:0007:0000:14000000}}Hm, {{TAG:0007:0000:0A000000}}ich weiß, das kommt
jetzt etwas plötzlich, {{TAG:0007:0000:0A000000}}{{TAG:0003:0027:}}aber ich hab
beschlossen, hier zu zelten.
{{TAG:0003:001B:}}Diesen Ausflug hab ich ja eigentlich
auf den letzten Drücker geplant,
aber...
{{TAG:0003:0015:}}Ich bin megafroh, dass ich auf
die leise Stimme in meinem
hübschen Köpfchen gehört hab!","{{TAG:0003:0020:}}Selammm!{{TAG:0007:0000:0A000000}}
Bak, {{TAG:0007:0000:05000000}}biraz ani oldu biliyorum,{{TAG:0007:0000:0A000000}}{{TAG:0003:0027:}} ama buraya
kamp kurmaya karar verdim.
{{TAG:0003:001B:}}Bu gezi tamamen{{TAG:0007:0000:05000000}} SON DAKİKA oldu, {{TAG:0007:0000:0A000000}}ama{{TAG:0007:0000:05000000}}{{TAG:0003:0015:}}
içimdeki sese kulak verdiğime{{TAG:0007:0000:05000000}} çok sevindim!"
7,008,"{{TAG:0003:002C:}}I bet you weren't expecting to see
super-stylish ME here!{{TAG:0007:0000:1E000000}}{{TAG:0003:001B:}} Actually, I
wasn't expecting to be here either.
{{TAG:0003:0003:}}But I'm {{TAG:0007:0000:05000000}}SO glad I came. {{TAG:0007:0000:05000000}}I took a
bite of a famous{{TAG:0007:0000:0A000000}} {{TAG:0005:0005:}}
{{TAG:0005:001A:00CD}},{{TAG:0007:0000:0A000000}} and it was amazing!","{{TAG:0003:002C:}}No esperabas que una chica como
yo saliera de acampada, ¿no? 
Pues ya somos dos.
No es mi pasatiempo favorito, {{TAG:0007:0000:14000000}}{{TAG:0003:0003:}}¡pero
este pueblo está tan de moda que
tenía que visitarlo!","{{TAG:0003:002C:}}Tu t'attendais pas à voir la fille la
plus stylée de toute la ville ici,
hein ?!
Moi non plus, en fait !{{TAG:0007:0000:0A000000}} {{TAG:0003:0003:}}Ça m'a pris
comme ça, j'ai eu envie de venir !{{TAG:0000:0004:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0005:001A:00CD}} {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}}
vaut le détour, on m'avait pas
menti !!","{{TAG:0003:002C:}}Scommetto che non ti saresti
mai aspettat{{TAG:000E:0006:02006F0002006100}} una star di fama
mondiale come me, {{TAG:0007:0000:1E000000}}eh?
{{TAG:0003:001B:}}Lo so! È stata un'improvvisata!
{{TAG:0003:0003:}}Ma ne è valsa la pena!{{TAG:0000:0004:}}Eh sì! Così, finalmente ho provato
{{TAG:000E:0001:}}{{TAG:0005:001A:00CD}}{{TAG:0007:0000:0A000000}} per cui
{{TAG:0005:0005:}} è tanto rinomata! Mmm!","{{TAG:0003:002C:}}Meine superstylishe Wenigkeit ist
wahrscheinlich das Letzte, was du
hier erwartet hast, oder?
{{TAG:0003:001B:}}Ich hab ehrlich gesagt auch nicht
gedacht, dass ich mal herkommen
würde...
{{TAG:0003:0003:}}Aber ich bin echt froh, dass ich's
doch getan hab!{{TAG:0000:0004:}}Ich hab hier bei euch in {{TAG:0005:0005:}}
auch gleich mal {{TAG:000E:0008:00CD0A00650069006E0065006E000800650069006E0065000600650069006E00}} {{TAG:0005:001A:00CD}}
gefuttert! {{TAG:0007:0000:14000000}}{{TAG:0003:0004:}}Einfach nur lecker!","{{TAG:0003:002C:}}Süper şık BENİ burada görmeyi beklemiyordun,
değil mi!{{TAG:0007:0000:1E000000}}{{TAG:0003:001B:}} Aslında ben de burada
olmayı beklemiyordum.
{{TAG:0003:0003:}}Ama geldiğime{{TAG:0007:0000:05000000}} ÇOK sevindim. {{TAG:0007:0000:05000000}}Meşhur{{TAG:0007:0000:0A000000}} bir {{TAG:0005:0005:}}
{{TAG:0005:001A:00CD}}{{TAG:0007:0000:0A000000}} yedim, inanılmazdı!"
8,009,"{{TAG:0003:002B:}}I wonder {{TAG:0007:0000:05000000}}where I should build my
house.{{TAG:0007:0000:14000000}} It'll have to be the trendiest
part of town, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!","{{TAG:0003:002B:}}¿Dónde podría construir mi casa?{{TAG:0007:0000:14000000}}
¡Cerca de las tiendas sería ideal,
{{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Où est-ce que je vais faire
construire... {{TAG:0007:0000:14000000}}Il me faut un coin qui
bouge, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}} !","{{TAG:0003:002B:}}Cioè, mi domando e dico: chissà
dove posso costruire la mia casa?!{{TAG:0007:0000:14000000}}
Quale sarà il quartiere più trendy?","{{TAG:0003:002B:}}Ich frag mich, wo ich am besten
mein Haus bauen sollte...{{TAG:0000:0004:}}{{TAG:0003:001B:}}Das sollte schon im trendigsten Teil
der Stadt sein, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:002B:}}Acaba{{TAG:0007:0000:05000000}} evimi nereye kursam.{{TAG:0007:0000:14000000}} Kasabanın en
trend bölgesi olmak zorunda, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:000B:}}If I'm gonna pack up my life and
move here,{{TAG:0007:0000:0A000000}} I'm gonna have to live{{TAG:0007:0000:05000000}}
in the trendiest part of town!
{{TAG:0003:001D:}}Looks like I need to put on my
detective's cap{{TAG:0007:0000:0A000000}} and do a little
exploring!","{{TAG:0003:000B:}}Si voy a vivir aquí, mi casa debe
estar en la zona de moda, eso por
descontado.","{{TAG:0003:000B:}}Si je plaque tout pour venir
m'installer ici{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. autant habiter dans
un quartier branché !
{{TAG:0003:001D:}}Je vais aller fouiner un peu !","{{TAG:0003:000B:}}Ho deciso: mollo tutto e trasloco
nella zona più trendy della città!{{TAG:0000:0004:}}{{TAG:0003:001D:}}Non vedo l'ora di andarmene in giro
a studiare i quartieri più ""in""!","{{TAG:0003:000B:}}Wenn ich mein altes Leben aufgeb
und hierherzieh, muss ich aber auch
im trendigsten Teil der Stadt leben!
{{TAG:0003:001D:}}Sieht so aus, als müsste ich meine
Detektivmütze aufsetzen und mich
mal ein bisschen hier umsehen!","{{TAG:0003:000B:}}Bütün hayatımı toplayıp buraya taşınacaksam,{{TAG:0007:0000:0A000000}}
kasabanın en trend yerinde{{TAG:0007:0000:05000000}} yaşamam şart!
{{TAG:0003:001D:}}Dedektif şapkamı takıp{{TAG:0007:0000:0A000000}} biraz araştırma yapmam
gerekiyor galiba!"
