entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0000:0002:4B00}}Urggghh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} I ate so many cookies{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn...{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Ayyyyyy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} He comido demasiadas galletas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Uuaaaah...{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Ouh là là{{TAG:0000:0002:6400}}{{TAG:0000:0002:4B00}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Je crois que j'ai trop mangé{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Ouuuhhhh...{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Rooonf{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Ho mangiato troppi biscotti{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn...{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Ufff{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0005:0010:0000}}{{TAG:0000:0002:4B00}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Soo lecker{{TAG:0000:0002:4B00}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Gääähn...{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Offff{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Çok fazla kurabiye yedim{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Esneee...{{TAG:0007:0009:78000000}}
1,002,Mmmmmm...{{TAG:0007:0000:28000000}} {{TAG:0007:000B:}}Augh!,Mmmmmm...{{TAG:0007:0000:28000000}} {{TAG:0007:000B:}}¡Gromfl!,Mmmmmm...{{TAG:0007:0000:28000000}} {{TAG:0007:000B:}}Argh !,Mmmmmh...{{TAG:0007:0000:28000000}} {{TAG:0007:000B:}}Zzzz!,Mmmmmm...{{TAG:0007:0000:28000000}} {{TAG:0007:000B:}}Uff!,Mmmmmm...{{TAG:0007:0000:28000000}} {{TAG:0007:000B:}}Aaaah!
2,003,Zzzzz...{{TAG:0007:0000:14000000}} Zzzzz...{{TAG:0007:0000:28000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn.{{TAG:0007:0009:78000000}},Zzzzz...{{TAG:0007:0000:14000000}} Zzzzz...{{TAG:0007:0000:28000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Uaaaah.{{TAG:0007:0009:78000000}},Zzzzz...{{TAG:0007:0000:14000000}} Zzzzz...{{TAG:0007:0000:28000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Ouuhhh...{{TAG:0007:0009:78000000}},Zzzzz...{{TAG:0007:0000:14000000}} Zzzzz...{{TAG:0007:0000:28000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn.{{TAG:0007:0009:78000000}},Zzzzz...{{TAG:0007:0000:14000000}} Zzzzz...{{TAG:0007:0000:28000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Gääähn.{{TAG:0007:0009:78000000}},Zzzzz...{{TAG:0007:0000:14000000}} Zzzzz...{{TAG:0007:0000:28000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Esneee.{{TAG:0007:0009:78000000}}
3,004,{{TAG:0000:0002:4B00}}Y{{TAG:0000:0002:6400}}{{TAG:0000:0002:4B00}}um{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} So many snacks{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaawn.{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Ñam{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Cuánta comidita rica{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Uaaah...{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Miam{{TAG:0000:0002:6400}}{{TAG:0000:0002:4B00}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Par ici les bons gâteaux{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Oouuuhhh...{{TAG:0007:0009:78000000}},Mmmh{{TAG:0000:0002:4B00}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Che abbuffata{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaawn...{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}Lecker{{TAG:0000:0002:6400}}{{TAG:0000:0002:4B00}}{{TAG:0000:0002:4B00}}{{TAG:0007:0000:08000000}}{{TAG:0000:0002:4B00}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ist das alles für mich?{{TAG:0007:0000:14000000}} Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Gähn!{{TAG:0007:0009:78000000}},{{TAG:0000:0002:4B00}}L{{TAG:0000:0002:6400}}{{TAG:0000:0002:4B00}}ezzetli{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ne çok atıştırmalık{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Esneee.{{TAG:0007:0009:78000000}}
4,005,{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn.{{TAG:0007:0009:78000000}},{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Uaaaah...{{TAG:0007:0009:78000000}},{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Oouuhhh...{{TAG:0007:0009:78000000}},{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn...{{TAG:0007:0009:78000000}},{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Gääähn.{{TAG:0007:0009:78000000}},{{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Esneee.{{TAG:0007:0009:78000000}}
5,006,Mmmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Mmmmmmmmmmm!{{TAG:0007:0009:78000000}},Mmmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}¡Mmmmmmmmmmm!{{TAG:0007:0009:78000000}},Mmmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Mmmmmmmmmmm !{{TAG:0007:0009:78000000}},Mmmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Mmmmmmmmmmh!{{TAG:0007:0009:78000000}},Mümmel{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Mjam...{{TAG:0007:0009:78000000}},Mmmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Mmmmmmmmmmm!{{TAG:0007:0009:78000000}}
6,007,Zzz{{TAG:0007:0000:08000000}} snooooore{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn.{{TAG:0007:0009:78000000}},Zzz{{TAG:0007:0000:08000000}} gromfl grooooomfl{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Uaaaah...{{TAG:0007:0009:78000000}},Rrooon{{TAG:0007:0000:08000000}} pchiiiiii{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Oouuhhhh...{{TAG:0007:0009:78000000}},"Zzz,{{TAG:0007:0000:08000000}} che abbiocco{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Yaaaawn...{{TAG:0007:0009:78000000}}",Ch{{TAG:0007:0000:08000000}}r{{TAG:0007:0000:08000000}}r{{TAG:0007:0000:08000000}}r{{TAG:0007:0000:08000000}}r{{TAG:0007:0000:08000000}}r{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Gähn!{{TAG:0007:0009:78000000}},Zzz{{TAG:0007:0000:08000000}} hoooor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0019:}}{{TAG:0007:0000:14000000}}Esneee.{{TAG:0007:0009:78000000}}
7,008,,,,,,
8,009,"{{TAG:0003:0001:}}I just had the best dream,
{{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0015:}}I'm gonna turn in early{{TAG:0007:0000:14000000}}
so I can see the rest!","{{TAG:0003:0001:}}¡Acabo de tener un sueño genial,
{{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0015:}}¡Tengo que irme a la
cama pitando{{TAG:0007:0000:14000000}} para ver el resto!","{{TAG:0003:0001:}}Salut {{TAG:0005:0008:}} ! Je viens de faire
un super rêve !{{TAG:0007:0000:28000000}} {{TAG:0003:0015:}}Il faut vite que je me
recouche{{TAG:0007:0000:14000000}} pour connaître la suite !","{{TAG:0003:0001:}}Sapessi che bel sogno ho fatto,
{{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Non vedo l'ora di{{TAG:0007:0000:14000000}} andare a nanna
per sapere come continua!","{{TAG:0003:0001:}}Ich hab eben was echt Tolles
geträumt, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ich muss gleich ins Bett gehen,
damit ich weiß, wie der Traum
ausgeht!","{{TAG:0003:0001:}}Az önce müthiş bir rüya gördüm,
{{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0015:}}Devamını görebilmek için{{TAG:0007:0000:14000000}}
bu gece erkenden yatacağım!"
9,010,"{{TAG:0003:0028:}}I must have dozed off there.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Maybe I should go ahead{{TAG:0007:0000:14000000}} and
get my presleep snack on and then
turn in for real, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0028:}}Debo de haberme quedado sobado.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Tal vez debería tomarme mi
refrigerio pre-sueño{{TAG:0007:0000:14000000}} y luego irme a
la cama de verdad, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0028:}}Je crois que je me suis endormi
l'espace de quelques instants.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Je devrais peut-être prendre mon
goûter pré-sieste, et dormir pour
de bon, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0028:}}Devo essermi appisolato
un attimino.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Forse dovrei{{TAG:0007:0000:14000000}} farmi uno spuntino
pre-sonnellino prima di andare
a nanna sul serio, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0028:}}Oh, ich muss eingeschlummert sein.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Am besten ess ich meinen
Einschlafsnack und leg mich
richtig schlafen, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0028:}}Galiba biraz kestirmişim.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Bence önce{{TAG:0007:0000:14000000}} uyku öncesi
atıştırmalığımı yiyip sonra
cidden yatağa gideyim, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}."
