index,key,F,G,I,S,U,TR
0,MID_様子_リズ_前,"J'en connais qui disparaissent entre chaque
bataille. Et toi, que fais-tu de ton temps ?","Wieso verschwindest du nach jeder
Schlacht? Hast du ein geheimes Hobby?","Tu ti dilegui sempre dopo la battaglia.
Dimmi, hai un hobby o cose del genere?","Después de las batallas tengo que estar
atenta a mi hermano. ¡Lo rompe todo!","How come you vanish after each battle?
Do you have a hobby or whatever?","Nasıl oluyor da her savaştan sonra ortadan
kayboluyorsun? Bir hobiniz veya başka bir
şey var mı?"
1,MID_様子_リズ_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_リズ_前_通さん,"J'en connais qui disparaissent entre chaque
bataille. Et toi, que fais-tu de ton temps ?","Wieso verschwindest du nach jeder
Schlacht? Hast du ein geheimes Hobby?","Tu ti dilegui sempre dopo la battaglia.
Dimmi, hai un hobby o cose del genere?","Después de las batallas tengo que estar
atenta a mi hermano. ¡Lo rompe todo!","How come you vanish after each battle?
Do you have a hobby or whatever?","Nasıl oluyor da her savaştan sonra ortadan
kayboluyorsun? Bir hobiniz veya başka bir
şey var mı?"
3,MID_様子_リズ_前_特殊,"Ces jours-ci, tu es toujours occupé !
Tu as des tâches urgentes à faire ?","Du wirkst sehr beschäftigt, Chrom.
Steht etwas Wichtiges an?","In questi giorni sei impegnatissimo, Chrom.
Che fai tutto il tempo?","Estos días se te ve muy ocupado, Chrom.
¿Tienes algo que contarme? ¿Qué haces?","You seem busier than ever these days,
Chrom. Anything important?","Bu günlerde her zamankinden daha meşgul
görünüyorsun Chrom. Önemli bir şey var mı?"
4,MID_様子_リズ_前_特殊E,"C'est moi, ou tu te promènes souvent toute
seule ces jours-ci ? Sois prudente.","Emm, wo wanderst du in letzter Zeit immer
hin? Du musst in unserer Nähe bleiben.","Emmeryn, dove vai sempre tutta sola?
Non devi allontanarti, è rischioso.","¿Dónde te has metido estos días, Emmi?
Procura quedarte en un lugar seguro.","Emm, where do you wander off to these
days? You need to stay where it's safe.","Emm, bu aralar nerelere gidiyorsun?
Güvenli olduğu yerde kalmalisin."
5,MID_様子_リズ_後,"Moi, je surveille mon frère. Il casse tout sur
son passage quand il s'entraîne !","Ich behalte meinen Bruder im Auge. Er
macht beim Training ständig Sachen kaputt.","Tengo d'occhio mio fratello. Rompe
sempre qualcosa quando si allena.","Pues yo vigilo a mi hermano. Siempre rompe
cosas cuando entrena.","I keep an eye on my brother. He's always
breaking stuff when he trains.","Kardeşime göz kulak oluyorum. Antrenman
yaparken daima bir şeyler kırıyor."
6,MID_様子_リズ_後_通さん,"Moi, je surveille mon frère. Il casse tout sur
son passage quand il s'entraîne !","Ich behalte meinen Bruder im Auge. Er
macht beim Training ständig Sachen kaputt.","Tengo d'occhio mio fratello. Rompe
sempre qualcosa quando si allena.","Pues yo vigilo a mi hermano. Siempre rompe
cosas cuando entrena.","I keep an eye on my brother. He's always
breaking stuff when he trains.","Kardeşime göz kulak oluyorum. Antrenman
yaparken daima bir şeyler kırıyor."
7,MID_様子_リズ_後_特殊,"Moi, je t'ai à l'œil ! Emmeryn était furieuse
quand tu as ravagé le palais en t'entraînant.","Ich passe auf, dass du nichts kaputt machst.
Emm hat sich darüber immer aufgeregt.","Ti tengo d'occhio, perché non danneggi
il palazzo come l'altra volta.","¡Yo me aseguro de que no rompas nada!
Ya sabes que Emmi se pone frenética.","I make sure you don't break stuff! Emm was
furious when you smashed up the palace.","Bir şeyleri kirmadigindan eminim! Sen
sarayı yerle bir ettiğinde Emm çok
öfkeliydi."
8,MID_様子_リズ_後_特殊E,"Moi, je surveille Chrom. Tu es furieuse
quand il casse des choses en s'entraînant !","Ich passe auf, dass Chrom nichts kaputt
macht. Das hat dich immer so aufgeregt.","Controllo che Chrom non faccia danni! Eri
furiosa quando ha danneggiato il palazzo.","¡A vigilar a Chrom para que no rompa nada!
Como te enfadas tanto cuando lo hace...","I make sure Chrom doesn't break stuff! You
were mad when he smashed up the palace.","Chrom'un ögeleri bozmadigindan emin
oluyorum! O sarayı yerle bir ettiğinde çok
kızmistin."
9,MID_様子_リズ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
10,MID_様子_リズ_前_親子_子,"Tu es blessé, $Np ? Ne bouge
pas, je vais chercher mon bâton de soin.","Bist du verletzt, $Np?
Warte, ich hole meinen Stab.","Sei ferito, $Np?
Aspetta che prendo il bastone.","¿Te duele algo, $Np? ¿Estás
bien? Voy a buscar mi bastón.","Are you hurt, $Np?
Let me get my staff.","Yaralı mısın, $Np? Asamı getireyim."
