entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0007:0000:05000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Ah!{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Hello there!{{TAG:0007:0000:14000000}} You here for a cup
of coffee too, {{TAG:0005:0000:}}?","{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}¡Ah!{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}¡Hola!{{TAG:0007:0000:14000000}} Tú también querrás
un café, ¿sí, {{TAG:0005:0000:}}?","{{TAG:0007:0000:05000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Ah !{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Bonjour !{{TAG:0007:0000:14000000}} Alors on vient boire
un petit café, {{TAG:0005:0000:}} ?","{{TAG:0007:0000:05000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Ah!{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Ciao, {{TAG:0005:0000:}}!{{TAG:0007:0000:14000000}} Anche tu
qui per prendere un caffè, sì?","{{TAG:0007:0000:05000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Oh!{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Hallo!{{TAG:0007:0000:14000000}} Bist du auch zum
Kaffeetrinken hier, {{TAG:0005:0000:}}?","{{TAG:0007:0000:05000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Aa!{{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}Merhaba!{{TAG:0007:0000:14000000}} Sen de kahve içmeye
mi geldin,{{TAG:0005:0000:}}?"
1,002,{{TAG:0009:0001:0C000D000E00}},{{TAG:0009:0001:0C000D000E00}},{{TAG:0009:0001:0C000D000E00}},{{TAG:0009:0001:0C000D000E00}},{{TAG:0009:0001:0C000D000E00}},{{TAG:0009:0001:0C000D000E00}}
2,003,{{TAG:0009:0001:0F0010001100}},{{TAG:0009:0001:0F0010001100}},{{TAG:0009:0001:0F0010001100}},{{TAG:0009:0001:0F0010001100}},{{TAG:0009:0001:0F0010001100}},{{TAG:0009:0001:0F0010001100}}
3,004,"{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:05000000}} do you have any
preference when it comes to
coffee beans, hm?
I have eyes only for the {{TAG:0000:0003:0200}}Kilimanjaro{{TAG:0000:0003:FFFF}}
{{TAG:0000:0003:0400}}Brewster{{TAG:0000:0003:FFFF}} serves here!{{TAG:0000:0004:}}Mm, it's so delicious.{{TAG:0007:0000:0A000000}} If you haven't
tried it yet, you should really give it
a shot, yes, yes!","{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:05000000}} ¿lo prefieres de algún
tipo de grano en particular?{{TAG:0000:0004:}}¡Para mí no hay ninguno{{TAG:0007:0000:05000000}} como el
{{TAG:0000:0003:0200}}kilimanjaro{{TAG:0000:0003:FFFF}} que prepara {{TAG:0000:0003:0400}}Fígaro{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}¡Mmm, está tan rico!{{TAG:0007:0000:0A000000}}
Si aún no lo has probado,
deberías hacerlo, ¡sí, sí!","{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:05000000}} y a-t-il un type de
grains que tu préfères, hm?{{TAG:0000:0004:}}Personnellement, seul le
{{TAG:0000:0003:0200}}Kilimandjaro {{TAG:0000:0003:FFFF}}que {{TAG:0000:0003:0400}}Robusto{{TAG:0000:0003:FFFF}} sert ici
sait me combler de plaisir.{{TAG:0000:0004:}}Hm, c'est tellement raffiné, oui, oui.{{TAG:0007:0000:0A000000}}
T'as jamais goûté ?! Mais qu'est-ce
que tu attends ?!","{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:05000000}} qual è il tuo tipo
di caffè preferito? Io adoro
il {{TAG:0000:0003:0200}}decaffeinato {{TAG:0000:0003:FFFF}}che serve {{TAG:0000:0003:0400}}Bartolo{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}È buonissimo.{{TAG:0007:0000:0A000000}} Se non l'hai ancora
provato, affrettati! Sì, sì!","{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:05000000}} hast du eigentlich eine
bevorzugte Kaffeesorte?{{TAG:0000:0004:}}Ich für meinen Teil schwöre auf
{{TAG:0000:0003:0400}}Kofis {{TAG:0000:0003:FFFF}}berühmte {{TAG:0000:0003:0200}}Doppelröstung{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}Die ist richtig lecker.{{TAG:0007:0000:0A000000}} Falls du sie
noch nicht probiert hast, solltest
du das unbedingt nachholen, ja, ja!","{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:05000000}} kahve çekirdeği konusunda özel
bir tercihin var mı, hı? Ben
burada{{TAG:0000:0003:0200}}Kilimanjaro{{TAG:0000:0003:FFFF}}
dışında gözüm hiçbir şeyi
görmüyor;{{TAG:0000:0003:0400}}Brewster{{TAG:0000:0003:FFFF}}
ne güzel yapıyor!{{TAG:0000:0004:}}Mmm, enfes.{{TAG:0007:0000:0A000000}}
Denemediysen mutlaka bir şans ver, evet evet!"
4,005,"I know{{TAG:0007:0000:0A000000}} coffee is coffee, but I prefer
mine with {{TAG:0000:0003:0200}}a lot {{TAG:0000:0003:FFFF}}of milk,{{TAG:0007:0000:0A000000}} just like a
café au lait. Mm, so refreshing!
I try to balance it out by cutting
back on the sugar{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}} My doctor
shouldn't have any complaints!","Un café es un café,{{TAG:0007:0000:0A000000}} pero a mí
me gusta con {{TAG:0000:0003:0200}}mucha {{TAG:0000:0003:FFFF}}leche.{{TAG:0007:0000:0A000000}}
¡Está más rico así!{{TAG:0000:0004:}}Con el azúcar, en cambio,{{TAG:0007:0000:0A000000}}
me suelo moderar{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}}
Así compenso un poco, ¡sí!","Moi j'aime le café avec {{TAG:0000:0003:0200}}beaucoup {{TAG:0000:0003:FFFF}}de
lait, point barre.{{TAG:0000:0004:}}Pour compenser, je mets aussi très
peu de sucre. Mon docteur ne
pourra rien me reprocher, hm.","Alcuni storcono il naso quando
scoprono{{TAG:0007:0000:0A000000}} che voglio {{TAG:0000:0003:0200}}tanto {{TAG:0000:0003:FFFF}}latte
nel mio decaffeinato!
Più che un caffè sembra un frappè!{{TAG:0000:0004:}}In compenso tento di limitare
la quantità di zucchero, sì!{{TAG:0007:0000:0F000000}}
Il mio dottore non può lamentarsi!","Ich habe gern {{TAG:0000:0003:0200}}jede Menge {{TAG:0000:0003:FFFF}}Milch
in meinem Kaffee. Fast wie
Milchkaffee, hm?
Beim Zucker nehme ich dafür lieber
ein paar Löffel weniger, also sollte
mein Arzt eigentlich zufrieden sein!","Kahve kahvedir biliyorum{{TAG:0007:0000:0A000000}} ama ben{{TAG:0000:0003:0200}}
bolca{{TAG:0000:0003:FFFF}} sütlü{{TAG:0007:0000:0A000000}},
kafe ole gibi severim. Mmm, ne ferah!
Şekeri azaltarak dengelemeye
çalışıyorum{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}}
Doktorum da şikâyet etmez artık!"
5,006,"I actually enjoy rather sweet things
over the course of a day, but{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0000:0004:}}Lately I've been limiting myself
to {{TAG:0000:0003:0200}}1{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}} spoonful {{TAG:0000:0003:FFFF}}of sugar!{{TAG:0000:0004:}}Yes, even I have started to worry
about keeping myself strong for
years to come.
Come now. What would this town
do without Nook, hm{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.?","En general, me gusta
bastante todo lo dulce.{{TAG:0000:0004:}}Pero últimamente me modero{{TAG:0007:0000:0F000000}} y
solo le echo {{TAG:0000:0003:0200}}un azucarillo{{TAG:0000:0003:FFFF}} al café.{{TAG:0000:0004:}}Ya ves,{{TAG:0007:0000:05000000}} hasta yo empiezo
a preocuparme{{TAG:0007:0000:0A000000}} por cuidar
la salud.{{TAG:0000:0004:}}Porque... ¿qué haríais en el pueblo
si no tuvierais a {{TAG:0000:0003:0400}}Nook{{TAG:0000:0003:FFFF}}? Dime, sí{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.","En général, je suis plutôt bec sucré.
Je consomme même sans doute
trop de sucre, matin, midi et soir{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.
Mais bizarrement, dans mon café je
n'en prends qu'{{TAG:0000:0003:0200}}un{{TAG:0000:0003:FFFF}} morceau !{{TAG:0000:0004:}}C'est mon docteur qui m'a mis en
garde... Et cette ville a besoin d'un
{{TAG:0000:0003:0400}}Nook {{TAG:0000:0003:FFFF}}en pleine forme ! Hm !","Devo ammettere che sono
un golosone{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0000:0004:}}... ma ultimamente prendo il caffè
con soltanto {{TAG:0000:0003:0200}}un cucchiaino{{TAG:0000:0003:FFFF}}
di zucchero!{{TAG:0000:0004:}}Sì, sì! Ho cominciato a riguardarmi
per mantenermi in forma. Ho
un'attività da mandare avanti, io!
Del resto, cosa sarebbe di questa
città senza di me{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.?","Eigentlich esse ich ja ganz gern
die eine oder andere Süßigkeit...{{TAG:0000:0004:}}Aber in meinem Kaffee mag ich
nicht mehr und nicht weniger als
{{TAG:0000:0003:0200}}einen Löffel {{TAG:0000:0003:FFFF}}Zucker, ja, ja!
Zu viel Zucker könnte schließlich
meiner Gesundheit schaden.{{TAG:0000:0004:}}Und mal ehrlich, was wäre diese
Stadt ohne einen kerngesunden,
arbeitseifrigen Tom Nook, hm?","Gün içinde tatlı şeyleri severim
ama{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0000:0004:}}
son zamanlarda şekeri{{TAG:0000:0003:0200}}1{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}} kaşıkla{{TAG:0000:0003:FFFF}}
sınırlıyorum!{{TAG:0000:0004:}}
Ben bile uzun yıllar güçlü
kalmayı düşünmeye başladım.
Nook olmasa bu kasaba ne
yapardı, hı{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.?"
6,007,,,,,,
7,008,{{TAG:0009:0001:150016001700}},{{TAG:0009:0001:150016001700}},{{TAG:0009:0001:150016001700}},{{TAG:0009:0001:150016001700}},{{TAG:0009:0001:150016001700}},{{TAG:0009:0001:150016001700}}
8,009,{{TAG:0009:0000:1C001F00}},{{TAG:0009:0000:1C001F00}},{{TAG:0009:0000:1C001F00}},{{TAG:0009:0000:1C001F00}},{{TAG:0009:0000:1C001F00}},{{TAG:0009:0000:1C001F00}}
9,010,{{TAG:0009:0001:29002C003000}},{{TAG:0009:0001:29002C003000}},{{TAG:0009:0001:29002C003000}},{{TAG:0009:0001:29002C003000}},{{TAG:0009:0001:29002C003000}},{{TAG:0009:0001:29002C003000}}
