"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Orbulon_op_telop01","Dev Burger","Gigantaburger","Gigantaburger","Monstroburger","Monstroburger","Diamantburger","Diamante Burger","Hamburguesas Diamante","Hamburguesas Diamante","バーガーショップ スターダイヤ"
"Orbulon_op_voice01_Clerk","İyi günler!","Have a great day!","Have a great day!","Merci de votre visite !","Merci de votre visite!","Danke für Ihre Bestellung!","Grazie e arrivederci!","¡Muchas gracias!","¡Gracias, vuelva pronto!","ありがとうございました！"
"Orbulon_op_voice02_Clerk","Dev Burger'a hoş geldiniz!\nSize ne verebilirim?","Welcome to Gigantaburger!\nWhat can I get ya?","Welcome to Gigantaburger!\nWhat can I get ya?","Bienvenue chez\nMonstroburger.\nVous désirez ?","Bienvenue chez\nMonstroburger.\nVous désirez?","Willkommen bei Diamant-\nburger! Ihre Bestellung, bitte!","Benvenuto! Che cosa\ndesidera?","¡Hamburguesas Diamante!\n¿Qué desea?","¡Hamburguesas Diamante!\n¿Qué va a llevar?","ようこそ スターダイヤへ！\nごちゅうもんは？"
"Orbulon_op_voice03_Orbulon","Patates kızartması, Fransız usulü olsun.\nTuzsuz. Yağsız. Soğuk. Sıfırın altında.","French style of fries, please.\nNo salt. No grease. Cold. Subzero.","French style of fries, please.\nNo salt. No grease. Cold. Subzero.","Une portion de frites s'il\nvous plaît. De préférence\ncrues, je digère mal ce\nqui est chaud.","Une portion de frites s'il\nvous plaît. De préférence\ncrues, je digère mal ce\nqui est chaud.","Eine Portion Pommes Maxi,\nbitte. Tiefgefroren. Ich hab 'ne\nWarme-Speisen-Intoleranz.","Patatine fritte, grazie. Fredde\nce le avete? Non mi piace il\ncaldo!","Patatas fritas. Pero calientes\nno: póngamelas congeladas.","Voy a querer unas papas.\nPero dámelas congeladas,\npor favor.","ぽてとヲ おネガいしマス。\nあついの にがてナノデ、\nさめたヤツ。"
"Orbulon_op_voice04_Clerk","Buz gibi patates geliyor!","Chilly fries, comin' right up!","Chilly fries, comin' right up!","Et une frite glacée, une !","Et une frite glacée, une!","Einmal Frostfritten,\nkommt!","Patatine Brivido in arrivo!","Marchando una de escalofritas.","¡Salen papas ""friitas""!","ひやしポテト ひとつー！"
"Orbulon_op_voice05_Orbulon","Nom nom nom nom.","Nom nom nom nom.","Nom nom nom nom.","Miam miam miam.","Miam miam miam.","Happa, happa, happa!","Gnam!","Ñam, ñam, ñam...","Ñam, ñam, ñam.","モグモグモグ…"
"Orbulon_op_voice06_Orbulon","Dünya yemeği. Çok leziz. Çok nişastalı.","Earth food. So scrummy. So starchy.","Earth food. So scrummy. So starchy.","Ah, la nourriture terrestre...\nC'est si bon... si froid...","Ah, la nourriture terrestre...\nC'est si bon... si froid...","Dieses Erdlings-Fast-Food ist\necht schmackofatzig.","Ah, il cibo terrestre è\ndelizioso. Così fresco!","¡La comida terrícola\nestá de rechupete!","¡La comida terrícola es\nexquisita!","チキューの たべもの、\nおいしーデス！"
"Orbulon_op_voice07_Orbulon","Hımm... Hâlâ açım.","Hmm... Still hungry.","Hmm... Still hungry.","Hmm... J'ai encore faim.","Hmm... J'ai encore faim.","Hmm... Hab immer noch\nHunger.","Mi sa che ordino\nqualcos'altro.","Voy a pedir algo más.","Voy a pedir algo más.","オカワリ、モウいっちょ イクカ。"
"Orbulon_op_voice08_Clerk","Dev Burger'a hoş geldiniz!\nSize ne verebilirim?","Welcome to Gigantaburger!\nWhat can I get ya?","Welcome to Gigantaburger!\nWhat can I get ya?","Bienvenue chez\nMonstroburger.\nVous désirez ?","Bienvenue chez\nMonstroburger.\nVous désirez?","Willkommen bei Diamant-\nburger! Ihre Bestellung, bitte!","Benvenuto! Che cosa\ndesidera?","¡Hamburguesas Diamante!\n¿Qué desea?","¡Hamburguesas Diamante!\n¿Qué va a llevar?","ようこそ スターダイヤへ！\nごちゅうもんは？"
"Orbulon_op_voice09_Orbulon","Bir shake. Sütlü olanından...\nekstra acılı.","A shake. The milky kind with...\nextra picante.","A shake. The milky kind with...\nextra picante.","Un frappé ! Un frappé\ns'il vous plaît.\nAvec plein de piment.","Un frappé! Un frappé\ns'il vous plaît.\nAvec plein de piment.","Einen Shake! Aber schön\npikant. Habt ihr so was auch?","Un... frappè, grazie. Piccante,\nce l'avete?","Un batido, por favor.\nBien picante.","Quiero... una malteada.\nPero bien picante.","しぇいく、おネガいしマス。\nからいヤツ。"
