index,label,English,French,German,Italian,Spanish,Turkish
24,Month_01,January,janvier,Januar,gennaio,enero,Ocak
25,Month_02,February,février,Februar,febbraio,febrero,Şubat
26,Month_03,March,mars,März,marzo,marzo,Mart
27,Month_04,April,avril,April,aprile,abril,Nisan
28,Month_05,May,mai,Mai,maggio,mayo,Mayıs
29,Month_06,June,juin,Juni,giugno,junio,Haziran
30,Month_07,July,juillet,Juli,luglio,julio,Temmuz
31,Month_08,August,août,August,agosto,agosto,Ağustos
32,Month_09,September,septembre,September,settembre,septiembre,Eylül
33,Month_10,October,octobre,Oktober,ottobre,octubre,Ekim
34,Month_11,November,novembre,November,novembre,noviembre,Kasım
35,Month_12,December,décembre,Dezember,dicembre,diciembre,Aralık
36,Month_01_Voice,January,janvier,Januar,Gennaio,enero,Ocak
37,Month_02_Voice,February,février,Februar,Febbraio,febrero,Şubat
38,Month_03_Voice,March,mars,März,Marzo,marzo,Mart
39,Month_04_Voice,April,avril,April,Aprile,abril,Nisan
40,Month_05_Voice,May,mai,Mai,Maggio,mayo,Mayıs
41,Month_06_Voice,June,juin,Juni,Giugno,junio,Haziran
42,Month_07_Voice,July,juillet,Juli,Luglio,julio,Temmuz
43,Month_08_Voice,August,août,August,Agosto,agosto,Ağustos
44,Month_09_Voice,September,septembre,September,Settembre,septiembre,Eylül
45,Month_10_Voice,October,octobre,Oktober,Ottobre,octubre,Ekim
46,Month_11_Voice,November,novembre,November,Novembre,noviembre,Kasım
47,Month_12_Voice,December,décembre,Dezember,Dicembre,diciembre,Aralık
72,Day_01,1st,1er,1.,il primo,1,1.
73,Day_02,2nd,2,2.,il due,2,2.
74,Day_03,3rd,3,3.,il tre,3,3.
75,Day_04,4th,4,4.,il quattro,4,4.
76,Day_05,5th,5,5.,il cinque,5,5.
77,Day_06,6th,6,6.,il sei,6,6.
78,Day_07,7th,7,7.,il sette,7,7.
79,Day_08,8th,8,8.,l'otto,8,8.
80,Day_09,9th,9,9.,il nove,9,9.
81,Day_10,10th,10,10.,il dieci,10,10.
82,Day_11,11th,11,11.,l'undici,11,11.
83,Day_12,12th,12,12.,il dodici,12,12.
84,Day_13,13th,13,13.,il tredici,13,13.
85,Day_14,14th,14,14.,il quattordici,14,14.
86,Day_15,15th,15,15.,il quindici,15,15.
87,Day_16,16th,16,16.,il sedici,16,16.
88,Day_17,17th,17,17.,il diciassette,17,17.
89,Day_18,18th,18,18.,il diciotto,18,18.
90,Day_19,19th,19,19.,il diciannove,19,19.
91,Day_20,20th,20,20.,il venti,20,20.
92,Day_21,21st,21,21.,il ventuno,21,21.
93,Day_22,22nd,22,22.,il ventidue,22,22.
94,Day_23,23rd,23,23.,il ventitré,23,23.
95,Day_24,24th,24,24.,il ventiquattro,24,24.
96,Day_25,25th,25,25.,il venticinque,25,25.
97,Day_26,26th,26,26.,il ventisei,26,26.
98,Day_27,27th,27,27.,il ventisette,27,27.
99,Day_28,28th,28,28.,il ventotto,28,28.
100,Day_29,29th,29,29.,il ventinove,29,29.
101,Day_30,30th,30,30.,il trenta,30,30.
102,Day_31,31st,31,31.,il trentuno,31,31.
103,Day_01_Voice,1st,premier,1.,il primo,1,1.
104,Day_02_Voice,2nd,deux,2.,il due,2,2.
105,Day_03_Voice,3rd,trois,3.,il tre,3,3.
106,Day_04_Voice,4th,quatre,4.,il quattro,4,4.
107,Day_05_Voice,5th,cinq,5.,il cinque,5,5.
108,Day_06_Voice,6th,six,6.,il sei,6,6.
109,Day_07_Voice,7th,sept,7.,il sette,7,7.
110,Day_08_Voice,8th,huit,8.,l'otto,8,8.
111,Day_09_Voice,9th,neuf,9.,il nove,9,9.
112,Day_010_Voice,10th,dix,10.,il dieci,10,10.
113,Day_011_Voice,11th,onze,11.,l'undici,11,11.
114,Day_012_Voice,12th,douze,12.,il dodici,12,12.
115,Day_013_Voice,13th,treize,13.,il tredici,13,13.
116,Day_014_Voice,14th,quatorze,14.,il quattordici,14,14.
117,Day_015_Voice,15th,quinze,15.,il quindici,15,15.
118,Day_016_Voice,16th,seize,16.,il sedici,16,16.
119,Day_017_Voice,17th,dix-sept,17.,il diciassette,17,17.
120,Day_018_Voice,18th,dix-huit,18.,il diciotto,18,18.
121,Day_019_Voice,19th,dix-neuf,19.,il diciannove,19,19.
122,Day_020_Voice,20th,vingt,20.,il venti,20,20.
123,Day_021_Voice,21st,vingt et un,21.,il ventuno,21,21.
124,Day_022_Voice,22nd,vingt-deux,22.,il ventidue,22,22.
125,Day_023_Voice,23rd,vingt-trois,23.,il ventitré,23,23.
126,Day_024_Voice,24th,vingt-quatre,24.,il ventiquattro,24,24.
127,Day_025_Voice,25th,vingt-cinq,25.,il venticinque,25,25.
128,Day_026_Voice,26th,vingt-six,26.,il ventisei,26,26.
129,Day_027_Voice,27th,vingt-sept,27.,il ventisette,27,27.
130,Day_028_Voice,28th,vingt-huit,28.,il ventotto,28,28.
131,Day_029_Voice,29th,vingt-neuf,29.,il ventinove,29,29.
132,Day_030_Voice,30th,trente,30.,il trenta,30,30.
133,Day_031_Voice,31st,trente et un,31.,il trentuno,31,31.
134,Hour_00,midnight,minuit,Mitternacht,mezzanotte,medianoche,gece yarısı
135,Hour_01,1 o'clock,1 heure,ein Uhr,01:00,01:00,saat 1
136,Hour_02,2 o'clock,2 heures,zwei Uhr,02:00,02:00,saat 2
137,Hour_03,3 o'clock,3 heures,drei Uhr,03:00,03:00,saat 3
138,Hour_04,4 o'clock,4 heures,vier Uhr,04:00,04:00,saat 4
139,Hour_05,5 o'clock,5 heures,fünf Uhr,05:00,05:00,saat 5
140,Hour_06,6 o'clock,6 heures,sechs Uhr,06:00,06:00,saat 6
141,Hour_07,7 o'clock,7 heures,sieben Uhr,07:00,07:00,saat 7
142,Hour_08,8 o'clock,8 heures,acht Uhr,08:00,08:00,saat 8
143,Hour_09,9 o'clock,9 heures,neun Uhr,09:00,09:00,saat 9
144,Hour_10,10 o'clock,10 heures,zehn Uhr,10:00,10:00,saat 10
145,Hour_11,11 o'clock,11 heures,elf Uhr,11:00,11:00,saat 11
146,Hour_12,12 o'clock,12 heures,zwölf Uhr,12:00,12:00,saat 12
147,Hour_13,1 o'clock,13 heures,ein Uhr,13:00,13:00,saat 1
148,Hour_14,2 o'clock,14 heures,zwei Uhr,14:00,14:00,saat 2
149,Hour_15,3 o'clock,15 heures,drei Uhr,15:00,15:00,saat 3
