entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}I was waiting for you guys for what
felt like forever!{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Welcome in,
{{TAG:0005:0008:}} and {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}¡Hombre, {{TAG:0005:0008:}} y {{TAG:0011:0001:0100}}!
Os llevaba esperando un rato.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Ah, {{TAG:0005:0000:}} et {{TAG:0011:0001:0100}} ! Je
vous attends depuis une éternité !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Sono secoli che vi aspetto!{{TAG:0007:0000:08000000}}
Benvenuti nella mia dimora,
{{TAG:0005:0008:}} {{TAG:000E:0011:}} {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Ich hab schon auf euch gewartet!{{TAG:0007:0000:14000000}}
Immer hereinspaziert, {{TAG:0005:0008:}}
und {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}Sanki asırlardır sizi bekliyordum!{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}İçeri gelin,
{{TAG:0005:0008:}} ve {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Hey, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Welcome back at
last!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}¡Dichosos los ojos, {{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}
Menos mal que por fin estás
aquí, {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}Hé, {{TAG:0005:0008:}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}De retour dans la
Villa {{TAG:0005:0001:}}, hein ?{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ehi, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Alla fine
ce l'hai fatta,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Du bist zurück,
{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Selam, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Sonunda geri geldin!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0026:}}Welcome to both of you!{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}This is my
humble abode!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}¡Os doy la bienvenida
a mi casa!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}Bienvenue à vous dans mon humble
palais !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Benvenuti entrambi!
{{TAG:0007:0000:08000000}}Questa è la mia modesta dimora!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Willkommen in meiner bescheidenen
Hütte, ihr beiden!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0026:}}İkiniz de hoş geldiniz!{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Burası benim
mütevazı yuvam!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}You're late, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} I started to
worry you forgot about your
promise and went off to play{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}But that didn't happen, {{TAG:0007:0000:08000000}}so thanks
for coming back with {{TAG:0011:0001:0100}}.{{TAG:0007:0000:08000000}}
I appreciate it!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}¡Por poco no vienes, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!
Temía que me acabases dejando
más solo que la una.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Y no vienes sol{{TAG:000E:0006:02006F0002006100}}, sino que me has
traído a {{TAG:0011:0001:0100}}.{{TAG:0007:0000:08000000}} ¡Gracias!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0024:}}Hé, {{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}on t'a jamais dit
que les stars détestaient attendre ?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Enfin, t'es revenu{{TAG:000E:0006:000002006500}} et t'as pensé à
amener {{TAG:0011:0001:0100}} avec toi, alors
je vais pas faire un scandale.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Ci hai messo tantissimo, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!
{{TAG:0007:0000:10000000}}Cominciavo a preoccuparmi.
Pensavo ti fossi dimenticat{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Ma, per fortuna, mi sbagliavo.
{{TAG:0007:0000:08000000}}Gracias per aver portato qui
{{TAG:0011:0001:0100}}.{{TAG:0007:0000:08000000}} Sei stato muy gentile!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Du hast dir aber ganz schön Zeit
gelassen, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ich dachte
schon, du hast mich vergessen...
{{TAG:0003:0024:}}Aber trotzdem danke, dass du
{{TAG:0011:0001:0100}} zu mir gebracht hast!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Geç kaldın, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Sözünü unutup
oyuna daldın diye endişelenmeye
başlamıştım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0024:}}Ama öyle olmamış, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0100}} ile geri
geldiğin için sağ ol.{{TAG:0007:0000:08000000}} Çok makbule geçti!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0005:}}Heya, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} Why'd you bring
me here?{{TAG:0007:0000:10000000}} {{TAG:0003:001C:}}Were you looking for a
one-on-one toe wrestle?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0005:}}¡Hola, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} ¿Para qué me
has hecho venir? {{TAG:0007:0000:10000000}}¿Quieres echar
un pulso o qué, machote?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0005:}}Yo, {{TAG:0011:0001:0000}} !{{TAG:0007:0000:10000000}} Pourquoi tu voulais
me voir ? {{TAG:0007:0000:10000000}}Tu veux me défier à un
sport ou quelque chose ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0005:}}Ehi, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} Perché mi hai
fatto venire qui? {{TAG:0007:0000:10000000}}Volevi forse
sfidarmi a bicipite di ferro?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0005:}}Hey ho, {{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:28000000}}
Warum sollte ich herkommen?{{TAG:0007:0000:14000000}}
Willst du ein kleines Duell mit mir?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0005:}}Hey, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} Beni niye buraya getirdin?{{TAG:0007:0000:10000000}}
{{TAG:0003:001C:}}Bire bir ayak parmağı güreşi mi istiyorsun?{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0011:0001:0000}}, I heard you needed to
talk to me.{{TAG:0007:0000:10000000}} That right?{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}You got
somethin' to say,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0011:0001:0000}}, así que querías
hablar conmigo.{{TAG:0007:0000:10000000}} ¿Entonces
qué me cuentas,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}Yo, {{TAG:0011:0001:0000}}, il paraît que tu veux
me parler. C'est vrai ?{{TAG:0007:0000:10000000}} Alors, vas-y,
je t'écoute,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0011:0001:0000}}, mi hanno detto che
mi vuoi parlare.{{TAG:0007:0000:10000000}} È così? Hai davvero
qualcosa da dirmi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Du wolltest also mit mir reden,
{{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}?{{TAG:0007:0000:28000000}} Dann schieß mal los,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0011:0001:0000}}, benimle konuşman gerekiyormuş.{{TAG:0007:0000:10000000}}
Doğru mu?{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Söyleyecek bir şeyin var mı,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}What'd you need,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}?
{{TAG:0003:0021:}}I've got squats to get to, so let's
keep it brief!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}¿Era necesario que viniera?{{TAG:0007:0000:10000000}} ¡¿Qué
quieres,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}?! ¡A ver si vale
la pena! ¡Tengo ejercicio pendiente!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Grrr, qu'est-ce que je fais là, moi...?{{TAG:0007:0000:10000000}}
Tu veux quoi, au juste, {{TAG:0011:0001:0000}} ?{{TAG:0007:0000:08000000}}
Hop, j'ai des tractions à faire !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Ehm, che mi hai chiamato a fare?
{{TAG:0007:0000:10000000}}Cosa vuoi da me,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}?!{{TAG:0000:0004:}}Spero tu abbia una buona ragione!
Io ho delle flessioni in programma,
cosa credi?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Ich hoffe,{{TAG:0007:0000:08000000}} du hast was tierisch
Wichtiges zu bereden,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}!{{TAG:0007:0000:28000000}}
Ich mach ungern Trainingspausen!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0001:}}Ne istedin,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}?
{{TAG:0003:0021:}}Yapacak squatlarım var, kısa keselim!{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}I'm so sorry, {{TAG:0011:0001:0100}}!{{TAG:0007:0000:10000000}} I borrowed
this item a long time ago and forgot
to give it back until just now{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0009:}}Lo siento de corazón, {{TAG:0011:0001:0100}}.
Ya ni me acuerdo de cuánto tiempo
hace que me dejaste este objeto.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}En fait, {{TAG:0011:0001:0100}},{{TAG:0007:0000:10000000}} je t'ai emprunté
ce truc y'a longtemps et j'ai oublié
de te le rendre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Discúlpame, {{TAG:0011:0001:0100}}!{{TAG:0007:0000:10000000}} Mi hai
prestato questa cosa tanto tempo
fa e non te l'ho mai restituita{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Tut mir leid, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} Das hier
hab ich mir schon vor 'ner ganzen
Weile von dir ausgeliehen.
So langsam sollte ich es dir wirklich
mal zurückgeben...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Çok özür dilerim, {{TAG:0011:0001:0100}}!{{TAG:0007:0000:10000000}} Bunu uzun zaman
önce ödünç almıştım, ancak şimdi geri
vermeyi hatırladım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000B:}}Hmm. Come to think of it, I guess
I DID lend that to you,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0024:}}For some reason I thought you
invited me over to test out your
{{TAG:0005:0011:0001}} skills!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oye,{{TAG:0007:0000:10000000}} pero si es mi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}¡Ja, ja, ja!
¡Acabo de recordar que te había
prestado eso,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}!
{{TAG:0003:0024:}}¡Y yo que pensaba que me llamabas
para invitarme a practicar
{{TAG:0005:0011:0001}} o algo de eso!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Hein ?{{TAG:0007:0000:10000000}} Je t'ai prêté ça, moi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?
{{TAG:0003:0025:}}Ouais, à la réflexion, c'est possible !{{TAG:0000:0004:}}{{TAG:0003:0024:}}Moi qui pensais que tu m'avais
invité pour me défier lors d'un
tournoi de {{TAG:0005:0011:0001}} !","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ehi,{{TAG:0007:0000:10000000}} ma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Eh sì, ora che ci
penso, è un bel po' che ce l'hai,
{{TAG:0007:0000:08000000}}{{TAG:0011:0001:0000}}!
{{TAG:0003:0024:}}Non so perché, ma pensavo che
mi avessi chiamato per parlare
un po' di {{TAG:0005:0011:0001}}!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Heiliger Flatterball!{{TAG:0007:0000:28000000}}
Das hab ich schon überall gesucht!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Jetzt fällt mir auch wieder ein, {{TAG:0007:0000:08000000}}dass
ich's DIR vor Ewigkeiten ausgeliehen
hatte,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}!
{{TAG:0003:0024:}}Und ich dachte schon, {{TAG:0007:0000:08000000}}dass du mit
mir {{TAG:0005:0011:0001}} üben willst!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000B:}}Hmm. Düşününce, bunu sana gerçekten
ben vermiştim,{{TAG:0007:0000:08000000}} {{TAG:0011:0001:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Nedense beni
{{TAG:0005:0011:0001}} yeteneklerini sınamaya çağırdın sandım!"
