entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Yesterday was {{TAG:0000:0003:0200}}Starcrossed Day{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:0A000000}}
Boy, did it pass by in a flash!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}I hope it's as enjoyable next year!","{{TAG:0003:0001:}}Ayer fue el Tanabata.{{TAG:0007:0000:0A000000}} ¡Se me hizo
el día supercorto!{{TAG:0007:0001:}} {{TAG:0003:0005:}}¡A ver si
el año que viene es mejor aún!","{{TAG:0003:0001:}}Hier, c'était la {{TAG:0000:0003:0200}}fête des étoiles{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:0A000000}}
C'est passé à une vitesse ! {{TAG:0007:0001:}}{{TAG:0003:0005:}}J'espère
que ça sera aussi bien l'an prochain.","{{TAG:0003:0001:}}Ieri si festeggiava la notte delle
stelle.{{TAG:0007:0000:0A000000}} È stata bellissima!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Già non
vedo l'ora che arrivi la prossima!","{{TAG:0003:0001:}}Das {{TAG:0000:0003:0200}}Sternenfest{{TAG:0000:0003:FFFF}} ging vorbei wie
im Flug!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Ich freue mich jetzt schon
aufs nächste Jahr!","{{TAG:0003:0001:}}Dün {{TAG:0000:0003:0200}}Tanabata{{TAG:0000:0003:FFFF}}ydı.{{TAG:0007:0000:0A000000}} Nasıl da
göz açıp kapayıncaya kadar
geçti!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Umarım seneye de böyle eğlenceli olur!"
1,002,"{{TAG:0003:0025:}}I hope Orihime and Hikoboshi
{{TAG:0003:0004:}}got to meet this year!","{{TAG:0003:0025:}}¡Espero que Orihime y Hikoboshi
{{TAG:0003:0004:}}hayan podido verse este año!","{{TAG:0003:0025:}}J'espère que Véga et Altaïr{{TAG:0003:0004:}} ont pu
se rencontrer cette année !","{{TAG:0003:0025:}}Spero che Orihime e Hikoboshi{{TAG:0003:0004:}}
si siano incontrati, quest'anno!","{{TAG:0003:0025:}}Hoffentlich konnten sich die
Sternenprinzessin und ihr Liebster
{{TAG:0003:0004:}}dieses Jahr treffen!","{{TAG:0003:0025:}}Umarım Orihime ile Hikoboshi
{{TAG:0003:0004:}}bu yıl buluşabilmiştir!"
2,003,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:0A000000}} what did you happen to
wish for yesterday?{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0010:}}Ah!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}It's a secret, right?{{TAG:0007:0000:1E000000}} {{TAG:0003:0005:}}I'll just
hope it comes true then!","{{TAG:0003:0001:}}¿Qué deseo has pedido, {{TAG:0005:0000:}}?{{TAG:0000:0004:}}{{TAG:0003:0010:}}¡Ah!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Es un secreto, ¿eh?{{TAG:0007:0000:1E000000}}
{{TAG:0003:0005:}}¡Bueno, espero que se haga realidad!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:0A000000}} quel vœu avez-vous
fait pour aujourd'hui ?{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0010:}} Oh je vois !{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}C'est un secret ?! Je
comprends.{{TAG:0007:0000:1E000000}} {{TAG:0003:0005:}}J'espère pour vous qu'il
se réalisera !","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:0A000000}} hai espresso
un desiderio oggi?{{TAG:0007:0000:0F000000}} Di cosa
si tratta?{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0010:}} Ah!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}È un segreto, vero?{{TAG:0007:0000:1E000000}}
{{TAG:0003:0005:}}Beh, posso solo sperare
che diventi realtà!","{{TAG:0003:0001:}}Was hast du dir heute gewünscht,
{{TAG:0005:0000:}}?{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Das ist dein Geheimnis,
stimmt's?{{TAG:0007:0000:1E000000}} {{TAG:0003:0005:}}Jedenfalls hoffe ich, dass
dein Wunsch in Erfüllung geht!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}},{{TAG:0007:0000:0A000000}} dün ne diledin bakalım?{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0010:}}
Aa!{{TAG:0007:0000:14000000}} {{TAG:0003:0026:}}Sır, değil mi?{{TAG:0007:0000:1E000000}} {{TAG:0003:0005:}}O zaman ben
de gerçekleşmesini dileyeyim!"
3,004,"Do you think Orihime and Hikoboshi
{{TAG:0003:000B:}}will get to meet this year{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?
{{TAG:0003:0004:}}I sure hope so!","{{TAG:0003:000B:}}¿Crees que Orihime y Hikoboshi
se verán este año? {{TAG:0003:0004:}}¡Espero que sí!","Vous pensez {{TAG:0003:000B:}}que Véga et Altaïr se
rencontreront cette année{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}? {{TAG:0003:0004:}}Je
l'espère vraiment !","Pensi che Orihime e Hikoboshi
{{TAG:0003:000B:}}riusciranno a incontrarsi
quest'anno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}? {{TAG:0003:0004:}}Lo spero tanto!","{{TAG:0003:000B:}}Glaubst du, die Sternenprinzessin
trifft dieses Jahr ihren Liebsten?{{TAG:0007:0000:0F000000}}
{{TAG:0003:0004:}}Ich wünsche es ihr jedenfalls!","Sence Orihime ile Hikoboshi
{{TAG:0003:000B:}}bu yıl buluşabilecek mi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?
{{TAG:0003:0004:}}Umarım buluşurlar!"
4,005,"{{TAG:0003:0001:}}Are you celebrating {{TAG:0000:0003:0200}}Starcrossed
Day{{TAG:0000:0003:FFFF}} by meeting someone in town?{{TAG:0000:0004:}}Orihime and Hikoboshi can
only meet once a year...{{TAG:0000:0004:}}{{TAG:0003:0005:}}But I want you to visit everyone
in {{TAG:0005:0005:}} as much as possible!","{{TAG:0003:0001:}}¿Vas a quedar con alguien
para celebrar el Tanabata?{{TAG:0000:0004:}}Orihime y Hikoboshi solo se pueden
ver una vez al año, los pobres...{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Por eso quiero que tú vengas
a ver a todos los vecinos de
{{TAG:000E:0003:}}{{TAG:0005:0005:}} a menudo!","{{TAG:0003:0001:}}Avez-vous prévu de célébrer la {{TAG:0000:0003:0200}}fête
des étoiles{{TAG:0000:0003:FFFF}} avec quelqu'un cette
année ?{{TAG:0000:0004:}}Véga et Altaïr ne peuvent se
retrouver qu'une fois par an...{{TAG:0000:0004:}}{{TAG:0003:0005:}}Ce n'est pas le cas des habitants
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}}, heureusement ! Allez
donc tailler un brin de causette !","{{TAG:0003:0001:}}Sei qui per festeggiare la notte
delle stelle con qualcuno
in particolare?{{TAG:0000:0004:}}Orihime e Hikoboshi si incontrano
soltanto una volta all'anno...{{TAG:0000:0004:}}{{TAG:0003:0005:}}... ma io ti invito a venire a trovarci
qui {{TAG:000E:0010:}} {{TAG:0005:0005:}} tutte le volte
che vuoi!","{{TAG:0003:0001:}}Gibt es jemanden in dieser
Stadt, den du beim {{TAG:0000:0003:0200}}Sternenfest
{{TAG:0000:0003:FFFF}}treffen willst?
Die Sternenprinzessin und ihr
Liebster können sich nur an
diesem Tag treffen...
{{TAG:0003:0005:}}Aber du kannst die Bewohner von
{{TAG:0005:0005:}} treffen, sooft du willst!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Tanabata{{TAG:0000:0003:FFFF}}yı kasabada biriyle
buluşarak mı kutluyorsun?{{TAG:0000:0004:}}Orihime
ile Hikoboshi yılda yalnızca bir kez
buluşabiliyor...{{TAG:0000:0004:}}{{TAG:0003:0005:}}
Ama sen {{TAG:0005:0005:}} kasabasındaki herkesi
olabildiğince sık ziyaret et!"
5,006,"{{TAG:0003:0001:}}I hope you get to spend a lovely
{{TAG:0000:0003:0200}}Starcrossed Day {{TAG:0000:0003:FFFF}}with everyone!","{{TAG:0003:0001:}}¡Te deseo un feliz Tanabata
junto a la gente del pueblo!","{{TAG:0003:0001:}}J'espère que vous célébrerez la {{TAG:0000:0003:0200}}fête
des étoiles {{TAG:0000:0003:FFFF}}avec le plus de monde
possible !","{{TAG:0003:0001:}}Spero che ti divertirai a passare
la notte delle stelle qui con noi!","{{TAG:0003:0001:}}Ich wünsche dir ein schönes
{{TAG:0000:0003:0200}}Sternenfest {{TAG:0000:0003:FFFF}}mit all den Bewohnern
unserer Stadt!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Tanabata{{TAG:0000:0003:FFFF}}yı herkesle birlikte
güzel geçirmeni dilerim!"
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,,,,,,
