entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}I have something I'd
really like to show you!{{TAG:0000:0004:}}Can you come with me {{TAG:0003:0017:}}to my
house right now?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}?","¡{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}te tengo que enseñar
una cosa!{{TAG:0000:0004:}}{{TAG:0003:0017:}}¡Vamos a mi casa un segundo,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Dis, {{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}faut que je te
montre un truc dingue !{{TAG:0000:0004:}}Tu peux venir chez moi, là, tout de
suite ? {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} ?","{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}voglio farti vedere
una cosa!{{TAG:0000:0004:}}Puoi venire {{TAG:0003:0017:}}a casa mia adesso,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?","{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:0A000000}}ich muss dir unbedingt
was zeigen!{{TAG:0000:0004:}}{{TAG:0003:0017:}}Kannst du mit zu mir nach Hause
kommen, {{TAG:0005:0007:}}?","{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}Sana gerçekten göstermek
istediğim bir şey var!{{TAG:0000:0004:}}Şimdi {{TAG:0003:0017:}}evime
gelebilir misin?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}?"
1,002,"{{TAG:0003:0023:}}I was waiting for you,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Don't say anything and just come
with me, please!","{{TAG:0003:0023:}}Te estaba esperando,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0001:}}
{{TAG:0003:0025:}}¡Acompáñame a mi casa!","{{TAG:0003:0023:}}Je t'attendais,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} !{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Ne dis rien et suis-moi, steup !","{{TAG:0003:0023:}}Ti aspettavo,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Non dire niente e vieni con me!","{{TAG:0003:0023:}}Ich hab auf dich gewartet,
{{TAG:0005:0008:}}!{{TAG:0007:0001:}}{{TAG:0003:0025:}} Sag nichts und komm
einfach mit!","{{TAG:0003:0023:}}Seni bekliyordum,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0025:}}Hiçbir şey
söyleme ve lütfen benimle gel!"
2,003,"{{TAG:0003:0010:}}Ah,{{TAG:0007:0000:10000000}} there you are!{{TAG:0007:0001:}} {{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, I felt
like I was the paparazzi waiting for
you to come out of your house.
{{TAG:0003:0025:}}Oh, right!{{TAG:0007:0000:10000000}} I need you for something!{{TAG:0007:0000:20000000}}
Could you come with me for a few
moments,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:0003:0010:}}¡Aquí estás!{{TAG:0007:0001:}} {{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, me sentía
un poco como la prensa del corazón,
esperándote en la puerta de tu casa.
{{TAG:0003:0025:}}Tienes que echarme una mano con
algo superurgente. ¡Acompáñame
a mi casa,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Ah,{{TAG:0007:0000:10000000}} t'es là, {{TAG:0005:0008:}} ! {{TAG:0007:0000:08000000}}Enfin !{{TAG:0000:0004:}}{{TAG:0003:0024:}}J'en avais marre de faire le pied de
grue devant ta maison comme un
paparazzi, {{TAG:0005:0007:}} !
{{TAG:0003:0025:}}Bref !{{TAG:0007:0000:10000000}} J'ai besoin de toi pour un
truc urgent !{{TAG:0007:0000:20000000}} Tu peux venir avec
moi, steuplaît ?","{{TAG:0003:0010:}}Ah,{{TAG:0007:0000:10000000}} eccoti qua!{{TAG:0007:0001:}} {{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},
mi sentivo come un paparazzo
in attesa della star.
{{TAG:0003:0025:}}OK!{{TAG:0007:0000:10000000}} Ho bisogno di te!{{TAG:0007:0000:20000000}}
Puoi venire con me,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:0003:0010:}}Da bist du ja, {{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0024:}}Ich hab
mich schon gefühlt wie ein Fan,
der vor deinem Haus wartet.
{{TAG:0003:0025:}}Ich brauch dich mal kurz!{{TAG:0007:0000:14000000}} Kannst du
bitte mitkommen, {{TAG:0005:0007:}}?","{{TAG:0003:0010:}}Aa,{{TAG:0007:0000:10000000}} işte buradasın!{{TAG:0007:0001:}} {{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, evden
çıkmanı beklerken kendimi paparazzi
gibi hissettim. {{TAG:0003:0025:}}Aa, doğru!{{TAG:0007:0000:10000000}} Senden bir ricam
var!{{TAG:0007:0000:20000000}} Birkaç dakikalığına benimle gelir
misin,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?"
3,004,"
{{TAG:0007:0002:}}       {{TAG:0000:0002:9600}}{{TAG:0007:0003:}}{{TAG:0003:001F:}}{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}}{{TAG:0007:000B:}}{{TAG:000D:0009:}}Happy{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}} {{TAG:0000:0002:9600}}{{TAG:0007:000B:}}Birthday{{TAG:0000:0002:9600}}!{{TAG:0000:0002:6400}}{{TAG:000D:000A:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0025:}}","{{TAG:0000:0002:9600}}{{TAG:0003:001F:}}{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}}{{TAG:0007:000B:}}{{TAG:000D:0009:}}{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}}
{{TAG:0000:0002:9600}}{{TAG:0007:000B:}}    ¡Feliz cumpleaños{{TAG:0000:0002:9600}}!{{TAG:0000:0002:6400}}{{TAG:000D:000A:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0025:}}","
{{TAG:0003:001F:}}{{TAG:0007:0000:10000000}}{{TAG:0007:000B:}}{{TAG:000D:0009:}}{{TAG:0000:0002:9600}}JOYEUX{{TAG:0000:0002:6400}}{{TAG:0007:0000:10000000}}
{{TAG:0007:000B:}}{{TAG:0000:0002:9600}}ANNIVERSAIRE !{{TAG:0000:0002:6400}}{{TAG:000D:000A:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0025:}}","{{TAG:0000:0002:9600}}{{TAG:0003:001F:}}{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}}{{TAG:0007:000B:}}{{TAG:000D:0009:}}Feliz{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}}
{{TAG:0000:0002:9600}}{{TAG:0007:000B:}}{{TAG:0000:0002:9600}}cumpleaños{{TAG:0000:0002:9600}}{{TAG:0000:0002:9600}}!{{TAG:0000:0002:6400}}{{TAG:000D:000A:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0025:}}","{{TAG:0000:0002:9600}}{{TAG:0003:001F:}}{{TAG:0000:0002:9600}}{{TAG:0007:000B:}}{{TAG:000D:0009:}}Herzlichen Glückwunsch{{TAG:0000:0002:9600}}{{TAG:0007:0000:14000000}}
    {{TAG:0000:0002:9600}}{{TAG:0007:000B:}}zum Geburtstag{{TAG:0000:0002:9600}}!{{TAG:0000:0002:6400}}{{TAG:000D:000A:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0025:}}","
{{TAG:0007:0002:}}       {{TAG:0000:0002:9600}}{{TAG:0007:0003:}}{{TAG:0003:001F:}}{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}}{{TAG:0007:000B:}}{{TAG:000D:0009:}}İyi ki{{TAG:0000:0002:9600}}{{TAG:0007:0000:10000000}} {{TAG:0000:0002:9600}}{{TAG:0007:000B:}}Doğdun{{TAG:0000:0002:9600}}!{{TAG:0000:0002:6400}}{{TAG:000D:000A:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0025:}}"
4,005,"{{TAG:0003:0024:}}Sorry for surprising you.{{TAG:0007:0000:20000000}} We've
actually been planning a birthday
party for you for a while!
{{TAG:0003:0006:}}Come on,{{TAG:0007:0000:08000000}} blow out those candles!{{TAG:0007:0000:20000000}}
{{TAG:0003:0026:}}And make a wish!","{{TAG:0003:0024:}}¿A que no te lo esperabas?{{TAG:0007:0000:20000000}} 
Llevamos un tiempo preparando
esta fiestecilla.
{{TAG:0003:0006:}}Adelante,{{TAG:0007:0000:08000000}} ¡sopla las velas!
{{TAG:0003:0026:}}¡Y no te olvides de pedir un deseo!","{{TAG:0003:0024:}}Hé hé, tu t'y attendais pas, hein ?{{TAG:0007:0000:08000000}}
Ça fait un bout de temps qu'on
prépare cette surprise !
{{TAG:0003:0006:}}Allez, au boulot :{{TAG:0007:0000:08000000}} faut souffler les
bougies{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:0F000000}} {{TAG:0003:0023:}}et faire un vœu !","{{TAG:0003:0024:}}Ti abbiamo spaventat{{TAG:000E:0006:02006F0002006100}}?{{TAG:0007:0000:20000000}} È una vita
che stiamo organizzando la tua
festa di compleanno!
{{TAG:0003:0006:}}Forza,{{TAG:0007:0000:08000000}} spegni le candeline!{{TAG:0007:0000:20000000}}
{{TAG:0003:0026:}}Ed esprimi il desiderio!","{{TAG:0003:0024:}}Ich hoffe, du freust dich über die
Überraschung.{{TAG:0007:0000:14000000}} Wir haben das schon
seit 'ner ganzen Weile geplant!
{{TAG:0003:0006:}}Los,{{TAG:0007:0000:0A000000}} du musst die Kerzen ausblasen!{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}Und dir was wünschen!","{{TAG:0003:0024:}}Seni şaşırttığımız için kusura bakma.{{TAG:0007:0000:20000000}}
Aslında bir süredir doğum günü partini
planlıyorduk! {{TAG:0003:0006:}}Hadi,{{TAG:0007:0000:08000000}} mumları üfle!{{TAG:0007:0000:20000000}}
{{TAG:0003:0026:}}Bir dilek de tut!"
5,006,"{{TAG:0003:0024:}}Sorry for surprising you like that.{{TAG:0007:0000:20000000}}
We've actually been planning a
birthday party for you for a while!
{{TAG:0003:0009:}}I know it's a day early, though,
because this isn't a leap year{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Oh well. Come on,{{TAG:0007:0000:08000000}} blow out those
candles!{{TAG:0007:0000:20000000}} {{TAG:0003:0026:}}And make a wish too!","{{TAG:0003:0024:}}¿A que te hemos sorprendido?{{TAG:0007:0000:20000000}}
Llevamos un tiempo preparando
esta fiestecilla.
{{TAG:0003:0009:}}Vale que es un día antes de tu
cumple, pero es que este año
no es bisiesto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Bueno, venga,{{TAG:0007:0000:08000000}} ¡a soplar esas velas!{{TAG:0007:0000:20000000}}
{{TAG:0003:0026:}}¡Y no te olvides de pedir un deseo!","{{TAG:0003:0024:}}Hé hé, tu t'y attendais pas, hein ?{{TAG:0007:0000:08000000}}
Ça fait un bout de temps qu'on
prépare cette surprise !
{{TAG:0003:001B:}}Mais bon, faut nous pardonner,
comme c'est pas une année
bissextile, {{TAG:0007:0000:08000000}}on fait ça aujourd'hui !
{{TAG:0003:0006:}}Allez, au boulot :{{TAG:0007:0000:08000000}} faut souffler les
bougies{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:0F000000}} {{TAG:0003:0023:}}et faire un vœu !","{{TAG:0003:0024:}}Scusa se ti abbiamo spaventat{{TAG:000E:0006:02006F0002006100}}.{{TAG:0007:0000:20000000}}
È da un po' che stiamo organizzando
la tua festa di compleanno!
{{TAG:0003:0009:}}Beh, lo so che è un giorno in
anticipo, ma quest'anno non
è bisestile{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Ma dai, basta chiacchiere.{{TAG:0007:0000:08000000}}
Spegni le candeline{{TAG:0007:0000:20000000}} {{TAG:0003:0026:}}e soprattutto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
esprimi un desiderio!","{{TAG:0003:0024:}}Ich hoffe, du freust dich über die
Überraschung.{{TAG:0007:0000:14000000}} Wir haben das schon
seit 'ner ganzen Weile geplant!
{{TAG:0003:0009:}}Auch wenn wir einen Tag zu früh
dran sind. {{TAG:0007:0000:14000000}}Aber dieses Jahr gibt es
ja leider keinen 29. Februar...{{TAG:0000:0004:}}{{TAG:0003:0006:}}Los,{{TAG:0007:0000:0A000000}} du musst die Kerzen ausblasen!{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}Und dir was wünschen!","{{TAG:0003:0024:}}Seni öyle şaşırttığımız için kusura
bakma.{{TAG:0007:0000:20000000}} Aslında bir süredir doğum günü
partini planlıyorduk! {{TAG:0003:0009:}}Bu yıl artık yıl
olmadığı için{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}bir gün erken
kutladığımızı biliyorum. Neyse. Hadi,{{TAG:0007:0000:08000000}}
mumları üfle!{{TAG:0007:0000:20000000}} {{TAG:0003:0026:}}Bir dilek de tut!"
6,007,"{{TAG:0003:0024:}}Sorry for surprising you like that.{{TAG:0007:0000:20000000}}
We've been planning a birthday
party for you for a while!
{{TAG:0003:0025:}}And even better, since this is a leap
year, we get to celebrate your real
birthday on February 29th!
{{TAG:0003:0006:}}OK, let's go!{{TAG:0007:0000:08000000}} Blow out those candles
already! {{TAG:0003:0026:}}Don't forget to make a
wish when you do!","{{TAG:0003:0024:}}¿A que mola la fiesta sorpresa?{{TAG:0007:0000:20000000}}
Llevamos un tiempo preparándola.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Además, como este año es bisiesto,
¡por fin podemos celebrar tu cumple
el 29 de febrero!
{{TAG:0003:0006:}}¡Venga,{{TAG:0007:0000:08000000}} pide un deseo{{TAG:0003:0026:}}
y sopla ya esas velas!","{{TAG:0003:0024:}}Hé hé, tu t'y attendais pas, hein ?{{TAG:0007:0000:08000000}}
Ça fait un bout de temps qu'on
prépare cette surprise !
{{TAG:0003:001B:}}En plus, on peut célébrer ton
« vrai » anniversaire aujourd'hui
puisque c'est une année bissextile !
{{TAG:0003:0006:}}Allez, au boulot :{{TAG:0007:0000:08000000}} faut souffler les
bougies{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:0F000000}} {{TAG:0003:0023:}}et faire un vœu !","{{TAG:0003:0024:}}Che sorpresona, eh?{{TAG:0007:0000:20000000}}
È da un bel po' che stiamo
organizzando questa festa, sai?!
{{TAG:0003:0025:}}E soprattutto, quest'anno è
bisestile, quindi oggi è DAVVERO
il tuo compleanno!
{{TAG:0003:0006:}}OK, sbrigati.{{TAG:0007:0000:08000000}} Spegni le candeline!
{{TAG:0003:0026:}}E non dimenticare il desiderio{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
È la cosa più importante!","{{TAG:0003:0024:}}Ich hoffe, du freust dich über die
Überraschung.{{TAG:0007:0000:14000000}} Wir haben das schon
seit 'ner ganzen Weile geplant!
{{TAG:0003:0025:}}Und weil dieses Jahr ein Schaltjahr
ist, können wir deinen Geburtstag
sogar am 29. Februar feiern!
{{TAG:0003:0006:}}Los,{{TAG:0007:0000:0A000000}} du musst die Kerzen ausblasen!{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}Und dir was wünschen!","{{TAG:0003:0024:}}Seni öyle şaşırttığımız için kusura
bakma.{{TAG:0007:0000:20000000}} Bir süredir doğum günü partini
planlıyorduk! {{TAG:0003:0025:}}Üstelik bu yıl artık yıl;
yani gerçek doğum günün olan 29 Şubat’ta
kutlayabiliyoruz! {{TAG:0003:0006:}}Tamam, başlayalım!{{TAG:0007:0000:08000000}}
Şu mumları artık üfle! {{TAG:0003:0026:}}Bir dilek
tutmayı da unutma!"
7,008,"{{TAG:0003:0010:}}Wait up, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:000D:}}We prepared
this cake just for you!{{TAG:0007:0000:10000000}} Please blow
out the candles before you go!","{{TAG:0003:0010:}}¡No te vayas todavía, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:000D:}}
¡Que hemos preparado esta tarta
solo para ti!{{TAG:0007:0000:10000000}}{{TAG:0000:0004:}}¡Por lo menos, sopla las velas
antes de irte, porfa!","{{TAG:0003:0010:}}Hé, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}, où tu vas ?!{{TAG:0007:0001:}} {{TAG:0003:000D:}}On
s'est quand même pas donné tout
ce mal pour rien ?!
{{TAG:0003:001B:}}Ce que tu vois là est un gâteau et
les trucs qui brillent dessus,{{TAG:0007:0000:08000000}} c'est
des bougies, {{TAG:0005:0007:}} !
{{TAG:0003:0006:}}Et faut les souffler avant de partir,
steuplaît !","{{TAG:0003:0010:}}Aspetta, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:000D:}}Abbiamo fatto
questa torta apposta per te!{{TAG:0007:0000:10000000}} Spegni
almeno le candeline prima di andare!","{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:000D:}}Wir haben die Torte
extra für dich vorbereitet!{{TAG:0007:0000:14000000}} Bitte
blas die Kerzen aus, bevor du gehst!","{{TAG:0003:0010:}}Bir dakika, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:000D:}}Bu pastayı
özellikle senin için hazırladık!{{TAG:0007:0000:10000000}}
Gitmeden önce lütfen mumları üfle!"
8,009,"{{TAG:0003:0006:}}The party doesn't start {{TAG:0003:0026:}}until the
birthday star blows out all the
candles,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0006:}}¡La fiesta no comenzará hasta
{{TAG:0003:0026:}}que {{TAG:000E:0006:1C0065006C002000630075006D0070006C0065006100F100650072006F001C006C0061002000630075006D0070006C0065006100F100650072006100}}{{TAG:0007:0000:08000000}} sople las velas,
{{TAG:0005:0008:}}!","{{TAG:0003:0006:}}Désolé, {{TAG:0005:0008:}},{{TAG:0007:0000:08000000}} interdiction de
quitter ma villa avant d'avoir{{TAG:0003:002C:}}
soufflé les bougies !","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, la festa non ha inizio
{{TAG:0003:0026:}}finché {{TAG:000E:0006:1C0069006C00200066006500730074006500670067006900610074006F001C006C006100200066006500730074006500670067006900610074006100}} non spegne
le candeline{{TAG:0007:0000:08000000}}!","{{TAG:0003:0006:}}Die Party fängt erst an,{{TAG:0007:0000:0A000000}}{{TAG:0003:0026:}} wenn das
Geburtstagskind alle Kerzen
ausgeblasen hat, {{TAG:0005:0008:}}!","{{TAG:0003:0006:}}Doğum günü yıldızı bütün mumları
üflemeden{{TAG:0003:0026:}} parti başlamış
sayılmaz, {{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!"
9,010,"{{TAG:0003:0010:}}Please don't leave yet,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0006:}}You gotta blow out the candles!{{TAG:0007:0000:20000000}}
{{TAG:0003:0009:}}That's the only job you have today!","{{TAG:0003:0010:}}¡No te vayas todavía,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0006:}}¡Tienes que soplar las velas!{{TAG:0007:0000:20000000}}
{{TAG:0003:0009:}}¡Venga, porfi!","{{TAG:0003:0010:}}Hé, pas si vite, {{TAG:0005:0008:}} !{{TAG:0000:0004:}}{{TAG:0003:0006:}}Faut souffler les bougies quand
même !{{TAG:0007:0000:20000000}} C'est pas trop demander,
ça. {{TAG:0003:0009:}}{{TAG:0007:0000:08000000}}Si ? {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:0010:}}Non te ne andare,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0006:}}Devi spegnere le candeline!{{TAG:0007:0000:20000000}}
{{TAG:0003:0009:}}Se non lo fai tu, chi lo fa?!","{{TAG:0003:000F:}}Nicht weggehen, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0006:}}Du musst doch noch die Kerzen
ausblasen!{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}Bitte!","{{TAG:0003:0010:}}Lütfen daha gitme,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0006:}}Mumları
üflemen lazım!{{TAG:0007:0000:20000000}} {{TAG:0003:0009:}}Bugün tek görevin bu!"
