entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0020:}}Yo, {{TAG:0005:0000:}}! Happy birthday!{{TAG:0000:0004:}}{{TAG:0003:0001:}}By the way, I sat down and did my
best to write you a letter!{{TAG:0000:0004:}}{{TAG:0003:0027:}}It's a bit embarrassing for me, but it
should be in your mailbox already,
so please take a look,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0020:}}¡Eh, {{TAG:0005:0000:}}! ¡Feliz cumpleaños!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Por cierto, ¡me he molestado en
sentarme a escribirte una carta!{{TAG:0000:0004:}}{{TAG:0003:0027:}}Me da un poco de vergüenza, pero
tendría que estar ya en tu buzón,
¡así que échale un vistazo!","{{TAG:0003:0020:}}Yo {{TAG:0005:0000:}} ! Bon anniversaire !{{TAG:0000:0004:}}{{TAG:0003:0001:}}Pour l'occasion, j'ai fait de mon
mieux pour t'écrire une petite
lettre !{{TAG:0000:0004:}}{{TAG:0003:001A:}}J'espère qu'elle te plaira, elle doit
t'attendre dans ta boîte aux lettres
à l'heure qu'il est,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0020:}}Ehilà, {{TAG:0005:0000:}}!
Buon compleanno!{{TAG:0000:0004:}}{{TAG:0003:0001:}}A proposito, ti ho scritto
una lettera per l'occasione!{{TAG:0000:0004:}}{{TAG:0003:0027:}}La cosa mi mette un po'
in imbarazzo, in realtà.{{TAG:0000:0004:}}Comunque dovrebbe essere già
nella tua cassetta della posta,
quindi controlla,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0020:}}Hey ho, {{TAG:0005:0000:}}!
Alles Gute zum Geburtstag!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Als echter Sportsfreund hab ich dir
übrigens auch 'ne Glückwunschkarte
geschrieben,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!
{{TAG:0003:0027:}}Sie ist ein bisschen schmalzig
geworden{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}Erzähl bloß keinem,
was drinsteht!!","{{TAG:0003:0020:}}Hey, {{TAG:0005:0000:}}! İyi ki doğdun!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Bu arada
oturup sana elimden geldiğince düzgün
bir mektup yazdım!{{TAG:0000:0004:}}{{TAG:0003:0027:}}Biraz utandırıyor
ama posta kutuna ulaşmış olmalı;
bir bakarsın, {{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
1,002,"{{TAG:0003:0020:}}Howdy!{{TAG:0007:0000:14000000}} Happy birthday!{{TAG:0000:0004:}}{{TAG:0003:001A:}}I wrote down your birthday{{TAG:0007:0000:08000000}} to make
sure I didn't forget it!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}I also sent a present to your house!
I hope you like it,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}¿Qué tal?{{TAG:0007:0000:14000000}} ¡Feliz cumpleaños!{{TAG:0000:0004:}}{{TAG:0003:001A:}}¡Tomé nota de tu cumpleaños{{TAG:0007:0000:08000000}}
para no olvidar qué día era!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}También te he mandado un regalo
a casa. ¡Espero que te guste,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Yo !{{TAG:0007:0000:14000000}} Joyeux anniversaire !{{TAG:0000:0004:}}{{TAG:0003:001A:}}J'ai noté ce jour dans mon agenda
pour être sûr de ne pas l'oublier !{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Je t'ai aussi posté un petit cadeau !
J'espère qu'il te plaira,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0020:}}Salve!{{TAG:0007:0000:14000000}} Buon compleanno!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Mi ero scritto la data{{TAG:0007:0000:08000000}} per essere
sicuro di non dimenticarmelo!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ti ho anche spedito un regalo
a casa! Spero che ti piacerà,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hey, hey, hey!{{TAG:0007:0000:14000000}}
Alles Gute zum Geburtstag!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Ich hab in meinem Trainingskalender
notiert,{{TAG:0007:0000:08000000}} wann dein Geburtstag ist,
{{TAG:0007:0000:08000000}}damit ich ihn nicht vergesse!
{{TAG:0003:0001:}}Ich hab dir auch ein Geschenk
geschickt! {{TAG:0007:0000:14000000}}Ich hoffe,{{TAG:0007:0000:08000000}} es gefällt dir,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Selam!{{TAG:0007:0000:14000000}} İyi ki doğdun!{{TAG:0000:0004:}}{{TAG:0003:001A:}}Unutmamak
için doğum gününü{{TAG:0007:0000:08000000}} bir yere yazmıştım!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Evine
de bir hediye yolladım! Umarım
beğenirsin, {{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
2,003,"{{TAG:0003:0005:}}Happy birthday, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
It's your birthday today, right?{{TAG:0000:0004:}}{{TAG:0003:0000:}}I wanted to celebrate it{{TAG:0007:0000:14000000}} sooner than
anyone else,{{TAG:0007:0000:14000000}} so I sent you a letter!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Please check your mailbox when
you can!","{{TAG:0003:0005:}}¡Feliz cumpleaños, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
Porque hoy es tu cumple, ¿no?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Quería felicitarte antes que{{TAG:0007:0000:14000000}}
nadie,{{TAG:0007:0000:14000000}} ¡así que te he mandado
una carta a casa!{{TAG:0000:0004:}}{{TAG:0003:0026:}}¡Tienes que mirar el buzón
en cuanto puedas!","{{TAG:0003:0005:}}Joyeux anniversaire, {{TAG:0005:0008:}} !{{TAG:0007:0000:28000000}}
C'est bien aujourd'hui, hein ?{{TAG:0000:0004:}}{{TAG:0003:0000:}}J'avais tellement envie d'être le
premier à te le souhaiter, que je
t'ai envoyé une lettre !{{TAG:0000:0004:}}{{TAG:0003:0026:}}N'hésite pas à jeter un coup d'œil
à ta boîte aux lettres quand tu
auras un moment !","{{TAG:0003:0005:}}Auguri, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Oggi è
il tuo compleanno, vero?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Volevo essere il primo a{{TAG:0007:0000:14000000}}
festeggiarti,{{TAG:0007:0000:14000000}} perciò ti ho
spedito una lettera!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Controlla nella cassetta delle lettere
quando puoi!","{{TAG:0003:0005:}}Herzlichen Glückwunsch,
{{TAG:000E:0006:0C006C00690065006200650072000A006C006900650062006500}} {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Du hast
doch heute Geburtstag, oder?
{{TAG:0003:0000:}}Ich wollte der Allererste sein, der
dir gratuliert,{{TAG:0007:0000:14000000}} also hab ich dir 
schon zeitig 'nen Brief geschickt!
{{TAG:0003:0026:}}Schau in deinen Briefkasten,{{TAG:0007:0000:08000000}}
wenn du daheim bist!","{{TAG:0003:0005:}}İyi ki doğdun, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Bugün doğum
günün, değil mi?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Herkesten {{TAG:0007:0000:14000000}}önce kutlamak
istedim,{{TAG:0007:0000:14000000}} o yüzden sana mektup
yolladım!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Fırsat bulunca
posta kutuna bak!"
3,004,"{{TAG:0003:0020:}}Hey! I heard it's your birthday
today!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Happy birthday, {{TAG:000E:0006:0600620072006F000E006C00610064007900620072006F00}}! I hope you
get some nice stuff,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}¡Oye! ¡Me he enterado de que
hoy es tu cumpleaños!{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Feliz cumpleaños, compañer{{TAG:000E:0006:02006F0002006100}}!
¡Espero que te regalen cosas
tremendas,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Yo ! Il paraît qu'aujourd'hui, c'est
ton anniversaire !{{TAG:0000:0004:}}{{TAG:0003:0005:}}Joyeux anniversaire {{TAG:000E:0006:1400700065007400690074002000670061007200730012006D00610020006700720061006E0064006500}} !
J'espère que tu seras bien {{TAG:000E:0006:08006700E2007400E9000A006700E2007400E9006500}},{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0020:}}Ehi! Ho sentito dire che oggi
è il tuo compleanno!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Tanti auguri, {{TAG:000E:0006:0A0061006D00690063006F000A0061006D00690063006100}}! Spero che
ti facciano tanti bei regali,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hey, hey, hey!{{TAG:0007:0000:14000000}} Du hast heute
Geburtstag,{{TAG:0007:0000:08000000}} hab ich gehört!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Alles Gute, {{TAG:000E:0006:1800530070006F0072007400730066007200650075006E0064001C00530070006F0072007400730066007200650075006E00640069006E00}}!{{TAG:0007:0000:14000000}}
Ich hoffe, du wirst reich
beschenkt, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hey! Bugün doğum gününmüş!{{TAG:0000:0004:}}{{TAG:0003:0005:}}İyi ki doğdun,
{{TAG:000E:0006:0600620072006F000E006C00610064007900620072006F00}}! Umarım güzel şeyler
alırsın, {{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0010:}}By the way, it's your birthday
today, right?{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} Which part of your
body will you tone up this year?{{TAG:0000:0004:}}{{TAG:0003:0002:}}I can make that decision for you in
case you can't make up your mind!{{TAG:0007:0000:14000000}}
Ha ha!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0010:}}Por cierto, hoy es tu cumpleaños,
¿no?{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} ¿Y qué parte de tu cuerpo
vas a trabajar más este año?{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Puedo tomar yo esa decisión si
tú no lo tienes claro!{{TAG:0007:0000:14000000}} ¡Ja, ja!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0010:}}Tiens ! Si je ne m'abuse, c'est bien
aujourd'hui qu'on fête ton annif ?{{TAG:0000:0004:}}{{TAG:0003:0017:}}Sur quoi tu vas concentrer ton
entraînement, pour l'année qui
vient ?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Si t'as du mal à te décider, je peux
choisir à ta place !{{TAG:0007:0000:14000000}} Ha ha !{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0010:}}A proposito, oggi è il tuo
compleanno, vero?{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} A quali
esercizi ti dedicherai quest'anno?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Se non riesci a deciderti, posso
sempre farlo io per te!{{TAG:0007:0000:14000000}} Ah ah!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0010:}}Hey!{{TAG:0007:0000:14000000}} Du hast heute Geburtstag,{{TAG:0007:0000:08000000}}
oder?{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} Welchen Körperteil willst
du dieses Jahr durchtrainieren?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Haha!{{TAG:0007:0000:14000000}} Ich geb dir auch gern Tipps,{{TAG:0007:0000:08000000}}
wenn du nicht weißt, was zu tun ist!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0010:}}Bu arada bugün doğum günün, değil mi?{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}}
Bu yıl vücudunun hangi bölgesini
çalıştıracaksın?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Karar veremezsen senin
yerine ben seçerim!{{TAG:0007:0000:14000000}} Ha ha!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
5,006,"Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Today is your
birthday, right? Happy birthday!{{TAG:0000:0004:}}{{TAG:0003:0020:}}It's best to start something new
on a day like this, you know?{{TAG:0000:0004:}}{{TAG:0003:0021:}}Alrighty then! Let's get started with
a new type of training!","¡Oye, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Hoy es tu
cumpleaños, ¿no? ¡Felicidades!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Hoy es un día para plantearse
hacer cosas nuevas, ¿no crees?{{TAG:0000:0004:}}{{TAG:0003:0021:}}¡Pues inténtalo! ¡Deberías entrenar
un nuevo grupo de músculos!","Yo {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Paraît que c'est
ton anniversaire aujourd'hui, alors :
« Bon anniversaire ! »{{TAG:0000:0004:}}{{TAG:0003:0021:}}Moi, je dis que c'est l'occasion de
te lancer dans une nouvelle activité
sportive ! T'en penses quoi ?","Salve, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Oggi è il tuo
compleanno, vero? Tanti auguri!{{TAG:0000:0004:}}{{TAG:0003:0020:}}In occasioni come queste conviene
sempre cominciare qualcosa
di nuovo!
{{TAG:0003:0021:}}Bene, allora! Che ne dici di provare
il mio ultimissimo programma
di allenamento?","Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}
Ist heute nicht dein Geburtstag?
{{TAG:0007:0000:28000000}}Alles Gute, {{TAG:000E:0006:1800530070006F0072007400730066007200650075006E0064001C00530070006F0072007400730066007200650075006E00640069006E00}}!
{{TAG:0003:0020:}}An so 'nem Tag sollte man immer
was im Leben umkrempeln!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Ändern wir deinen Trainingsplan!","Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Bugün doğum günün, değil mi?
İyi ki doğdun!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Böyle bir günde yeni
bir şeye başlamak gibisi yok!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Haydi
o zaman! Yeni bir antrenman
türüne başlıyoruz!"
6,007,"{{TAG:0003:0020:}}Howdy, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
Happy birthday!{{TAG:0000:0004:}}{{TAG:0003:0000:}}I know your birthday is on the 29th,
but it's not a leap year, so let's
celebrate it a day earlier!
{{TAG:0003:0015:}}I put all my feelings into a letter and
sent it to you!{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} Please take some
time to read it,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0020:}}¿Qué tal, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
¡Feliz cumpleaños!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Ya sé que tu cumpleaños es el día
29, pero no es año bisiesto, ¡así que
habrá que celebrarlo un día antes!
{{TAG:0003:0015:}}He sudado, pero no para entrenar,
sino para escribir una carta decente.
Ya te la he enviado.
{{TAG:0003:0026:}}Cuando la recibas, ¡espero que
la leas con la misma atención que
le he puesto yo escribiéndola!","{{TAG:0003:0020:}}Yo {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} joyeux anniversaire !{{TAG:0000:0004:}}{{TAG:0003:0000:}}Bon, je sais qu'il tombe le 29, mais
comme il n'y en a pas cette année,
on improvise !
{{TAG:0003:0015:}}Je t'ai écrit une lettre en couchant
sur le papier tout le bien que je
pense de toi.{{TAG:0000:0004:}}{{TAG:0003:0026:}}J'espère qu'elle te fera plaisir,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0020:}}Ciao, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
Tanti auguri!{{TAG:0000:0004:}}{{TAG:0003:0000:}}So che il tuo compleanno è il 29,
ma quest'anno non è bisestile,
quindi festeggiamo un giorno prima!
{{TAG:0003:0015:}}Ho pensato a tutto quello che
ti volevo dire e ti ho scritto
una lettera!{{TAG:0007:0000:28000000}}
{{TAG:0003:0026:}}Mi raccomando, leggila,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0020:}}Hey ho, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
Alles Gute zum Geburtstag!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Ich weiß, dass du am 29. Geburtstag
feierst und es dieses Jahr keinen 29.
gibt{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0021:}}Also feiern wir ihn früher!
{{TAG:0003:0015:}}Ich hab dir 'nen schmalzigen Brief
geschickt.{{TAG:0007:0000:14000000}}{{TAG:0003:0026:}} Du solltest ihn unbedingt
lesen,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Selam, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} İyi ki doğdun!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Doğum
gününün 29'unda olduğunu biliyorum
ama bu yıl artık yıl değil; o yüzden bir gün
erkenden kutlayalım! {{TAG:0003:0015:}}Tüm duygularımı
mektuba döküp sana yolladım!{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} Vakit bulup
oku, {{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
7,008,"{{TAG:0003:0020:}}I know it's a day early, but happy
birthday!{{TAG:0000:0004:}}{{TAG:0003:0001:}}You're the star today! I hope lots of
people celebrate with you!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Ya sé que es un día antes de
tiempo, pero... ¡feliz cumpleaños!{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Hoy tú eres la estrella!
¡Espero que un montón de gente
lo celebre contigo, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Je sais que je m'y prends un jour en
avance, mais je voulais te souhaiter
un très bon anniversaire !{{TAG:0000:0004:}}{{TAG:0003:0001:}}T'es la star du jour ! Profites-en
bien, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0020:}}So che il tuo compleanno è domani,
ma ti faccio gli auguri oggi!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Sei la star della giornata! Spero che
ti festeggeranno in tanti!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Es kommt jetzt 'nen Tag zu früh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Aber alles Gute zum Geburtstag!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Du bist heute mein Star!{{TAG:0007:0000:14000000}}
Lass dich ordentlich feiern!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Bir gün erken ama iyi ki doğdun!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Bugünün
yıldızı sensin! Umarım herkes seni
kutlar! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0020:}}Yo, {{TAG:0005:0008:}}! This year is a leap
year, and that only comes once
every four years, right?
{{TAG:0003:0001:}}We get to celebrate your birthday
on the actual day!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Happy birthday! I've also sent you a
letter, so be sure to read it!{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}¡Oye, {{TAG:0005:0008:}}! Estamos en
año bisiesto, y eso solo pasa
cada cuatro años, ¿no?
{{TAG:0003:0001:}}¡Por una vez podemos celebrar
tu cumpleaños en el día que toca!{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Feliz cumpleaños! También te he
mandado una carta, ¡así que espero
que la leas,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Yo {{TAG:0005:0008:}} ! On est dans une
année bissextile, c'est bien ça ?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ça veut dire qu'on peut fêter ton
anniversaire à la bonne date !{{TAG:0000:0004:}}{{TAG:0003:0005:}}Bon anniversaire ! En fait, je t'ai
déjà envoyé une lettre, prends le
temps de la lire, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0020:}}Ehilà, {{TAG:0005:0008:}}! Quest'anno è
bisestile. Dovrai aspettarne altri
quattro per il prossimo!
{{TAG:0003:0001:}}Per ora pensa a festeggiare!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Buon compleanno! Ti ho anche
spedito una lettera! Leggila appena
puoi, {{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hey ho, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}Freu dich! {{TAG:0007:0000:14000000}}Wir haben ein Schaltjahr!
{{TAG:0007:0000:14000000}}So was gibt's nur alle vier Jahre.
{{TAG:0003:0001:}}Dieses Jahr können wir an deinem
richtigen Geburtstag feiern!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Alles Gute!{{TAG:0007:0000:14000000}} Ich hab dir auch 'nen
Brief geschrieben. {{TAG:0007:0000:14000000}}Lies ihn, {{TAG:0007:0000:08000000}}aber
erzähl nichts weiter!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0020:}}Hey, {{TAG:0005:0008:}}! Bu yıl artık yıl ve dört
yılda bir geliyor, değil mi? {{TAG:0003:0001:}}Doğum
gününü tam gününde kutlayabiliyoruz!{{TAG:0000:0004:}}{{TAG:0003:0005:}}İyi ki
doğdun! Sana bir mektup da yolladım,
okumayı unutma!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:000B:}}February 29th{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}It's amazing you
were born on a leap year!{{TAG:0000:0004:}}{{TAG:0003:002C:}}Today is a memorable day, as you
get to celebrate it on the actual
day of your birth!{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}I wish you all the best,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!","{{TAG:0003:000B:}}29 de febrero{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}¡Es increíble que
hayas nacido en un año bisiesto!{{TAG:0000:0004:}}{{TAG:0003:002C:}}Hoy es un día para recordar,
¡porque por una vez puedes celebrar
tu cumpleaños el día que toca!{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}¡Te deseo lo mejor,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!","{{TAG:0003:000B:}}{{TAG:000E:0006:04004E00E90006004E00E9006500}} un 29 février{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}C'est dingue
quand même !{{TAG:0000:0004:}}{{TAG:0003:002C:}}Ça fait d'aujourd'hui une journée
quatre fois plus mémorable !{{TAG:0000:0004:}}{{TAG:0003:0001:}}Je te souhaite tout le bonheur du
monde,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}} !","{{TAG:0003:000B:}}Oggi è il 29 febbraio{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}È incredibile
che tu sia nat{{TAG:000E:0006:02006F0002006100}} in un anno bisestile!{{TAG:0000:0004:}}{{TAG:0003:002C:}}Questa giornata va ricordata,
perché è proprio quella del
tuo compleanno!{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Ti auguro il meglio,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0026:}}Ist irgendwie extrem cool, {{TAG:0007:0000:08000000}}dass du
am 29. Februar Geburtstag hast!{{TAG:0000:0004:}}{{TAG:0003:002C:}}Und noch cooler ist, {{TAG:0007:0000:08000000}}dass du dieses
Jahr sogar am deinem wirklichen
Geburtstag feiern kannst!
{{TAG:0003:0001:}}Ich wünsch dir nur das Beste,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}!","{{TAG:0003:000B:}}29 Şubat{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Artık yılda doğmuş olman
acayip!{{TAG:0000:0004:}}{{TAG:0003:002C:}}Bugün gerçek doğum gününü
kutlayabildiğin unutulmaz bir gün!{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Her
şey gönlünce olsun, {{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!"
