index,key,F,G,I,S,U,TR
0,MID_様子_サイリ_前_通殿,"Si la question n'est point indiscrète, que
faites-vous pendant votre temps libre ?","Wie verbringt Ihr Eure Freizeit im Lager,
wenn ich fragen darf?","Se non sono indiscreta, vorrei parlare
di come passare il tempo libero.","Durante mi tiempo libre intento mejorar la
habitabilidad de este campamento.","If I may ask, how do you spend
your idle hours in camp?","Sormam gerekirse kampta boş
zamanlarınızı nasıl geçiriyorsunuz?"
1,MID_様子_サイリ_前,"Si la question n'est point indiscrète, que
faites-vous pendant votre temps libre ?","Wie verbringt Ihr Eure Freizeit im Lager,
wenn ich fragen darf?","Se non sono indiscreta, vorrei parlare
di come passare il tempo libero.","Durante mi tiempo libre intento mejorar la
habitabilidad de este campamento.","If I may ask, how do you spend
your idle hours in camp?","Sormam gerekirse kampta boş
zamanlarınızı nasıl geçiriyorsunuz?"
2,MID_様子_サイリ_前_特殊,"Que fais-tu lorsque tu ne te bats pas sur
le champ de bataille ?","Bruder, wie verbringst du deine Zeit, wenn
das Kämpfen vorüber ist?","Fratello, come passi il tempo quando
non ti dedichi alle attività belliche?","Hermano, ¿a qué te dedicas cuando
no estás batallando?","Brother, how do you pass the hours
when the fighting has subsided?","Kardeşim, kavgaların dindiği
saatleri nasıl geçiriyorsun?"
3,MID_様子_サイリ_後_通殿,"En ce qui me concerne, je sers du mieux
que je peux la Coalition d'Ylisse.","Für die ylisseanische Armee tue ich,
was ich kann. Das schulde ich ihnen.","Cerco di rendermi sempre utile all'esercito
ylissiano. È il minimo che possa fare.","Yo hago cualquier tarea que se me encargue
para ayudar al ejército de Ylisse.","I perform what services I can for the
Ylissean army. 'Tis the least I can do.","Ylisse ordusuna elimden geldiğince
hizmet ederim. Bari bunu yapayım."
4,MID_様子_サイリ_後_特殊,"En ce qui me concerne, j'aide Chrom du
mieux que je peux. Je lui dois bien ça.","Ich helfe Chrom, wie ich nur kann. Das
schulde ich ihm.","Aiuto Chrom in tutti i modi possibili.
È il minimo che possa fare.","Hago todo lo que está en mi mano para
ayudar a Chrom. ¿Qué menos?","I aid Chrom in what ways I can.
'Tis the very least I can do.","Chrom'a elimden geldiğince yardımcı
oluyorum. En azından bunu yapabilirim."
5,MID_様子_サイリ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_サイリ_前_親子_子,"Linfan, vous ne vous sentez pas bien ? Vous
avez l'air fatiguée.","Linfan, geht es dir nicht gut?
Du siehst erschöpft aus.","Linfan, non ti senti bene?
Hai l'aria affaticata.","Linfan, ¿te encuentras bien?
Pareces fatigada.","Morgan, are you unwell? You have
an air of fatigue about you.","Morgan, iyi misin? Biraz
yorgun görünüyorsun."
7,MID_様子_サイリ_後_親子_子,"N'ayez crainte. Il n'est point d'épreuve que
je ne puisse surmonter par moi-même.","Keine Sorge! Es ist nichts, womit ich nicht
allein zurecht kommen würde.","Non crucciarti per me! Non è nulla
che non possa risolvere da sola.","¡No te preocupes! Sé cómo superar
obstáculos por mi misma.","Worry not! I've no troubles I cannot
overcome on my own.","Endişelenme! Tek başıma üstesinden
gelemeyeceğim hiçbir sorunum yok."
8,MID_様子_サイリ_前_恋人,"Je dois admettre que votre héroïsme ne me
laisse pas indifférente, $Np.","Zugegeben, $Np, du hast mein
Herz mit deinem Mut erneut gestohlen.","Devo confessarti, $Np, che con il
tuo eroismo mi hai nuovamente conquistata.","Te confieso, $Np, que tu
valentía me ha arrebatado el corazón.","I must confess, $Np, you have
stolen my heart anew with your bravery.","İtiraf etmeliyim ki $Np,
cesaretinle kalbimi yeniden çaldın."
9,MID_様子_サイリ_後_恋人,"Vous prononcez ces mots avec une telle
nonchalance. Je ne suis pas habituée à cela.","Musst du mit solchen Worten um dich
werfen? Schmeichelei bin ich nicht gewohnt.","Devi essere più oculato nella scelta delle
parole. Non sono avvezza ai complimenti.","¿Cómo osas susurrar tan tiernas palabras?
No estoy acostumbrada a tales halagos.","Fie! Must you toss those words about so
idly? I am not used to such compliments.","Of! Bu sözleri öyle gelişigüzel atma!
Böyle iltifatlara alışık değilim."
