index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,AbilityDropButtonTitle,"Drop
Ability","Abandon
pouvoir","Power
ablegen","Rimuovi
abilità","⟦MSBT:0E000000020002006000⟧Soltar
habilidad⟦MSBT:0E000000020002006400⟧","능력
버리기","Yeteneği
Bırak"
1,PauseButtonTitle,Pause,Pause,Pause,Pausa,⟦MSBT:0E000000020002006000⟧Pausa⟦MSBT:0E000000020002006400⟧,일시 정지,Mola
2,TiltResetButtonTitle,⟦MSBT:0E000000020002006200⟧Reset Tilt⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002005A00⟧Réinitialiser⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002005A00⟧inclinaison⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002004F00⟧Kipp-Funktion⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002004F00⟧zurücksetzen⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E000000020002005D00⟧Reimposta⟦MSBT:0E000000020002006400⟧,Restaurar,"기울기
리셋",⟦MSBT:0E000000020002006200⟧Eğimi Sıfırla⟦MSBT:0E000000020002006400⟧
3,GuideBoardFirstSunStone,"The ⟦MSBT:0E00000003000400FF4600FF⟧power of the sun⟦MSBT:0E00000003000400000000FF⟧ lies within!
Find as many as you can, and 
open up the pathway to the boss!","⟦MSBT:0E000000020002005B00⟧Elles renferment le ⟦MSBT:0E00000003000400FF4600FF⟧pouvoir du soleil ⟦MSBT:0E00000003000400000000FF⟧!
Ramassez-en le plus possible
pour avoir accès aux boss.⟦MSBT:0E000000020002006400⟧","Er enthält die ⟦MSBT:0E00000003000400FF4600FF⟧Kraft der Sonne⟦MSBT:0E00000003000400000000FF⟧!
Finde so viele, wie du kannst, und
schalte den Weg zum Boss frei!","⟦MSBT:0E000000020002005800⟧Le Pietre racchiudono il ⟦MSBT:0E00000003000400FF4600FF⟧potere del Sole⟦MSBT:0E00000003000400000000FF⟧!
Collezionane quante più possibile per
aprire la strada che conduce ai boss!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006300⟧Estas piedras contienen el ⟦MSBT:0E00000003000400FF4600FF⟧poder
del sol⟦MSBT:0E00000003000400000000FF⟧. ¡Reúne tantas como puedas
para abrirte camino hasta el jefe!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4600FF⟧태양의 파워⟦MSBT:0E00000003000400000000FF⟧가 모여 있다!
찾고 모아서
⟦MSBT:0E00000003000400FF4600FF⟧보스로 가는 길⟦MSBT:0E00000003000400000000FF⟧을 열어 보자!","İçinde ⟦MSBT:0E00000003000400FF4600FF⟧güneşin gücü⟦MSBT:0E00000003000400000000FF⟧ var!
Bulabildiğin kadar topla ve
patrona giden yolu aç!"
4,AssistStarWindowItemTitle,⟦MSBT:0E000000020002005700⟧Bandana Waddle Dee gave you an item!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004E00⟧Bandana Waddle Dee vous a donné un objet !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Der Waddle-Dee-Assistent gibt dir ein Item!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Waddle Dee aiutante ti ha regalato un oggetto!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005100⟧¡Waddle Dee pañuelo te ofrece un objeto!⟦MSBT:0E000000020002006400⟧,반다나 웨이들 디가 아이템을 준다!,⟦MSBT:0E000000020002005700⟧Bandanalı Waddle Dee sana eşya verdi!⟦MSBT:0E000000020002006400⟧
5,AssistStarWindowItemText,"⟦MSBT:0E000000020002005A00⟧You'll get better
items from ⟦MSBT:0E00000003000400FFDE00FF⟧Bandana
Waddle Dee ⟦MSBT:0E00000003000400000000FF⟧if you
use ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00000003000400FFDE00FF⟧Bandana Waddle Dee ⟦MSBT:0E00000003000400000000FF⟧vous
donnera de meilleurs objets si
vous utilisez ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Verwendest du
⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧, erhältst du
bessere Items vom
⟦MSBT:0E00000003000400FFDE00FF⟧Waddle-Dee-Assistenten⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Se attivi ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧,
otterrai oggetti migliori
da ⟦MSBT:0E00000003000400FFDE00FF⟧Waddle Dee aiutante⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧¡⟦MSBT:0E00000003000400FFDE00FF⟧Waddle Dee pañuelo
⟦MSBT:0E00000003000400000000FF⟧te dará mejores objetos
si activas ⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FFDE00FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧을 하면
웨이들 디가 주는 아이템이
⟦MSBT:0E00000003000400FFDE00FF⟧좋은 아이템⟦MSBT:0E00000003000400000000FF⟧으로 바뀐다!","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Bandanalı
Waddle Dee⟦MSBT:0E00000003000400000000FF⟧'den daha iyi
eşyalar almak için
⟦MSBT:0E00000003000400FFDE00FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ kullan!⟦MSBT:0E000000020002006400⟧"
6,AssistStarWindowTouchTitle,The Assist Star is a support item!,⟦MSBT:0E000000020002004E00⟧L'étoile assistance peut vous aider à guérir !⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Der Hilfsvitalstern stärkt dich!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧La stella aiuto è un comodo salvavita!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧¡La estrella de ayuda es muy útil!⟦MSBT:0E000000020002006400⟧,서포트 아이템은 어시스트 스타!,Yardım Yıldızı bir destek eşyasıdır!
7,AssistStarWindowTouchText,"⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Assist Stars⟦MSBT:0E00000003000400000000FF⟧ can be
used by ⟦MSBT:0E00000003000400FFDE00FF⟧touching
⟦MSBT:0E00000003000400000000FF⟧the bottom screen
or pressing ⟦MSBT:0E00010003000000⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Utilisez l'⟦MSBT:0E00000003000400FFDE00FF⟧étoile⟦MSBT:0E00000003000400000000FF⟧ ⟦MSBT:0E00000003000400FFDE00FF⟧assistance ⟦MSBT:0E00000003000400000000FF⟧en
⟦MSBT:0E00000003000400FFDE00FF⟧touchant⟦MSBT:0E00000003000400000000FF⟧ l'écran tactile ou en
appuyant sur ⟦MSBT:0E00010003000000⟧⟦MSBT:0E000000020002004B00⟧ ⟦MSBT:0E000000020002005500⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Nutze ⟦MSBT:0E00000003000400FFDE00FF⟧Hilfsvitalsterne⟦MSBT:0E00000003000400000000FF⟧,
indem du den
Touchscreen ⟦MSBT:0E00000003000400FFDE00FF⟧berührst
⟦MSBT:0E00000003000400000000FF⟧oder ⟦MSBT:0E00010003000000⟧ drückst.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Le ⟦MSBT:0E00000003000400FFDE00FF⟧stelle aiuto⟦MSBT:0E00000003000400000000FF⟧ possono
essere usate ⟦MSBT:0E00000003000400FFDE00FF⟧toccando
⟦MSBT:0E00000003000400000000FF⟧lo schermo inferiore o
premendo ⟦MSBT:0E00010003000000⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Para usar una ⟦MSBT:0E00000003000400FFDE00FF⟧estrella
de ayuda⟦MSBT:0E00000003000400000000FF⟧, ⟦MSBT:0E00000003000400FFDE00FF⟧tócala
⟦MSBT:0E00000003000400000000FF⟧en la pantalla táctil
o pulsa ⟦MSBT:0E00010003000000⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FFDE00FF⟧어시스트 스타⟦MSBT:0E00000003000400000000FF⟧는
아래 화면을 ⟦MSBT:0E00000003000400FFDE00FF⟧터치⟦MSBT:0E00000003000400000000FF⟧(또는 ⟦MSBT:0E00010003000000⟧)해서
언제든지 사용할 수 있다!","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FFDE00FF⟧Yardım Yıldızları⟦MSBT:0E00000003000400000000FF⟧
alt ekrana ⟦MSBT:0E00000003000400FFDE00FF⟧dokunarak
⟦MSBT:0E00000003000400000000FF⟧veya ⟦MSBT:0E00010003000000⟧ tuşuna basarak
kullanılabilir.⟦MSBT:0E000000020002006400⟧"
8,BossNameWhispyflowers,Flowery Woods,Whispy Flower,Blumenblütenbaum,Flowery Woods,Fronda Florida,위스피 플라워즈,Çiçekli Ağaç
9,BossNameWhispyflowersEx,Flowery Woods DX,Whispy Flower DX,⟦MSBT:0E000000020002006300⟧Blumenblütenbaum DX⟦MSBT:0E000000020002006400⟧,Flowery Woods DX,Fronda Florida DX,위스피 플라워즈 DX,Çiçekli Ağaç DX
