entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000F:}}Hey!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}How'd you get in here?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}I don't care if you ARE the
mayor,{{TAG:0007:0000:08000000}} this place is off limits!
{{TAG:0003:0006:}}NO EXCEPTIONS!","{{TAG:0003:000F:}}¡Eh, tú!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}¡¿Cómo has entrado?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}¡Aquí no puedes estar, por mucho
que seas {{TAG:000E:0006:040065006C0004006C006100}} alcald{{TAG:000E:0006:020065000600650073006100}}! ¡No se hacen
excepciones!","{{TAG:0003:000F:}}Waouh !{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}Comment t'es entré{{TAG:000E:0006:000002006500}} ici ?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Je m'en fiche pas mal que tu sois
maire ou pas,{{TAG:0007:0000:08000000}} interdiction d'entrer !
{{TAG:0003:0006:}}AUCUNE EXCEPTION !","{{TAG:0003:000F:}}Ehi!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}Come hai fatto a entrare?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Non mi interessa se sei il sindaco,{{TAG:0007:0000:08000000}}
qui non può entrare nessuno!
{{TAG:0003:0006:}}E NON SI FANNO ECCEZIONI!","{{TAG:0003:000F:}}Wie bist du hier reingekommen?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Ist mir egal, dass du unsere
Bürgermeisterlichkeit bist!{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}KEINE ZIVILISTEN!","{{TAG:0003:000F:}}Hey!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}Sen buraya nasıl girdin?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}
Başkan olman umurumda değil,{{TAG:0007:0000:08000000}}
burası yasak bölge! {{TAG:0003:0006:}}İSTİSNASI YOK!"
1,002,"{{TAG:0003:000F:}}Hey!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}How'd you get in here?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Don't you know this place
is off limits! {{TAG:0003:0006:}}NO EXCEPTIONS!","{{TAG:0003:000F:}}¡Oye!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}¡¿Por dónde te has colado?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}¡Está prohibida la entrada aquí!
{{TAG:0003:0006:}}¡Creo que te lo he dicho ya!","{{TAG:0003:000F:}}Hé !{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}Comment t'es arrivé{{TAG:000E:0006:000002006500}} ici ?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}C'est interdit d'entrer ici, t'es pas
au courant ? {{TAG:0003:0006:}}Et y'a pas
d'exceptions !","{{TAG:0003:000F:}}Ehi!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}Come hai fatto a entrare?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Non lo sai che qui non
può entrare nessuno?
{{TAG:0003:0006:}}E NON SI FANNO ECCEZIONI!","{{TAG:0003:000F:}}Wie bist du hier reingekommen?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hier darf niemand rein!{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}SCHON GAR KEINE ZIVILISTEN!","{{TAG:0003:000F:}}Hey!{{TAG:0007:0000:0F000000}} {{TAG:0003:0006:}}Sen buraya nasıl girdin?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}
Buranın yasak olduğunu bilmiyor
musun?! {{TAG:0003:0006:}}İSTİSNASI YOK!"
2,003,"{{TAG:0003:0023:}}Look, kid, this is a place where
PEOPLE do WORK!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}It's not some playpen {{TAG:0003:0028:}}for you to
walk in and drool on everything!","{{TAG:0003:0023:}}¡Eh! ¡Estamos trabajando aquí!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}¡No puedes venir cada vez que
te apetezca {{TAG:0003:0028:}}para pasar el rato!","{{TAG:0003:0023:}}Écoute-moi bien, y'a des gens qui
TRAVAILLENT ici, c'est sérieux !{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}C'est pas une cour de{{TAG:0003:0028:}} récréation !","{{TAG:0003:0023:}}Senti un po', ragazzin{{TAG:000E:0006:02006F0002006100}}!
Qui si lavora, capito?{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}Questo non è certo il posto adatto
a te.{{TAG:0003:0028:}} Torna pure ai tuoi giochini, eh?","{{TAG:0003:0023:}}Hier wird nämlich gearbeitet!{{TAG:0007:0000:14000000}}
Hart gearbeitet!{{TAG:0000:0004:}}Das ist kein Spielplatz,{{TAG:0003:0028:}} wo du
rumlaufen und alles antatschen
kannst!","{{TAG:0003:0023:}}Bak ufaklık, burası insanların
ÇALIŞTIĞI bir yer!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}} İçeri dalıp
her şeyi kurcalayacağın {{TAG:0003:0028:}}bir oyun
parkı değil!"
3,004,"{{TAG:0003:0006:}}Ya know what this job takes?{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}I gotta stay alert! Be ready to go
any time of the day or night,{{TAG:0007:0000:08000000}} any
day of the year!{{TAG:0007:0000:0F000000}}
Ya know what I do on my birthday?{{TAG:0007:0000:0F000000}}
THIS. I WORK.{{TAG:0007:0000:0F000000}}{{TAG:0000:0004:}}{{TAG:0003:0020:}}At the same time, {{TAG:0007:0000:08000000}}I gotta keep
my mind and body relaxed.{{TAG:0000:0004:}}{{TAG:0003:0000:}}It helps me be all cool cucumber
for when things DO go down.
{{TAG:0003:0006:}}Which they WILL!
{{TAG:0003:0015:}}I've spent 30 whole years {{TAG:0003:0021:}}perfectin'
that delicate balance!{{TAG:0007:0000:0F000000}} It's an art!","{{TAG:0003:0006:}}¡Este puesto exige dedicación plena
y nervios de acero!{{TAG:0007:0000:0F000000}} Algo que solo se
consigue con entrenamiento de élite.{{TAG:0000:0004:}}¡La alarma puede saltar a cualquier
hora,{{TAG:0007:0000:08000000}} de día o de noche,{{TAG:0007:0000:08000000}} cualquier
día del año!{{TAG:0007:0000:08000000}} ¡Incluso los festivos!
¿Sabes dónde paso mi cumpleaños?{{TAG:0007:0000:0F000000}}
¡Aquí! ¡Trabajando! ¡Sin tregua!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Por otro lado, {{TAG:0007:0000:08000000}}también se necesita
una mente fría y gran autocontrol{{TAG:0007:0000:0F000000}}
para manejar las situaciones límite.{{TAG:0000:0004:}}{{TAG:0003:0015:}}¡Llevo 30 años{{TAG:0003:0021:}} perfeccionando este
equilibrio de cuerpo y mente!{{TAG:0007:0000:0F000000}} No es
un trabajo cualquiera. ¡Esto es arte!","{{TAG:0003:0006:}}Tu n'as pas idée de ce qu'il faut
pour faire ce métier.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}Je dois rester sur le qui-vive pour
être prêt à travailler à n'importe
quel moment du jour ou de la nuit.{{TAG:0007:0000:0F000000}}
Tu sais ce que je fais le jour de
mon anniversaire ?{{TAG:0007:0000:0F000000}} JE TRAVAILLE.{{TAG:0007:0000:0F000000}}{{TAG:0000:0004:}}{{TAG:0003:0020:}}Et tout ça en gardant mon esprit et
mon corps parfaitement relaxés.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Ça m'aide à rester alerte pour les
moments où c'est vraiment l'enfer.
{{TAG:0003:0006:}}C'est-à-dire TOUT LE TEMPS.
{{TAG:0003:0015:}}J'ai passé les 30 dernières années {{TAG:0003:0021:}}à
parfaire cet équilibre entre le calme
et la colère.{{TAG:0007:0000:0F000000}} C'est un art !","{{TAG:0003:0006:}}Lo sai cosa ci vuole per
far bene questo lavoro?{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}Bisogna stare sempre all'erta!
Sempre pronti a partire a qualsiasi
ora del giorno{{TAG:0007:0000:08000000}} e della notte!{{TAG:0007:0000:0F000000}}
E anche in qualsiasi giorno dell'anno!
Lo sai cosa faccio il giorno del mio
compleanno?{{TAG:0007:0000:0F000000}} Lavoro! Ecco cosa!{{TAG:0007:0000:0F000000}}
{{TAG:0003:0020:}}Allo stesso tempo, {{TAG:0007:0000:08000000}}devo tenere
la mente e il corpo rilassati.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Devo mantenere la calma per
quando le cose si fanno serie.
{{TAG:0003:0006:}}E le cose si fanno SEMPRE serie!
{{TAG:0003:0015:}}Sono 30 anni che {{TAG:0003:0021:}}lavoro per
perfezionare questo equilibrio!{{TAG:0007:0000:0F000000}}
È quasi una forma d'arte ormai!","{{TAG:0003:0006:}}Weißt du, was das hier für eine
Knochenarbeit ist?{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}Ich muss immer wachsam sein!{{TAG:0007:0000:14000000}}
Jederzeit kann hier der Ernstfall
eintreten, ob Tag oder Nacht!
Weißt du, was ich jedes Jahr an
meinem Geburtstag mache?{{TAG:0007:0000:0F000000}}
ICH ARBEITE!
{{TAG:0003:0020:}}Gleichzeitig muss ich Körper und
Geist entspannt halten.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Das hilft, wenn's hier mal so richtig
rundgeht!{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}Und glaub mir, das
passiert immer noch viel zu oft.
{{TAG:0003:0015:}}Ich habe 30 Jahre gebraucht, diese
Balance zu finden!{{TAG:0003:0021:}} {{TAG:0007:0000:14000000}}Das ist eine
regelrechte Kunst!","{{TAG:0003:0006:}}Bu iş ne ister, biliyor musun?{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}
Her an tetikte olmalıyım! Yılın
her günü,{{TAG:0007:0000:08000000}} gece gündüz fark
etmeden hazır beklerim!{{TAG:0007:0000:0F000000}} Doğum
günümde ne yapıyorum sanıyorsun?{{TAG:0007:0000:0F000000}}
BUNU. ÇALIŞIYORUM.{{TAG:0007:0000:0F000000}}{{TAG:0000:0004:}}{{TAG:0003:0020:}} Ama aynı
zamanda{{TAG:0007:0000:08000000}} zihnimi de bedenimi de
rahat tutmalıyım.{{TAG:0000:0004:}}{{TAG:0003:0000:}} Olay
çıktığında soğukkanlı kalmanın
yolu bu. {{TAG:0003:0006:}}Çünkü MUTLAKA çıkar! {{TAG:0003:0015:}}
Tam 30 yıldır{{TAG:0003:0021:}} bu hassas dengeyi
kusursuzlaştırıyorum!{{TAG:0007:0000:0F000000}} Sanat bu, sanat!"
4,005,"Sometimes part of that is chillin'
out watchin' TV!{{TAG:0007:0000:1E000000}} {{TAG:0003:0006:}}And YOU'RE
gettin' in the way!","Relajarme y distraerme viendo la
tele es también parte del trabajo.{{TAG:0007:0000:1E000000}}
{{TAG:0003:0006:}}¡Y tú no me estás dejando hacerlo!","Regarder la télé pour me relaxer
fait partie de mon boulot.{{TAG:0007:0000:1E000000}} {{TAG:0003:0006:}}Tu vois
pas que tu DÉRANGES ?","E a volte questa forma d'arte
consiste nel rilassarsi e guardare
la TV!{{TAG:0007:0000:1E000000}} {{TAG:0003:0006:}}E TU me lo stai impedendo!","Manchmal seh ich einfach nur fern,{{TAG:0007:0000:08000000}}
lasse die Gedanken schweifen!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0006:}}Und DU störst mich dabei!","Bazen rahatlamak için televizyon
izlemem gerekir!{{TAG:0007:0000:1E000000}} {{TAG:0003:0006:}}Sen de tam
önümde dikiliyorsun!"
5,006,"{{TAG:0003:0006:}}Don't hang around forever.{{TAG:0007:0000:08000000}}
Go on! Get outta here!","{{TAG:0003:0006:}}Deja de dar vueltas por aquí sin
hacer nada.{{TAG:0007:0000:08000000}} ¡Lárgate de una vez!","{{TAG:0003:0006:}}Fais-moi plaisir, arrête de tourner
en rond{{TAG:0007:0000:08000000}} et sors d'ici !","{{TAG:0003:0006:}}Forse non mi sono spiegato?{{TAG:0007:0000:08000000}}
Devi andartene! Sciò! Pussa via!","{{TAG:0003:0006:}}Bist du immer noch hier?{{TAG:0007:0000:14000000}}
Husch, {{TAG:0007:0000:08000000}}husch, {{TAG:0007:0000:08000000}}raus mit dir!","{{TAG:0003:0006:}}Burada sonsuza kadar oyalanma.{{TAG:0007:0000:08000000}}
Hadi! Çık dışarı!"
6,007,"{{TAG:0003:0006:}}Don't go fiddlin' about with
anything, ya hear?{{TAG:0007:0000:08000000}} Keep your
hands to yourself!","{{TAG:0003:0006:}}No toques nada de lo que veas
por aquí.{{TAG:0007:0000:08000000}} ¡Las manitas quietas!","{{TAG:0003:0006:}}T'amuse pas à toucher à quoi que
ce soit, OK ?{{TAG:0007:0000:08000000}} Garde tes mains dans
tes poches !","{{TAG:0003:0006:}}Vedi di non toccare niente, hai
capito?{{TAG:0007:0000:08000000}} Tieni giù quelle manacce!","{{TAG:0003:0006:}}Fass hier ja nix an! {{TAG:0007:0000:14000000}}Halte deine
Hände so, dass ich sie jederzeit
sehen kann!","{{TAG:0003:0006:}}Sakın bir şeyleri kurcalayayım
deme, duydun mu?{{TAG:0007:0000:08000000}} Ellerini
kendine sakla!"
7,008,"{{TAG:0003:0028:}}You're not gonna find nothin',{{TAG:0007:0000:08000000}}
so quit snoopin' around!","{{TAG:0003:0028:}}Por aquí no vas a encontrar nada.{{TAG:0007:0000:08000000}}
¡Deja de curiosear de una vez!","{{TAG:0003:0028:}}Y'a rien à voir par ici,{{TAG:0007:0000:08000000}} on circule.
Zou, du balai !","{{TAG:0003:0028:}}Guarda che non troverai nulla,{{TAG:0007:0000:08000000}}
quindi vai a ficcare il naso altrove!","{{TAG:0003:0028:}}Hier gibt's nix, {{TAG:0007:0000:08000000}}also hör auf, hier
herumzustöbern!","{{TAG:0003:0028:}}Burada bulacağın bir şey yok,{{TAG:0007:0000:08000000}} o
yüzden burnunu sokmayı bırak!"
8,009,,,,,,
9,010,,,,,,
