entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}I'm signing up for a 24-hour dance
marathon,{{TAG:0007:0000:14000000}} so I need to build up my
stamina!{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Any brilliant suggestions?
{{TAG:0003:0027:}}I mean, {{TAG:0007:0000:05000000}}you {{TAG:0007:0000:0F000000}}ARE the most physically
fit guy in town, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Me he apuntado a un maratón de
baile de 24 horas.{{TAG:0007:0000:14000000}} ¿Cómo debería
entrenarme para aguantar?
{{TAG:0003:0027:}}Tú eres el deportista del pueblo,
seguro que conoces algún truco,
{{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Tu devineras jamais !{{TAG:0007:0000:0A000000}} {{TAG:0003:000D:}}Je me suis
inscrite pour un marathon de danse
de 24 heures !!!
{{TAG:0003:0026:}}Il faut que tu m'aides à travailler
mon endurance...{{TAG:0007:0000:05000000}} sinon j'ai aucune
chance,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Parteciperò a una supermaratona
di ballo che durerà 24 ore. {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Come
faccio a non restare senza fiato?
{{TAG:0003:0027:}}Cioè, vorrei una cifra che mi dessi
qualche consiglio. {{TAG:0007:0000:0F000000}}Tu sei sempre
così in forma, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Also, {{TAG:0007:0000:0A000000}}ich hab ja vor, bei einem
24-Stunden-Tanzmarathon
mitzumachen...
Dafür sollte ich aber noch meine
Ausdauer trainieren! {{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Hast du da
irgendwelche genialen Tipps?
{{TAG:0003:0027:}}Ich mein, {{TAG:0007:0000:0A000000}}du bist schließlich der
fitteste Kerl hier in der Stadt,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}24 saatlik dans maratonuna yazılıyorum,{{TAG:0007:0000:14000000}}
o yüzden dayanıklılığımı artırmam lazım!{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}
Parlak bir fikrin var mı?
{{TAG:0003:0027:}}Sonuçta {{TAG:0007:0000:05000000}}sen {{TAG:0007:0000:0F000000}}kasabanın en formda
erkeğisin, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}"
1,002,{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}}
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}A dance marathon? {{TAG:0007:0000:14000000}}That's a great
way to stay in shape! {{TAG:0007:0000:0A000000}}I'll have you
dancing the night away!
{{TAG:0003:000B:}}First, {{TAG:0007:0000:05000000}}you need to start out with
a {{TAG:0007:0000:0A000000}}45-minute run every morning.{{TAG:0007:0000:1E000000}}{{TAG:0003:0015:}}
Then stretch that out to {{TAG:0007:0000:05000000}}12 hours!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}¿Un maratón de baile? {{TAG:0007:0000:14000000}}¡Qué buena
idea! {{TAG:0007:0000:0A000000}}¡Así puedes bailar toda la
noche y ponerte en forma a la vez!
{{TAG:0003:000B:}}Primero, {{TAG:0007:0000:05000000}}tienes que empezar
corriendo 45 minutos cada mañana.{{TAG:0007:0000:1E000000}}{{TAG:0003:0015:}}
Luego, ¡deberán ser {{TAG:0007:0000:05000000}}12 horas!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Un marathon de danse ?{{TAG:0007:0000:0A000000}} Excellente
idée !{{TAG:0007:0000:0A000000}} Je te préviens, je suis dur
comme coach !
{{TAG:0003:000B:}}Dès demain, {{TAG:0007:0000:05000000}}jogging de 45 minutes
tous les matins !{{TAG:0007:0000:1E000000}} {{TAG:0003:0015:}}Et petit à petit, tu
rallonges jusqu'à 12 heures !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Una maratona di ballo? {{TAG:0007:0000:14000000}}Per tutti
i dorsali, che modo strampalato
di fare esercizio!
{{TAG:0003:000B:}}Se vuoi aumentare il fiato, dovresti
correre almeno 45 minuti al giorno{{TAG:0007:0000:1E000000}}{{TAG:0003:0015:}}
e fare stretching per {{TAG:0007:0000:05000000}}12 ore!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Ein Tanzmarathon? {{TAG:0007:0000:14000000}}Was für 'n toller
Sport! {{TAG:0007:0000:14000000}}Und mit meinem Weltklasse-
Tanztraining tanzt du 'ne Woche!
{{TAG:0003:000B:}}Mach's wie ich! {{TAG:0007:0000:28000000}}Fang mit 'nem 45-
Minuten-Lauf morgens an.{{TAG:0007:0000:1E000000}}{{TAG:0003:0015:}} Und das
erhöhst du auf 12 Stunden am Tag!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Dans maratonu mu? {{TAG:0007:0000:14000000}}Formda kalmanın harika
yolu! {{TAG:0007:0000:0A000000}}Seni sabaha kadar dans ettiririm!
{{TAG:0003:000B:}}Önce{{TAG:0007:0000:05000000}} her sabah {{TAG:0007:0000:0A000000}}45 dakika koşuyla başla.{{TAG:0007:0000:1E000000}}{{TAG:0003:0015:}}
Sonra onu {{TAG:0007:0000:05000000}}12 saate çıkar!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}A dance marathon? {{TAG:0007:0000:14000000}}That's a great
way to stay in shape! {{TAG:0007:0000:0A000000}}I'll have you
dancing the night away!
{{TAG:0003:000B:}}The best way to build up stamina{{TAG:0007:0000:14000000}}
is to dance every single second
you're awake.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Better start now!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}¿Un maratón de baile? {{TAG:0007:0000:14000000}}¡Qué buena
idea para ponerse en forma {{TAG:0007:0000:0A000000}}y bailar
toda la noche de paso!
{{TAG:0003:000B:}}La mejor forma de ganar más
resistencia{{TAG:0007:0000:14000000}} es bailar desde que te
levantas hasta la noche.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} ¡Ya sabes!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Un marathon de danse ?{{TAG:0007:0000:0A000000}} Quelques
conseils de ton coach préféré, et
c'est dans la poche !
{{TAG:0003:000B:}}Le meilleur moyen de t'entraîner,
c'est de commencer à danser{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0003:0015:}}dès
maintenant !{{TAG:0007:0000:14000000}} Et de continuer{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Una maratona di ballo? {{TAG:0007:0000:14000000}}Per tutti
i dorsali, che modo strampalato
di fare esercizio!
{{TAG:0003:000B:}}Per aumentare la resistenza, non
devi fare altro che iniziare a ballare
ora e {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}non fermarti più!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Ein Tanzmarathon? {{TAG:0007:0000:14000000}}Wow!{{TAG:0007:0000:28000000}} {{TAG:0003:001D:}}Das klingt
nach Spaß UND Fitness! {{TAG:0007:0000:14000000}}Klar werd
ich dir dafür Fitnesstipps geben!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Bleib einfach immer in Bewegung.{{TAG:0007:0000:14000000}}
Tanze von morgens bis abends!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Und am besten fängst du gleich
damit an!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Dans maratonu mu? {{TAG:0007:0000:14000000}}Formda kalmanın harika
yolu! {{TAG:0007:0000:0A000000}}Seni sabaha kadar dans ettiririm!
{{TAG:0003:000B:}}Dayanıklılık kazanmanın en iyi yolu{{TAG:0007:0000:14000000}}
uyanık olduğun HER saniye dans etmek.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}
Hemen başlasan iyi olur!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}A dance marathon? {{TAG:0007:0000:14000000}}That's a great
way to stay in shape! {{TAG:0007:0000:0A000000}}I'll have you
dancing the night away!
{{TAG:0003:0016:}}I know just what you need—{{TAG:0007:0000:14000000}}a
stationary bicycle you can ride
in your sleep!{{TAG:0007:0000:0F000000}}{{TAG:0003:001F:}} NEVER STOP!!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}¿Un maratón de baile? {{TAG:0007:0000:14000000}}Qué bien,
así te diviertes bailando toda la
noche, ¡y te pones en forma!
{{TAG:0003:0016:}}Sé lo que necesitas:{{TAG:0007:0000:14000000}} ¡una bicicleta
estática en la que puedas pedalear
hasta dormida!{{TAG:0007:0000:0F000000}}{{TAG:0003:001F:}} ¡A TOPE!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Un marathon de danse ?{{TAG:0007:0000:0A000000}} Quelques
conseils de ton coach préféré, et
c'est dans la poche !
{{TAG:0003:0016:}}Je sais ce qui t'aiderait !{{TAG:0007:0000:14000000}} Faire du
vélo d'appartement dans ton
sommeil !{{TAG:0007:0000:0F000000}}{{TAG:0003:001F:}} Toute la nuit !!!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Una maratona di ballo? {{TAG:0007:0000:14000000}}Per tutti
i dorsali, che modo strampalato
di fare esercizio!
{{TAG:0003:000B:}}Io ho migliorato la mia resistenza
andando in bici, sollevando pesi
e facendo gli addominali...
{{TAG:0003:001F:}}Tu potresti fare tutte queste cose
insieme! {{TAG:0003:0021:}}Sono un genio dello sport!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Ein Tanzmarathon? {{TAG:0007:0000:14000000}}Das klingt ja
Weltklasse! {{TAG:0007:0000:14000000}}Du hast dir grad den
besten Trainer der Welt angelacht!
{{TAG:0003:0016:}}Ich weiß auch schon, {{TAG:0007:0000:08000000}}was du zu tun
hast! {{TAG:0007:0000:14000000}}Setz dich nachts aufs Fahrrad,{{TAG:0007:0000:08000000}}
strample drauflos{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Und schlaf dabei ein.{{TAG:0007:0000:14000000}}{{TAG:0003:001F:}} Du wirst IM
SCHLAF weiterstrampeln und am
nächsten Tag topfit aufwachen!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}Dans maratonu mu? {{TAG:0007:0000:14000000}}Formda kalmanın harika
yolu! {{TAG:0007:0000:0A000000}}Seni sabaha kadar dans ettiririm!
{{TAG:0003:0016:}}Tam ihtiyacın olan şeyi
biliyorum—{{TAG:0007:0000:14000000}}uyurken bile sürebileceğin
bir kondisyon bisikleti!{{TAG:0007:0000:0F000000}}{{TAG:0003:001F:}} ASLA DURMA!!{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Slow down there! {{TAG:0007:0000:1E000000}}That seems like
an{{TAG:0007:0000:0A000000}} AWFUL lot of work...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}¡Alto, alto! {{TAG:0007:0000:1E000000}}Si hago todo eso,
estaré tan cansada que no podré
levantarme para la maratón...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Hé, faut pas exagérer, je suis une
petite chose, moi ! Hi hi hi !{{TAG:0007:0000:1E000000}} T'as
pas un entraînement plus{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} cool ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Ehi ehi ehi! {{TAG:0007:0000:1E000000}}Ma così finisco
per sudare una cifra!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Waaas?!
{{TAG:0007:0000:14000000}}Das klingt ja superanstrengend...{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Biraz yavaş! {{TAG:0007:0000:1E000000}}Bu iş{{TAG:0007:0000:0A000000}} ÇOK fazla uğraş istiyor gibi...{{TAG:000C:0009:}}
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Slow down there! {{TAG:0007:0000:1E000000}}That seems like
an{{TAG:0007:0000:0A000000}} AWFUL lot of work...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}¡Alto, alto! {{TAG:0007:0000:1E000000}}Si hago todo eso
estaré tan cansada que no podré
levantarme para el maratón...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Hé, faut pas exagérer, je suis une
petite chose, moi ! Hi hi hi !{{TAG:0007:0000:1E000000}} T'as
pas un entraînement plus{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} cool ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Ehi ehi ehi! {{TAG:0007:0000:1E000000}}Ma così finisco
per sudare una cifra!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Waaas?!
{{TAG:0007:0000:14000000}}Das klingt ja superanstrengend...{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Biraz yavaş! {{TAG:0007:0000:1E000000}}Bu iş{{TAG:0007:0000:0A000000}} ÇOK fazla uğraş istiyor gibi...{{TAG:000C:0009:}}
7,008,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Slow down there! {{TAG:0007:0000:1E000000}}That seems like
an{{TAG:0007:0000:0A000000}} AWFUL lot of work...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}¡Alto, alto! {{TAG:0007:0000:1E000000}}Si hago todo eso
estaré tan cansada que no podré
levantarme para el maratón...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Hé, faut pas exagérer, je suis une
petite chose, moi ! Hi hi hi !{{TAG:0007:0000:1E000000}} T'as
pas un entraînement plus{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} cool ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Ehi ehi ehi! {{TAG:0007:0000:1E000000}}Ma così finisco
per sudare una cifra!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Waaas?!
{{TAG:0007:0000:14000000}}Das klingt ja superanstrengend...{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0010:}}Biraz yavaş! {{TAG:0007:0000:1E000000}}Bu iş{{TAG:0007:0000:0A000000}} ÇOK fazla uğraş istiyor gibi...{{TAG:000C:0009:}}
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}You bet it is! {{TAG:0007:0000:14000000}}One time I ran for
72 hours straight. {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}I got the worst
leg cramps, {{TAG:0007:0000:0A000000}}but it was worth it!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}¡Pues claro! {{TAG:0007:0000:14000000}}Una vez corrí durante
72 horas y {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}no veas cómo se me
quedó el cuerpo, {{TAG:0007:0000:0A000000}}¡pero valió la pena!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}Je suis ton coach, oui ou non ?{{TAG:0007:0000:14000000}} Et tu
verras, les courbatures après la
course, c'est que du bonheur !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}Certo! {{TAG:0007:0000:14000000}}Una volta ho corso per 72 
ore di fila e ho smesso di sudare
solo tre giorni dopo!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}Ist es auch! {{TAG:0007:0000:14000000}}Ich bin sogar mal
72 Stunden am Stück gelaufen.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Ich hatte damals echt fiese Krämpfe
in den Beinen! {{TAG:0007:0000:28000000}}{{TAG:0003:001B:}}Aber es hat sich
gelohnt!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}Tabii ki öyle! {{TAG:0007:0000:14000000}}Bir keresinde 72 saat
aralıksız koştum. {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Bacaklarıma korkunç
kramplar girdi, {{TAG:0007:0000:0A000000}}ama değdi!{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}{{TAG:0003:0021:}}You bet it is! {{TAG:0007:0000:14000000}}But if you wanna
win, {{TAG:0007:0000:14000000}}you gotta put in the practice.{{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}
I mean, {{TAG:0007:0000:05000000}}don't you {{TAG:0007:0000:0A000000}}LIKE dancing?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}{{TAG:0003:0021:}}¡Pues claro!{{TAG:0007:0000:14000000}} Pero si quieres ganar,
¡tienes que sudar!{{TAG:0007:0000:14000000}}{{TAG:0003:001B:}} A ver, ¿a ti
no te gusta bailar o qué?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}Je suis ton coach, oui ou non ?{{TAG:0007:0000:14000000}}
Et tu aimes danser, oui ou non ?{{TAG:0007:0000:14000000}}
{{TAG:0003:001B:}}Imagine que t'es en boîte, si tu veux.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}{{TAG:0003:0021:}}Certo! {{TAG:0007:0000:14000000}}Ma per vincere devi allenarti
e allenarti e allenarti.{{TAG:0007:0000:14000000}}{{TAG:0003:001B:}} E poi ballare
ti piace, no?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}{{TAG:0003:0021:}}Ist es auch! {{TAG:0007:0000:14000000}}Aber wenn du jetzt
nicht deinen Körper quälst, quält er
beim Tanzmarathon dich!{{TAG:0000:0004:}}{{TAG:0003:001B:}}Und du WILLST doch gewinnen,
{{TAG:0007:0000:08000000}}oder?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0021:}}{{TAG:0003:0021:}}Tabii ki öyle! {{TAG:0007:0000:14000000}}Ama kazanmak istiyorsan{{TAG:0007:0000:14000000}}
antrenman yapman gerek.{{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}
Yani, {{TAG:0007:0000:05000000}}dans etmeyi {{TAG:0007:0000:0A000000}}SEVİYORSUN, değil mi?{{TAG:000C:0009:}}"
