entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:001F:000B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:000B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:000B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:000B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:000B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:000B000B000800070008000700080007000800070008000D00CD}}
2,003,{{TAG:000A:001F:000C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:000C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:000C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:000C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:000C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:000C000C000A0009000A0009000A0009000A0009000A000E00CD}}
3,004,,,,,,
4,005,,,,,,
5,006,,,,,,
6,007,"{{TAG:0003:000B:}}Fish breathe through their gills.{{TAG:0007:0000:14000000}}
So{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.do they talk to other fish with
their mouths or their gills?","{{TAG:0003:000B:}}Si los pececitos respiran por
las branquias{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¿entonces usan
la boca para hablar o no?","{{TAG:0003:000B:}}Les poissons respirent avec leurs
branchies...{{TAG:0007:0000:0A000000}} Mais est-ce qu'ils
peuvent aussi parler avec ?","{{TAG:0003:000B:}}I pesci respirano solo attraverso
le branchie o anche con la bocca?{{TAG:0000:0004:}}{{TAG:0003:000B:}}E come fanno a tapparsi le branchie
con le pinne? E poi, dimmi, secondo
te possono chiudere gli occhi?","{{TAG:0003:0001:}}Fische atmen mit ihren Kiemen.{{TAG:0007:0000:14000000}}
Jetzt frage ich mich nur, ob sie
auch mit ihren Kiemen sprechen?","{{TAG:0003:000B:}}Balıklar solungaçlarıyla nefes alır.{{TAG:0007:0000:14000000}}
Peki{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.diğer balıklarla ağızlarıyla
mı, solungaçlarıyla mı konuşurlar?"
7,008,"{{TAG:0003:000B:}}You don't suppose they'd let me
practice fishing here,{{TAG:0007:0000:08000000}} do you?{{TAG:0007:0000:14000000}} If I
used a toy worm and a fake hook?","{{TAG:0003:000B:}}{{TAG:0000:0003:0400}}Sócrates{{TAG:0000:0003:FFFF}} no me dejará ponerme a
pescar aquí, {{TAG:0007:0000:0A000000}}¿verdad? {{TAG:0007:0000:14000000}}Me vendría
muy bien para practicar.","{{TAG:0003:000B:}}Tu crois qu'on me dirait quelque
chose si je venais m'entraîner à la
pêche ici ?
{{TAG:0003:0027:}}Et si je me sers d'une fausse canne
et d'un hameçon en plastique ?","{{TAG:0003:000B:}}Hai visto cartelli che vietano
la pesca qui dentro? {{TAG:0007:0000:14000000}}Secondo te,
posso usare la mia canna?","{{TAG:0003:000B:}}Ich glaube nicht, dass es im Museum
gern gesehen würde, wenn ich hier
Angeln übe.
Dabei würde ich ja sogar einen
Spielzeugköder und einen
Gummihaken nehmen...","{{TAG:0003:000B:}}Sence burada balık tutma alıştırması
yapmama izin verirler mi,{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:14000000}} Oyuncak
solucan ve sahte iğne kullansam?"
8,009,"{{TAG:0003:0001:}}Do you have a lot of fish in your 
museum back in {{TAG:0005:0006:}}?{{TAG:0007:0000:14000000}} We're
getting more,{{TAG:0007:0000:08000000}} slowly but steadily!","{{TAG:0003:0001:}}¿Tenéis muchos peces en el museo
de {{TAG:000E:0003:}}{{TAG:0005:0006:}}? {{TAG:0007:0000:14000000}}Aquí cada vez
tenemos más,{{TAG:0007:0000:0A000000}} poquito a poco.","{{TAG:0003:0001:}}Comment ça se passe à
{{TAG:0005:0006:}} ?{{TAG:0007:0000:0A000000}} Vous avez beaucoup
de poissons dans votre musée ?
Ici, on est en train d'enrichir la
collection... {{TAG:0007:0000:0A000000}}doucement mais
sûrement !","{{TAG:0003:0001:}}Avete molti pesci nel museo
di {{TAG:0005:0006:}}?{{TAG:0007:0000:14000000}} La nostra collezione
cresce pianissimissimo!","{{TAG:0003:0001:}}Gibt es im Museum in {{TAG:0005:0006:}}
denn viele Fische? {{TAG:0007:0000:14000000}}Mehr als hier
oder weniger?
Wir vergrößern unsere Sammlung
langsam, aber sicher. {{TAG:0007:0000:14000000}}Fisch um
Fisch um Fisch, hihi.","{{TAG:0003:0001:}}{{TAG:0005:0006:}} içindeki müzende çok balık var mı?{{TAG:0007:0000:14000000}}
Bizde de yavaş ama düzenli
biçimde artıyor,{{TAG:0007:0000:08000000}}!"
9,010,"{{TAG:0003:0001:}}I've been trying to learn swimming
techniques from fish.{{TAG:0007:0000:14000000}}{{TAG:0003:000B:}} Of course,{{TAG:0007:0000:08000000}} it'd
help if I had fins and gills.","{{TAG:0003:0001:}}Estoy intentando aprender técnicas
de natación de los peces. {{TAG:0007:0000:14000000}}{{TAG:0003:000B:}}Me iría
bien tener aletas, {{TAG:0007:0000:0A000000}}claro.","{{TAG:0003:0001:}}J'observe les poissons pour
découvrir de nouvelles techniques
de nage...
{{TAG:0003:000B:}}Cela dit, ce serait plus facile avec
des nageoires et des branchies...","{{TAG:0003:0001:}}Mi piace osservare i pesci che
si muovono sinuosi nell'acqua.
{{TAG:0007:0000:14000000}}{{TAG:0003:000B:}}Come vorrei essere una di loro!","{{TAG:0003:0001:}}Ich komme gerne ins Museum.{{TAG:0007:0000:14000000}} Vor
allem, weil ich von den Fischen
Schwimmtechniken lernen will.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Jetzt muss ich nur noch dafür
sorgen, dass mir Flossen und
Kiemen wachsen.{{TAG:0007:0000:14000000}} Hihi.","{{TAG:0003:0001:}}Balıklardan yüzme teknikleri öğrenmeye
çalışıyorum.{{TAG:0007:0000:14000000}}{{TAG:0003:000B:}} Tabii,{{TAG:0007:0000:08000000}} yüzgeçlerimle
solungaçlarım olsa işim kolaylaşırdı."
10,011,"{{TAG:0003:0009:}}I wish there were a few more fish
here.{{TAG:0007:0000:14000000}} The other fish would probably
feel better in a more natural setting.","{{TAG:0003:0009:}}Ojalá hubiera más pececillos.
{{TAG:0007:0000:14000000}}Así los que ya viven aquí se
sentirían más acompañados.","{{TAG:0003:0009:}}J'espérais trouver plus de poissons
ici... {{TAG:0007:0000:0A000000}}Mais bon, ils sont sûrement
mieux dans leur milieu naturel.","{{TAG:0003:0009:}}Sarebbe beeello se ci fossero più
pesci qui dentro...{{TAG:0007:0000:14000000}} Quelli che ci sono
adesso devono sentirsi cooosì soli!","{{TAG:0003:0009:}}Ich frage mich, ob die Fische
einsam sind, wenn sie da so alleine
im Kreis schwimmen.
{{TAG:0003:0016:}}Vielleicht würden sie sich wohler
fühlen, wenn es hier im Museum
ein paar mehr von ihrer Sorte gäbe.","{{TAG:0003:0009:}}Keşke burada birkaç balık daha olsaydı.{{TAG:0007:0000:14000000}}
Diğer balıklar daha doğal bir ortamda
kendini daha iyi hissederdi herhalde."
11,012,"{{TAG:0003:0025:}}I like coming here to look at
different species.{{TAG:0007:0000:14000000}} Are there many
fish on display in your town?","{{TAG:0003:0025:}}Me gusta venir para ver las distintas
especies de peces. {{TAG:0007:0000:14000000}}¿En tu pueblo
hay más animalitos que aquí?","{{TAG:0003:0025:}}C'est instructif de venir observer
différentes espèces ici...{{TAG:0000:0004:}}Et chez toi, il y a beaucoup de
poissons dans ton musée ?","{{TAG:0003:0025:}}Magari un giorno verrò a vedere
la collezione di pesci della tua città.{{TAG:0007:0000:14000000}}
È più grandissimissima della nostra?","{{TAG:0003:0025:}}Ich mag das Museum. {{TAG:0007:0000:14000000}}All die vielen
Spezies faszinieren mich.{{TAG:0000:0004:}}Gibt es im Museum in deiner
Stadt viele Fische zu bewundern?","{{TAG:0003:0025:}}Farklı türlere bakmak için buraya
gelmeyi seviyorum.{{TAG:0007:0000:14000000}} Senin kasabanda
sergide çok balık var mı?"
12,013,"{{TAG:0003:0001:}}Isn't it great that we have all these
fresh- and saltwater creatures?{{TAG:0007:0000:14000000}}
It makes me feel like a scuba diver!","{{TAG:0003:0001:}}¿A que es maravilloso que podamos
ver todos los peces de agua dulce y
agua salada en el mismo sitio?","{{TAG:0003:0001:}}Poissons d'eau douce ou d'eau
salée, il y a des espèces de toutes
sortes ici !
J'ai l'impression d'être une
plongeuse sous-marine !","{{TAG:0003:0001:}}Qui si possono ammirare tutti
i pesci e i molluschi della zona.
{{TAG:0007:0000:14000000}}Mi sento quasi una sommozzatrice!","{{TAG:0003:0001:}}Süßwasserfische, Salzwasserfische,
so weit das Auge reicht! {{TAG:0007:0000:14000000}}Ich sollte
mir eine Unterwasserkamera kaufen!","{{TAG:0003:0001:}}Hem tatlı hem tuzlu su canlılarının
burada olması harika değil mi?{{TAG:0007:0000:14000000}}
Kendimi dalgıç gibi hissediyorum!"
13,014,"{{TAG:0003:0001:}}Isn't our museum impressive?{{TAG:0007:0000:14000000}} You
can see every fresh- and saltwater
species in the whole area!","{{TAG:0003:0001:}}¿A que el museo es impresionante?
{{TAG:0007:0000:14000000}}¡Puedes ver todas las especies
que habitan en esta zona!","{{TAG:0003:0001:}}Alors, ce musée t'en bouche un coin,
pas vrai ?{{TAG:0007:0000:0A000000}} Toutes les espèces de la
région sont représentées !","{{TAG:0003:0001:}}Adoooro il nostro museo!{{TAG:0007:0000:14000000}} Se ami
tutto ciò che nuota, questo è
il posto che fa per te!","{{TAG:0003:0001:}}Ich glaube kaum, dass man irgendwo
eine beeindruckendere Sammlung
von Fischen finden kann als hier.
{{TAG:0003:0015:}}Wenn ich so darüber nachdenke,
fällt mir nicht eine einzige Gattung
ein, die hier nicht vertreten wäre!","{{TAG:0003:0001:}}Bizim müze etkileyici değil
mi?{{TAG:0007:0000:14000000}} Bölgedeki her tatlı ve tuzlu su
türünü görebilirsin!"
