entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:0006:0900140011000C00}},{{TAG:000A:0006:0900140011000C00}},{{TAG:000A:0006:0900140011000C00}},{{TAG:000A:0006:0900140011000C00}},{{TAG:000A:0006:0900140011000C00}},{{TAG:000A:0006:0900140011000C00}}
2,003,{{TAG:000A:0006:0900140012000C00}},{{TAG:000A:0006:0900140012000C00}},{{TAG:000A:0006:0900140012000C00}},{{TAG:000A:0006:0900140012000C00}},{{TAG:000A:0006:0900140012000C00}},{{TAG:000A:0006:0900140012000C00}}
3,004,,,,,,
4,005,"{{TAG:0003:000B:}}Let's see. I still need this. And that.
{{TAG:0003:000F:}}Oh! And definitely one of those!","{{TAG:0003:000B:}}A ver, a ver{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Voy a revisar la lista
de la compra. {{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}¡Ahí va! {{TAG:0007:0000:14000000}}{{TAG:0003:000A:}}Jo, aún me
faltan muchas cosas por comprar.","{{TAG:0003:000B:}}Alors, y m'faut ça, ça, et ça.{{TAG:0007:0000:0F000000}} Ce truc
a pas l'air mal non plus, tiens.{{TAG:0007:0000:19000000}} {{TAG:0003:000F:}}Et
çui-là ! Tu l'as vu un peu ?!{{TAG:0007:0000:14000000}} Je veux !","{{TAG:0003:000B:}}Vediamo un po'. Mi serve quello.
E anche quell'altro! {{TAG:0003:000F:}}Ah! Anche
quell'altra cosa, sì!","{{TAG:0003:000B:}}Mal sehn{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. {{TAG:0007:0000:0A000000}}Ich brauch das{{TAG:0007:0000:08000000}} und das{{TAG:0007:0000:08000000}}
und das.{{TAG:0007:0000:14000000}} {{TAG:0003:0010:}}Oh!{{TAG:0007:0000:08000000}} Und das hier kann ich
mir auf keinen Fall entgehen lassen!","{{TAG:0003:000B:}}Bakalım. Şuna hâlâ ihtiyacım var. Bir
de buna. {{TAG:0003:000F:}}Aa! Bundan da kesin almalıyım!"
5,006,"{{TAG:0003:000A:}}Whew! Buying stuff can be pretty
tiring! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000A:}}¡Buf! {{TAG:0007:0000:08000000}}A veces creo que ir por ahí de
compras cansa más que salir de
fiesta{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:08000000}}¡Qué mal, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000A:}}Pfiou, c'est crevant d'faire du
shopping...{{TAG:0007:0000:14000000}} Mon portefeuille aussi
est sur les rotules,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:000A:}}Mamma mia! Fare spese può essere
molto stancante, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000A:}}Puh!{{TAG:0007:0000:08000000}} Shoppen kann einen ganz
schön fertig machen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000A:}}Üff! Alışveriş yapmak insanı bayağı
yoruyormuş! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0005:}}You and me should give it all we've
got. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Venga, ya que estamos, vamos
a darlo todo, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0021:}}{{TAG:0007:0000:0F000000}}Dans la rue commerçante, faut
toujours rester aux aguets,{{TAG:0007:0000:0F000000}}
{{TAG:0005:0007:}} !{{TAG:0007:0000:0F000000}}
{{TAG:0003:0000:}}Mais nan, pas à cause des voleurs à
la tire...{{TAG:0007:0000:0F000000}} y'en a pas !{{TAG:0007:0000:0F000000}} {{TAG:0003:0015:}}Pour pas louper
les meilleures affaires, bien sûr !","{{TAG:0003:0005:}}Forza! Diamoci dentro con
gli acquisti, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:001D:}}Los!{{TAG:0007:0000:14000000}} Jetzt, da wir schon mal hier
sind, müssen wir auch alles geben!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!",{{TAG:0003:0005:}}Sen de ben de elimizden geleni yapalım. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!
7,008,"{{TAG:0003:0015:}}This part of {{TAG:0005:0005:}} gets a good
share of visitors from out of town.{{TAG:0000:0004:}}{{TAG:0003:0025:}}This girl I met the other day said
she came here on the train!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}En esta parte del pueblo siempre
se ve a mucha gente de otros sitios.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Imagínate, tienen que venir en
tren y cosas de esas...
¡Hay que echarle ganas!","{{TAG:0003:0015:}}Dans la rue commerçante, on croise
pas mal de gens venant d'autres
villes...
{{TAG:0003:0023:}}J'en connais qui doivent avoir des
ampoules à force de s'frotter les
pattes,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Questa parte della città è meta
di tanti turisti provenienti
da altre città!
{{TAG:0003:0025:}}L'altro giorno ho incontrato
una ragazza che è venuta qui
in treno, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Die Einkaufsmeile lockt Leute
von nah und fern an!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ich hab erst letztens ein Mädel
kennengelernt, das mit dem Zug
hergereist ist! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}{{TAG:0005:0005:}} tarafına şehir dışından epey
ziyaretçi geliyor.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Geçen gün tanıştığım
bir kız buraya trenle geldiğini
söyledi! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0025:}}This shopping district is always so
inviting! But I guess that's kinda the
aim of the storekeepers.","{{TAG:0003:0025:}}Siempre que vengo por aquí, me
entran unas ganas de comprar...
¡Supongo que esa es la idea!","{{TAG:0003:0025:}}Cette rue commerçante est toujours
super accueillante,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}} !{{TAG:0000:0004:}}Tu m'diras, l'contraire s'rait
mauvais pour les affaires...","{{TAG:0003:0025:}}Via degli Acquisti è sempre così
affascinante! Ti viene voglia
di comprare tutto!","{{TAG:0003:0025:}}Die Einkaufsmeile ist sooo cool – da
muss shoppen einfach Spaß machen!","{{TAG:0003:0025:}}Bu alışveriş bölgesi insanı hep içeri
çağırıyor! Gerçi dükkân sahiplerinin
amacı da bu herhâlde."
9,010,"{{TAG:0003:0015:}}Recently I've seen a lot of out-of-
town folks like you come here for
the shopping.
{{TAG:0003:0023:}}Does this mean that {{TAG:0005:0005:}} is
finally famous? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Pues últimamente por aquí se ve
a mucha gente de otros pueblos.
Ya sabes, como tú.
{{TAG:0003:0023:}}¿Será que por fin {{TAG:000E:0003:}}{{TAG:0005:0005:}} se
ha hecho famoso? {{TAG:0007:0000:14000000}}¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Ces temps-ci, on voit d'plus en plus
de gens de l'extérieur venir faire
leurs courses à {{TAG:0005:0005:}}...
{{TAG:0003:0023:}}Mais bizarrement, l'musée est
toujours aussi désert,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Ultimamente ho visto un sacco
di gente venire qui da altre città
per fare spese.
{{TAG:0003:0023:}}Forse vuol dire che {{TAG:0005:0005:}}
è diventata famosa! O no?
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Auf der Einkaufsmeile sieht man
viele Leute von außerhalb, du weißt
schon,{{TAG:0007:0000:0F000000}}{{TAG:0003:0023:}} so Gestalten wie dich eben!
{{TAG:0003:0025:}}Ist {{TAG:0005:0005:}} endlich mal berühmt?
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Son zamanlarda senin gibi şehir dışından
alışverişe gelen çok kişi görüyorum.
{{TAG:0003:0023:}}Yoksa {{TAG:0005:0005:}} sonunda ünlü
mü oldu? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
