entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,,{{TAG:000E:0000:000203CD}}iced coffee,{{TAG:000E:0000:010103CD}}café frapé,{{TAG:000E:0000:020804CD}}pêche à l'eau,{{TAG:000E:0000:010105CD}}caffè freddo,{{TAG:000E:0000:010103CD}}Eiskaffee,{{TAG:000E:0000:000203CD}}buzlu kahve
1,,{{TAG:000E:0000:000103CD}}mint tea,{{TAG:000E:0000:020204CD}}menta poleo,{{TAG:000E:0000:020804CD}}chicorée,{{TAG:000E:0000:010105CD}}tè alla pesca,{{TAG:000E:0000:010103CD}}Pfefferminztee,{{TAG:000E:0000:000103CD}}nane çayı
2,,{{TAG:000E:0000:000103CD}}café au lait,{{TAG:000E:0000:010103CD}}café con leche,{{TAG:000E:0000:010905CD}}orgeat,{{TAG:000E:0000:010105CD}}cappuccino,{{TAG:000E:0000:010103CD}}Milchkaffee,{{TAG:000E:0000:000103CD}}sütlü kahve
3,,{{TAG:000E:0000:000103CD}}bubble tea,{{TAG:000E:0000:010103CD}}kéfir,{{TAG:000E:0000:010703CD}}milk-shake,{{TAG:000E:0000:010105CD}}tè freddo,{{TAG:000E:0000:020204CD}}Bananenmilch,{{TAG:000E:0000:000103CD}}baloncuklu çay
4,,{{TAG:000E:0000:000103CD}}peach nectar,{{TAG:000E:0000:010103CD}}zumo multifruta,{{TAG:000E:0000:010703CD}}smoothie,{{TAG:000E:0000:010105CD}}frappè,{{TAG:000E:0000:010103CD}}Multivitaminsaft,{{TAG:000E:0000:000103CD}}şeftali nektarı
5,,{{TAG:000E:0000:000203CD}}espresso,{{TAG:000E:0000:010103CD}}café cortado,{{TAG:000E:0000:010703CD}}café frappé,{{TAG:000E:0000:010108CD}}espresso,{{TAG:000E:0000:010103CD}}Espresso,{{TAG:000E:0000:000203CD}}espresso
6,,{{TAG:000E:0000:000103CD}}sweet tea,{{TAG:000E:0000:020204CD}}naranjada,{{TAG:000E:0000:020804CD}}tisane au miel,{{TAG:000E:0000:020307CD}}tisana,{{TAG:000E:0000:010103CD}}Eistee,{{TAG:000E:0000:000103CD}}tatlı çay
7,,{{TAG:000E:0000:000103CD}}tomato juice,{{TAG:000E:0000:010103CD}}zumo de tomate,{{TAG:000E:0000:010905CD}}expresso,{{TAG:000E:0000:010105CD}}succo di mela,{{TAG:000E:0000:010103CD}}Tomatensaft,{{TAG:000E:0000:000103CD}}domates suyu
8,,{{TAG:000E:0000:000103CD}}ginger ale,{{TAG:000E:0000:010103CD}}refresco,{{TAG:000E:0000:010703CD}}lait de coco,{{TAG:000E:0000:010105CD}}ginger ale,{{TAG:000E:0000:030105CD}}Malzbier,{{TAG:000E:0000:000103CD}}zencefilli gazoz
9,,{{TAG:000E:0000:000103CD}}rice milk,{{TAG:000E:0000:010103CD}}zumo de uva,{{TAG:000E:0000:010703CD}}lait de riz,{{TAG:000E:0000:020408CD}}acqua tonica,{{TAG:000E:0000:020204CD}}Sojamilch,{{TAG:000E:0000:000103CD}}pirinç sütü
10,,{{TAG:000E:0000:000103CD}}root beer,{{TAG:000E:0000:020204CD}}tónica,{{TAG:000E:0000:010703CD}}citron pressé,{{TAG:000E:0000:020408CD}}orzata,{{TAG:000E:0000:020204CD}}Kräuterlimo,{{TAG:000E:0000:000103CD}}kök birası
11,,{{TAG:000E:0000:000103CD}}hot cocoa,{{TAG:000E:0000:010103CD}}chocolate,{{TAG:000E:0000:010703CD}}chocolat chaud,{{TAG:000E:0000:020307CD}}cioccolata calda,{{TAG:000E:0000:010103CD}}Kakao,{{TAG:000E:0000:000103CD}}sıcak kakao
12,,{{TAG:000E:0000:000103CD}}green tea,{{TAG:000E:0000:010103CD}}té verde,{{TAG:000E:0000:010703CD}}thé vert,{{TAG:000E:0000:010105CD}}tè verde,{{TAG:000E:0000:010103CD}}Zitronensaft,{{TAG:000E:0000:000103CD}}yeşil çay
13,,{{TAG:000E:0000:000203CD}}oolong tea,{{TAG:000E:0000:010103CD}}té rojo,{{TAG:000E:0000:010703CD}}jus de cactus,{{TAG:000E:0000:020307CD}}camomilla,{{TAG:000E:0000:010103CD}}Roibuschtee,{{TAG:000E:0000:000203CD}}oolong çayı
14,,{{TAG:000E:0000:000103CD}}peach lassi,{{TAG:000E:0000:010103CD}}zumo de mora,{{TAG:000E:0000:010703CD}}lassi à la pêche,{{TAG:000E:0000:010F05CD}}latte di mandorla,{{TAG:000E:0000:020204CD}}Erdbeermilch,{{TAG:000E:0000:000103CD}}şeftalili lassi
15,,{{TAG:000E:0000:000103CD}}lemonade,{{TAG:000E:0000:020204CD}}limonada,{{TAG:000E:0000:020804CD}}limonade,{{TAG:000E:0000:020307CD}}limonata,{{TAG:000E:0000:010103CD}}Cappuccino,{{TAG:000E:0000:000103CD}}limonata
16,,{{TAG:000E:0000:000103CD}}spiced chai,{{TAG:000E:0000:010103CD}}té chai,{{TAG:000E:0000:010703CD}}bouillon,{{TAG:000E:0000:010F05CD}}succo d'ananas,{{TAG:000E:0000:010103CD}}Malzkaffee,{{TAG:000E:0000:000103CD}}baharatlı chai
17,,{{TAG:000E:0000:000203CD}}horchata,{{TAG:000E:0000:020204CD}}horchata,{{TAG:000E:0000:010703CD}}lait de soja,{{TAG:000E:0000:020307CD}}granita,{{TAG:000E:0000:010103CD}}Kefir,{{TAG:000E:0000:000203CD}}tarçınlı pirinç içeceği
18,,{{TAG:000E:0000:000103CD}}fruit punch,{{TAG:000E:0000:010103CD}}granizado,{{TAG:000E:0000:010703CD}}nectar de banane,{{TAG:000E:0000:010105CD}}frullato,{{TAG:000E:0000:010103CD}}Traubensaft,{{TAG:000E:0000:000103CD}}meyve punçu
19,,{{TAG:000E:0000:000103CD}}sarsaparilla,{{TAG:000E:0000:020204CD}}zarzaparrilla,{{TAG:000E:0000:010703CD}}jus de raisin,{{TAG:000E:0000:010F05CD}}succo d'uva,{{TAG:000E:0000:010103CD}}Sauerkrautsaft,{{TAG:000E:0000:000103CD}}kök gazozu
20,,{{TAG:000E:0000:000103CD}}beet juice,{{TAG:000E:0000:010103CD}}zumo de piña,{{TAG:000E:0000:010703CD}}jus de betterave,{{TAG:000E:0000:010108CD}}infuso,{{TAG:000E:0000:010103CD}}Gemüsesaft,{{TAG:000E:0000:000103CD}}pancar suyu
