entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0005:}}I'm gonna roll up ALL the snow in
town and make a monster snowman,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Voy a juntar TODA la nieve del
pueblo y voy a hacer un muñeco de
nieve monstruoso,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Je vais ramasser toute la neige de la
ville et faire un bonhomme de neige
É-NORME,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Raccoglierò tutta la neve della
città per creare un pupazzo
gigantesco,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Ich roll den ganzen Schnee in
{{TAG:0005:0005:}} zusammen und bau den
größten Schneemann der Welt!","{{TAG:0003:0005:}}Kasabadaki BÜTÜN karı yuvarlayıp canavar
gibi bir kardan adam yapacağım,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!"
1,002,"{{TAG:0003:0003:}}How many sno-cones do you think
we could make out of all this snow,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?","{{TAG:0003:0003:}}¿Cuántos helados crees que
podríamos hacer con toda
esta nieve,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:0003:0003:}}À ton avis, on pourrait faire un
cornet à combien de boules avec
toute cette neige,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} ?","{{TAG:0003:0003:}}Che ne dici se facciamo una bella
battaglia di palle di neve oggi,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?","{{TAG:0003:0003:}}Mit dem ganzen Schnee hier kann
man bestimmt richtig viele Leute
einseifen,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0003:}}Sence bütün bu kardan kaç tane karlı buz yaparız,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?"
2,003,"{{TAG:000E:0003:}}{{TAG:0007:0006:}}Oh, hey{{TAG:0007:0007:}}!{{TAG:0000:0004:}}Guess what?{{TAG:0007:0001:}} {{TAG:0003:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0013:0000}}
tastes even better if you eat it in
the snow!","¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}¿Sabes qué?{{TAG:0007:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0004:}}¡Mola sentarse en la nieve
a comer {{TAG:000E:0002:}}{{TAG:0005:0013:0000}},
{{TAG:0005:0007:}}!","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Tu sais quoi{{TAG:0007:0007:}},{{TAG:0007:0000:14000000}}
je viens de faire une découverte
IN-CROY-ABLE !
{{TAG:0003:0004:}}{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0005:0013:0000}} a encore
meilleur goût si tu en manges avec
de la neige, {{TAG:0005:0007:}} !","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehilà{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}Sai cosa mi piace mangiare
quando fuori nevica?
{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0005:0013:0000}}!","Weißt du, was?{{TAG:0007:0000:14000000}} {{TAG:0003:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0013:0000}}
schmeckt noch besser, wenn man
Schnee drüberstreut,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Oh, selam{{TAG:0007:0007:}}!{{TAG:0000:0004:}}Bil bakalım ne var?{{TAG:0007:0001:}} {{TAG:0003:0004:}}{{TAG:000E:0003:}}{{TAG:0005:0013:0000}}
karda yiyince daha da güzel oluyor!"
3,004,"{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey hey hey{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0014:}}Are there icicles hanging off my
nose yet,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Muy requetebuenas{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0014:}}¿Me cuelga ya algún carámbano
de las narices,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Salut{{TAG:0007:0007:}}...{{TAG:0007:0000:14000000}}
{{TAG:0003:0014:}}Aglagla... Il y a des petits glaçons
au bout de mon nez, {{TAG:0005:0007:}}.","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehilà{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0014:}}Anche a te pendono già
i ghiaccioli dal naso,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hallo, hallo{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0014:}}Mir hängen schon Eiszapfen
an der Nase,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey hey hey{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0014:}}Burnumdan buz sarkıtları çıkmaya başladı
mı,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?"
4,005,"{{TAG:0003:0014:}}Brrrrrr!{{TAG:0007:0000:14000000}} It's freezing out here{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}But that won't stop me from having
fun in the snow,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0014:}}¡Brrrrrr!{{TAG:0007:0000:14000000}} Que me pelo de frío{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}¡Pero eso no me va a disuadir de
jugar en la nieve,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0014:}}Brrrrrr !{{TAG:0007:0000:14000000}} On gèle ici{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0005:}}Mais c'est pas
ça qui va m'empêcher de jouer dans
la neige, ça non alors,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0014:}}Brrrrrr!{{TAG:0007:0000:14000000}} Si gela qui fuori{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0005:}}Ma il freddo è più sopportabile
quando ci si diverte sulla neve,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0014:}}Brrrrrr!{{TAG:0007:0000:14000000}} Mir friert die Nase ab...{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}Egal.{{TAG:0007:0000:14000000}} Bei Schnee muss man einfach
draußen sein,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0014:}}Brrrrrr!{{TAG:0007:0000:14000000}} Dışarısı buz gibi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:0005:}}Ama bu, karda eğlenmeme engel olamaz,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0001:}}I don't want this snow day to end!{{TAG:0007:0000:28000000}}
{{TAG:0003:0006:}}That's why I'm gonna stay up all
night,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Mañana quizá ya no haya nieve!{{TAG:0007:0000:28000000}}
{{TAG:0003:0006:}}¡Por eso pienso seguir jugando con
ella toda la noche,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Je ne veux pas que ça s'arrête, j'ai
encore envie de jouer, moi...{{TAG:0000:0004:}}{{TAG:0003:0006:}}Comme le jour est trop court, je
reste dehors la nuit aussi,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Non voglio perdermi un secondo
di tutta questa neve!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Ho deciso: resterò sveglio tutta
la notte,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Dieser Schneetag soll NIE aufhören!{{TAG:0007:0000:28000000}}
{{TAG:0003:0006:}}Darum geh ich heute einfach nicht
ins Bett.{{TAG:0007:0000:14000000}} Pah,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Bu karlı gün hiç bitmesin istiyorum!{{TAG:0007:0000:28000000}}
{{TAG:0003:0006:}}O yüzden bütün gece uyanık kalacağım,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
6,007,"{{TAG:000E:0003:}}{{TAG:0007:0006:}}Howdy, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Playing in the snow really chills
me out,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Muy buenas, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}¡Qué buen rollo da jugar
en la nieve,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Salut {{TAG:0005:0008:}}{{TAG:0007:0007:}} !{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Jouer sous la neige, ça me donne
une faim de loup,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehilà, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Giocare con la neve mi concilia
il sonno,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Huhu, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Von mir aus könnte es das ganze
Jahr lang schneien,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Selam, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Karda oynamak beni bayağı rahatlatıyor,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
7,008,"Oh, hey,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}Snow is so pretty,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","Ah, ¡hola,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} ¡Cómo me
gusta la nieve! ¡Es como si cayeran
copitos de nata,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","Salut{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}
La neige qui tombe, c'est tellement
beau,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","Oh, ehi,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}Adoro la neve,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0020:}}Huhu, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0004:}} Der Schnee ist
wunderwunderschön,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","Oh, selam,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0004:}}Kar ne kadar güzel,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
8,009,"{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey there{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}We can make ice cream out of all
this snow, right,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}Podríamos hacer unos heladitos con
toda esta nieve, ¿eh,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Salut{{TAG:0007:0007:}} !{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}Dis, on peut faire de la crème
glacée avec la neige,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} ?","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehilà{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}Facciamo un grandissimo gelato con
tutta questa neve, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hallihallo{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}Mit Ahornsirup schmeckt Schnee
sicher noch besser,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:000E:0003:}}{{TAG:0007:0006:}}Selam{{TAG:0007:0007:}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0004:}}Bütün bu kardan dondurma yapabiliriz,
değil mi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?"
9,010,"{{TAG:0003:0019:}}Yaaaawn...{{TAG:0007:0000:3C000000}} It's{{TAG:0007:0000:14000000}} getting to be almost
hibernation time,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0019:}}Uuuuaaaah...{{TAG:0007:0000:3C000000}} Ya noto{{TAG:0007:0000:14000000}} que se acerca
la hora de hibernar,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0019:}}Ouuuh... Dodo...{{TAG:0007:0000:3C000000}} J'ai bien{{TAG:0007:0000:14000000}} envie
d'hiberner, moi aussi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0019:}}Yaaaawn...{{TAG:0007:0000:3C000000}} Con questo tempo,
quasi quasi mi viene voglia di andare
in letargo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0019:}}Gääääähn...{{TAG:0007:0000:3C000000}} Ich suche gerade einen
gemütlichen Laubhaufen für meinen
Winterschlaf,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0019:}}Eeeesne...{{TAG:0007:0000:3C000000}} {{TAG:0007:0000:14000000}}neredeyse kış uykusu vakti
geliyor,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
