index,key,F,G,I,S,U,TR
0,MID_様子_ンン_前,"Pourquoi un tel sourire ? Oh, je vois...
Vous trouvez mon nom stupide, c'est ça ?","Warum lächelst du so? Es liegt an meinem
doofen Name, oder? Urks.","Cos'è quel sorrisetto? È il mio nome
che fa ridere, vero? Aaah!","Qué día tan bueno tenemos hoy, ¿eh?
Creo que voy a salir a dar una vuelta.","Why are you smiling like that?
It's my silly name, isn't it? Ugh.","Neden böyle gülümsüyorsun? Bu
benim aptal ismim, değil mi? Ah."
1,MID_様子_ンン_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_ンン_前_敬さん,"Pourquoi un tel sourire ? Oh, je vois...
Vous trouvez mon nom stupide, c'est ça ?","Warum lächelt Ihr so? Es liegt an meinem
doofen Name, nicht wahr? Urks.","Cos'è quel sorrisetto? È il mio nome
che fa ridere, vero? Aaah!","Qué día tan bueno tenemos hoy, ¿eh?
Creo que voy a salir a dar una vuelta.","Why are you smiling like that?
It's my silly name, isn't it? Ugh.","Neden böyle gülümsüyorsun? Bu
benim aptal ismim, değil mi? Ah."
3,MID_様子_ンン_前_特殊,"Pourquoi un tel sourire, Chrom ?
Vous trouvez mon nom stupide, c'est ça ?","Wieso lächelst du so, Chrom?
Es liegt an meinem doofen Namen, oder?","Perché hai quel sorriso, Chrom? È il
mio nome a farti ridere, vero? Aaah!","Voy a explorar un poco la zona. Es que hace
un día estupendo, ¿eh, Chrom?","Why are you smiling like that, Chrom?
It's my silly name, isn't it? Ugh.","Neden böyle gülümsüyorsun Chrom? Bu
benim aptal ismim, değil mi? Ah."
4,MID_様子_ンン_後,"Non... Je me disais juste que ça devait être
agréable d'avoir un nom plus... normal.","Um ehrlich zu sein, dachte ich gerade, es
wäre nett, wenn ich wie du heißen würde.","A essere onesti, stavo pensando a quanto
sarebbe bello portare il tuo nome.","Sí, ¡qué día tan bueno! Yo voy a salir del
campamento para explorar los alrededores.","To be honest, I was thinking how nice it'd
be to have your name instead of mine.","Doğrusu, kendi adım yerine
senin adını taşımayı düşündüm."
5,MID_様子_ンン_後_敬さん,"Non... Je me disais juste que ça devait être
agréable d'avoir un nom plus... normal.","Um ehrlich zu sein, dachte ich gerade, es
wäre schön, wenn ich wie Ihr heißen würde.","A essere onesti, stavo pensando a quanto
sarebbe bello portare il tuo nome.","Sí, ¡qué día tan bueno! Yo voy a salir del
campamento para explorar los alrededores.","To be honest, I was thinking how nice it'd
be to have your name instead of mine.","Doğrusu, kendi adım yerine
sizin adınızı taşımayı düşündüm."
6,MID_様子_ンン_後_特殊,"Non... Je me disais juste que ça devait être
agréable d'avoir un nom plus... normal.","Um ehrlich zu sein, dachte ich gerade, es
wäre schön, wenn ich wie du heißen würde.","A essere onesti, stavo pensando a quanto
sarebbe bello portare il tuo nome.","¡Sí que da gusto, sí! Voy a salir a explorar
los alrededores del campamento.","To be honest, I was thinking how nice it'd
be to have your name instead of mine.","Doğrusu, kendi adım yerine
senin adını taşımayı düşündüm."
7,MID_様子_ンン_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
8,MID_様子_ンン_前_親子_子,"Linfan. Soyez honnête avec votre mère.
Avez-vous besoin de quelque chose ?","Linfan, gibt es irgendwas, das du brauchst?
Du kannst ehrlich zu deiner Mutter sein.","Ti serve qualcosa, Linfan?
A tua mamma devi dire tutto.","Linfan, ¿necesitas algo? Sabes que puedes
pedirle lo que sea a tu madre, ¿verdad?","Morgan, is there anything you need?
You can be honest with your mother.","Morgan, ihtiyacın olan bir şey var
mı? Annene karşı dürüst olabilirsin."
9,MID_様子_ンン_後_親子_子,"Oh... Je voudrais bien un animal de
compagnie. Bonne chance pour la chasse !","Oh, danke schön! Ein kleiner Waldbewohner
als Haustier wäre schön. Waidmannsheil!","Grazie! Magari una piccola creatura della
foresta da tenere come animale domestico.","¡Vaya, gracias! Pues quiero un animalillo del
bosque como mascota. Hala, ¡a cazar!","Why, thank you! How about a small forest
creature for a pet? Happy hunting.","Teşekkürler! Evcil hayvaniniz için küçük
bir orman yaratigina ne dersiniz? Mutlu
avlar."
10,MID_様子_ンン_前_親子_母,"Mère, avez-vous besoin de quelque chose ?
Je veux être une bonne fille pour vous.","Mutter, brauchst du irgendetwas?
Ich will eine gute Tochter sein.","Mamma, ti serve qualcosa?
Voglio essere una buona figlia per te.","Madre, ¿necesitas algo?
Quiero ser una hija mejor.","Mother, do you need anything?
I want to be a good daughter.","Anne, bir şeye ihtiyacın var mı?
İyi bir kız çocuğu olmak istiyorum."
11,MID_様子_ンン_後_親子_母,"Je voudrais bien avoir un autre prénom.
Quoi, ça ne vous semble pas possible ?","Du könntest mir einen neuen Namen
geben... Was? Ist das ein Problem?","Potresti darmi un nuovo nome?
Cosa? È un problema?","¿Y si me pones un nombre nuevo? ¿Qué
pasa? ¿Te supone algún problema?","Could you give me a new name? ...What?
Is that a problem?","Bana yeni bir isim verebilir misin?
...Ne? Bu bir sorun mu?"
12,MID_様子_ンン_前_親子_父,"Père, avez-vous besoin de quelque chose ?
Je voudrais vous faire un cadeau.","Gibt es etwas, das du brauchst, Vater?
Ich möchte dir ein Geschenk kaufen.","Ti serve qualcosa, papà?
Voglio farti un regalo.","¿Necesitas algo, padre? Quiero
comprarte un regalo.","Is there anything you need, Father?
I want to buy you a present.","İhtiyacınız olan bir şey var mı baba?
Sana bir hediye almak istiyorum."
13,MID_様子_ンン_後_親子_父,"Une dracopierre m'irait très bien. Mais
ce n'est pas facile à dégoter, j'en conviens.","Ein Drachenstein wäre toll. Ob du die dafür
nötige Bergbesteigung überlebst?","Mi piacerebbe una pietra di drago, ma
devi scalare una montagna per prenderla.","Una piedra dragón me vendría fenomenal,
pero son tan difíciles de conseguir...","A dragonstone would be lovely, but will you
survive the mountain climb to get one?","Bir ejderha taşı çok güzel olurdu ama bir
ejderha taşı almak için dağ tirmanisindan
sağ çikabilecek misin?"
14,MID_様子_ンン_前_恋人,"Qu'avez-vous là, $Np ?
Je n'ai jamais rien vu de pareil.","Was hast denn da, $Np?
Ich hab so was noch nie gesehen.","Che cosa hai lì, $Np?
Non ho mai visto nulla del genere.","¿Qué llevas ahí, $Np?
¿Puedo verlo?","What do you have there, $Np?
I've never seen anything like it.","Orada ne var, $Np?
Hiç böyle bir şey görmemiştim."
15,MID_様子_ンン_後_恋人,"C'est un accessoire que j'ai fabriqué
avec l'une de mes anciennes dents !","Schmuck. Hab ich aus einem meiner alten
Zähne gemacht. Willst du ihn? Ich hab viele.","È un accessorio che ho ricavato dalle mie
vecchie zanne. Ne vuoi uno? Io ne ho mille.","Es un collar que hice con un colmillo que se
me cayó. ¿Lo quieres? Los tengo a pares.","It's an accessory I made from one of my
old fangs. Would you like it? I have tons.","Eski dislerimin birinden yaptığım bir
aksesuar. Hoşunuza gider mi? Tonlarca var."
