entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}So{{TAG:0007:0000:14000000}} my {{TAG:0011:0003:0000}}
catches your eye, huh?{{TAG:0007:0001:}} {{TAG:0003:0004:}}I think it's a
great example of refined taste.
{{TAG:0003:000B:}}Let's see{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} I could let you have it
for {{TAG:0007:0000:08000000}}{{TAG:0000:0003:0200}}{{TAG:0003:0001:}}{{TAG:0004:000A:0000}} B{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}ells{{TAG:0000:0003:FFFF}}!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Let me have it!
No, thanks.","{{TAG:0003:0001:}}Así que{{TAG:0007:0000:14000000}} mi {{TAG:0011:0003:0000}}
te ha llamado la atención, ¿eh?{{TAG:0007:0001:}} {{TAG:0003:0004:}}Se
nota que tienes muy buen gusto.
{{TAG:0003:000B:}}Vamos a ver{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} ¡Te l{{TAG:000E:0008:00CD02006F000200610002003000}} podría
vender por {{TAG:0007:0000:08000000}}{{TAG:0000:0003:0200}}{{TAG:0003:0001:}}{{TAG:0004:000A:0000}} bayas{{TAG:0000:0003:FFFF}}!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
¡Para mí!
No, gracias","{{TAG:0003:0001:}}Alors tu voudrais m'acheter
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} ?{{TAG:0007:0001:}}{{TAG:0003:0004:}}
Je vois que tu as du goût.
{{TAG:0003:000B:}}Voyons voir{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Je suis prêt à te {{TAG:000E:0008:00CD04006C00650004006C0061000000}}
laisser pour {{TAG:0007:0000:08000000}}{{TAG:0000:0003:0200}}{{TAG:0003:0001:}}{{TAG:0004:000A:0000}} clochette{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}s {{TAG:0000:0003:FFFF}}!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Je prends !
Je laisse.","{{TAG:0003:0001:}}Sapevo che ti sarebbe piaciut{{TAG:000E:0008:00CD02006F000200610002003000}}
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}!
{{TAG:0007:0001:}}{{TAG:0003:0004:}}È un esempio di stile e raffinatezza!
{{TAG:0003:000B:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} potrei vendertel{{TAG:000E:0008:00CD02006F000200610002003000}}
per {{TAG:0007:0000:08000000}}{{TAG:0000:0003:0200}}{{TAG:0003:0001:}}{{TAG:0004:000A:0000}} stelline{{TAG:0000:0003:FFFF}}!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Affare fatto!
No, grazie.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0008:00CD08006D00650069006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}
lacht dich an, was?{{TAG:0007:0000:14000000}} {{TAG:0003:0004:}}Du hast echt
einen prima Geschmack!
{{TAG:0003:000B:}}Hm...{{TAG:0007:0000:28000000}} Für {{TAG:0000:0003:0200}}{{TAG:0003:0001:}}{{TAG:0004:000A:0000}} {{TAG:000E:0009:00CD0E0053007400650072006E00690073000C0053007400650072006E0069000E0053007400650072006E0069007300}}{{TAG:0000:0003:FFFF}} kannst du
{{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} mitnehmen!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Her damit!
Nein danke.","{{TAG:0003:0001:}}Demek{{TAG:0007:0000:14000000}} {{TAG:0011:0003:0000}}ım gözüne takıldı, ha?{{TAG:0007:0001:}}
{{TAG:0003:0004:}}Bence incelikli zevkin
harika bir örneği.
{{TAG:0003:000B:}}Bakayım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Sana {{TAG:0007:0000:08000000}}{{TAG:0000:0003:0200}}{{TAG:0003:0001:}}{{TAG:0004:000A:0000}} B{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}ell{{TAG:0000:0003:FFFF}}e verebilirim!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Ver bana!
Yok, sağ ol."
1,002,"{{TAG:0003:000F:}}{{TAG:0007:000B:}}Wow wow!{{TAG:0007:0000:14000000}} You've got great taste
as usual, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}I'll sell my {{TAG:0011:0003:0000}}
to you for {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}Bells{{TAG:0000:0003:FFFF}}!{{TAG:0007:0001:}} {{TAG:0003:0017:}}How about
it?{{TAG:0007:0000:14000000}} Do you wanna buy it?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
I'll buy! I'll buy!
Nah.","{{TAG:0003:000F:}}{{TAG:0007:000B:}}¡Anda, caramba!{{TAG:0007:0000:14000000}} ¡Tienes muy
buen gusto como de costumbre,
{{TAG:0005:0008:}}!
{{TAG:0003:0001:}}¿Quieres comprarme mi
{{TAG:0011:0003:0000}}
por {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}bayas{{TAG:0000:0003:FFFF}}?{{TAG:0007:0001:}} {{TAG:0003:0017:}}¿Qué me dices?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
¡Compro, compro!
Bah, no...","{{TAG:0003:000F:}}{{TAG:0007:000B:}}Excellent !{{TAG:0007:0000:14000000}} Je savais que tu avais du
goût, {{TAG:0005:0008:}} !{{TAG:0000:0004:}}{{TAG:0003:0001:}}Je veux bien te vendre
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} pour
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} clochette{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}s{{TAG:0000:0003:FFFF}}, {{TAG:0005:0007:}} !
{{TAG:0003:0017:}}Alors ?{{TAG:0007:0000:14000000}} Le prix te va ?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Oui ! Ça me va !
Non, trop cher.","{{TAG:0003:000F:}}{{TAG:0007:000B:}}Mitico!{{TAG:0007:0000:14000000}} Si vede subito che tu
di arredamento te ne intendi,
{{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Che ne dici se ti vendo quest{{TAG:000E:0008:00CD02006F000200610002003000}}
{{TAG:0011:0003:0000}} per
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}stelline{{TAG:0000:0003:FFFF}}!{{TAG:0007:0001:}} {{TAG:0003:0017:}}Ti interesserebbe?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Eccome!
No, grazie.","{{TAG:0003:000F:}}{{TAG:0007:000B:}}Oooh!{{TAG:0007:0000:14000000}} Du hast echt einen guten
Geschmack, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}
geb ich dir für nur {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} {{TAG:000E:0009:00CD0E0053007400650072006E00690073000C0053007400650072006E0069000E0053007400650072006E0069007300}}{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0017:}}Willst du {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} kaufen?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Kaufen! Kaufen!
Nö.","{{TAG:0003:000F:}}{{TAG:0007:000B:}}Vay vay!{{TAG:0007:0000:14000000}} Her zamanki gibi zevkin iyi,
{{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}{{TAG:0011:0003:0000}}ımı sana {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}Bell{{TAG:0000:0003:FFFF}}e
satarım!{{TAG:0007:0001:}} {{TAG:0003:0017:}}Ne dersin?{{TAG:0007:0000:14000000}} Almak ister misin?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Alırım! Alırım!
Yok."
2,003,"{{TAG:0003:000D:}}Well, I'm pretty attached to my
{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Hmmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0028:}}But I'm feeling generous
today!{{TAG:0007:0000:28000000}} I'll give it to you for {{TAG:0000:0003:0200}}{{TAG:0003:0026:}}{{TAG:0004:000A:0000}}
{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}Bells{{TAG:0000:0003:FFFF}}!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Gimme!
Nah, that's OK.","{{TAG:0003:000D:}}Bueno, es que le tengo cariño
a mi {{TAG:0011:0003:0000}}...{{TAG:0000:0004:}}{{TAG:0003:000B:}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0028:}}¡Pero hoy me siento
generoso!{{TAG:0007:0000:28000000}} ¡Te l{{TAG:000E:0008:00CD02006F000200610002003000}} venderé
por {{TAG:0000:0003:0200}}{{TAG:0003:0026:}}{{TAG:0004:000A:0000}} bayas{{TAG:0000:0003:FFFF}}!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
¡Trae para acá!
Déjalo, no importa","{{TAG:0003:000D:}}Eh bien... Pour tout dire, c'est {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}} {{TAG:000E:0008:00CD0C00610075007100750065006C001400E00020006C0061007100750065006C006C0065000000}} je
suis particulièrement attaché...
{{TAG:0003:000B:}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Mais comme tu es un{{TAG:000E:0006:000002006500}} ami{{TAG:000E:0006:000002006500}},
{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}}je veux bien te {{TAG:000E:0008:00CD04006C00650004006C0061000000}} céder. À prix
d'ami, bien sûr. {{TAG:0000:0003:0200}}{{TAG:0003:0026:}}{{TAG:0004:000A:0000}} clochette{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}s {{TAG:0000:0003:FFFF}}?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Vendu !
Sans moi.","{{TAG:0003:000D:}}Caspitina, ci tengo molto {{TAG:000E:0008:00CD0C0061006C0020006D0069006F00100061006C006C00610020006D006900610002003000}}
{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0028:}}Oggi però mi sento
generoso!{{TAG:0007:0000:28000000}} Facciamo che te l{{TAG:000E:0008:00CD02006F000200610002003000}} vendo
per {{TAG:0000:0003:0200}}{{TAG:0003:0026:}}{{TAG:0004:000A:0000}} {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}stelline{{TAG:0000:0003:FFFF}}!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Ci sto!
No, non mi va bene.","{{TAG:0003:000D:}}Oje, oje, ich hänge doch so an
{{TAG:000E:0008:00CD0C006D00650069006E0065006D000C006D00650069006E00650072000C006D00650069006E0065006D00}} {{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Hmmm...{{TAG:0007:0000:28000000}} {{TAG:0003:0028:}}Nein, ich bin heute mal
großzügig.{{TAG:0007:0000:28000000}} Für {{TAG:0000:0003:0200}}{{TAG:0003:0026:}}{{TAG:0004:000A:0000}} {{TAG:000E:0009:00CD0E0053007400650072006E00690073000C0053007400650072006E0069000E0053007400650072006E0069007300}}{{TAG:0000:0003:FFFF}}
kannst du {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} haben!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Juhu!
Schon gut, lass mal.","{{TAG:0003:000D:}}Şey, {{TAG:0011:0003:0000}}ıma bayağı
bağlıyım.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Hıııımm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0028:}}Ama bugün
cömertliğim üstümde!{{TAG:0007:0000:28000000}} {{TAG:0000:0003:0200}}{{TAG:0003:0026:}}{{TAG:0004:000A:0000}} {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}Bell{{TAG:0000:0003:FFFF}}e
senin olsun!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Ver bana!
Yok, gerek yok."
3,004,"{{TAG:0003:0003:}}A huh huh huh!{{TAG:0007:0000:14000000}} Of course you can
have my {{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}The thing is,{{TAG:0007:0000:08000000}} your pockets are full,
{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} How are you going to
carry it home?","{{TAG:0003:0003:}}¡Je, je, je!{{TAG:0007:0000:14000000}} ¡Pues claro que puedes
llevarte mi {{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Pero veo que{{TAG:0007:0000:08000000}} tienes los bolsillos
llenos, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} ¿Así cómo
te vas a llevar nada a casa?","{{TAG:0003:0003:}}Je le savais !{{TAG:0007:0000:14000000}} Tu veux
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} ?
Pas de problème !{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ah, si...{{TAG:0007:0000:08000000}} Problème quand même. Tu
as déjà trop d'objets, tu ne peux
plus rien porter, {{TAG:0005:0008:}}.","{{TAG:0003:0003:}}Ah ah ah!{{TAG:0007:0000:14000000}} Certo che puoi comprare
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ma mi pare che tu{{TAG:0007:0000:08000000}} abbia le tasche
piene, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Come pensavi
di portartel{{TAG:000E:0008:00CD02006F000200610002003000}} a casa?","{{TAG:0003:0003:}}Äh, he he he!{{TAG:0007:0000:14000000}} Du möchtest {{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}}
{{TAG:0011:0003:0000}}?{{TAG:0007:0000:14000000}} Aber klar,
warum nicht!
{{TAG:0003:0009:}}Äh, aber deine Taschen sind voll,
{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Wie willst du {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} denn
nach Hause tragen?","{{TAG:0003:0003:}}Ah hah hah!{{TAG:0007:0000:14000000}} Tabii ki {{TAG:0011:0003:0000}}ımı
alabilirsin!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ama şöyle bir şey var:{{TAG:0007:0000:08000000}}
ceplerin dolu, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Eve
nasıl taşıyacaksın?"
4,005,"{{TAG:0003:0009:}}Huh?{{TAG:0007:0000:14000000}} You changed your mind?{{TAG:0007:0000:28000000}}
But you could totally have it...","{{TAG:0003:0009:}}¿Eh?{{TAG:0007:0000:14000000}} ¿Has cambiado de opinión?{{TAG:0007:0000:28000000}}
Pero si no me importaba que
fuera para ti...","{{TAG:0003:0009:}}Ah ?{{TAG:0007:0000:14000000}} Tu as changé d'avis ?{{TAG:0007:0000:28000000}} Tu es
sûr{{TAG:000E:0006:000002006500}} que tu n'en veux pas ?","{{TAG:0003:0009:}}Eh?{{TAG:0007:0000:14000000}} Hai cambiato idea?
Ma come? Ti lasci sfuggire
un'occasione del genere?","{{TAG:0003:0009:}}Hast du's dir doch anders überlegt?{{TAG:0007:0000:28000000}}
{{TAG:000E:0008:00CD1200440065006E00200061006C00740065006E001000440069006500200061006C00740065001000440061007300200061006C0074006500}} {{TAG:0011:0003:0000}}
hättest du wirklich haben können!","{{TAG:0003:0009:}}Hı?{{TAG:0007:0000:14000000}} Fikrini mi değiştirdin?{{TAG:0007:0000:28000000}}
Ama gerçekten alabilirdin..."
5,006,"{{TAG:0003:0009:}}Looks like you don't have enough
money...{{TAG:0007:0001:}} Sorry, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} but I've
got a hungry mouth to feed!","{{TAG:0003:0009:}}Parece que no tienes suficientes
bayas...{{TAG:0007:0001:}} Lo siento, {{TAG:0005:0008:}}...{{TAG:0007:0000:14000000}}
¡Es que la comida está muy cara!","{{TAG:0003:0009:}}Oh... Désolé, mais tu n'as pas assez
de clochettes...{{TAG:0007:0001:}} Ah, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} j'ai 
une bouche à nourrir, tu sais...","{{TAG:0003:0009:}}Mi sa che non hai abbastanza
stelline...{{TAG:0007:0001:}} Scusa, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} ma
ho una bocca da sfamare: la mia!","{{TAG:0003:0009:}}Oje, du hast ja gar nicht genug
Sternis dabei...{{TAG:0000:0004:}}Tut mir leid, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} aber ich
muss {{TAG:000E:0008:01CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0005:0010:0100}}
auch irgendwie bezahlen!","{{TAG:0003:0009:}}Yeterince paran yok gibi...{{TAG:0007:0001:}} Kusura
bakma, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} ama doyurmam gereken
aç bir ağız var!"
6,007,"{{TAG:0003:0009:}}Sorry, {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}} This little
{{TAG:0011:0003:0000}} is, like, my
best friend{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Can you pick something else?","{{TAG:0003:0009:}}Perdona, {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}} Est{{TAG:000E:0008:00CD020065000200610002003000}}
{{TAG:0011:0003:0000}} es... bueno,
es mi mejor amig{{TAG:000E:0008:00CD02006F000200610002003000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
¿No podrías elegir otra cosa?","{{TAG:0003:0009:}}Désolé, {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}} Mais {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}, c'est
comme {{TAG:000E:0008:00CD0C0075006E00200061006D006900100075006E006500200061006D00690065000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0028:}}Je ne peux pas te vendre {{TAG:000E:0008:00CD0C0075006E00200061006D006900100075006E006500200061006D00690065000000}}.","{{TAG:0003:0009:}}Mi dispiace, {{TAG:0005:0008:}},{{TAG:0007:0000:28000000}} ma quest{{TAG:000E:0008:00CD02006F000200610002003000}}
{{TAG:0011:0003:0000}} è un caro
ricordo del prozio di mio nonno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Puoi scegliere qualcos'altro?","{{TAG:0003:0009:}}Das tut mir total leid, {{TAG:0005:0008:}}...{{TAG:0007:0000:28000000}}
Aber {{TAG:000E:0008:00CD0C006400690065007300650072000A00640069006500730065000C00640069006500730065007300}} {{TAG:0011:0003:0000}}
ist doch {{TAG:000E:0008:00CD24006D00650069006E002000620065007300740065007200200046007200650075006E00640028006D00650069006E006500200062006500730074006500200046007200650075006E00640069006E0024006D00650069006E002000620065007300740065007200200046007200650075006E006400}}!
Kannst du dir irgendwas anderes
aussuchen?","{{TAG:0003:0009:}}Kusura bakma, {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}} Bu küçük
{{TAG:0011:0003:0000}} benim resmen
en iyi arkadaşım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Başka bir şey seçebilir misin?"
7,008,"{{TAG:0003:0012:}}HUH?!{{TAG:0007:0000:28000000}} {{TAG:0003:0029:}}I didn't think you'd want my 
{{TAG:0011:0003:0000}}.{{TAG:0007:0001:}} {{TAG:0003:0009:}}Sorry, but
no sale!{{TAG:0007:0000:28000000}} It's like a brother to me.
{{TAG:0003:0001:}}You should go catch your own,
{{TAG:0005:0008:}}!","{{TAG:0003:0012:}}¡¿Eh?!{{TAG:0007:0000:28000000}} {{TAG:0003:0029:}}No esperaba que quisieras 
mi {{TAG:0011:0003:0000}}.{{TAG:0007:0001:}} {{TAG:0003:0009:}}Lo
siento, ¡eso sí que no puede ser!
Para mí es como u{{TAG:000E:0008:00CD02006E0004006E00610002003000}} herman{{TAG:000E:0008:00CD02006F000200610002003000}}.
{{TAG:0003:0001:}}¡Deberías ir y pescarte {{TAG:000E:0008:00CD040065006C0004006C00610002003000}} tuy{{TAG:000E:0008:00CD02006F000200610002003000}},
{{TAG:0005:0008:}}!","{{TAG:0003:0012:}}Hein ?!{{TAG:0007:0000:28000000}} {{TAG:0003:0029:}}Avec tout ce que j'ai, je
n'aurais pas cru que tu choisirais
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}...
{{TAG:0003:0009:}}Eh bien, désolé mais je ne peux pas
vendre un poisson.{{TAG:0007:0000:28000000}} Je les aime trop.
{{TAG:0003:0001:}}Et j'ai invité celui-ci à dîner ce soir.","{{TAG:0003:0012:}}COSA?!{{TAG:0007:0000:28000000}} {{TAG:0003:0029:}}Non immaginavo
che avresti voluto comprare
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Scusa ma non posso vendertel{{TAG:000E:0008:00CD02006F000200610002003000}}!
{{TAG:0007:0000:28000000}}Sai com'è, {{TAG:0005:0008:}}, fa quasi
parte della famiglia ormai!","{{TAG:0003:0012:}}{{TAG:000E:0008:00CD08004D00650069006E000A004D00650069006E00650008004D00650069006E00}} {{TAG:0011:0003:0000}}?!?{{TAG:0007:0000:28000000}}
{{TAG:0003:0029:}}Äh, damit hab ich jetzt gar nicht
gerechnet,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
{{TAG:0003:0009:}}{{TAG:000E:0008:00CD0600440065006E0006004400690065000600440061007300}} verkauf ich gar nicht!{{TAG:0007:0000:14000000}} {{TAG:000E:0008:00CD060044006500720006004400690065000600440061007300}} ist
doch wie {{TAG:000E:0008:00CD1400650069006E0020004200720075006400650072001C00650069006E00650020005300630068007700650073007400650072001400650069006E002000420072007500640065007200}} für mich!","{{TAG:0003:0012:}}NE?!{{TAG:0007:0000:28000000}} {{TAG:0003:0029:}}Benim {{TAG:0011:0003:0000}}ımı isteyeceğini hiç
düşünmemiştim.{{TAG:0007:0001:}} {{TAG:0003:0009:}}Kusura bakma ama satılık
değil!{{TAG:0007:0000:28000000}} Kardeşim gibi.
{{TAG:0003:0001:}}Sen kendine bir tane yakalasan iyi
olur, {{TAG:0005:0008:}}!"
8,009,"{{TAG:0003:0009:}}Sorry,{{TAG:0007:0000:14000000}} but I can't sell that.{{TAG:0007:0000:14000000}} It means
too much to me,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Lo siento,{{TAG:0007:0000:14000000}} pero eso no te lo puedo
vender.{{TAG:0007:0000:14000000}} Para mí tiene valor
sentimental,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Désolé,{{TAG:0007:0000:14000000}} mais je ne peux pas te
vendre ça.{{TAG:0007:0000:14000000}} J'y tiens trop, tu
comprends,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Mi dispiace,{{TAG:0007:0000:14000000}} ma non è in vendita.{{TAG:0007:0000:14000000}}
Ci sono troppo affezionato,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Tut mir leid, aber {{TAG:000E:0008:00CD20006D00650069006E0065006E002000670065006C00690065006200740065006E001C006D00650069006E0065002000670065006C00690065006200740065001C006D00650069006E002000670065006C00690065006200740065007300}}
{{TAG:0011:0003:0000}} geb ich
nicht her,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Kusura bakma,{{TAG:0007:0000:14000000}} ama onu satamam.{{TAG:0007:0000:14000000}} Benim
için çok değerli,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:000F:}}{{TAG:0007:000B:}}No way!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}That's one of my favorite
things!{{TAG:0007:0000:14000000}} You gotta pick something
else!","{{TAG:0003:000F:}}{{TAG:0007:000B:}}¡Imposible!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}¡Eso es lo que más me
gusta de todo lo que hay aquí!{{TAG:0007:0000:14000000}}
¿No puedes elegir otra cosa?","{{TAG:0003:000F:}}{{TAG:0007:000B:}}Ah non, pas ça !{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}C'est ce que je
préfère dans cette maison.{{TAG:0007:0000:14000000}} C'est ça
qui lui donne son charme.
{{TAG:0003:0015:}}Jette plutôt un œil aux autres
objets, {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}{{TAG:0007:000B:}}Neanche per sogno!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Ci tengo
tantissimissimo!{{TAG:0007:0000:14000000}} Non potresti
scegliere qualcos'altro?!","{{TAG:0003:000F:}}{{TAG:0007:000B:}}NEIN!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Das ist doch mein absolutes
Lieblingsstück!{{TAG:0007:0000:14000000}} Bitte, bitte, such
dir was anderes aus!","{{TAG:0003:000F:}}{{TAG:0007:000B:}}Olmaz!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}O en sevdiğim şeylerden biri!{{TAG:0007:0000:14000000}}
Başka bir şey seçmen lazım!"
