entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Hello!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Welcome to the handmade-
fashion palace of the one and only
{{TAG:0000:0003:0200}}Able Sisters{{TAG:0000:0003:FFFF}}!","¡Hola!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}¡Bienvenid{{TAG:000E:0006:02006F0002006100}} a {{TAG:0000:0003:0200}}Hermanas
Manitas{{TAG:0000:0003:FFFF}}, diseño que pones,
diseño que quitas!","{{TAG:0003:0001:}}Bienvenue dans le temple de la
couture des {{TAG:0000:0003:0200}}sœurs Doigts de Fée {{TAG:0000:0003:FFFF}}!","Ciao!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Prego, accomodati!{{TAG:0000:0004:}}Benvenut{{TAG:000E:0006:02006F0002006100}} nel tempio della
moda delle uniche e inimitabili
{{TAG:0000:0003:0200}}Sorelle Ago e Filo{{TAG:0000:0003:FFFF}}!","Hi, grüß dich! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Willkommen in
unserer {{TAG:0000:0003:0200}}Schneiderei{{TAG:0000:0003:FFFF}}!","Merhaba!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}El yapımı modanın tek
adresi {{TAG:0000:0003:0200}}Able Sisters{{TAG:0000:0003:FFFF}}'a hoş geldin!"
1,002,"Oh, {{TAG:0007:0000:0F000000}}{{TAG:0003:0001:}}welcome!","¡Oh, {{TAG:0007:0000:0F000000}}{{TAG:0003:0001:}}bienvenid{{TAG:000E:0006:02006F0002006100}}!","Entre, {{TAG:0007:0000:0F000000}}{{TAG:0003:0001:}}bienvenue !","Oh, {{TAG:0007:0000:0F000000}}{{TAG:0003:0001:}}benvenut{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0001:}}Oh, herzlich willkommen!","Aa, {{TAG:0007:0000:0F000000}}{{TAG:0003:0001:}}hoş geldin!"
2,003,{{TAG:0003:0001:}}Thanks! You come back now!,{{TAG:0003:0001:}}¡Gracias!{{TAG:0007:0000:0A000000}} Vuelve cuando quieras.,{{TAG:0003:0001:}}Merci et à bientôt !,{{TAG:0003:0001:}}Grazie della visita! Torna presto!,"{{TAG:0003:0001:}}Danke! {{TAG:0007:0000:14000000}}Wir freuen uns auf
deinen nächsten Besuch!",{{TAG:0003:0001:}}Teşekkürler! Yine bekleriz!
3,004,{{TAG:0003:0001:}}Welcome!,{{TAG:0003:0001:}}¡Bienvenid{{TAG:000E:0006:02006F0002006100}}!,{{TAG:0003:0001:}}Bienvenue !,{{TAG:0003:0001:}}Benvenut{{TAG:000E:0006:02006F0002006100}}!,{{TAG:0003:0001:}}Herzlich willkommen!,{{TAG:0003:0001:}}Hoş geldin!
4,005,"{{TAG:0003:0001:}}The {{TAG:0005:0023:00CD}} vibe of the
{{TAG:0011:0003:0000}} is nice,
right?{{TAG:0007:0001:}} I'm a real fan!
That item costs {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bells{{TAG:0000:0003:FFFF}}.
What do you think?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
I'll take it!
I'd like to try it on.
Never mind.","{{TAG:0003:0001:}}Est{{TAG:000E:0008:00CD02006500020061000000}} {{TAG:0011:0003:0000}} de
diseño {{TAG:0005:0023:00CD}} cuesta
{{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} bayas{{TAG:0000:0003:FFFF}}. ¿Te gusta?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
¡Sí, compro!
¿Hay probador?
Déjalo","C'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !
J'aime son côté {{TAG:0005:0023:00CD}}...{{TAG:0007:0000:0A000000}}
{{TAG:000E:0012:1000040049006C00080045006C006C0065000000}} est à {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} clochettes{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Je prends !
Je peux essayer ?
Non merci.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
dal look davvero {{TAG:0005:0023:00CD}},
non trovi?{{TAG:0007:0001:}} Costa {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} stelline{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Compro!
Vediamo come mi sta!
Lasciamo perdere.","{{TAG:0003:0001:}}Toll, wie {{TAG:0005:0023:00CD}} {{TAG:000E:0001:}}
{{TAG:0011:0003:0000}} wirkt, hm?{{TAG:0007:0000:14000000}}
{{TAG:000E:0012:10000400450072000600530069006500040045007300}} kostet {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Sternis{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Nehme ich!
Erst mal anprobieren!
Nein danke.","{{TAG:0003:0001:}}{{TAG:0005:0023:00CD}} havası olan şu {{TAG:0011:0003:0000}} gerçekten hoş,
değil mi?{{TAG:0007:0001:}} Ben bayılıyorum!
Fiyatı {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bell{{TAG:0000:0003:FFFF}}. Ne dersin?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Alıyorum!
Denemek istiyorum.
Kalsın."
5,006,"Ah, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Like that {{TAG:0005:0023:00CD}} vibe?{{TAG:0000:0004:}}With matching accessories,{{TAG:0007:0000:0A000000}} you'd
look like {{TAG:000E:0002:}}{{TAG:0011:0009:0100}}!{{TAG:0007:0000:05000000}}
Wouldn't that be wonderful?{{TAG:0000:0004:}}The item costs {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bells{{TAG:0000:0003:FFFF}}.
What do you think?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
I'll buy it!
Can I try it on?
I'll pass.","Ah, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Lo {{TAG:0005:0023:00CD}} se lleva mucho 
últimamente.{{TAG:0000:0004:}}¡Con los complementos adecuados,{{TAG:0007:0000:0A000000}}
tu estilo de {{TAG:0011:0009:0100}}
será de primera!{{TAG:0007:0000:05000000}} ¡Qué divertido!{{TAG:0000:0004:}}El precio es de {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} bayas{{TAG:0000:0003:FFFF}}.
¿Te interesa?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
¡Ya lo creo!
¿Probador?
Paso...","C'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !
Le style {{TAG:0005:0023:00CD}} te plaît,
n'est-ce pas ?
{{TAG:0003:0001:}}Avec les bons accessoires, tu
ressembleras à {{TAG:000E:0002:}}
{{TAG:0011:0009:0100}} !
Ça coûte {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} clochettes{{TAG:0000:0003:FFFF}}.
Qu'en dis-tu ?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Je prends !
Je peux essayer ?
Non merci.","Ah, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Lo stile {{TAG:0005:0023:00CD}} è
davvero all'ultimo grido!{{TAG:0000:0004:}}Con gli accessori giusti,{{TAG:0007:0000:0A000000}} sarai
{{TAG:000E:0002:}}{{TAG:0011:0009:0100}} perfett{{TAG:000E:0008:01CD02006F000200610002003000}}!{{TAG:0007:0000:05000000}}
Non è fantastico?{{TAG:0000:0004:}}Il prezzo è di {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} stelline{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Compro!
Vediamo come mi sta!
Lasciamo stare...","Ah, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Gefällt es dir auch so gut,
wie {{TAG:0005:0023:00CD}} {{TAG:000E:0012:10000400650072000600730069006500040065007300}} wirkt?
Mit den passenden Accessoires
wäre {{TAG:000E:0001:}}{{TAG:0011:0009:0100}}
einfach nur perfekt!
Wäre das nicht zauberhaft?{{TAG:0000:0004:}}Der Preis liegt bei
{{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Sternis{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Nehme ich!
Erst mal anprobieren!
Lieber doch nicht...","Aa, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}{{TAG:0005:0023:00CD}} havasını sevdin demek?{{TAG:0000:0004:}}
Uygun aksesuarlarla{{TAG:0007:0000:0A000000}} tıpkı {{TAG:000E:0002:}}{{TAG:0011:0009:0100}} gibi
görünürsün!{{TAG:0007:0000:05000000}} Harika olmaz mı?{{TAG:0000:0004:}}
Fiyatı {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bell{{TAG:0000:0003:FFFF}}. Ne dersin?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Satın alayım!
Deneyeyim.
Kalsın."
6,007,"Oh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Isn't that {{TAG:0005:0023:00CD}} style
just extra nice?
Pairing this item with a matching
shirt will complete the look. Just
like {{TAG:000E:0002:}}{{TAG:0011:0009:0100}}!{{TAG:0007:0000:05000000}}
Wouldn't that be fun?{{TAG:0000:0004:}}The item costs {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bells{{TAG:0000:0003:FFFF}}.
What do you think?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
I'll buy it!
Can I try it on first?
I'll pass.","Oh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Ese toque {{TAG:0005:0023:00CD}} que
tiene l{{TAG:000E:0008:00CD02006F00020061000000}} hace irresistible.
¡Si te pones una camiseta a juego,{{TAG:0007:0000:0A000000}}
irás con un estilo de
{{TAG:0011:0009:0100}} total!{{TAG:0007:0000:05000000}}
¿No te parece divertido?{{TAG:0000:0004:}}Solo cuesta {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} bayas{{TAG:0000:0003:FFFF}}.
¿Te animas?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
¡Compro, compro!
¿Hay probador?
Mejor no...","C'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0A000000}}
Son style {{TAG:0005:0023:00CD}} est du
meilleur effet !
{{TAG:0003:0001:}}Avec le haut assorti,{{TAG:0007:0000:0A000000}} tu
ressembleras à {{TAG:000E:0002:}}
{{TAG:0011:0009:0100}} !
Nous {{TAG:000E:0012:100004006C00650004006C0061000000}} faisons à
{{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} clochettes{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Je prends !
Je peux essayer ?
Non merci.","Oh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Questo tocco {{TAG:0005:0023:00CD}} l{{TAG:000E:0008:00CD02006F000200610002003000}}
rende un capo davvero speciale!
Abbinandol{{TAG:000E:0008:00CD02006F000200610002003000}} alla maglia giusta,{{TAG:0007:0000:0A000000}}
completerai il tuo look
da {{TAG:0011:0009:0100}}!{{TAG:0007:0000:05000000}}
Che divertente, non trovi?{{TAG:0000:0004:}}Costa {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} stelline{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Compro!
Vediamo come mi sta!
Lasciamo stare...","Oh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Ist es nicht ganz entzückend,
wie {{TAG:0005:0023:00CD}} {{TAG:000E:0012:10000400650072000600730069006500040065007300}} wirkt?
Wenn du {{TAG:000E:0012:10000600690068006E000600730069006500040065007300}} mit einem passenden
Shirt kombinierst, wäre {{TAG:000E:0001:}}
{{TAG:0011:0009:0100}} perfekt!
Das wäre doch spaßig, oder?{{TAG:0000:0004:}}{{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Sternis {{TAG:0000:0003:FFFF}}macht das.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Nehme ich!
Erst mal anprobieren!
Lieber doch nicht...","Aa, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}Şu {{TAG:0005:0023:00CD}} tarzı ne kadar hoş,
değil mi? Uyumlu bir üstle tam
bir takım olur. Tıpkı {{TAG:000E:0002:}}{{TAG:0011:0009:0100}} gibi!{{TAG:0007:0000:05000000}}
Eğlenceli olmaz mı?{{TAG:0000:0004:}}Fiyatı {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bell{{TAG:0000:0003:FFFF}}.
Ne dersin?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Satın alayım!
Önce deneyeyim.
Kalsın."
7,008,"Ooh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Don't you simply love the 
{{TAG:0005:0023:00CD}} style?
Pairing with a matching item will
create the look of {{TAG:000E:0002:}}
{{TAG:0011:0009:0100}}!{{TAG:0007:0000:05000000}} Wonderful, yes?
The item costs {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bells{{TAG:0000:0003:FFFF}}.
What do you think?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
I'll buy it!
Can I try it on first?
I'll pass.","Ah, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Ese aire {{TAG:0005:0023:00CD}} que
desprende atrae todas las miradas.{{TAG:0000:0004:}}Ponte un artículo a juego y te verás
con un estilo de {{TAG:0011:0009:0100}}
maravilloso.{{TAG:0007:0000:05000000}}
¡La gente no notará la diferencia!
El precio es de {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} bayas{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
¡Compro!
¿Probador?
Voy a pasar","C'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !{{TAG:0007:0000:0A000000}}
{{TAG:0003:0001:}}J'aime beaucoup le style
{{TAG:0005:0023:00CD}} qui s'en dégage...
{{TAG:0003:0001:}}Avec un article de la même série,{{TAG:0007:0000:0A000000}} tu
ressembleras à {{TAG:000E:0002:}}
{{TAG:0011:0009:0100}} !
Ça coûte {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} clochettes{{TAG:0000:0003:FFFF}}.
Qu'en dis-tu ?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Je prends !
Je peux essayer ?
Non merci.","Oooh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Ti piace questo suo tocco un po'
{{TAG:0005:0023:00CD}}?{{TAG:0000:0004:}}Combinal{{TAG:000E:0008:00CD02006F000200610002003000}} con l'accessorio adatto
e sfoggerai un perfetto look
da {{TAG:0011:0009:0100}}!
Il prezzo è di {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} stelline{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Compro!
Vediamo come mi sta!
Lasciamo stare...","Oh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Gefällt dir nicht auch, wie
{{TAG:0005:0023:00CD}} {{TAG:000E:0012:10000400650072000600730069006500040065007300}} wirkt?
Wenn du {{TAG:000E:0012:10000600690068006E000600730069006500040065007300}} mit etwas Passendem
kombinierst, wäre {{TAG:000E:0001:}}
{{TAG:0011:0009:0100}} perfekt! {{TAG:0007:0000:14000000}}Toll!
Der Preis liegt bei
{{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Sternis{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Nehme ich!
Erst mal anprobieren!
Lieber doch nicht...","Ooo, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}Şu {{TAG:0005:0023:00CD}} tarza bayılmadın mı?
Uyumlu bir parçayla {{TAG:000E:0002:}}{{TAG:0011:0009:0100}} görünümünü
tamamlayabilirsin!{{TAG:0007:0000:05000000}} Harika, değil
mi? Fiyatı {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bell{{TAG:0000:0003:FFFF}}. Ne dersin?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Satın alayım!
Önce deneyeyim.
Kalsın."
8,009,"{{TAG:0007:0000:0A000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Oh, {{TAG:0007:0000:0A000000}}are you shopping for a present?{{TAG:0007:0001:}}
{{TAG:0003:0000:}}Well, I see you eyeing the
{{TAG:0011:0003:0000}} there.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Isn't the {{TAG:0005:0023:00CD}} look
rather nice?{{TAG:0000:0004:}}The item costs {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Bells{{TAG:0000:0003:FFFF}}.
What do you think?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
I'll buy it!
Can I try it on first?
I'll pass.","{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Oh, {{TAG:0007:0000:0A000000}}¿buscas un regalo para alguien
especial?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Esta prenda de aquí
es {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Tiene un diseño {{TAG:0005:0023:00CD}}
muy bonito.{{TAG:0000:0004:}}Cuesta {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} bayas{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
¡Compro!
¿Hay probador?
Déjalo...","C'est pour offrir ?{{TAG:0007:0001:}} Excellent choix,
c'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Son côté {{TAG:0005:0023:00CD}} est à
tomber, n'est-ce pas ?{{TAG:0000:0004:}}{{TAG:000E:0012:1000040049006C00080045006C006C0065000000}} est à {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} clochettes{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Je prends !
Je peux essayer ?
Non merci.","{{TAG:0007:0000:0A000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Oh, {{TAG:0007:0000:0A000000}}sei alla ricerca di un regalo?{{TAG:0007:0001:}}
{{TAG:0003:0000:}}Questo capolavoro della moda è
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0007:0000:0F000000}}
{{TAG:0003:0001:}}Che stile {{TAG:0005:0023:00CD}}
unico e straordinario!{{TAG:0000:0004:}}Costa {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} stelline{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Compro!
Vediamo come mi sta!
Magari un'altra volta...","{{TAG:0007:0000:0A000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Oh! {{TAG:0007:0000:14000000}}Du bist auf der Suche nach
einem Geschenk?{{TAG:0003:0000:}} {{TAG:0007:0000:14000000}}Das hier ist
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.
{{TAG:0003:0001:}}Hat es nicht das gewisse Etwas?{{TAG:0007:0000:14000000}}
Wie {{TAG:0005:0023:00CD}} {{TAG:000E:0012:10000400650072000600730069006500040065007300}} wirkt!{{TAG:0000:0004:}}{{TAG:000E:0012:10000400450072000600530069006500040045007300}} kostet {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}} Sternis{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Nehme ich!
Erst mal anprobieren!
Lieber doch nicht...","{{TAG:0007:0000:0A000000}}{{TAG:0003:000F:}}{{TAG:0007:0000:0A000000}}Aa, {{TAG:0007:0000:0A000000}}hediye mi bakıyorsun?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Gözün
şuradaki {{TAG:0011:0003:0000}} üzerinde gibi.{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}{{TAG:0005:0023:00CD}} tarzı
da gayet hoş, değil mi?{{TAG:0000:0004:}}Fiyatı {{TAG:0000:0003:0200}}{{TAG:0004:000C:0000}}
Bell{{TAG:0000:0003:FFFF}}. Ne dersin?{{TAG:000D:0008:02CD}}{{TAG:000F:0006:000000000000}}
Satın alayım!
Önce deneyeyim.
Kalsın."
9,010,"Oh,{{TAG:0007:0000:05000000}} OK. Never mind then.","Oh,{{TAG:0007:0000:05000000}} vale, no importa.","Oh,{{TAG:0007:0000:05000000}} très bien.","Oh,{{TAG:0007:0000:05000000}} OK, non fa niente.","Oh, wie schade. {{TAG:0007:0000:14000000}}Na gut...","Aa,{{TAG:0007:0000:05000000}} tamam. O zaman kalsın."
