entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000B:}}So you don't have any ordinances 
set up in this town? Huh.{{TAG:0000:0004:}}{{TAG:0003:0006:}}As a mayor, you can just go ahead
and make some laws, you know.","{{TAG:0003:000B:}}Así que no has impuesto ninguna
ordenanza en este pueblo, ¿eh?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Sabes que como alcald{{TAG:000E:0006:020065000600650073006100}} tienes
todo el derecho del mundo a legislar
y hacer valer tu autoridad, ¿no?","{{TAG:0003:000B:}}Alors comme ça, la vie en ville n'est
régie par aucun arrêté municipal...{{TAG:0000:0004:}}{{TAG:0003:0006:}}Qu'est-ce que t'attends ?! En tant
que maire, c'est à toi de t'occuper
de ces choses-là !","{{TAG:0003:000B:}}Non ci sono ordinanze
in questa città, giusto?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Di solito i sindaci fanno leggi...
Potresti scriverne un paio,
giusto per far qualcosa...","{{TAG:0003:000B:}}Es gelten echt keine Verordnungen
in dieser Stadt?!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Du weißt aber schon, {{TAG:0007:0000:08000000}}dass du als
{{TAG:000E:0006:1A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E00}} Gesetze machen
kannst, {{TAG:0007:0000:08000000}}oder?","{{TAG:0003:000B:}}Yani bu kasabada hiç yönetmelik yok,
ha?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Belediye başkanıysan bir iki kural
çıkarabilirsin, biliyorsun."
1,002,"Hey, why aren't there any
ordinances set up in this town?{{TAG:0000:0004:}}{{TAG:0003:0023:}}If I were mayor, I'd enact a law that
made morning runs mandatory!{{TAG:0000:0004:}}{{TAG:0003:0002:}}If I made an ordinance like that, you
would obey it, right? Right?!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","Oye, ¿cómo es que no hay
ordenanzas en este pueblo?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Si yo fuera alcalde, ¡impondría
una ley que hiciera obligatorio
salir a correr por la mañana!
{{TAG:0003:0002:}}Si yo hiciera esa ordenanza,
tú la acatarías, ¿no?{{TAG:0007:0000:28000000}} {{TAG:0003:0006:}}¿NO?{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}¡Sé que lo harías, ja, ja!","Au fait, qu'est-ce qu'ils attendent
dans cette ville pour prendre des
arrêtés municipaux ?!
{{TAG:0003:0002:}}Si j'étais maire, j'en pondrais un
qui rendrait le jogging matinal
obligatoire pour tous !
{{TAG:0003:0023:}}Bien sûr, tu t'y plierais avec joie,
pas vrai ?{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","Ehi, com'è che non c'è ancora
nessuna ordinanza in questa città?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Se io fossi il sindaco, farei una legge
per rendere obbligatoria
la corsetta mattutina!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Se esistesse una cosa del genere,
tu saresti obbligat{{TAG:000E:0006:02006F0002006100}} a correre
tutti i giorni! Ahahah!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","Warum hat diese Stadt denn gar
keine Verordnungen?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Wenn ich hier Bürgermeister wäre,
{{TAG:0007:0000:08000000}}würde ich mit 'ner Guten-Morgen-
Laufpflicht anfangen!
{{TAG:0003:0001:}}An die Verordnung würdest du dich
doch halten, {{TAG:0007:0000:08000000}}oder? {{TAG:0007:0000:28000000}}{{TAG:0003:000D:}}Oder?!","Hey, bu kasabada niye hiç yönetmelik
yok?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Ben başkan olsam sabah koşusunu
zorunlu yapardım!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Böyle bir yönetmelik
çıkarsam sen de uyarsın, değil
mi? Değil mi?!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
2,003,"{{TAG:0003:0001:}}There are no ordinances set up in
this town!{{TAG:0007:0001:}}{{TAG:0003:000B:}} Is that because the
mayor's a slacker?
{{TAG:0003:0028:}}Nah, that can't be the reason! {{TAG:0003:0025:}}
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¿No hay ordenanzas en este
pueblo?{{TAG:0007:0001:}} {{TAG:0003:000B:}}¡Será que hay mucho
vago en la alcaldía!
{{TAG:0003:0028:}}No, ¡qué va a ser por eso,{{TAG:0003:0025:}}
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Ici, les arrêtés municipaux, on ne
connaît pas !{{TAG:0007:0001:}} {{TAG:0003:000B:}}Tu dois penser que le
maire est une sacrée feignasse...
{{TAG:0003:0028:}}Mais en fait, rien à voir !{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Je crois
qu'au contraire, l'idée, c'est qu'on
soit le plus libre possible !","{{TAG:0003:0001:}}Non c'è nessuna ordinanza in questa
città!{{TAG:0007:0001:}}{{TAG:0003:000B:}} Forse il sindaco non ha troppa
voglia di lavorare?
{{TAG:0003:0028:}}Nah, non può essere per quello,{{TAG:0003:0025:}}
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Diese Stadt hat ja überhaupt keine
Verordnungen!{{TAG:0007:0000:28000000}}{{TAG:0003:000B:}} Vielleicht lässt ja {{TAG:000E:0006:06006400650072000600640069006500}}
{{TAG:000E:0006:1A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E00}} die Zügel schleifen.
{{TAG:0003:0028:}}Nein, {{TAG:0007:0000:14000000}}das kann's nicht sein!{{TAG:0003:0025:}}
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Bu kasabada hiç yönetmelik yok!{{TAG:0007:0001:}}{{TAG:0003:000B:}} Başkan
tembel olduğu için mi acaba? {{TAG:0003:0028:}}Yok
ya, sebebi o olamaz! {{TAG:0003:0025:}} {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0001:}}Your ordinance is pretty cool!{{TAG:0000:0004:}}{{TAG:0003:0004:}}I wake up early and go for a run
every day!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} It's ideas like that that
make you great, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Tu ordenanza mola mogollón!{{TAG:0000:0004:}}{{TAG:0003:0004:}}¡Todos los días me levanto y salgo
a correr!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} ¡Tienes ideas realmente
geniales, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Dis donc, pas mal ton arrêté, là !{{TAG:0000:0004:}}{{TAG:0003:0004:}}Depuis que je suis obligé de me
lever tôt,{{TAG:0007:0000:0F000000}} je cours tous les matins !{{TAG:0000:0004:}}{{TAG:0003:0020:}}On ne s'est pas trompés en te
choisissant comme maire,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Mi piace la tua ordinanza!{{TAG:0000:0004:}}{{TAG:0003:0004:}}Ogni mattina mi sveglio prestissimo
e vado a correre!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Non per niente
sei il sindaco, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Deine Verordnung ist echt cool!{{TAG:0000:0004:}}{{TAG:0003:0021:}}Jetzt können alle morgens aufstehen
und joggen!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Für deine Idee verdienst
du 'ne Goldmedaille, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Yönetmeliğin bayağı iyi!{{TAG:0000:0004:}}{{TAG:0003:0004:}}Her gün erken
kalkıp koşuya çıkıyorum!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} İşte seni
harika yapan fikirler bunlar, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0001:}}The mayor's ordinance is pretty
cool, I think!{{TAG:0000:0004:}}The place is really happenin' in the
morning, 'cause everyone is up so
early. And we go to bed early too!
It's so healthy! The mayor is really
looking out for everyone!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Pues la ordenanza municipal
está bastante bien!{{TAG:0000:0004:}}Como todo el mundo madruga,
¡este sitio se anima mucho por la
mañana! ¡Y nos acostamos pronto!
¡Es una vida muy saludable! ¡Qué
bien que se preocupen de nosotros
así desde la alcaldía, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}L'arrêté que le maire a pondu est
vraiment cool,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !{{TAG:0000:0004:}}Maintenant, la ville est super animée
de bon matin, vu que tout le monde
se lève tôt !
Et comme du coup, on se couche
moins tard, c'est hyper sain ! Notre
maire prend vraiment soin de nous !","{{TAG:0003:0001:}}L'ordinanza in vigore
è fenomenale!{{TAG:0000:0004:}}La città è vitale al mattino, ora che
tutti si svegliano presto. Inoltre,
andare a letto presto è salutare!
Il sindaco ha davvero a cuore
il benessere di tutti, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Die Verordnung von {{TAG:0005:001C:00CD}} find
ich einfach klasse!{{TAG:0000:0004:}}Das ist echt toll für die Leute hier.{{TAG:0007:0000:14000000}}
Sie stehen früh auf und gehen früh
ins Bett. {{TAG:0007:0000:14000000}}Das ist tierisch gesund!
{{TAG:000E:0005:220044006500720020004200FC0072006700650072006D00650069007300740065007200260044006900650020004200FC0072006700650072006D0065006900730074006500720069006E00}} macht sich echt
Gedanken, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Bence başkanın yönetmeliği bayağı
iyi!{{TAG:0000:0004:}}Sabahları herkes erken kalktığı
için ortalık hareketli. Akşam da erken
yatıyoruz! Sağlıklı yaşam resmen! Başkan
herkesi düşünüyor! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"Everyone in town is up so early!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} And
the stores are open too! It's great!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Everybody is obeying the mayor's 
brilliant get-up-early ordinance. I
just love it, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","¡Hay que ver cómo madruga todo
el mundo!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} ¡Y las tiendas también
abren pronto! ¡Es genial!
{{TAG:0003:0015:}}¡Todo el mundo está acatando la
ordenanza municipal de levantarse
pronto! ¡Me encanta, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Ici, tout le monde se lève de bonne
heure.{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Même les boutiques ouvrent
tôt,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !
{{TAG:0003:0015:}}Tout ça grâce à l'arrêté instaurant
un lever matinal pondu par notre
maire... Quelle idée de génie !","Tutti si svegliano presto in città...{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}e anche i negozi aprono prima!
È bellissimo!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Nessuno trasgredisce l'ordinanza.
Che bella la vita qui, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Die Leute hier sind echt früh wach!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}
Und die Geschäfte sind dann auch
schon geöffnet!
{{TAG:0003:0015:}}Alle halten sich an die tolle
Frühaufsteherverordnung von
{{TAG:0005:001C:00CD}}, {{TAG:0007:0000:08000000}}{{TAG:000E:0005:280075006E007300720065006D0020004200FC0072006700650072006D006500690073007400650072002C0075006E00730072006500720020004200FC0072006700650072006D0065006900730074006500720069006E00}}.
Einfach Weltklasse, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Kasabada herkes erkenden ayakta!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}}
Dükkânlar da açık! Müthiş!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Herkes
başkanın dâhice erken kalkma
yönetmeliğine uyuyor.
Bayılıyorum, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0001:}}Your ordinance seems to be popular
with the folks here, {{TAG:000E:0006:06004D0072002E0006004D0073002E00}} Mayor!{{TAG:0000:0004:}}Everyone talks about how great it is
to have stores stay open late.{{TAG:0000:0004:}}And it makes my evening patrol{{TAG:0003:002C:}} a
lot more interesting, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Tu ordenanza parece tener
mucha aceptación entre la gente
de por aquí, seño{{TAG:000E:0006:02007200040072006100}} alcald{{TAG:000E:0006:020065000600650073006100}}!{{TAG:0000:0004:}}¡Todos hablan de lo que mola que
las tiendas abran hasta tarde!{{TAG:0000:0004:}}¡Eso hace que mi patrulla
vespertina {{TAG:0003:002C:}}sea mucho más
interesante, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Ton arrêté instaurant un coucher
tardif semble faire son petit effet,
{{TAG:000E:0006:10004D006F006E00730069006500750072000C004D006100640061006D006500}} le maire !
Tout le monde est ravi depuis que
les boutiques ferment plus tard.{{TAG:0000:0004:}}Sans compter que ça rend mon
jogging nocturne bien plus animé,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} !","Sindaco, la tua ordinanza
è molto popolare!{{TAG:0000:0004:}}Si sentono solo commenti positivi
sul fatto che i negozi sono aperti
fino a tardi.{{TAG:0000:0004:}}Per non parlare dei miei turni
di guardia serali. {{TAG:0003:002C:}}Sono molto più
interessanti ora, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Deine Verordnung scheint tierisch
gut anzukommen bei den Leuten
hier, {{TAG:0007:0000:08000000}}{{TAG:000E:0006:2400480065007200720020004200FC0072006700650072006D006500690073007400650072002800460072006100750020004200FC0072006700650072006D0065006900730074006500720069006E00}}!{{TAG:0000:0004:}}Alle sind begeistert, {{TAG:0007:0000:08000000}}dass die Läden
länger geöffnet bleiben.{{TAG:0000:0004:}}{{TAG:0003:002C:}}Und meine Nachtläufe werden auch
viel interessanter, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Yönetmeliğin burada bayağı tutuldu, {{TAG:000E:0006:06004D0072002E0006004D0073002E00}}
Başkan!{{TAG:0000:0004:}}Herkes dükkânların geç saate
kadar açık olmasına bayılıyor.{{TAG:0000:0004:}}Benim
akşam devriyesi de{{TAG:0003:002C:}} çok daha eğlenceli
oldu, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
7,008,"Nights in {{TAG:0005:0005:}} feel like they
last forever, don't they?{{TAG:0000:0004:}}Shops stay open late, and everyone
is up at night.{{TAG:0000:0004:}}{{TAG:0003:0015:}}We're all doing our part to follow
the mayor's brilliant ordinance,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Es como si la noche en {{TAG:000E:0003:}}{{TAG:0005:0005:}}
no se terminase, ¿a que sí?{{TAG:0000:0004:}}Las tiendas abren hasta tarde,
y todo el mundo está despierto
por la noche.
{{TAG:0003:0015:}}¡Todos cumplimos a rajatabla
la ordenanza municipal,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","À {{TAG:0005:0005:}}, les nuits semblent
durer une éternité, pas vrai ?{{TAG:0000:0004:}}Les boutiques ferment tard, les
gens ne se couchent plus aussi tôt
qu'auparavant...
{{TAG:0003:0015:}}On fait tous de notre mieux pour
respecter le brillant arrêté pris par
le maire,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","La notte qui {{TAG:000E:0010:}} {{TAG:0005:0005:}} sembra
non finire mai, vero?{{TAG:0000:0004:}}I negozi sono aperti e tutti sono
svegli.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Stiamo facendo del nostro meglio
per rispettare la brillante ordinanza
del sindaco, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Die Nacht hört irgendwie nicht auf
in {{TAG:0005:0005:}}, {{TAG:0007:0000:08000000}}oder?{{TAG:0000:0004:}}Die Läden haben ewig geöffnet.{{TAG:0007:0000:14000000}}
Und alle sind tierisch lang wach!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Wir haben großen Spaß mit der
bürgermeisterlichen Verordnung
von {{TAG:0005:001C:00CD}}, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0005:0005:}}'daki geceler sonsuza
kadar sürüyor gibi, değil mi?{{TAG:0000:0004:}}Dükkânlar geç
kapanıyor, herkes geceleri
ayakta.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Başkanın harika yönetmeliğine
uymak için hepimiz üzerimize düşeni
yapıyoruz, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0005:}}My town's open until late at night!
It's pretty convenient. You should
take advantage of it, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Mi pueblo sigue activo a las tantas!
Qué oportuno. ¡Tú deberías
aprovecharte, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Ici, les boutiques ferment super
tard !{{TAG:0007:0000:14000000}} Tu devrais en profiter,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Nella mia città, è tutto aperto anche
di notte. È bellissimo, dovresti
approfittarne, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Willkommen in der Stadt, {{TAG:0007:0000:08000000}}die nachts
nicht schläft!{{TAG:0007:0000:28000000}} Ich find's toll!{{TAG:0007:0000:14000000}} Genieß
das Nachtleben, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Benim kasaba gece geç saate kadar açık!
Çok kullanışlı. Sen de fırsattan
yararlan, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:000B:}}My wallet has been getting heavier
lately. I can work up a pretty good
sweat taking it out of my pocket!
{{TAG:0003:0017:}}I think this has something to do with
your ordinance.{{TAG:0000:0004:}}{{TAG:0003:0002:}}I've got a lot more Bells than I had
before, that's for sure!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}A mi cartera le vendría bien perder
un poco de peso. ¡Y así, de paso,
sudaría al sacarla del bolsillo!
{{TAG:0003:0017:}}Sospecho que esto tiene
algo que ver con tu ordenanza.{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Tengo muchas más bayas que
antes, eso está claro!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Mon compte en banque n'a jamais
autant fluctué que ces derniers
temps...
{{TAG:0003:0017:}}J'imagine que ça vient de ton
arrêté, là ?!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Bah, pas la peine de m'expliquer, je
ne vais rien capter. Ha ha !{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Il mio portafoglio è sempre più
pesante. A volte lo uso per allenare
i miei bicipiti!
{{TAG:0003:0017:}}Mi chiedo se la tua ordinanza
non c'entri qualcosa...{{TAG:0000:0004:}}{{TAG:0003:0002:}}Comunque sia, ho molte più stelline
di prima ed è questo quello
che conta!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Mein Geldbeutel ist tierisch schwer
geworden in letzter Zeit. {{TAG:0007:0000:14000000}}Ich könnte
mit ihm glatt Krafttraining machen!
{{TAG:0003:0017:}}Ob das an deiner neuen Verordnung
liegt?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ich hab auf jeden Fall mehr Sternis
als vorher, {{TAG:0007:0000:08000000}}so viel ist sicher!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Son zamanlarda cüzdanım ağırlaştı.
Cebimden çıkarırken bile ter atıyorum!
{{TAG:0003:0017:}}Bence bunun yönetmeliğinle ilgisi
var.{{TAG:0000:0004:}}{{TAG:0003:0002:}}Eskisinden çok daha fazla Bell'im
olduğu kesin!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
