index,id,en,fr,de,it,es,tr
0,0x05C9AB89,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
1,0x05C9AB8A,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
2,0x05C9AB8B,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
3,0x05C9AB8C,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
4,0x05C9AB8D,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
5,0x05C9AB8E,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
6,0x092B487D,Red,Rouge,Rot,Rosso,Rojo,Kırmızı
7,0x092B487E,Green,Vert,Grün,Verde,Verde,Yeşil
8,0x092B487F,Blue,Bleu,Blau,Blu,Azul,Mavi
9,0x092B4880,Gold,Or,Gold,Oro,Oro,Altın
10,0x092B4881,Purple,Violet,Violett,Viola,Morado,Mor
11,0x092B4882,Grey,Gris,Grau,Grigio,Gris,Gri
12,0x0A426E38,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
13,0x0A426E39,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
14,0x0A426E3A,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
15,0x0A426E3B,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
16,0x0A426E3C,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
17,0x0A426E3D,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
18,0x0BA06F31,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
19,0x0BA06F32,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
20,0x0BA06F33,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
21,0x0BA06F34,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
22,0x0BA06F35,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
23,0x0BA06F36,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
24,0x0F09C5DF,Banshee,Banshee,Todesfee,Banshee,Banshee,Banshee
25,0x0F09C5E0,Banshee,Banshee,Todesfee,Banshee,Banshee,Banshee
26,0x0F09C5E1,Banshee,Banshee,Todesfee,Banshee,Banshee,Banshee
27,0x0F09C5E2,Banshee,Banshee,Todesfee,Banshee,Banshee,Banshee
28,0x0F09C5E3,Banshee,Banshee,Todesfee,Banshee,Banshee,Banshee
29,0x0F09C5E4,Banshee,Banshee,Todesfee,Banshee,Banshee,Banshee
30,0x20E4BB92,Headband,Bandeau,Stirnband,Fermacapelli,Cinta para el pelo,Saç Bandı
31,0x20E4BB93,Headband,Bandeau,Stirnband,Fermacapelli,Cinta para el pelo,Saç Bandı
32,0x20E4BB94,Headband,Bandeau,Stirnband,Fermacapelli,Cinta para el pelo,Saç Bandı
33,0x20E4BB95,Headband,Bandeau,Stirnband,Fermacapelli,Cinta para el pelo,Saç Bandı
34,0x20E4BB96,Headband,Bandeau,Stirnband,Fermacapelli,Cinta para el pelo,Saç Bandı
35,0x20E4BB97,Headband,Bandeau,Stirnband,Fermacapelli,Cinta para el pelo,Saç Bandı
36,0x23A0D761,Dreadlocks,Dreadlocks,Dreadlocks,Rasta,Rastas,Rasta
37,0x23A0D762,Dreadlocks,Dreadlocks,Dreadlocks,Rasta,Rastas,Rasta
38,0x23A0D763,Dreadlocks,Dreadlocks,Dreadlocks,Rasta,Rastas,Rasta
39,0x23A0D764,Dreadlocks,Dreadlocks,Dreadlocks,Rasta,Rastas,Rasta
40,0x23A0D765,Dreadlocks,Dreadlocks,Dreadlocks,Rasta,Rastas,Rasta
41,0x23A0D766,Dreadlocks,Dreadlocks,Dreadlocks,Rasta,Rastas,Rasta
42,0x262E120B,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
43,0x262E120C,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
44,0x262E120D,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
45,0x262E120E,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
46,0x262E120F,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
47,0x262E1210,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
