entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:001F:010B000B001000100010001000100010001000100010000D00CD}},{{TAG:000A:001F:010B000B001000100010001000100010001000100010000D00CD}},{{TAG:000A:001F:010B000B001000100010001000100010001000100010000D00CD}},{{TAG:000A:001F:010B000B001000100010001000100010001000100010000D00CD}},{{TAG:000A:001F:010B000B001000100010001000100010001000100010000D00CD}},{{TAG:000A:001F:010B000B001000100010001000100010001000100010000D00CD}}
2,003,{{TAG:000A:001F:010C000C001100110011001100110011001100110011000E00CD}},{{TAG:000A:001F:010C000C001100110011001100110011001100110011000E00CD}},{{TAG:000A:001F:010C000C001100110011001100110011001100110011000E00CD}},{{TAG:000A:001F:010C000C001100110011001100110011001100110011000E00CD}},{{TAG:000A:001F:010C000C001100110011001100110011001100110011000E00CD}},{{TAG:000A:001F:010C000C001100110011001100110011001100110011000E00CD}}
3,004,,,,,,
4,005,,,,,,
5,006,,,,,,
6,007,"{{TAG:0003:0001:}}I've been watching all the bugs eat.{{TAG:0007:0000:14000000}}
So far the butterflies have the best
manners.{{TAG:0007:0000:14000000}} They sip very politely.","{{TAG:0003:0001:}}Llevo tiempo observando la forma
de comer que tienen los bichitos.{{TAG:0000:0004:}}Desde luego,{{TAG:0007:0000:0A000000}} en elegancia ganan
las mariposas.{{TAG:0007:0000:14000000}} ¡Menudo estilo
para sorber tienen!","{{TAG:0003:0001:}}J'ai observé tous les insectes
prendre leur repas, et je suis
formelle...
{{TAG:0003:0015:}}La palme des bonnes manières
revient sans conteste aux papillons.{{TAG:0007:0000:0A000000}}
Ils mangent très proprement !","{{TAG:0003:0001:}}Adoooro guardare gli insetti mentre
mangiano.{{TAG:0007:0000:14000000}} Ho notato che le farfalle
sono le più educate a tavola.","{{TAG:0003:0001:}}Ich habe Insekten bei der Nahrungs-
aufnahme studiert und bin zu einem
eindeutigen Ergebnis gekommen.
{{TAG:0003:0015:}}Schmetterlinge haben die besten
Manieren.{{TAG:0007:0000:14000000}} Sie schlürfen sehr höflich
und essen überhaupt sehr grazil.","{{TAG:0003:0001:}}Bütün böcekleri yemek yerken izliyordum.{{TAG:0007:0000:14000000}}
Şimdilik en görgülüsü kelebekler.{{TAG:0007:0000:14000000}} Öyle
nazik nazik içiyorlar ki."
7,008,"{{TAG:0003:0017:}}You like looking at insects too?{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}
They're fascinating to watch.{{TAG:0007:0000:14000000}} It's
like glimpsing a whole other world!","{{TAG:0003:0017:}}¿También te gusta mirar a los
insectos?{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Son apasionantes, ¿eh?{{TAG:0007:0000:14000000}}
¡Es como descubrir otro planeta!","{{TAG:0003:0017:}}Toi aussi, tu aimes observer les
insectes ?{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} C'est fascinant, ce monde
miniature qui s'offre à nous !","{{TAG:0003:0017:}}Anche tu adooori osservare
gli insetti?{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Sono cooosì affascinanti!
{{TAG:0007:0000:14000000}}È un viaggio in un altro mondo.","{{TAG:0003:0017:}}Gefallen dir die Insekten auch?{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} Mich
faszinieren sie.{{TAG:0007:0000:14000000}} Es ist, als blicke man
in eine völlig andere Welt.","{{TAG:0003:0017:}}Sen de böcekleri seyretmeyi seviyor musun?{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}
İzlemesi gerçekten büyüleyici.{{TAG:0007:0000:14000000}} Sanki
bambaşka bir dünyaya göz atıyorsun!"
8,009,"{{TAG:0003:0025:}}When summer rolls around,{{TAG:0007:0000:08000000}} I bring
out my net and magnifying glass!{{TAG:0007:0000:14000000}}
Then I go caterpillar hunting.","{{TAG:0003:0025:}}En cuanto llega el veranito,{{TAG:0007:0000:0A000000}} lo que
más me gusta hacer es coger mi red
y mi lupa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡e ir a atrapar oruguitas!","{{TAG:0003:0025:}}Dès que commence l'été, je sors
mon filet et ma loupe, et c'est
parti pour la chasse aux chenilles !","{{TAG:0003:0025:}}D'estate, non esco mai senza
il retino e la lente d'ingrandimento.
Gli insetti non hanno scampo!","{{TAG:0003:0025:}}Sobald die Tage wärmer werden,
hole ich jedes Jahr meinen Kescher
und meine Lupe aus dem Schrank.
{{TAG:0003:0015:}}Und dann heißt es: {{TAG:0007:0000:14000000}}Raupen jagen!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Ich liebe es, wenn sie sich bei mir zu
Haus in Schmetterlinge verwandeln.","{{TAG:0003:0025:}}Yaz gelince{{TAG:0007:0000:08000000}} ağımı ve büyütecimi çıkarırım!{{TAG:0007:0000:14000000}}
Sonra da tırtıl avına çıkarım."
9,010,"{{TAG:0003:0009:}}Catching bugs is really hard.{{TAG:0007:0001:}} {{TAG:0003:0025:}}That's
why I started coming here—{{TAG:0007:0000:14000000}}to study
my prey in order to understand it.","{{TAG:0003:0009:}}Cazar bichos requiere mucha maña.{{TAG:0007:0001:}} {{TAG:0003:0025:}}
Por eso me vine aquí:{{TAG:0007:0000:0A000000}} ¡tienes que
conocer a tu presa para ganar!","{{TAG:0003:0009:}}Attraper des insectes, c'est tout un
art.{{TAG:0007:0001:}} {{TAG:0003:0025:}}D'où ma présence ici :{{TAG:0007:0000:0A000000}} j'étudie
mes futures proies...","{{TAG:0003:0009:}}Catturare gli insetti è mooolto
difficile.{{TAG:0007:0001:}} È per questo che vengo
spesso qui ad osservarli.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Se riesco a capire meglio le loro
abitudini, sarà très facile acciuffarli!","{{TAG:0003:0009:}}Insekten zu fangen finde ich wirklich
schwierig.{{TAG:0007:0000:14000000}} Deshalb komme ich oft
ins Museum.
{{TAG:0003:0025:}}Wenn ich ihr Verhalten besser zu
verstehen lerne, vielleicht lassen sie
sich dann leichter von mir fangen!","{{TAG:0003:0009:}}Böcek yakalamak gerçekten zor.{{TAG:0007:0001:}} {{TAG:0003:0025:}}Ben de
bu yüzden buraya gelmeye başladım—{{TAG:0007:0000:14000000}}hedefimi
anlayabilmek için önce onu inceliyorum."
