entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Look at what I have, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}It's a letter!","{{TAG:0003:0001:}}¡Mira lo que tengo, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}¡Una carta!","{{TAG:0003:0001:}}Ohé, regarde ce que j'ai là,
{{TAG:0005:0008:}} !{{TAG:0007:0001:}} {{TAG:0003:0005:}}Une lettre !","{{TAG:0003:0001:}}Guarda cosa ho, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Una lettera!","{{TAG:0003:0001:}}Sieh mal, was ich habe, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Einen Brief!","{{TAG:0003:0001:}}Bak bende ne var, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Bir mektup!"
1,002,"{{TAG:0003:0001:}}I got a really nice letter today!{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Here,{{TAG:0007:0000:08000000}} let me show you!","{{TAG:0003:0001:}}¡He recibido una carta fantástica!{{TAG:0007:0001:}}
{{TAG:0003:0025:}}¡Tienes que leerla!","{{TAG:0003:0001:}}Je viens de recevoir une lettre !{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Elle est extra, il fallait que je te la
montre !","{{TAG:0003:0001:}}Ho ricevuto una lettera sublime!{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Te la devo far vedere!","{{TAG:0003:0001:}}Ich habe einen tollen Brief
bekommen!{{TAG:0007:0001:}} {{TAG:0003:0025:}}Also, den muss ich
dir einfach zeigen.","{{TAG:0003:0001:}}Bugün çok güzel bir mektup aldım!{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Al,{{TAG:0007:0000:08000000}} sana göstereyim!"
2,003,{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}}
3,004,"{{TAG:0003:0001:}}It makes me so happy that the
sender took the time to write me!{{TAG:0003:0026:}}{{TAG:0000:0004:}}Anyone nice enough to write me a
letter like this {{TAG:0003:0005:}}is someone I want to
be friends with,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Lo que más feliz me hace es saber
que quien escribió esta carta
puso todo su empeño.{{TAG:0003:0026:}}
{{TAG:0003:0025:}}¡Alguien que se esfuerza tanto
por mí{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}se merece mi amistad,
{{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Ça me fait trop plaisir de penser
que l'auteur de cette lettre{{TAG:0007:0000:08000000}} s'est
donné du mal pour me faire plaisir !{{TAG:0003:0026:}}
{{TAG:0003:0005:}}Franchement, qui n'aurait pas envie
d'être ami avec une telle personne ?
{{TAG:0007:0000:0F000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Quello che mi rende più felice{{TAG:0007:0000:08000000}} è
sapere che chi l'ha scritta l'ha fatto
col cuore e solo per me!{{TAG:0003:0026:}}
{{TAG:0003:0025:}}Chiunque si sia sforzato così tanto
per scrivermi,{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}merita tutta
la mia amicizia, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Das Beste ist,{{TAG:0007:0000:08000000}} dass der Absender
sich die Zeit genommen hat,
mir zu schreiben!{{TAG:0003:0026:}}
{{TAG:0003:0025:}}Wenn mir jemand so einen netten
Brief schreibt,{{TAG:0007:0000:08000000}} {{TAG:0003:0005:}}will ich gerne mit
ihm befreundet sein,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Gönderenin oturup bana yazmaya vakit
ayırması beni çok mutlu ediyor!{{TAG:0003:0026:}}{{TAG:0000:0004:}}Bana
böyle bir mektup yazacak kadar nazik
biriyle {{TAG:0003:0005:}}arkadaş olmak
isterim,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0015:}}It says a lot about the sender,{{TAG:0007:0000:08000000}}
doesn't it?{{TAG:0007:0001:}} {{TAG:0003:002B:}}I wish I could write
letters this expressive...","{{TAG:0003:0001:}}Esta carta es tan expresiva...{{TAG:0007:0001:}}
{{TAG:0003:0015:}}Ojalá yo supiera escribir cartas
así...","{{TAG:0003:0001:}}Cette lettre exprime à merveille les
sentiments de son auteur.{{TAG:0007:0001:}}{{TAG:0003:0027:}} Ah, si je
savais écrire comme ça, moi aussi...","{{TAG:0003:0001:}}Questa lettera è così emozionante.{{TAG:0007:0001:}}
{{TAG:0003:0015:}}Vorrei tanto saper scrivere così...","{{TAG:0003:0001:}}Das ist so ein ausdrucksstarker
Brief.{{TAG:0007:0001:}} {{TAG:0003:0015:}}Ich würde auch gerne mal
so einen schönen Brief schreiben...","{{TAG:0003:0015:}}Gönderen hakkında çok şey anlatıyor,{{TAG:0007:0000:08000000}}
değil mi?{{TAG:0007:0001:}} {{TAG:0003:002B:}}Keşke ben de bu kadar duygulu
mektuplar yazabilsem..."
5,006,"{{TAG:0003:0017:}}Well?{{TAG:0007:0000:0F000000}} What do you think?{{TAG:0007:0000:14000000}}
{{TAG:0003:002B:}}I just loved it.{{TAG:0007:0000:14000000}} It grabbed my heart
by the lapels and shook it.
{{TAG:0003:0025:}}If I get more letters like this one,{{TAG:0007:0000:08000000}}
I'll be sure to share them with you!","{{TAG:0003:0017:}}¿Qué te ha parecido?{{TAG:0007:0000:14000000}}
{{TAG:0003:002B:}}A mí me ha emocionado.{{TAG:0007:0000:0F000000}} He notado
como una sacudida en el corazón.
{{TAG:0003:0025:}}Si recibo otra carta tan bonita,
me aseguraré de enseñártela.","{{TAG:0003:0017:}}Alors ?{{TAG:0007:0000:0F000000}} T'en penses quoi ?{{TAG:0007:0000:14000000}} {{TAG:0003:002B:}}Perso,
j'ai adoré.{{TAG:0007:0000:14000000}} Je me suis sentie toute
retournée quand j'ai lu ça...
{{TAG:0003:0025:}}La prochaine fois que je reçois une
lettre comme celle-là,{{TAG:0007:0000:0F000000}} compte sur
moi pour te la montrer !","{{TAG:0003:0017:}}Allora? Che te ne pare?{{TAG:0007:0000:14000000}}
{{TAG:0003:002B:}}Io me ne sono innamorata. {{TAG:0007:0000:14000000}}Mi ha
letteralmente rubato il cuore.{{TAG:0003:0025:}}
Se ricevo un'altra lettera così bella,
te la faccio leggere.","{{TAG:0003:0017:}}Und, was denkst du?{{TAG:0007:0000:14000000}} {{TAG:0003:002B:}}Ich finde ihn
toll.{{TAG:0007:0000:14000000}} Als ob er mein Herz in einen
Jungbrunnen geschubst hätte.
{{TAG:0003:0025:}}Wenn ich wieder einen Brief
bekomme, sag ich es dir auch
wieder!","{{TAG:0003:0017:}}Peki?{{TAG:0007:0000:0F000000}} Ne düşünüyorsun?{{TAG:0007:0000:14000000}}
{{TAG:0003:002B:}}Ben bayıldım.{{TAG:0007:0000:14000000}} Resmen kalbimi yakasından
tutup silkeledi.
{{TAG:0003:0025:}}Bunun gibi başka mektuplar gelirse,{{TAG:0007:0000:08000000}}
mutlaka seninle paylaşırım!"
6,007,"{{TAG:0003:0001:}}I just received a really nice letter!{{TAG:0007:0001:}}
Here—{{TAG:0007:0000:08000000}}look!{{TAG:0003:0026:}}","{{TAG:0003:0001:}}¡He recibido una carta estupenda!{{TAG:0007:0001:}}
¡Toma, {{TAG:0007:0000:08000000}}léela!{{TAG:0003:0026:}}","{{TAG:0003:0001:}}J'ai reçu une lettre super chouette !{{TAG:0007:0001:}}
Tiens, {{TAG:0007:0000:08000000}}regarde !{{TAG:0003:0026:}}","{{TAG:0003:0001:}}Ho ricevuto una lettera stupenda!{{TAG:0007:0001:}}
Ecco, {{TAG:0007:0000:08000000}}leggila!{{TAG:0003:0026:}}","{{TAG:0003:0001:}}Ich hab einen ganz netten Brief
bekommen!{{TAG:0007:0001:}} Hier, {{TAG:0007:0000:08000000}}schau doch mal!{{TAG:0003:0026:}}","{{TAG:0003:0001:}}Az önce çok güzel bir mektup aldım!{{TAG:0007:0001:}}
Al—{{TAG:0007:0000:08000000}}bak!{{TAG:0003:0026:}}"
7,008,"{{TAG:0003:0005:}}Oh, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Take a look at this
letter I got!","{{TAG:0003:0005:}}¡Ah, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}}
¡Echa un vistazo a esta carta!","{{TAG:0003:0005:}}Oh, {{TAG:0005:0008:}} !{{TAG:0007:0000:0A000000}}
Tiens, regarde la lettre que j'ai
reçue !","{{TAG:0003:0005:}}Oh, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}}
Dai un'occhiata a questa lettera!","{{TAG:0003:0005:}}Oh, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}}
Guck dir mal diesen Brief an!","{{TAG:0003:0005:}}Ah, {{TAG:0005:0008:}}!{{TAG:0007:0000:0A000000}} Aldığım şu mektuba bir bak!"
8,009,{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}}
9,010,"{{TAG:0003:0005:}}A friend sent it to me. {{TAG:0007:0000:08000000}}Isn't it great?{{TAG:0007:0001:}}
{{TAG:0003:0000:}}It's not so much WHAT it says—{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}it's
HOW it says it!{{TAG:0003:0026:}}","{{TAG:0003:0001:}}¿Qué te parece esta carta? {{TAG:0007:0000:0E000000}}
{{TAG:0003:0005:}}Bonita, ¿eh?{{TAG:0000:0004:}}{{TAG:0003:0000:}}¡Lo importante no es lo que dice,
{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}sino cómo lo dice!{{TAG:0003:0026:}}","{{TAG:0003:0001:}}C'est une connaissance qui m'envoie
ça. {{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}Pas mal, tu trouves pas ?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ce qui me touche, ce n'est pas ce
que ça dit, {{TAG:0007:0000:0F000000}}mais la manière dont
c'est dit !{{TAG:0003:0026:}}","{{TAG:0003:0001:}}Che te ne pare di questa lettera?
{{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}Bella, eh?!{{TAG:0007:0001:}} {{TAG:0003:0000:}}Non è tanto quello che
dice,{{TAG:0007:0000:0A000000}} {{TAG:0003:0025:}}ma piuttosto come lo dice!{{TAG:0003:0026:}}","{{TAG:0003:0001:}}Den hat mir ein Freund geschickt. {{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}
Schön, oder?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Das Tolle ist weniger
der Inhalt,{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}} sondern die Worte!{{TAG:0003:0026:}}","{{TAG:0003:0005:}}Bir arkadaşım gönderdi. {{TAG:0007:0000:08000000}}Harika değil mi?{{TAG:0007:0001:}}
{{TAG:0003:0000:}}Mesele NE söylediği değil—{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}NASIL söylediği!{{TAG:0003:0026:}}"
