index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,LivePinch,⟦MSBT:0E00020002000000⟧ is in trouble!,⟦MSBT:0E00020002000000⟧ est en danger !,⟦MSBT:0E00020002000000⟧ ist in Gefahr!,⟦MSBT:0E00020002000000⟧ è in difficoltà!,¡⟦MSBT:0E00020002000000⟧ necesita ayuda!,⟦MSBT:0E00020002000000⟧ が ピンチ！,⟦MSBT:0E00020002000000⟧ is in trouble!,⟦MSBT:0E00020002000000⟧ est en danger!,¡⟦MSBT:0E00020002000000⟧ necesita ayuda!,⟦MSBT:0E00020002000000⟧ zor durumda!,
1,LiveDeath,⟦MSBT:0E00020002000000⟧ is down!,⟦MSBT:0E00020002000000⟧ est à terre !,⟦MSBT:0E00020002000000⟧ ist außer Gefecht!,⟦MSBT:0E00020002000000⟧ è a terra!,¡⟦MSBT:0E00020002000000⟧ ha caído!,⟦MSBT:0E00020002000000⟧ は ちからつきた…,⟦MSBT:0E00020002000000⟧ is down!,⟦MSBT:0E00020002000000⟧ est à terre!,¡⟦MSBT:0E00020002000000⟧ ha caído!,⟦MSBT:0E00020002000000⟧ düştü!,
2,LiveRevive,⟦MSBT:0E00020002000000⟧ has been revived!,⟦MSBT:0E00020002000000⟧ revient à la vie.,⟦MSBT:0E00020002000000⟧ kämpft wieder.,⟦MSBT:0E00020002000000⟧ ha ripreso conoscenza!,⟦MSBT:0E00020002000000⟧ ha revivido.,⟦MSBT:0E00020002000000⟧ は ふっかつした！,⟦MSBT:0E00020002000000⟧ was revived.,⟦MSBT:0E00020002000000⟧ revient à la vie.,⟦MSBT:0E00020002000000⟧ ha revivido.,⟦MSBT:0E00020002000000⟧ diriltildi!,
3,LiveRecovery,⟦MSBT:0E00020002000000⟧ healed a teammate!,⟦MSBT:0E00020002000000⟧ a soigné un coéquipier !,Von ⟦MSBT:0E00020002000000⟧ fitgefüttert!,⟦MSBT:0E00020002000000⟧ ha curato un compagno!,¡⟦MSBT:0E00020002000000⟧ ha devuelto vida!,⟦MSBT:0E00020002000000⟧ の くちうつしで かいふく！,Healed by food from ⟦MSBT:0E00020002000000⟧!,⟦MSBT:0E00020002000000⟧ a soigné un coéquipier!,¡⟦MSBT:0E00020002000000⟧ ha devuelto vida!,⟦MSBT:0E00020002000000⟧ bir takım üyesini iyileştirdi!,
4,LiveEnemyAppear,⟦MSBT:0E00020002000000⟧ has appeared!,⟦MSBT:0E00020002000000⟧ apparaît !,⟦MSBT:0E00020002000000⟧ ist erschienen!,Ecco ⟦MSBT:0E00020002000000⟧!,¡Ha aparecido ⟦MSBT:0E00020002000000⟧!,⟦MSBT:0E00020002000000⟧ が あらわれた！,⟦MSBT:0E00020002000000⟧ has appeared!,⟦MSBT:0E00020002000000⟧ apparaît!,¡Ha aparecido ⟦MSBT:0E00020002000000⟧!,⟦MSBT:0E00020002000000⟧ belirdi!,
5,LiveEnemyAnger,⟦MSBT:0E00020002000000⟧ is furious!,⟦MSBT:0E00020002000000⟧ est en colère !,⟦MSBT:0E00020002000000⟧ ist wütend!,⟦MSBT:0E00020002000000⟧ è su tutte le furie!,¡⟦MSBT:0E00020002000000⟧ está que trina!,⟦MSBT:0E00020002000000⟧ は おこっている…！,⟦MSBT:0E00020002000000⟧ is furious!,⟦MSBT:0E00020002000000⟧ est en colère!,¡⟦MSBT:0E00020002000000⟧ se enfureció!,⟦MSBT:0E00020002000000⟧ öfkeli!,
6,LiveEliminate,You've almost beaten it!,Vous y êtes presque !,Gleich ist der Gegner überwunden!,Hai quasi sconfitto il nemico!,¡Estás a punto de vencer!,もうすこしで たおせそうだ！,You've almost defeated it!,Vous y êtes presque!,¡Estás a punto de vencer!,Neredeyse yendin!,
7,LiveDefeat,Your team got wiped out...,Votre équipe a été anéantie...,Dein Team wurde besiegt...,La squadra è stata sconfitta...,Tu equipo se ha llevado una buena tunda...,カービィたちは ぜんめつした…,Your team got wiped out...,Votre équipe a été anéantie...,Tu equipo se ha llevado una buena tunda...,Takım yenildi...,
8,LiveRunaway,⟦MSBT:0E00020002000000⟧ has run away...,⟦MSBT:0E00020002000000⟧ a fui le combat...,⟦MSBT:0E00020002000000⟧ ist geflohen...,⟦MSBT:0E00020002000000⟧ se l'è data a gambe...,⟦MSBT:0E00020002000000⟧ ha huido.,⟦MSBT:0E00020002000000⟧ は にげていった…,⟦MSBT:0E00020002000000⟧ has run away...,⟦MSBT:0E00020002000000⟧ a fui le combat...,⟦MSBT:0E00020002000000⟧ ha huido.,⟦MSBT:0E00020002000000⟧ kaçtı...,
9,LiveAttack,⟦MSBT:0E00020002000000⟧ attacked!,⟦MSBT:0E00020002000000⟧ a frappé un grand coup !,⟦MSBT:0E00020002000000⟧ greift an!,⟦MSBT:0E00020002000000⟧ ha attaccato!,⟦MSBT:0E00020002000000⟧ ha atacado.,⟦MSBT:0E00020002000000⟧ の こうげきが さくれつ！,⟦MSBT:0E00020002000000⟧ attacked!,⟦MSBT:0E00020002000000⟧ a frappé un grand coup!,⟦MSBT:0E00020002000000⟧ ha atacado.,⟦MSBT:0E00020002000000⟧ saldırdı!,
