entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,See ya soon! —{{TAG:0005:0001:}},¡Volveré! {{TAG:0005:0001:}},Remettons ça ! {{TAG:0005:0001:}},A presto! {{TAG:0005:0001:}},Man sieht sich! {{TAG:0005:0001:}},Yakında görüşürüz! -{{TAG:0005:0001:}}
1,002,"Your best bud, {{TAG:0005:0001:}}","Tu coleguilla, {{TAG:0005:0001:}}","{{TAG:0005:0001:}}, trop curieuse",La tua amica {{TAG:0005:0001:}},Deine Kollegin {{TAG:0005:0001:}},En iyi dostun {{TAG:0005:0001:}}
2,003,You can do it! —{{TAG:0005:0001:}},¡Tú puedes! {{TAG:0005:0001:}},Et range un peu ! {{TAG:0005:0001:}},Ce la puoi fare! {{TAG:0005:0001:}},Tschakka! {{TAG:0005:0001:}},Yaparsın sen! -{{TAG:0005:0001:}}
3,004,From stumped {{TAG:0005:0001:}},La perpleja {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, incrédule","Con sgomento, {{TAG:0005:0001:}}","Wie auch immer, {{TAG:0005:0001:}}",Ne yapacağını şaşıran {{TAG:0005:0001:}}
4,005,From concerned {{TAG:0005:0001:}},¡Ponte las pilas! {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, bienfaitrice",Mi preoccupi. {{TAG:0005:0001:}},{{TAG:0005:0001:}},Meraklanan {{TAG:0005:0001:}}
5,006,From less-strict {{TAG:0005:0001:}},La preocupada {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, démotivée",Che stress... {{TAG:0005:0001:}},Miniputzteufel {{TAG:0005:0001:}},Biraz yumuşayan {{TAG:0005:0001:}}
6,007,—Décor master {{TAG:0005:0001:}},¡Yo controlo! {{TAG:0005:0001:}},Sers-t'en ! {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, l'arredatrice.",Dekoqueen {{TAG:0005:0001:}},Dekor ustası {{TAG:0005:0001:}}
7,008,From surprised {{TAG:0005:0001:}},¡Estoy flipando! {{TAG:0005:0001:}},"Brutalement, {{TAG:0005:0001:}}",Una sbalordita {{TAG:0005:0001:}},{{TAG:0005:0001:}} (total sprachlos),Şaşırmış {{TAG:0005:0001:}}
8,009,—Overwhelmed {{TAG:0005:0001:}},¡Qué alucine! {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, ébahie","Con stupore, {{TAG:0005:0001:}}",{{TAG:0005:0001:}} ,Bunalan {{TAG:0005:0001:}}
9,010,From pack rat {{TAG:0005:0001:}},¡Dale caña! {{TAG:0005:0001:}},"{{TAG:0005:0001:}}, taquine",Fanne buon uso! {{TAG:0005:0001:}},Viel Spaß damit! {{TAG:0005:0001:}},Eşya biriktiren {{TAG:0005:0001:}}
10,011,"Later, {{TAG:0005:0001:}}",¡Cómo lo vives! {{TAG:0005:0001:}},À plus ! {{TAG:0005:0001:}},Ci si vede. {{TAG:0005:0001:}},"Ciaoi, {{TAG:0005:0001:}}","Görüşürüz, {{TAG:0005:0001:}}"
11,012,"Soon, please! —{{TAG:0005:0001:}}",¡Hasta pronto! {{TAG:0005:0001:}},Merci encore ! {{TAG:0005:0001:}},Spero presto! {{TAG:0005:0001:}},Mafia-{{TAG:0005:0001:}},Çabuk gel! -{{TAG:0005:0001:}}
