entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}Here. I found something that's so
perfect for you, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
It's {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.","{{TAG:0003:0025:}}Toma, he encontrado algo que
es perfecto para ti, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.","{{TAG:0003:0025:}}Regarde, {{TAG:0005:0008:}}. Je t'ai trouvé
un petit cadeau qui te plaira, j'en
suis certaine.{{TAG:0007:0000:0A000000}}
C'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.
C'est charmant, n'est-ce pas ?","{{TAG:0003:0025:}}Ehi! Ho trovato un oggetto
perfetto per te, {{TAG:0005:0008:}}:{{TAG:0007:0000:0A000000}}
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!","{{TAG:0003:0025:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}. {{TAG:0007:0000:28000000}}Ich habe endlich
das perfekte Geschenk für dich:{{TAG:0007:0000:28000000}}
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!","{{TAG:0003:0025:}}Al. Sana öylesine yakışacak bir şey
buldum ki, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
Bir {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}."
1,002,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, I finally found what
you wanted. {{TAG:0007:0000:0A000000}}You know, {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}?{{TAG:0008:0005:050000000A002800}}
What?
I never said that!","{{TAG:0003:0025:}}Ah, {{TAG:0005:0008:}}, por fin he
encontrado eso que me pediste.{{TAG:0000:0004:}}Ya sabes, terroncito,
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}.{{TAG:0008:0005:050000000A002800}}
¿Cómo?
No te pedí nada","{{TAG:0003:0025:}}Bonne nouvelle, {{TAG:0005:0008:}}, j'ai
finalement trouvé cet objet que tu
voulais tant.
Tu sais, {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}.{{TAG:0008:0005:050000000A002800}}
C'est vrai ?
Il doit y avoir erreur...","{{TAG:0003:0025:}}Ehi, {{TAG:0005:0008:}}! Ho finalmente
trovato quello di cui mi parlavi:{{TAG:0007:0000:0A000000}}
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0008:0005:050000000A002800}}
Non ricordo...
Devi averlo sognato!","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ich habe gefunden,
wonach du gesucht hast:{{TAG:0007:0000:28000000}}
{{TAG:000E:0008:00CD0A00650069006E0065006E000800650069006E0065000600650069006E00}} {{TAG:0011:0003:0000}}!{{TAG:0008:0005:050000000A002800}}
Wie? Was?
Das wollte ich nicht!","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, sonunda istediğin şeyi
buldum. {{TAG:0007:0000:0A000000}}Hani şu {{TAG:000E:0002:}} {{TAG:0011:0003:0000}}?{{TAG:0008:0005:050000000A002800}}
Ne?
Ben öyle bir şey demedim!"
2,003,"{{TAG:0003:0025:}}So{{TAG:0007:0000:08000000}} I'd really like to give you {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}},{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}Me encantaría que te quedaras con
{{TAG:000E:0008:00CD08006500730074006500080065007300740061000000}} {{TAG:0011:0003:0000}}, 
corazón.","{{TAG:0003:0025:}}Je t'en prie, {{TAG:0005:0008:}}, accepte ce
modeste présent. Regarde, il s'agit
d'{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.","{{TAG:0003:0025:}}C'è una cosa che vorrei tanto che
tu avessi, {{TAG:0005:0008:}}:
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.","{{TAG:0003:0025:}}Ich habe da etwas, das ich dir
geben möchte, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}:
{{TAG:0007:0000:28000000}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.","{{TAG:0003:0025:}}Şey,{{TAG:0007:0000:08000000}} sana şu {{TAG:000E:0002:}} {{TAG:0011:0003:0000}} vermeyi gerçekten
istiyorum,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}."
3,004,"{{TAG:0003:0025:}}I'm getting rid of some stuff, {{TAG:0007:0000:08000000}}and I
thought you might like my
{{TAG:0011:0003:0000}}.
{{TAG:0003:0017:}}Not your style? {{TAG:0007:0000:10000000}}Well,{{TAG:0007:0000:08000000}} the garbage
can is right over there.{{TAG:0007:0000:10000000}} {{TAG:0003:0024:}}If you want
to be polite,{{TAG:0007:0000:08000000}} just wait until I leave.","{{TAG:0003:0001:}}Usé est{{TAG:000E:0008:00CD02006500020061000000}} {{TAG:0011:0003:0000}}
durante muchos años. ¿A que aún
parece nuev{{TAG:000E:0008:00CD02006F00020061000000}}?
Si no te gusta puedes tirarl{{TAG:000E:0008:00CD02006F00020061000000}},{{TAG:0007:0000:0A000000}} pero {{TAG:0003:0025:}}
ten un poco de tacto y hazlo sin
que yo me entere, por favor.","{{TAG:0003:0028:}}Moi je n'en ai plus l'utilité,
{{TAG:0005:0008:}}. Aussi je me suis dit que
toi tu en voudrais peut-être.
N'avais-tu pas justement envie
d'{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} ?{{TAG:0000:0004:}}Si tu n'en veux pas, {{TAG:0003:0025:}}tu peux en faire
cadeau à quelqu'un d'autre. {{TAG:0007:0000:0A000000}}Comme
il te plaira, {{TAG:0005:0007:}}.","{{TAG:0003:0028:}}Non fa al caso mio, {{TAG:0005:0008:}}, ma
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
potrebbe farti comodo, {{TAG:0007:0000:05000000}}giusto?
E se non ti piace... {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Beh, liberatene{{TAG:0007:0000:0A000000}}.
Io non ne voglio sapere,
{{TAG:0005:0007:}}.","{{TAG:0003:0028:}}Für mich ist das nichts, {{TAG:0007:0000:08000000}}aber für
dich ist {{TAG:000E:0008:00CD0600650069006E000800650069006E0065000600650069006E00}} {{TAG:0011:0003:0000}}
doch genau richtig, {{TAG:0007:0000:08000000}}oder?
{{TAG:0003:0025:}}Notfalls wirfst du {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} einfach weg,
wenn ich gegangen bin, {{TAG:0007:0000:08000000}}damit du
meine Gefühle nicht verletzt.","{{TAG:0003:0025:}}Bazı eşyaları elden çıkarıyorum,
{{TAG:0007:0000:08000000}}ve şu {{TAG:0011:0003:0000}} hoşuna gider diye düşündüm.
{{TAG:0003:0017:}}Tarzın değil mi? {{TAG:0007:0000:10000000}}Pekâlâ,{{TAG:0007:0000:08000000}} çöp kutusu
hemen şurada.{{TAG:0007:0000:10000000}} {{TAG:0003:0024:}}Kibar olmak istersen,{{TAG:0007:0000:08000000}} ben
gittikten sonra atarsın."
4,005,"{{TAG:0003:0012:}}Wait. You DID want something like
that, {{TAG:0007:0000:05000000}}right?{{TAG:0007:0000:0A000000}} {{TAG:0003:0000:}}I swear you said you
did...{{TAG:0007:0000:0A000000}} Didn't you?
{{TAG:0003:0029:}}Oh, {{TAG:0007:0000:08000000}}I must have confused things.{{TAG:0007:0000:10000000}}
{{TAG:0003:0000:}}But now you HAVE to take it,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:000A:0000:0306000700CD}}","{{TAG:0003:0012:}}¡Recuerdo perfectamente que me
pediste esto, {{TAG:0007:0000:05000000}}clavelito!{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}La semana
pasada... o... ¿la anterior?
{{TAG:0003:0029:}}Disculpa, me he confundido.{{TAG:0007:0000:0A000000}} {{TAG:0003:0000:}}Pero
ya que lo he comprado, ahora debes
quedártelo, {{TAG:0005:0008:}}.{{TAG:000A:0000:0306000700CD}}","{{TAG:0003:0012:}}Euh... {{TAG:0007:0000:0A000000}}c'est bien ça que tu voulais,
non ?{{TAG:0007:0000:0A000000}} {{TAG:0003:0000:}}J'aurais pourtant juré que...{{TAG:0007:0000:0A000000}}
En es-tu bien sûr{{TAG:000E:0006:000002006500}} ?
{{TAG:0003:0029:}}Oh, alors j'ai dû me tromper.{{TAG:0007:0000:0A000000}} {{TAG:0003:0000:}}Mais
puisque maintenant je l'ai, je t'en
fais cadeau, {{TAG:0005:0008:}}.{{TAG:000A:0000:0306000700CD}}","{{TAG:0003:0012:}}Sei sicur{{TAG:000E:0006:02006F0002006100}}?{{TAG:0007:0000:05000000}} Sicurissim{{TAG:000E:0006:02006F0002006100}}?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0000:}}Avrei giurato che tu fossi
interessat{{TAG:000E:0006:02006F0002006100}}...{{TAG:0007:0000:0A000000}} E invece no, eh?
{{TAG:0003:0029:}}Ahhh, la mia memoria perde colpi.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0000:}}Ma sii gentile e accetta questo
regalo in ogni caso, {{TAG:0005:0008:}}.{{TAG:000A:0000:0306000700CD}}","{{TAG:0003:0012:}}Du hattest gesagt, dass du es willst!
{{TAG:0007:0000:28000000}}Ähm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}Das warst doch du, {{TAG:0007:0000:08000000}}oder?{{TAG:0007:0000:28000000}}
Hmmm...
{{TAG:0003:0029:}}Dann muss ich mich vertan haben.{{TAG:0007:0000:28000000}}
{{TAG:0003:0000:}}Aber umtauschen geht nicht, also{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Nimm es trotzdem, {{TAG:0007:0000:08000000}}ja?{{TAG:000A:0000:0306000700CD}}","{{TAG:0003:0012:}}Dur. Böyle bir şey istiyordun, değil
mi, {{TAG:0007:0000:05000000}}?{{TAG:0007:0000:0A000000}} {{TAG:0003:0000:}}İstediğini söylediğine yemin
edebilirim...{{TAG:0007:0000:0A000000}} Öyle değil miydi?
{{TAG:0003:0029:}}Aa, {{TAG:0007:0000:08000000}}demek karıştırmışım.{{TAG:0007:0000:10000000}}
{{TAG:0003:0000:}}Ama artık bunu almak ZORUNDASIN, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:000A:0000:0306000700CD}}"
5,006,"You're such a good friend, after all.{{TAG:0007:0000:10000000}}
{{TAG:0003:0025:}}You really deserve a reward for
putting up with me, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.","Eres u{{TAG:000E:0006:02006E0004006E006100}} bue{{TAG:000E:0006:02006E0004006E006100}} amig{{TAG:000E:0006:02006F0002006100}}.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}Te mereces esto por escucharme
todos los días, encanto.","Tu es si gentil{{TAG:000E:0006:000004006C006500}} avec moi.{{TAG:0007:0000:0A000000}} {{TAG:0003:0025:}}Tu as
bien mérité ce petit cadeau,
{{TAG:0005:0007:}}.","Per me sei {{TAG:000E:0006:1A0075006E002000620075006F006E00200061006D00690063006F001E0075006E0061002000620075006F006E006100200061006D00690063006100}}.{{TAG:0007:0000:0A000000}} {{TAG:0003:0025:}}So che
non è facile sopportarmi, quindi
ti meriti un regalo, {{TAG:0005:0008:}}.","Schließlich sind wir so gute Freunde.{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Du verdienst ein kleines Geschenk
dafür, dass du mich erträgst. {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Haha!","Sonuçta çok iyi bir dostsun.{{TAG:0007:0000:10000000}}
{{TAG:0003:0025:}}Bana katlandığın için gerçekten
bir ödülü hak ediyorsun, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}."
6,007,"{{TAG:0003:0025:}}Come on. Don't be shy, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
Even if we're not the VERY best
of friends, can't I give you a gift?","{{TAG:0003:0025:}}No seas tímid{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}} Puede
que no seamos l{{TAG:000E:0006:02006F0002006100}}s mejores amig{{TAG:000E:0006:02006F0002006100}}s,
pero me apetece hacerte un regalo.","{{TAG:0003:0025:}}Allons, {{TAG:0005:0008:}}. Ne sois pas
timide.{{TAG:0007:0000:0A000000}} Je t'en prie, accepte ce
modeste présent.","{{TAG:0003:0025:}}Dai, non essere timid{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
Anche se non sono la tua migliore
amica, posso farti un regalino?","{{TAG:0003:0025:}}Sei nicht schüchtern,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}}
Man kann sich doch auch mal was
schenken! {{TAG:0007:0000:14000000}}Ist doch nichts dabei.","{{TAG:0003:0025:}}Hadi ama. Çekinme, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
Dünyanın EN yakın iki dostu olmasak bile
sana bir hediye veremez miyim?"
7,008,"{{TAG:0003:000A:}}You always stick by me despite,
{{TAG:0007:0000:05000000}}you know, {{TAG:0007:0000:05000000}}how fussy I can be.{{TAG:0007:0001:}}
{{TAG:0003:0025:}}So thanks, {{TAG:0005:0008:}}.","{{TAG:0003:000A:}}A pesar de ser tan cotilla,
tú siempre me saludas con
una sonrisa, solete.
{{TAG:0003:0025:}}Esta es mi manera de darte
las gracias, {{TAG:0005:0007:}}.","{{TAG:0003:000A:}}Je sais bien que je ne suis pas
toujours facile à vivre, {{TAG:0007:0000:0A000000}}pourtant tu
es toujours là pour moi.
{{TAG:0003:0025:}}Alors ce petit cadeau, c'est ma
façon à moi de te remercier,
{{TAG:0005:0007:}}.","{{TAG:0003:000A:}}Tu non mi abbandoni mai, anche
quando faccio{{TAG:0007:0000:05000000}} la {{TAG:0007:0000:05000000}}criticona.{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Grazie, {{TAG:0005:0008:}}!!!","{{TAG:0003:000A:}}Du hältst immer zu mir, {{TAG:0007:0000:08000000}}auch wenn
ich mal etwas schwierig bin.{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Vielen Dank dafür, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.","{{TAG:0003:000A:}}Ne kadar titiz olabildiğimi, {{TAG:0007:0000:05000000}}şey,
{{TAG:0007:0000:05000000}}bilirsin; buna rağmen hep yanımdasın.{{TAG:0007:0001:}}
{{TAG:0003:0025:}}O yüzden teşekkür ederim, {{TAG:0005:0008:}}."
8,009,"{{TAG:0003:0025:}}Enjoy the gift, {{TAG:0005:0008:}}.
It really suits you, {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Espero que te guste, {{TAG:0005:0008:}}.
¡Es un regalo perfecto para ti,
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}J'espère que tu aimes ton cadeau,
{{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Ti piace il regalo, {{TAG:0005:0008:}}?
È proprio quello che fa per te,
non è vero? {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Viel Spaß damit, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0007:0000:28000000}}
Ich hoffe, du hast Freude daran,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Hediyenin tadını çıkar, {{TAG:0005:0008:}}.
Sana gerçekten çok yakışıyor, {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:05000000}}Really? {{TAG:0007:0001:}}{{TAG:0003:0025:}}Well, {{TAG:0007:0000:08000000}}as a reward for
your {{TAG:0007:0000:03000000}}bru{{TAG:0007:0000:03000000}}tal{{TAG:0007:0000:03000000}} hon{{TAG:0007:0000:03000000}}esty,{{TAG:0007:0000:03000000}} you should
keep the gift anyway,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.","{{TAG:0003:000F:}}¡¿Ah, no?! {{TAG:0007:0000:05000000}}¿Seguro? {{TAG:0007:0001:}}{{TAG:0003:0025:}}Bueno, ya
que eres tan sincer{{TAG:000E:0006:02006F0002006100}}, acéptalo
como un regalo, por favor.","{{TAG:0003:000F:}}Ah ! {{TAG:0007:0000:0A000000}}Vraiment ? {{TAG:0007:0001:}}{{TAG:0003:0025:}}Bon. {{TAG:0007:0000:0A000000}}Je te prie
d'accepter tout de même ce
modeste présent, {{TAG:0005:0008:}}.","{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:05000000}}Davvero? {{TAG:0007:0001:}}{{TAG:0003:0025:}}Beh, per tua fortuna{{TAG:0007:0000:03000000}}
oggi sono {{TAG:0007:0000:03000000}}di{{TAG:0007:0000:03000000}} buon{{TAG:0007:0000:03000000}} umore,{{TAG:0007:0000:03000000}} quindi
ti faccio un regalo, {{TAG:0005:0008:}}.","{{TAG:0003:000F:}}Wie bitte?{{TAG:0007:0000:14000000}} Ist das dein Ernst?
{{TAG:0007:0001:}}{{TAG:0003:0025:}}Dann behalte es eben als Belohnung
für deine schonungslose Ehrlichkeit!","{{TAG:0003:000F:}}Aa! {{TAG:0007:0000:05000000}}Cidden mi? {{TAG:0007:0001:}}{{TAG:0003:0025:}}Pekâlâ, {{TAG:0007:0000:08000000}}bu {{TAG:0007:0000:03000000}}acı{{TAG:0007:0000:03000000}}masız{{TAG:0007:0000:03000000}}
dür{{TAG:0007:0000:03000000}}üstlüğünün{{TAG:0007:0000:03000000}} ödülü olarak hediyeyi yine de
sende bırakıyorum,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}."
