index,label,English,French,German,Italian,Spanish,Turkish
0,Normal_man,"I asked you to come here for a
reason. Please go out with me.","Ça fait si longtemps que je te regarde d'ici.
Sors avec moi, s'il te plaît !","Ich habe dich aus einem bestimmten Grund
hier her gebeten. Bitte geh mit mir!","È da tempo che ti osservo da qui.
Vuoi uscire con me?","Llevo tanto tiempo pensando en ti...
¿Quieres salir conmigo?","Seni buraya çağırmamın bir nedeni var.
Lütfen benimle çık."
1,Normal_woman,"I realized I've been watching you a lot recently.
Please be my special someone.","Je me suis aperçue que je passais mon temps à
te regarder... Sors avec moi, s'il te plaît !","In letzter Zeit habe ich nur noch
Augen für dich. Bitte sei mein Schatz!","Mi sono accorta che ti osservo spesso.
Ti andrebbe di uscire con me?","Me ehe dado cuenta de que me paso el día
pensando en ti. ¡Sal conmigo!","Son zamanlarda gözümün hep sende olduğunu fark ettim.
Benim sevgilim olur musun?"
2,Romantic_man,"Up here, the world looks so big, fate must have
brought us together. Let's follow our destiny! ","Dans ce vasteuh monde, la destinée nous a fait nous
rencontrer. C'est un signe ! Sors avec moi !","Dass wir beide uns getroffen haben, muss
Schicksal sein. Und dem müssen wir folgen!","Non è un caso se ci siamo incontrati.
Non ci resta che assecondare il destino!","El destino ha hecho que nos encontremos en
este ancho mundo. ¡És una señal para que salgamos!","Buradan bakınca dünya ne kadar büyük görünüyor...
Kader bizi buluşturdu; hadi peşinden gidelim!"
3,Romantic_woman,"I love you more than anyone else in the world.
Please be my special someone!","Personne ne t'aime pluss que moi sur cette Terre.
Sors avec moi, s'il te plaît !","Ich liebe dich mehr als irgendjemand anders
auf der Welt! Bitte sei mein Augenstern!","Ti amo più di chiunque àltro a questo mondo.
Esci con me, per favore!","Nádie en el mundo te querrá tanto comoyo.
¿Quieres salir conmigo?","Seni dünyadaki herkesten çok seviyorum.
Benim sevgilim ol!"
4,Proudly_man,"I know more about you than you know about
yourself. So, we should really go out.","Je te connais mieux que toi-même.
Il faut que nous sortions ensemble !","Ich weiß mehr über dich als du selbst... Also:
Wir sollten wirklich miteinander gehen!","Ti conosco meglio di quanto tu possa conoscere
te stessa. Dovremmo proprio uscire insieme.","Te conozco mejor que nadie.
¡Deberíamos salir juntos!","Seni, senin kendini tanıdığından daha iyi tanıyorum.
O yüzden bence çıkmalıyız."
5,Proudly_woman,"You made me fall for you. Now are you going
to take responsibility for what you've done?","Je suis tombée folle amoureuse de toi ! Tu dois
en prendre la responsabilité, maintenant, non ?","Du bist schuld dass ich mich in dich verliebt
habe. Also übernimm die Verantwortung daführ!","Mi hai fatto innamorare di te.
Ora dovrai prendertene la responsabilità!","Me ehe enamorado perdidamente de ti.
¡Asume las consecuencias!","Beni kendine âşık ettin.
Şimdi bunun sorumluluğunu alacak mısın?"
6,Desperate_man,"I've been watching you from here for so
long... You've got to go out with me!","J'ai besoin de toi ! Je ne peux pas vivre sans toi !
Sors avec moi, je t'en prie !","Ich will mit hdir gehen! Um jeden Preis!
Bitte weise meine Liebe nicht zurück!","Vòglio uscire con te a ogni costo!
Non mi abbandonare!","¡Te necesito. No puedo vivir sin ti!
¡Sal conmigo. Te lo ruego!","Seni buradan o kadar uzun zamandır izliyorum ki...
Artık benimle çıkmalısın!"
7,Desperate_woman,"I'll be whatever woman you want me to be!
So, please, please go out with me!","Je ferais tout pour devenir la femme parfaite pour
toi ! Alors, sors avec moi !","Ich werde die beste Freundin sein die du dir
vohr stellen kannst! Bitte bitte geh mit mir!","Farò di tutto per diventare la donna dei
tuoi sogni! Ti prego, esci con me!","Haré lo necesario para que podamos
estar juntos. ¡Sal conmigo!","Nasıl biri olmamı istiyorsan öyle olurum!
Yeter ki, lütfen benimle çık!"
8,Cute_both_00,"I think I've got feelings for you,
{TAG_1}...","On dirait bien que je t'aime, {TAG_1} .
On pourrait sortir ensemble, non ?","Ich glaube ich mag dich, {TAG_1} ...
Wir könnten also ruhig miteinander gehen.","Penso proprio di volerti bene, {TAG_1}...
Vorrei uscire con te...","Creo que me gustas, {TAG_1} .
Podría salir contigo...","Sanırım sana karşı bir şeyler hissediyorum,
{TAG_1}..."
9,Cute_both_01,"So, what do you say to going out together?",Si tu veux bien...,Oder was meinst du?,"Quindi, se per te vabène...","Si quieres, claro.",Birlikte çıkmaya ne dersin?
10,021,"I'll give you {TAG_1} {TAG_2},
if you go out with me.","Si tu sors avec moi, je te donnerai
{TAG_1}{TAG_2}.","Du sollst {TAG_1} {TAG_2}
haben, wenn du dafür nur mit mir gehst!","Se esci con me, ti darò {TAG_1}{TAG_2}.","Si sales conmigo, te daré
{TAG_1} {TAG_2}.",Benimle çıkarsan sana {TAG_1} {TAG_2} veririm.
11,001,Sure.,D'accord !,Mit Freuden werde ich {TAG_1}!,D'accordo.,¡Vale!,Tabii.
12,002,{TAG_1}{TAG_2}I'm sorry...,{TAG_1}{TAG_2}Désol{TAG_3}...,{TAG_1}{TAG_2}Nein... Es geht einfach nicht!,{TAG_1}{TAG_2}Mi spiace...,{TAG_1}{TAG_2}Lo siento...,{TAG_1}{TAG_2}Üzgünüm...
13,003,Hold on a minute!,Eh ! Pas si vite !,Moment mal!,Aspetta un attimo!,¡Ún momento!,Bir dakika!
14,004,Nobody loves you more than me!,"Il n'y en a qu'{TAG_1} qui t'aime vraiment,
et c'est moi !",Nur ich kann dich wirklich lieben!,Nessuno ti ama più di me!,¡Nádie te ama tanto comoyo!,Seni benden daha çok seven yok!
15,014,I love you more!,"Je t'aime encore pluss que ces
deux-là réuni{TAG_1} !","Niemals! Ich bin {TAG_1}, {TAG_2} dich mehr liebt
als alle anderen!",Io ti amo più di chiunque altr{TAG_1}!,¡Yó te amo mucho más!,Ben daha çok seviyorum!
16,007,No way! I love you the most!,"C'est pas vrai, c'est moi qui t'aime pluss
que tout au monde !","Nein! Ich war zuerst hier! In der Liebe
bin ich also auch die Nummer eins!",No! Nessuno ti ama più di me!,¡Y un jamón! Yó te quiero más. ¡Al infinito!,Olmaz! Seni en çok ben seviyorum!
17,017,"Who do you choose, {TAG_1}?","Qui choisis-tu, {TAG_1} ?","Wen von uns wählst du aus?
{TAG_1}?","{TAG_1}, chi scegli?","¿A quién eliges, {TAG_1}?","{TAG_1}, kimi seçiyorsun?"
18,015,"No, no!",C'est pas vrai !,"Nein, nein!",No no!,¡No no!,"Hayır, hayır!"
19,018,"Who do you choose, {TAG_1}?","Qui choisis-tu, {TAG_1} ?","Auf wen fällt deine Wahl, {TAG_1}?","{TAG_1}, chi scegli?","¿A quién vas a elegir, {TAG_1}?","{TAG_1}, kimi seçiyorsun?"
20,005,"{TAG_1}, I'm so glad you feel
the same way.","Je suis si heureu{TAG_1} que tu ressentes la même
chose que moi, {TAG_2}.","{TAG_1}, ich bin so froh
dass du meine Gefühleteilst!","{TAG_1}, che bello sapere che anche
tu provi lo stesso per me!","¡Estoy tan content{TAG_1} de que sientas lo mismo
por mí, {TAG_2}!","{TAG_1}, benimle aynı şeyleri hissetmene
çok sevindim."
21,023,Yikes!,{TAG_1}Ha a !,{TAG_1}Wahs?,Aaa!,¡Uaaaa!,Eyvah!
22,006,"So, what do you think about us
becoming sweethearts.",Vous êtes d'accord avec ce choix ?,Bist du mit dieser Wahl einverstanden?,"Pensi che saremo una
bella coppia?",¿Crees que hacemos buena pareja?,"Peki, sevgili olmamıza ne dersin."
23,008,"{TAG_1}{TAG_2}I'm sorry, neither.","{TAG_1}{TAG_2}Désol{TAG_3}, aucun{TAG_4} des deux.","{TAG_1}{TAG_2}Tut mir echt leid ihr beiden, aber?",{TAG_1}{TAG_2}Mi spiace per voi due.,"{TAG_1}{TAG_2}Lo siento, pero no me interesa {TAG_3}.","{TAG_1}{TAG_2}Üzgünüm, ikinizi de seçmiyorum."
24,016,"{TAG_1}{TAG_2}I'm sorry, none of you.","{TAG_1}{TAG_2}Désol{TAG_3}, vous ne m'intéressez pas.","{TAG_1}{TAG_2}Tut mir echt leid miteinander, aber?","{TAG_1}{TAG_2}Mi spiace, non mi interessate.","{TAG_1}{TAG_2}Lo siento mucho.
No estoy {TAG_3}.","{TAG_1}{TAG_2}Üzgünüm, hiçbirinizi seçmiyorum."
25,Song_man_00,"<\sing><\bpm=120>
{TAG_1}
{TAG_2}ain't
{TAG_3}no
{TAG_4}build
{TAG_5}ding
{TAG_6}tall
{TAG_7}er
{TAG_8}than
{TAG_9}this
{TAG_10}
{TAG_11}ain't
{TAG_12}no
{TAG_13}roof
{TAG_14}top
{TAG_15}
{TAG_16}quiet
{TAG_17}er
{TAG_18}than
{TAG_19}this
<\lyrics>Ain't no bill ding tall er than this ain't no roof top quiet er than this","<\sing><\bpm=120>
{TAG_1}
{TAG_2}
{TAG_3}
{TAG_4}
{TAG_5}
{TAG_6}
{TAG_7}
{TAG_8}
{TAG_9}
{TAG_10}
{TAG_11}
{TAG_12}
{TAG_13}
{TAG_14}
{TAG_15}
{TAG_16}
{TAG_17}
{TAG_18}
{TAG_19}
{TAG_20}
{TAG_21}
<\lyrics>J'aimerais te demander de cet endroit qui domine l'île","<\sing><\bpm=120>
{TAG_1}
{TAG_2}
{TAG_3}
{TAG_4}
{TAG_5}
{TAG_6}
{TAG_7}
{TAG_8}
{TAG_9}
{TAG_10}
{TAG_11}
{TAG_12}
{TAG_13}
{TAG_14}
{TAG_15}
{TAG_16}
{TAG_17}
{TAG_18}
{TAG_19}
{TAG_20}
{TAG_21}
<\lyrics>kein turm ist höh herr als der hier und des halb rief ich dich zu mir","<\sing><\bpm=120>
{TAG_1}
{TAG_2}
{TAG_3}
{TAG_4}
{TAG_5}
{TAG_6}
{TAG_7}
{TAG_8}
{TAG_9}
{TAG_10}
{TAG_11}
{TAG_12}
{TAG_13}
{TAG_14}
{TAG_15}
{TAG_16}
{TAG_17}
{TAG_18}
{TAG_19}
{TAG_20}
{TAG_21}
<\lyrics>Ora che siamo così in alto sotto questo cielo color cobalto","<\sing><\bpm=100>
{TAG_1}
{TAG_2}
{TAG_3}
{TAG_4}
{TAG_5}te
{TAG_6}de
{TAG_7}cla
{TAG_8}ro
{TAG_9}mi
{TAG_10}a
{TAG_11}mor
{TAG_12}
{TAG_13}en
{TAG_14}las
{TAG_15}al
{TAG_16}tu
{TAG_17}ras
{TAG_18}ce
{TAG_19}les
{TAG_20}tia
{TAG_21}les
<\lyrics>Te declaro mi amor en las alturas celestiales","<\sing><\bpm=120>
{TAG_1}
{TAG_2}ain't
{TAG_3}no
{TAG_4}build
{TAG_5}ding
{TAG_6}tall
{TAG_7}er
{TAG_8}than
{TAG_9}this
{TAG_10}
{TAG_11}ain't
{TAG_12}no
{TAG_13}roof
{TAG_14}top
{TAG_15}
{TAG_16}quiet
{TAG_17}er
{TAG_18}than
{TAG_19}this
<\lyrics>Bundan yüksek bina yok bundan sessiz çatı yok"
