entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Yesterday was {{TAG:0000:0003:0200}}Explorer's Day{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:0A000000}}
Boy, did it pass by in a flash!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}I hope it'll be as fun next year!","{{TAG:0003:0001:}}¡Ayer fue el Día del Explorador!{{TAG:0007:0000:0A000000}}
Se me ha pasado en un suspiro.{{TAG:0007:0001:}}
{{TAG:0003:0005:}}¡A ver qué tal el año que viene!","{{TAG:0003:0001:}}Hier c'était le {{TAG:0000:0003:0200}}jour des explorateurs{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:0A000000}}
C'est passé à une vitesse ! {{TAG:0007:0001:}}{{TAG:0003:0005:}}J'espère
que ça sera aussi bien l'an prochain.","{{TAG:0003:0001:}}Ieri era il Dì degli esploratori.{{TAG:0007:0000:0A000000}}
Accifuffoli, è passato in un baleno!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Già non vedo l'ora che ritorni!","{{TAG:0003:0001:}}Die Feier zum {{TAG:0000:0003:0200}}Tag der Erkundung{{TAG:0000:0003:FFFF}}
ging vorbei wie im Flug!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Ich hoffe, dass wir im nächsten Jahr
auch wieder so viel Spaß haben!","{{TAG:0003:0001:}}Dün {{TAG:0000:0003:0200}}Kaşifler Günü{{TAG:0000:0003:FFFF}}ydü!{{TAG:0007:0000:0A000000}} Ne çabuk
geçti!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Umarım gelecek yıl da
eğlenceli olur!"
1,002,"{{TAG:0003:0025:}}Hopefully the explorer's spirit will
help me challenge myself to new,
exciting things throughout the year!","{{TAG:0003:0025:}}Con un poco de suerte, el espíritu
del explorador me llevará en busca
de grandes aventuras este año.","{{TAG:0003:0025:}}Que l'esprit des explorateurs
m'insuffle la force de relever plein
de nouveaux défis cette année !","{{TAG:0003:0025:}}Guidata dallo spirito dei grandi
esploratori, quest'anno mi butterò
alla scoperta di tante cose nuove!","{{TAG:0003:0025:}}Hoffentlich wird uns der Geist der
Erkundung auch im nächsten Jahr
wieder viele Abenteuer bescheren!","{{TAG:0003:0025:}}Umarım kaşif ruhu bütün yıl
boyunca yeni ve heyecanlı şeyler denemem
için bana cesaret verir!"
2,003,"{{TAG:0003:0001:}}By the next {{TAG:0000:0003:0200}}Explorer's Day{{TAG:0000:0003:FFFF}}, I intend
to have experienced more new and
exciting things than anyone else!","{{TAG:0003:0001:}}Mi propósito del Día del Explorador
es vivir más aventuras que nadie
durante este año.","{{TAG:0003:0001:}}D'ici à l'année prochaine, j'ai bien
l'intention de multiplier les
expériences dans tous les domaines.","{{TAG:0003:0001:}}L'anno prossimo, voglio arrivare
al Dì degli esploratori{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}arricchita
da tante nuove idee ed esperienze!","{{TAG:0003:0001:}}Bis zum nächsten {{TAG:0000:0003:0200}}Tag der
Erkundung {{TAG:0000:0003:FFFF}}sollten wir alle unserem
Entdeckertrieb freien Lauf lassen!","{{TAG:0003:0001:}}Bir sonraki {{TAG:0000:0003:0200}}Kaşifler Gününe{{TAG:0000:0003:FFFF}}
kadar herkesten daha fazla yeni ve
heyecanlı şey yaşamış olacağım!"
3,004,"{{TAG:0003:0001:}}You must be visiting {{TAG:0005:0005:}}
today to discover what {{TAG:0000:0003:0200}}Explorer's
Day {{TAG:0000:0003:FFFF}}is truly all about! Welcome!","{{TAG:0003:0001:}}¡Bienvenid{{TAG:000E:0006:02006F0002006100}} a {{TAG:000E:0003:}}{{TAG:0005:0005:}}!
Verás que en ningún sitio se celebra
el Día del Explorador como aquí.","{{TAG:0003:0001:}}Vous êtes sûrement venu{{TAG:000E:0006:000002006500}} à
{{TAG:0005:0005:}} pour participer au {{TAG:0000:0003:0200}}jour
des explorateurs{{TAG:0000:0003:FFFF}}, non ? Bienvenue !","{{TAG:0003:0001:}}Scommetto che sei {{TAG:000E:0010:}} {{TAG:0005:0005:}}
per assistere al {{TAG:0000:0003:0200}}Dì degli esploratori{{TAG:0000:0003:FFFF}}!
Benvenut{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0001:}}Bist du nach {{TAG:0005:0005:}} gekommen,
um den {{TAG:0000:0003:0200}}Tag der Erkundung {{TAG:0000:0003:FFFF}}näher
zu erkunden? Herzlich willkommen!","{{TAG:0003:0001:}}Bugün {{TAG:0005:0005:}} kasabasını ziyaret edip
{{TAG:0000:0003:0200}}Kaşifler Gününün{{TAG:0000:0003:FFFF}} gerçek ruhunu
keşfetmeye geldin herhalde! Hoş geldin!"
4,005,"{{TAG:0003:0001:}}If there's a part of {{TAG:0005:0005:}} you
haven't been to yet,{{TAG:0007:0000:0F000000}} {{TAG:0003:0026:}}you should go
on a mini expedition!
{{TAG:0003:0001:}}After all,{{TAG:0007:0000:08000000}} today is {{TAG:0000:0003:0200}}Explorer's Day{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0001:}}Si hay algo en {{TAG:000E:0003:}}{{TAG:0005:0005:}} que aún
no hayas visto,{{TAG:0007:0000:0F000000}} {{TAG:0003:0026:}}igual es el momento
de salir de excursión.
{{TAG:0003:0001:}}Al fin y al cabo,{{TAG:0007:0000:08000000}} ¡hoy es
el Día del Explorador!","{{TAG:0003:0001:}}S'il reste des coins {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}}
qui vous sont inconnus,{{TAG:0007:0000:0F000000}} {{TAG:0003:0026:}}je vous
conseille de partir en expédition !
{{TAG:0003:0001:}}Après tout,{{TAG:0007:0000:08000000}} aujourd'hui c'est le {{TAG:0000:0003:0200}}jour
des explorateurs {{TAG:0000:0003:FFFF}}!","{{TAG:0003:0001:}}Se c'è un angolo di {{TAG:0005:0005:}} che
non hai ancora visto,{{TAG:0007:0000:0F000000}} {{TAG:0003:0026:}}dovresti
organizzare una spedizioncina!
{{TAG:0003:0001:}}Quale giorno più adatto{{TAG:0007:0000:08000000}} se non
proprio il {{TAG:0000:0003:0200}}Dì degli esploratori{{TAG:0000:0003:FFFF}}?","{{TAG:0003:0001:}}Wenn du noch nicht jeden Winkel in
{{TAG:0005:0005:}} kennst,{{TAG:0007:0000:0F000000}}{{TAG:0003:0026:}} kannst du ja eine
kleine Expedition starten!
{{TAG:0003:0001:}}Schließlich ist heute der {{TAG:0000:0003:0200}}Tag der
Erkundung{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0001:}}{{TAG:0005:0005:}} kasabasında henüz gitmediğin
bir yer
varsa{{TAG:0007:0000:0F000000}} {{TAG:0003:0026:}}küçük bir keşif gezisine
çık! {{TAG:0003:0001:}}Ne de olsa{{TAG:0007:0000:08000000}}
bugün {{TAG:0000:0003:0200}}Kaşifler Günü{{TAG:0000:0003:FFFF}}!"
5,006,"{{TAG:0003:0001:}}Please enjoy yourself, and be sure
to play with the town's residents!","{{TAG:0003:0001:}}¡Espero que te lo pases pipa
jugando con los habitantes del
pueblo!","{{TAG:0003:0001:}}Passez une bonne journée et
n'hésitez pas à vous amuser en
compagnie des habitants de la ville !","{{TAG:0003:0001:}}Ti auguro di passare una piacevole
giornata con i miei concittadini!","{{TAG:0003:0001:}}Ich hoffe, du hast Spaß daran,
mit den Bewohnern von {{TAG:0005:0005:}}
zu feiern!","{{TAG:0003:0001:}}İyi eğlenceler; kasaba
sakinleriyle oynamayı unutma!"
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,,,,,,
